Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Selsmoseskolen;A;Socialdemokratiet;Listestemmer;129
1. Selsmoseskolen;A;Socialdemokratiet;Thomas Bak, Taastrup;186
1. Selsmoseskolen;A;Socialdemokratiet;Svend-Erik Hermansen, Torstorp;12
1. Selsmoseskolen;A;Socialdemokratiet;Helle Maj-Britt Christensen, Fløng;3
1. Selsmoseskolen;A;Socialdemokratiet;Anne Mette Bak, Taastrup;24
1. Selsmoseskolen;A;Socialdemokratiet;Asger Birk Jensen, Høje Taastrup;13
1. Selsmoseskolen;A;Socialdemokratiet;Peter Hamborg Faarbæk, Taastrup;17
1. Selsmoseskolen;A;Socialdemokratiet;Annette Johansen,Taastrup;17
1. Selsmoseskolen;A;Socialdemokratiet;Nina Strøm Tønnes, Hedehusene;1
1. Selsmoseskolen;A;Socialdemokratiet;Hugo Hammel, Sengeløse;3
1. Selsmoseskolen;A;Socialdemokratiet;Ekrem Günbulut, Hedehusene;41
1. Selsmoseskolen;A;Socialdemokratiet;Sabah Abid, Høje Taastrup;86
1. Selsmoseskolen;A;Socialdemokratiet;Martin Lethan Albrechtsen, Høje Ta;4
1. Selsmoseskolen;A;Socialdemokratiet;Kåre Rudi Nygård, Taastrup;4
1. Selsmoseskolen;A;Socialdemokratiet;John Harald Pedersen, Hedehusene;1
1. Selsmoseskolen;A;Socialdemokratiet;Sami Gökdemir, Taastrup;84
1. Selsmoseskolen;B;Radikale Venstre;Listestemmer;23
1. Selsmoseskolen;B;Radikale Venstre;Michael Blem Clausen, Stærkende;18
1. Selsmoseskolen;B;Radikale Venstre;Noah Nevado, Hedehusene;16
1. Selsmoseskolen;B;Radikale Venstre;Anette Vestergaard Nielsen, Reersl;4
1. Selsmoseskolen;B;Radikale Venstre;Ayhan Binici, Høje Taastrup;4
1. Selsmoseskolen;B;Radikale Venstre;Annette Jensen, Høje Taastrup;2
1. Selsmoseskolen;B;Radikale Venstre;Isa Taspinar, Høje Taastrup;1
1. Selsmoseskolen;B;Radikale Venstre;Vivi Holde Laursen, Fløng;1
1. Selsmoseskolen;B;Radikale Venstre;Fatoumatta Sidibeh, Hedehusene;2
1. Selsmoseskolen;B;Radikale Venstre;Michael Harry Naurbjerg, Høje Taas;0
1. Selsmoseskolen;B;Radikale Venstre;Svend Grønlund, Hedehusene;0
1. Selsmoseskolen;B;Radikale Venstre;Michael Raynolds Laursen, Fløng;0
1. Selsmoseskolen;B;Radikale Venstre;Fritz Ole Jensenius, Hedehusene;1
1. Selsmoseskolen;C;Det Konservative Folkeparti;Listestemmer;53
1. Selsmoseskolen;C;Det Konservative Folkeparti;Michael Ziegler, Taastrup;477
1. Selsmoseskolen;C;Det Konservative Folkeparti;Merete Scheelsbeck, Taastrup;35
1. Selsmoseskolen;C;Det Konservative Folkeparti;Kurt Scheelsbeck, Fløng;1
1. Selsmoseskolen;C;Det Konservative Folkeparti;Laurids Christensen, Taastrup;1
1. Selsmoseskolen;C;Det Konservative Folkeparti;Marjan Ganjjou, Taastrup;7
1. Selsmoseskolen;C;Det Konservative Folkeparti;John Bilenberg, Sengeløse;0
1. Selsmoseskolen;C;Det Konservative Folkeparti;Jesper Kirkegaard, Taastrup;3
1. Selsmoseskolen;C;Det Konservative Folkeparti;Bjarne Kogsbøll, Hedehusene;3
1. Selsmoseskolen;C;Det Konservative Folkeparti;Steffen Mølgaard Hansen, Høje Taas;10
1. Selsmoseskolen;C;Det Konservative Folkeparti;Jeanette Ingemann, Fløng;0
1. Selsmoseskolen;C;Det Konservative Folkeparti;Torben Rasmussen, Hedehusene;6
1. Selsmoseskolen;C;Det Konservative Folkeparti;Carl-Otto Rachlitz, Fløng;1
1. Selsmoseskolen;C;Det Konservative Folkeparti;Gorm Johansen, Taastrup;3
1. Selsmoseskolen;C;Det Konservative Folkeparti;Ralph Dänhardt, Fløng;1
1. Selsmoseskolen;C;Det Konservative Folkeparti;Omer Ayub, Taastrup;46
1. Selsmoseskolen;C;Det Konservative Folkeparti;Ersen Taskiran, Taastrup;2
1. Selsmoseskolen;C;Det Konservative Folkeparti;Maj-Britt Hartvig, Taastrup;2
1. Selsmoseskolen;C;Det Konservative Folkeparti;Finn Søder, Sengeløse;0
1. Selsmoseskolen;C;Det Konservative Folkeparti;Barbara Frederiksen, Høje Taastrup;3
1. Selsmoseskolen;C;Det Konservative Folkeparti;Michael Lieberkind, Torstorp;6
1. Selsmoseskolen;C;Det Konservative Folkeparti;Gitte Lang, Fløng;0
1. Selsmoseskolen;C;Det Konservative Folkeparti;Ken Holm, Sengeløse;0
1. Selsmoseskolen;C;Det Konservative Folkeparti;Helle Koch, Taastrup;0
1. Selsmoseskolen;C;Det Konservative Folkeparti;Henrik Torning, Sengeløse;0
1. Selsmoseskolen;F;SF - Socialistisk Folkeparti;Listestemmer;27
1. Selsmoseskolen;F;SF - Socialistisk Folkeparti;Conny Trøjborg Krogh;21
1. Selsmoseskolen;F;SF - Socialistisk Folkeparti;Mette Gagner;5
1. Selsmoseskolen;F;SF - Socialistisk Folkeparti;Ole Helding;2
1. Selsmoseskolen;F;SF - Socialistisk Folkeparti;Margit Løvkvist;1
1. Selsmoseskolen;F;SF - Socialistisk Folkeparti;Elisabeth Tørner Pedersen;1
1. Selsmoseskolen;F;SF - Socialistisk Folkeparti;Kaj Vitthøfft Rasmussen;1
1. Selsmoseskolen;F;SF - Socialistisk Folkeparti;Jørgen Jensen;1
1. Selsmoseskolen;F;SF - Socialistisk Folkeparti;John Scott Petersen;1
