Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Hørsholm;A;Socialdemokratiet;Listestemmer;95
1. Hørsholm;A;Socialdemokratiet;Pernille Schnoor;217
1. Hørsholm;A;Socialdemokratiet;Niels Lundshøj Petersen;19
1. Hørsholm;A;Socialdemokratiet;Arne-Georg Stangeby;2
1. Hørsholm;B;Radikale Venstre;Listestemmer;70
1. Hørsholm;B;Radikale Venstre;Henrik Klitgaard;75
1. Hørsholm;B;Radikale Venstre;Bo Lindhardt;11
1. Hørsholm;B;Radikale Venstre;Birgitte Finnemann Bruun;32
1. Hørsholm;B;Radikale Venstre;Hans Laugesen;5
1. Hørsholm;B;Radikale Venstre;Minna Tidemand-Petersson;6
1. Hørsholm;B;Radikale Venstre;Flemming Kronholm;2
1. Hørsholm;C;Det Konservative Folkeparti;Listestemmer;201
1. Hørsholm;C;Det Konservative Folkeparti;Morten Slotved;879
1. Hørsholm;C;Det Konservative Folkeparti;Nadja Maria Hageskov;95
1. Hørsholm;C;Det Konservative Folkeparti;Thorkild Gruelund;101
1. Hørsholm;C;Det Konservative Folkeparti;Marianne Preis Balser;10
1. Hørsholm;C;Det Konservative Folkeparti;Otto B. Christiansen;16
1. Hørsholm;C;Det Konservative Folkeparti;Kristin Arendt;23
1. Hørsholm;C;Det Konservative Folkeparti;Henrik Peulicke;42
1. Hørsholm;C;Det Konservative Folkeparti;Claus Normann;4
1. Hørsholm;C;Det Konservative Folkeparti;Jan H. Klit;21
1. Hørsholm;C;Det Konservative Folkeparti;Holger Overgaard Andersen;4
1. Hørsholm;C;Det Konservative Folkeparti;Kenny Neuchs Hansen;2
1. Hørsholm;C;Det Konservative Folkeparti;Christian Barnholdt;0
1. Hørsholm;C;Det Konservative Folkeparti;Kristian Pryds;10
1. Hørsholm;C;Det Konservative Folkeparti;Kristine Ansted Schmidt;13
1. Hørsholm;C;Det Konservative Folkeparti;Peder Egmose;20
1. Hørsholm;C;Det Konservative Folkeparti;Anders Vestergaard;17
1. Hørsholm;D;Rungsted Listen;Listestemmer;1
1. Hørsholm;D;Rungsted Listen;Karsten Eckert;6
1. Hørsholm;F;SF - Socialistisk Folkeparti;Listestemmer;58
1. Hørsholm;F;SF - Socialistisk Folkeparti;Lars Iversen;67
1. Hørsholm;F;SF - Socialistisk Folkeparti;Louise Zabel;38
1. Hørsholm;F;SF - Socialistisk Folkeparti;Peter Bennick;0
1. Hørsholm;F;SF - Socialistisk Folkeparti;Benno Arndt;5
1. Hørsholm;H;Hørsholmlisten;Listestemmer;21
1. Hørsholm;H;Hørsholmlisten;Ken Helle Jensen;24
1. Hørsholm;H;Hørsholmlisten;Bjarne Schytte;1
1. Hørsholm;H;Hørsholmlisten;Pia Marianne Axelsen;7
