Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. 1. Østerbro;A;Socialdemokratiet;Listestemmer;724
1. 1. Østerbro;A;Socialdemokratiet;Frank Jensen;1073
1. 1. Østerbro;A;Socialdemokratiet;Mette Laurberg;72
1. 1. Østerbro;A;Socialdemokratiet;Jakob Hougaard;30
1. 1. Østerbro;A;Socialdemokratiet;Lars Weiss;18
1. 1. Østerbro;A;Socialdemokratiet;Yildiz Akdogan;86
1. 1. Østerbro;A;Socialdemokratiet;Ikram Sarwar;32
1. 1. Østerbro;A;Socialdemokratiet;Andreas Keil;68
1. 1. Østerbro;A;Socialdemokratiet;Susan Hedlund;20
1. 1. Østerbro;A;Socialdemokratiet;Jesper Christensen;21
1. 1. Østerbro;A;Socialdemokratiet;Lise Thorsen;5
1. 1. Østerbro;A;Socialdemokratiet;Anette Holst Christensen;21
1. 1. Østerbro;A;Socialdemokratiet;Lars Aslan Rasmussen;50
1. 1. Østerbro;A;Socialdemokratiet;Line Hultengren;16
1. 1. Østerbro;A;Socialdemokratiet;Tue Hækkerup;49
1. 1. Østerbro;A;Socialdemokratiet;Miriam Moazzeni;9
1. 1. Østerbro;A;Socialdemokratiet;Mathilde Illum Aastrøm;11
1. 1. Østerbro;A;Socialdemokratiet;Jesper Trolle Rohde;7
1. 1. Østerbro;A;Socialdemokratiet;Simon Strange;71
1. 1. Østerbro;A;Socialdemokratiet;Taner Yilmaz;11
1. 1. Østerbro;A;Socialdemokratiet;Martin Maric;2
1. 1. Østerbro;A;Socialdemokratiet;Jonas Bjørn Jensen;49
1. 1. Østerbro;A;Socialdemokratiet;Karina Sønderfort;7
1. 1. Østerbro;A;Socialdemokratiet;Jan Andreasen;22
1. 1. Østerbro;A;Socialdemokratiet;Kim Christensen;12
1. 1. Østerbro;A;Socialdemokratiet;Lisbeth B. Ritter;5
1. 1. Østerbro;A;Socialdemokratiet;Henrik Appel;26
1. 1. Østerbro;A;Socialdemokratiet;Rune Dybvad;25
1. 1. Østerbro;A;Socialdemokratiet;Mikkel Runge;2
1. 1. Østerbro;A;Socialdemokratiet;Robert Nielsen;1
1. 1. Østerbro;A;Socialdemokratiet;Stig Ekman;3
1. 1. Østerbro;A;Socialdemokratiet;Niels E. Bjerrum;33
1. 1. Østerbro;A;Socialdemokratiet;Erik Willumsgaard;5
1. 1. Østerbro;A;Socialdemokratiet;Mads S.B. Pedersen;10
1. 1. Østerbro;B;Radikale Venstre;Listestemmer;603
1. 1. Østerbro;B;Radikale Venstre;Anna Mee Allerslev;399
1. 1. Østerbro;B;Radikale Venstre;Kasper Johansen;22
1. 1. Østerbro;B;Radikale Venstre;Henrik Nord;35
1. 1. Østerbro;B;Radikale Venstre;Tommy Petersen;28
1. 1. Østerbro;B;Radikale Venstre;Mette Annelie Rasmussen;95
1. 1. Østerbro;B;Radikale Venstre;Anne Marie Geisler Andersen;45
1. 1. Østerbro;B;Radikale Venstre;Mia Nyegaard;22
1. 1. Østerbro;B;Radikale Venstre;Mikkel Sarbo;29
1. 1. Østerbro;B;Radikale Venstre;Andreas Pourkamali;41
1. 1. Østerbro;B;Radikale Venstre;Lars Richard Rasmussen;23
1. 1. Østerbro;B;Radikale Venstre;Povl Gad;8
1. 1. Østerbro;B;Radikale Venstre;Henriette Irminger Sonne;11
1. 1. Østerbro;B;Radikale Venstre;Erik Fischer;3
1. 1. Østerbro;B;Radikale Venstre;André Just Vedgren;8
1. 1. Østerbro;B;Radikale Venstre;Søren Eriksen;9
1. 1. Østerbro;B;Radikale Venstre;Fadel Juanmiry;11
1. 1. Østerbro;B;Radikale Venstre;Jacob Eric Nielsen;5
1. 1. Østerbro;B;Radikale Venstre;Dorthe Kjerulf;1
1. 1. Østerbro;C;Det Konservative Folkeparti;Listestemmer;220
1. 1. Østerbro;C;Det Konservative Folkeparti;Rasmus Jarlov;275
1. 1. Østerbro;C;Det Konservative Folkeparti;Jakob Næsager;32
1. 1. Østerbro;C;Det Konservative Folkeparti;Susanne Møller;16
1. 1. Østerbro;C;Det Konservative Folkeparti;Mette-Katrine Ejby Buch;42
1. 1. Østerbro;C;Det Konservative Folkeparti;Helle Bonnesen;33
1. 1. Østerbro;C;Det Konservative Folkeparti;Christian Hesselberg;6
1. 1. Østerbro;C;Det Konservative Folkeparti;Andreas Weidinger;15
1. 1. Østerbro;C;Det Konservative Folkeparti;David Grolin Kristensen;0
1. 1. Østerbro;C;Det Konservative Folkeparti;Nishandan Ganesalingam;10
1. 1. Østerbro;C;Det Konservative Folkeparti;Pia Kolind Nielsen;9
1. 1. Østerbro;C;Det Konservative Folkeparti;Lis Langsø;1
1. 1. Østerbro;C;Det Konservative Folkeparti;Jørgen Johannes Thomsen;6
1. 1. Østerbro;C;Det Konservative Folkeparti;Søren Gravesen-Hvass;0
1. 1. Østerbro;C;Det Konservative Folkeparti;Birgitte Vind;6
1. 1. Østerbro;D;Kærlighedspartiet (Regnbuefolket/B;Listestemmer;22
1. 1. Østerbro;D;Kærlighedspartiet (Regnbuefolket/B;Allan Anarchos, København;4
1. 1. Østerbro;D;Kærlighedspartiet (Regnbuefolket/B;Lotte Seir, Østerbro;7
1. 1. Østerbro;D;Kærlighedspartiet (Regnbuefolket/B;Christian Noah Møller, Christiansh;0
1. 1. Østerbro;D;Kærlighedspartiet (Regnbuefolket/B;Morten Nielsen, Christiania;1
1. 1. Østerbro;D;Kærlighedspartiet (Regnbuefolket/B;Harry Ahlberg, København;0
1. 1. Østerbro;D;Kærlighedspartiet (Regnbuefolket/B;Christian Møller, Christianshavn;1
1. 1. Østerbro;D;Kærlighedspartiet (Regnbuefolket/B;Hans Christian Magnussen, Vesterbr;0
1. 1. Østerbro;D;Kærlighedspartiet (Regnbuefolket/B;Brynjar Einarsson, Sydhavn;0
1. 1. Østerbro;D;Kærlighedspartiet (Regnbuefolket/B;Asser Pivat, Sydhavnen;0
1. 1. Østerbro;D;Kærlighedspartiet (Regnbuefolket/B;Anastasios Tsiolakidis, Indre By;1
1. 1. Østerbro;D;Kærlighedspartiet (Regnbuefolket/B;Niels M. Uldall, Brønshøj;0
1. 1. Østerbro;D;Kærlighedspartiet (Regnbuefolket/B;Sarah Christiansen, Christiania;1
1. 1. Østerbro;D;Kærlighedspartiet (Regnbuefolket/B;Jørgen Dolmer, København;0
1. 1. Østerbro;D;Kærlighedspartiet (Regnbuefolket/B;Willem Jacob Cornelis Zibrandtsen;0
1. 1. Østerbro;D;Kærlighedspartiet (Regnbuefolket/B;Scott Hill, København;0
1. 1. Østerbro;D;Kærlighedspartiet (Regnbuefolket/B;Carsten Berthelsen, København;0
1. 1. Østerbro;E;Retsforbundet - Danmarks bæredygti;Listestemmer;13
1. 1. Østerbro;E;Retsforbundet - Danmarks bæredygti;Johanne L. Kristiansen, Nørrebro;4
1. 1. Østerbro;E;Retsforbundet - Danmarks bæredygti;Jimmy Due, Valby;4
1. 1. Østerbro;E;Retsforbundet - Danmarks bæredygti;Lars Rindsig, Nørrebro;0
1. 1. Østerbro;E;Retsforbundet - Danmarks bæredygti;Poul Gerhard Kristiansen, Brønshøj;1
1. 1. Østerbro;E;Retsforbundet - Danmarks bæredygti;Michael Schmidt Jacobsen, Husum;1
1. 1. Østerbro;E;Retsforbundet - Danmarks bæredygti;Kjeld I. Thomsen, Amager;0
1. 1. Østerbro;E;Retsforbundet - Danmarks bæredygti;Thomas Antkowiak-Schødt, Valby;0
1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Listestemmer;338
1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Ninna Thomsen;137
1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Ayfer Baykal;255
1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Klaus Mygind;45
1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Sisse Marie Welling;54
1. 1. Østerbro;F;SF - Socialistisk Folkeparti;Trine Schaltz;18
