Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Lyngby Midt;A;Socialdemokratiet;Listestemmer;240
1. Lyngby Midt;A;Socialdemokratiet;Simon Pihl Sørensen;333
1. Lyngby Midt;A;Socialdemokratiet;Bodil Kornbek;65
1. Lyngby Midt;A;Socialdemokratiet;Oliver K. Saltoft;7
1. Lyngby Midt;A;Socialdemokratiet;Silas Mudoh;25
1. Lyngby Midt;A;Socialdemokratiet;Christian Jespersen;3
1. Lyngby Midt;A;Socialdemokratiet;Finn Riber Rasmussen;17
1. Lyngby Midt;A;Socialdemokratiet;Janni Rosendahl;10
1. Lyngby Midt;A;Socialdemokratiet;Ib Carlsen;23
1. Lyngby Midt;A;Socialdemokratiet;Bent Pedersen;3
1. Lyngby Midt;A;Socialdemokratiet;Rie Frank;3
1. Lyngby Midt;A;Socialdemokratiet;Mette Hoff;15
1. Lyngby Midt;A;Socialdemokratiet;Inger Heinemann;2
1. Lyngby Midt;B;Radikale Venstre;Listestemmer;135
1. Lyngby Midt;B;Radikale Venstre;Henrik Brade Johansen;34
1. Lyngby Midt;B;Radikale Venstre;Trine Nebel Schou;37
1. Lyngby Midt;B;Radikale Venstre;Lotte Molsing;8
1. Lyngby Midt;B;Radikale Venstre;Emilie Holm Johansen;7
1. Lyngby Midt;B;Radikale Venstre;Paul K. Jeppesen;6
1. Lyngby Midt;B;Radikale Venstre;Sonja Kjær;12
1. Lyngby Midt;B;Radikale Venstre;Ole Møller;1
1. Lyngby Midt;B;Radikale Venstre;Mona Ulsted;2
1. Lyngby Midt;B;Radikale Venstre;Kasper Langberg;8
1. Lyngby Midt;B;Radikale Venstre;Johan Emil Løje;6
1. Lyngby Midt;C;Det Konservative Folkeparti;Listestemmer;180
1. Lyngby Midt;C;Det Konservative Folkeparti;Sofia Osmani;401
1. Lyngby Midt;C;Det Konservative Folkeparti;Mette Schmidt Olsen;29
1. Lyngby Midt;C;Det Konservative Folkeparti;Morten Grøn;8
1. Lyngby Midt;C;Det Konservative Folkeparti;Stig Løjborg-Nielsen;11
1. Lyngby Midt;C;Det Konservative Folkeparti;Jan Kaspersen;34
1. Lyngby Midt;C;Det Konservative Folkeparti;Charlotte Biskup;9
1. Lyngby Midt;C;Det Konservative Folkeparti;Jens Timmermann;5
1. Lyngby Midt;C;Det Konservative Folkeparti;Aase Steffensen;1
