Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Ørbygård;A;Socialdemokratiet;Listestemmer;287
1. Ørbygård;A;Socialdemokratiet;Erik Nielsen;362
1. Ørbygård;A;Socialdemokratiet;Britt Jensen;51
1. Ørbygård;A;Socialdemokratiet;Jan Kongebro;7
1. Ørbygård;A;Socialdemokratiet;Annie A. Petersen;19
1. Ørbygård;A;Socialdemokratiet;Flemming Lunde Østergaard Hansen;13
1. Ørbygård;A;Socialdemokratiet;Steen Skriver Rasmussen;8
1. Ørbygård;A;Socialdemokratiet;Lene Due;12
1. Ørbygård;A;Socialdemokratiet;Bente Hylleborg;7
1. Ørbygård;A;Socialdemokratiet;Ahmed Dhaqane;14
1. Ørbygård;A;Socialdemokratiet;Michel Berg;16
1. Ørbygård;A;Socialdemokratiet;Pia Hess Larsen;32
1. Ørbygård;A;Socialdemokratiet;Kurt Faber;8
1. Ørbygård;A;Socialdemokratiet;Brian Møller;9
1. Ørbygård;A;Socialdemokratiet;Bjarne S. Andersen;9
1. Ørbygård;A;Socialdemokratiet;Dler Colnadar;5
1. Ørbygård;B;Radikale Venstre;Listestemmer;79
1. Ørbygård;B;Radikale Venstre;Martin Møland Nielsen;31
1. Ørbygård;B;Radikale Venstre;Henning Makholm;1
1. Ørbygård;B;Radikale Venstre;Kim Garsdal Nielsen;2
1. Ørbygård;B;Radikale Venstre;Ole Parbst;3
1. Ørbygård;B;Radikale Venstre;Thomas Jensen;2
1. Ørbygård;B;Radikale Venstre;Christian Boldsen Knudsen;0
1. Ørbygård;C;Det Konservative Folkeparti;Listestemmer;78
1. Ørbygård;C;Det Konservative Folkeparti;Kim Drejer Nielsen;75
1. Ørbygård;C;Det Konservative Folkeparti;Chris Lassen Jensen;26
1. Ørbygård;C;Det Konservative Folkeparti;Mogens Brauer;11
1. Ørbygård;C;Det Konservative Folkeparti;Jette Louise Skovgaard Larsen;23
1. Ørbygård;C;Det Konservative Folkeparti;Eyð Áradóttir Hammer;6
1. Ørbygård;C;Det Konservative Folkeparti;Morten Torm Nielsen;1
1. Ørbygård;C;Det Konservative Folkeparti;Tina Hippe Hansen;13
1. Ørbygård;C;Det Konservative Folkeparti;Lars Glade;4
1. Ørbygård;C;Det Konservative Folkeparti;Eva Munck;0
1. Ørbygård;C;Det Konservative Folkeparti;Asbjørn Hansen;1
1. Ørbygård;C;Det Konservative Folkeparti;Birgit Ren;1
1. Ørbygård;C;Det Konservative Folkeparti;Ulla Spangtoft;1
1. Ørbygård;C;Det Konservative Folkeparti;Troels Kastoft-Christensen;0
1. Ørbygård;C;Det Konservative Folkeparti;Keld Jensen;0
1. Ørbygård;C;Det Konservative Folkeparti;Daisy Filipsen;0
1. Ørbygård;F;SF - Socialistisk Folkeparti;Listestemmer;85
1. Ørbygård;F;SF - Socialistisk Folkeparti;Svend Erik Pedersen;19
1. Ørbygård;F;SF - Socialistisk Folkeparti;Nina Jensen;39
1. Ørbygård;F;SF - Socialistisk Folkeparti;Morten T. Bay;13
1. Ørbygård;F;SF - Socialistisk Folkeparti;Lise Lanvig;14
1. Ørbygård;F;SF - Socialistisk Folkeparti;Birgit Linneboe;1
1. Ørbygård;F;SF - Socialistisk Folkeparti;Torben Petersen;1
1. Ørbygård;F;SF - Socialistisk Folkeparti;Christel Grum Jensen;1
1. Ørbygård;F;SF - Socialistisk Folkeparti;Per Bergmann;0
1. Ørbygård;F;SF - Socialistisk Folkeparti;Lars Bæk;4
1. Ørbygård;F;SF - Socialistisk Folkeparti;Jonna Glifberg;3
1. Ørbygård;G;Lavere Grundskyld;Listestemmer;8
1. Ørbygård;G;Lavere Grundskyld;Hans Iversen;0
1. Ørbygård;G;Lavere Grundskyld;Peter Klinder;0
1. Ørbygård;I;Liberal Alliance;Listestemmer;28
1. Ørbygård;I;Liberal Alliance;Erik Hansen;3
1. Ørbygård;I;Liberal Alliance;Ole Riis Hansen;9
1. Ørbygård;I;Liberal Alliance;Sune L. Justesen;4
1. Ørbygård;O;Dansk Folkeparti;Listestemmer;171
1. Ørbygård;O;Dansk Folkeparti;Niels Spittau;83
1. Ørbygård;O;Dansk Folkeparti;Henrik Kalat;25
1. Ørbygård;O;Dansk Folkeparti;Kim Hammer;18
1. Ørbygård;O;Dansk Folkeparti;Per Brun;7
1. Ørbygård;O;Dansk Folkeparti;Johnny Nielsen;7
1. Ørbygård;O;Dansk Folkeparti;Anne-Lise Albrecht;14
1. Ørbygård;O;Dansk Folkeparti;Gitte Bech Gersager;16
1. Ørbygård;V;Venstre, Danmarks Liberale Parti;Listestemmer;167
1. Ørbygård;V;Venstre, Danmarks Liberale Parti;Claus Gisselmann Olsen;85
1. Ørbygård;V;Venstre, Danmarks Liberale Parti;Peter Michael Jensen;5
1. Ørbygård;V;Venstre, Danmarks Liberale Parti;Tuncay Balaban;1
1. Ørbygård;V;Venstre, Danmarks Liberale Parti;Finn K. Simonsen;2
1. Ørbygård;V;Venstre, Danmarks Liberale Parti;Esther Haugaard;0
1. Ørbygård;V;Venstre, Danmarks Liberale Parti;Birgitte Wesch;6
1. Ørbygård;V;Venstre, Danmarks Liberale Parti;Jens Tousgaard;1
1. Ørbygård;V;Venstre, Danmarks Liberale Parti;Lene Bjerregaard Olsen;7
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;174
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Peter Mikkelsen;32
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Hans Houmøller;13
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Marianne Christensen;25
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Annette Skinhøj;16
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Sine Haddang;0
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Thomas Wiatr;0
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Flemming Egelund;0
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Bardino Christensen;1
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Dino Braun;2
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Vibeke Kold;3
2. Milestedet;A;Socialdemokratiet;Listestemmer;116
2. Milestedet;A;Socialdemokratiet;Erik Nielsen;299
2. Milestedet;A;Socialdemokratiet;Britt Jensen;46
2. Milestedet;A;Socialdemokratiet;Jan Kongebro;11
2. Milestedet;A;Socialdemokratiet;Annie A. Petersen;6
2. Milestedet;A;Socialdemokratiet;Flemming Lunde Østergaard Hansen;1
2. Milestedet;A;Socialdemokratiet;Steen Skriver Rasmussen;3
2. Milestedet;A;Socialdemokratiet;Lene Due;12
2. Milestedet;A;Socialdemokratiet;Bente Hylleborg;4
2. Milestedet;A;Socialdemokratiet;Ahmed Dhaqane;28
2. Milestedet;A;Socialdemokratiet;Michel Berg;11
2. Milestedet;A;Socialdemokratiet;Pia Hess Larsen;1
2. Milestedet;A;Socialdemokratiet;Kurt Faber;2
2. Milestedet;A;Socialdemokratiet;Brian Møller;7
2. Milestedet;A;Socialdemokratiet;Bjarne S. Andersen;1
2. Milestedet;A;Socialdemokratiet;Dler Colnadar;27
2. Milestedet;B;Radikale Venstre;Listestemmer;6
2. Milestedet;B;Radikale Venstre;Martin Møland Nielsen;3
2. Milestedet;B;Radikale Venstre;Henning Makholm;0
2. Milestedet;B;Radikale Venstre;Kim Garsdal Nielsen;4
2. Milestedet;B;Radikale Venstre;Ole Parbst;0
2. Milestedet;B;Radikale Venstre;Thomas Jensen;0
2. Milestedet;B;Radikale Venstre;Christian Boldsen Knudsen;1
2. Milestedet;C;Det Konservative Folkeparti;Listestemmer;7
2. Milestedet;C;Det Konservative Folkeparti;Kim Drejer Nielsen;11
2. Milestedet;C;Det Konservative Folkeparti;Chris Lassen Jensen;2
2. Milestedet;C;Det Konservative Folkeparti;Mogens Brauer;1
2. Milestedet;C;Det Konservative Folkeparti;Jette Louise Skovgaard Larsen;2
2. Milestedet;C;Det Konservative Folkeparti;Eyð Áradóttir Hammer;0
2. Milestedet;C;Det Konservative Folkeparti;Morten Torm Nielsen;0
2. Milestedet;C;Det Konservative Folkeparti;Tina Hippe Hansen;1
2. Milestedet;C;Det Konservative Folkeparti;Lars Glade;0
2. Milestedet;C;Det Konservative Folkeparti;Eva Munck;0
2. Milestedet;C;Det Konservative Folkeparti;Asbjørn Hansen;0
2. Milestedet;C;Det Konservative Folkeparti;Birgit Ren;1
2. Milestedet;C;Det Konservative Folkeparti;Ulla Spangtoft;1
2. Milestedet;C;Det Konservative Folkeparti;Troels Kastoft-Christensen;0
2. Milestedet;C;Det Konservative Folkeparti;Keld Jensen;0
2. Milestedet;C;Det Konservative Folkeparti;Daisy Filipsen;0
2. Milestedet;F;SF - Socialistisk Folkeparti;Listestemmer;14
2. Milestedet;F;SF - Socialistisk Folkeparti;Svend Erik Pedersen;0
2. Milestedet;F;SF - Socialistisk Folkeparti;Nina Jensen;13
2. Milestedet;F;SF - Socialistisk Folkeparti;Morten T. Bay;4
2. Milestedet;F;SF - Socialistisk Folkeparti;Lise Lanvig;0
2. Milestedet;F;SF - Socialistisk Folkeparti;Birgit Linneboe;1
2. Milestedet;F;SF - Socialistisk Folkeparti;Torben Petersen;0
2. Milestedet;F;SF - Socialistisk Folkeparti;Christel Grum Jensen;0
2. Milestedet;F;SF - Socialistisk Folkeparti;Per Bergmann;0
2. Milestedet;F;SF - Socialistisk Folkeparti;Lars Bæk;0
2. Milestedet;F;SF - Socialistisk Folkeparti;Jonna Glifberg;0
2. Milestedet;G;Lavere Grundskyld;Listestemmer;0
2. Milestedet;G;Lavere Grundskyld;Hans Iversen;0
2. Milestedet;G;Lavere Grundskyld;Peter Klinder;0
2. Milestedet;I;Liberal Alliance;Listestemmer;2
2. Milestedet;I;Liberal Alliance;Erik Hansen;1
2. Milestedet;I;Liberal Alliance;Ole Riis Hansen;0
2. Milestedet;I;Liberal Alliance;Sune L. Justesen;0
2. Milestedet;O;Dansk Folkeparti;Listestemmer;74
2. Milestedet;O;Dansk Folkeparti;Niels Spittau;30
2. Milestedet;O;Dansk Folkeparti;Henrik Kalat;6
2. Milestedet;O;Dansk Folkeparti;Kim Hammer;14
2. Milestedet;O;Dansk Folkeparti;Per Brun;7
2. Milestedet;O;Dansk Folkeparti;Johnny Nielsen;2
2. Milestedet;O;Dansk Folkeparti;Anne-Lise Albrecht;4
2. Milestedet;O;Dansk Folkeparti;Gitte Bech Gersager;4
2. Milestedet;V;Venstre, Danmarks Liberale Parti;Listestemmer;25
2. Milestedet;V;Venstre, Danmarks Liberale Parti;Claus Gisselmann Olsen;18
2. Milestedet;V;Venstre, Danmarks Liberale Parti;Peter Michael Jensen;2
2. Milestedet;V;Venstre, Danmarks Liberale Parti;Tuncay Balaban;4
2. Milestedet;V;Venstre, Danmarks Liberale Parti;Finn K. Simonsen;1
2. Milestedet;V;Venstre, Danmarks Liberale Parti;Esther Haugaard;0
2. Milestedet;V;Venstre, Danmarks Liberale Parti;Birgitte Wesch;1
2. Milestedet;V;Venstre, Danmarks Liberale Parti;Jens Tousgaard;1
2. Milestedet;V;Venstre, Danmarks Liberale Parti;Lene Bjerregaard Olsen;0
2. Milestedet;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;100
2. Milestedet;Ø;Enhedslisten - De Rød-Grønne;Peter Mikkelsen;21
2. Milestedet;Ø;Enhedslisten - De Rød-Grønne;Hans Houmøller;2
2. Milestedet;Ø;Enhedslisten - De Rød-Grønne;Marianne Christensen;10
2. Milestedet;Ø;Enhedslisten - De Rød-Grønne;Annette Skinhøj;5
2. Milestedet;Ø;Enhedslisten - De Rød-Grønne;Sine Haddang;4
2. Milestedet;Ø;Enhedslisten - De Rød-Grønne;Thomas Wiatr;4
2. Milestedet;Ø;Enhedslisten - De Rød-Grønne;Flemming Egelund;0
2. Milestedet;Ø;Enhedslisten - De Rød-Grønne;Bardino Christensen;1
2. Milestedet;Ø;Enhedslisten - De Rød-Grønne;Dino Braun;0
2. Milestedet;Ø;Enhedslisten - De Rød-Grønne;Vibeke Kold;0
3. Rødovre;A;Socialdemokratiet;Listestemmer;356
3. Rødovre;A;Socialdemokratiet;Erik Nielsen;641
3. Rødovre;A;Socialdemokratiet;Britt Jensen;58
3. Rødovre;A;Socialdemokratiet;Jan Kongebro;27
3. Rødovre;A;Socialdemokratiet;Annie A. Petersen;19
3. Rødovre;A;Socialdemokratiet;Flemming Lunde Østergaard Hansen;25
3. Rødovre;A;Socialdemokratiet;Steen Skriver Rasmussen;21
3. Rødovre;A;Socialdemokratiet;Lene Due;15
3. Rødovre;A;Socialdemokratiet;Bente Hylleborg;14
3. Rødovre;A;Socialdemokratiet;Ahmed Dhaqane;24
3. Rødovre;A;Socialdemokratiet;Michel Berg;20
3. Rødovre;A;Socialdemokratiet;Pia Hess Larsen;18
3. Rødovre;A;Socialdemokratiet;Kurt Faber;18
3. Rødovre;A;Socialdemokratiet;Brian Møller;12
3. Rødovre;A;Socialdemokratiet;Bjarne S. Andersen;16
3. Rødovre;A;Socialdemokratiet;Dler Colnadar;5
3. Rødovre;B;Radikale Venstre;Listestemmer;74
3. Rødovre;B;Radikale Venstre;Martin Møland Nielsen;52
3. Rødovre;B;Radikale Venstre;Henning Makholm;1
3. Rødovre;B;Radikale Venstre;Kim Garsdal Nielsen;2
3. Rødovre;B;Radikale Venstre;Ole Parbst;5
3. Rødovre;B;Radikale Venstre;Thomas Jensen;1
3. Rødovre;B;Radikale Venstre;Christian Boldsen Knudsen;0
3. Rødovre;C;Det Konservative Folkeparti;Listestemmer;126
3. Rødovre;C;Det Konservative Folkeparti;Kim Drejer Nielsen;144
3. Rødovre;C;Det Konservative Folkeparti;Chris Lassen Jensen;16
3. Rødovre;C;Det Konservative Folkeparti;Mogens Brauer;6
3. Rødovre;C;Det Konservative Folkeparti;Jette Louise Skovgaard Larsen;40
3. Rødovre;C;Det Konservative Folkeparti;Eyð Áradóttir Hammer;4
3. Rødovre;C;Det Konservative Folkeparti;Morten Torm Nielsen;0
3. Rødovre;C;Det Konservative Folkeparti;Tina Hippe Hansen;5
3. Rødovre;C;Det Konservative Folkeparti;Lars Glade;0
3. Rødovre;C;Det Konservative Folkeparti;Eva Munck;4
3. Rødovre;C;Det Konservative Folkeparti;Asbjørn Hansen;0
3. Rødovre;C;Det Konservative Folkeparti;Birgit Ren;2
3. Rødovre;C;Det Konservative Folkeparti;Ulla Spangtoft;0
3. Rødovre;C;Det Konservative Folkeparti;Troels Kastoft-Christensen;2
3. Rødovre;C;Det Konservative Folkeparti;Keld Jensen;0
3. Rødovre;C;Det Konservative Folkeparti;Daisy Filipsen;0
3. Rødovre;F;SF - Socialistisk Folkeparti;Listestemmer;84
3. Rødovre;F;SF - Socialistisk Folkeparti;Svend Erik Pedersen;32
3. Rødovre;F;SF - Socialistisk Folkeparti;Nina Jensen;71
3. Rødovre;F;SF - Socialistisk Folkeparti;Morten T. Bay;5
3. Rødovre;F;SF - Socialistisk Folkeparti;Lise Lanvig;17
3. Rødovre;F;SF - Socialistisk Folkeparti;Birgit Linneboe;1
3. Rødovre;F;SF - Socialistisk Folkeparti;Torben Petersen;6
3. Rødovre;F;SF - Socialistisk Folkeparti;Christel Grum Jensen;5
3. Rødovre;F;SF - Socialistisk Folkeparti;Per Bergmann;0
3. Rødovre;F;SF - Socialistisk Folkeparti;Lars Bæk;3
3. Rødovre;F;SF - Socialistisk Folkeparti;Jonna Glifberg;3
3. Rødovre;G;Lavere Grundskyld;Listestemmer;8
3. Rødovre;G;Lavere Grundskyld;Hans Iversen;5
3. Rødovre;G;Lavere Grundskyld;Peter Klinder;1
3. Rødovre;I;Liberal Alliance;Listestemmer;34
3. Rødovre;I;Liberal Alliance;Erik Hansen;14
3. Rødovre;I;Liberal Alliance;Ole Riis Hansen;5
3. Rødovre;I;Liberal Alliance;Sune L. Justesen;6
3. Rødovre;O;Dansk Folkeparti;Listestemmer;191
3. Rødovre;O;Dansk Folkeparti;Niels Spittau;62
3. Rødovre;O;Dansk Folkeparti;Henrik Kalat;21
3. Rødovre;O;Dansk Folkeparti;Kim Hammer;16
3. Rødovre;O;Dansk Folkeparti;Per Brun;2
3. Rødovre;O;Dansk Folkeparti;Johnny Nielsen;7
3. Rødovre;O;Dansk Folkeparti;Anne-Lise Albrecht;13
3. Rødovre;O;Dansk Folkeparti;Gitte Bech Gersager;7
3. Rødovre;V;Venstre, Danmarks Liberale Parti;Listestemmer;208
3. Rødovre;V;Venstre, Danmarks Liberale Parti;Claus Gisselmann Olsen;80
3. Rødovre;V;Venstre, Danmarks Liberale Parti;Peter Michael Jensen;9
3. Rødovre;V;Venstre, Danmarks Liberale Parti;Tuncay Balaban;7
3. Rødovre;V;Venstre, Danmarks Liberale Parti;Finn K. Simonsen;1
3. Rødovre;V;Venstre, Danmarks Liberale Parti;Esther Haugaard;2
3. Rødovre;V;Venstre, Danmarks Liberale Parti;Birgitte Wesch;4
3. Rødovre;V;Venstre, Danmarks Liberale Parti;Jens Tousgaard;0
3. Rødovre;V;Venstre, Danmarks Liberale Parti;Lene Bjerregaard Olsen;4
3. Rødovre;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;180
3. Rødovre;Ø;Enhedslisten - De Rød-Grønne;Peter Mikkelsen;39
3. Rødovre;Ø;Enhedslisten - De Rød-Grønne;Hans Houmøller;21
3. Rødovre;Ø;Enhedslisten - De Rød-Grønne;Marianne Christensen;18
