Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Hadsten Nord;A;Socialdemokratiet;Listestemmer;225
1. Hadsten Nord;A;Socialdemokratiet;Nils Borring;625
1. Hadsten Nord;A;Socialdemokratiet;Grethe Villadsen;55
1. Hadsten Nord;A;Socialdemokratiet;Anders Nørgaard;10
1. Hadsten Nord;A;Socialdemokratiet;Malene Kragh Sand;9
1. Hadsten Nord;A;Socialdemokratiet;Niels Flade Nielsen;3
1. Hadsten Nord;A;Socialdemokratiet;Isabell Friis Madsen;174
1. Hadsten Nord;A;Socialdemokratiet;Erling Kvist Andersen;10
1. Hadsten Nord;A;Socialdemokratiet;Dan Jensen;4
1. Hadsten Nord;A;Socialdemokratiet;Rene Sørensen;6
1. Hadsten Nord;A;Socialdemokratiet;Steen Thomasen;2
1. Hadsten Nord;A;Socialdemokratiet;Anne Neergaard;10
1. Hadsten Nord;A;Socialdemokratiet;Torben Rosenlund Olsen;0
1. Hadsten Nord;A;Socialdemokratiet;Joachim Laursen;15
1. Hadsten Nord;A;Socialdemokratiet;Lena Leth Jensen;2
1. Hadsten Nord;A;Socialdemokratiet;Niels Peter Bækhøj-Poulsen;1
1. Hadsten Nord;A;Socialdemokratiet;Morten Hareskov-Jensen;10
1. Hadsten Nord;A;Socialdemokratiet;Hans Jørgen Pedersen;1
1. Hadsten Nord;A;Socialdemokratiet;Aksel Halkjær Lund;0
1. Hadsten Nord;A;Socialdemokratiet;Erik Særkjær;11
1. Hadsten Nord;A;Socialdemokratiet;Frode Frederiksen;1
1. Hadsten Nord;A;Socialdemokratiet;Else Juhl;2
1. Hadsten Nord;A;Socialdemokratiet;Bent Lundager;1
1. Hadsten Nord;A;Socialdemokratiet;Carl Georg Halby Christensen;1
1. Hadsten Nord;A;Socialdemokratiet;Knud Tønder;3
1. Hadsten Nord;B;Radikale Venstre;Listestemmer;33
1. Hadsten Nord;B;Radikale Venstre;Helle Bækkelund Sørensen, Hadsten;53
1. Hadsten Nord;B;Radikale Venstre;Anders Godtfred-Rasmussen, Søften;4
1. Hadsten Nord;B;Radikale Venstre;Mette Rabæk, Markusminde;11
1. Hadsten Nord;B;Radikale Venstre;Torben Christensen, Foldby;4
1. Hadsten Nord;B;Radikale Venstre;Jørgen Schjødt-Pedersen, Hinnerup;0
1. Hadsten Nord;C;Det Konservative Folkeparti;Listestemmer;27
1. Hadsten Nord;C;Det Konservative Folkeparti;Charlotte Green;56
1. Hadsten Nord;C;Det Konservative Folkeparti;Lars Storgaard;9
1. Hadsten Nord;C;Det Konservative Folkeparti;Flemming Aaen Jensen;50
1. Hadsten Nord;C;Det Konservative Folkeparti;Orla Nielsen;1
1. Hadsten Nord;C;Det Konservative Folkeparti;Knud Boye-Nielsen;2
1. Hadsten Nord;C;Det Konservative Folkeparti;René Schneider;11
1. Hadsten Nord;F;SF - Socialistisk Folkeparti;Listestemmer;42
1. Hadsten Nord;F;SF - Socialistisk Folkeparti;Erik Høeg, Hinnerup;8
1. Hadsten Nord;F;SF - Socialistisk Folkeparti;Susanne Hammelboe, Hammel;10
1. Hadsten Nord;F;SF - Socialistisk Folkeparti;Bjarne Andersen, Foldby;12
1. Hadsten Nord;F;SF - Socialistisk Folkeparti;Laila Jerming Jespersen, Sall;5
1. Hadsten Nord;F;SF - Socialistisk Folkeparti;Henriette Stein Knudsen, Hadsten;38
1. Hadsten Nord;F;SF - Socialistisk Folkeparti;Ole Ahrenfeldt, Hinnerup;0
1. Hadsten Nord;I;Liberal Alliance;Listestemmer;13
1. Hadsten Nord;I;Liberal Alliance;Martin Olesen, Vitten;14
1. Hadsten Nord;I;Liberal Alliance;Ulrik Hermann, Hadsten;17
1. Hadsten Nord;I;Liberal Alliance;Lars W. Hellmund, Voldum;0
1. Hadsten Nord;J;Må vi være her;Listestemmer;0
1. Hadsten Nord;J;Må vi være her;Marna Jensen, Tinning;1
1. Hadsten Nord;O;Dansk Folkeparti;Listestemmer;101
1. Hadsten Nord;O;Dansk Folkeparti;Niels Kallehave;72
1. Hadsten Nord;O;Dansk Folkeparti;Eva Damsgaard;37
1. Hadsten Nord;O;Dansk Folkeparti;Jimmi Kjærgaard Nielsen;14
1. Hadsten Nord;O;Dansk Folkeparti;Leif Amdi Christensen;6
1. Hadsten Nord;O;Dansk Folkeparti;Ove Nørlem;4
1. Hadsten Nord;O;Dansk Folkeparti;Anders Skovbæk;1
1. Hadsten Nord;R;Spildevandslisten;Listestemmer;0
1. Hadsten Nord;R;Spildevandslisten;Alice Broer-Hansen, Ulstrup;1
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Listestemmer;193
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Anders G. Christensen;648
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Flemming Nørgaard;9
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Kurt Andreassen;1
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Hanne Smedegaard;20
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Kim Petersen;5
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Nikolaj Per Schøler;9
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Christian Møller-Nielsen;2
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Dorte Winther;8
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Inge G. Sørensen;73
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Thomas Storm;2
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Birgit Bach-Valeur;11
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Søren Vasegaard Andreasen;1
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Lone Glarbo;6
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Michael Hirsch;47
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Karen Kjeldsen;3
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Per Rasmussen;85
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;René Frederiksen;1
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Leif Sørensen;1
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Cecilie Bechmann Anthony;20
1. Hadsten Nord;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;55
1. Hadsten Nord;Ø;Enhedslisten - De Rød-Grønne;Peder Meyhoff, Hinnerup;25
1. Hadsten Nord;Ø;Enhedslisten - De Rød-Grønne;Bodil Kvistgaard Olsen, Houlbjerg;20
1. Hadsten Nord;Ø;Enhedslisten - De Rød-Grønne;Arve Meum, Lading;4
1. Hadsten Nord;Ø;Enhedslisten - De Rød-Grønne;Heidbra Jonsdottir, Hadsten;27
1. Hadsten Nord;Ø;Enhedslisten - De Rød-Grønne;Bendt Lund Nielsen, Hammel;2
1. Hadsten Nord;Ø;Enhedslisten - De Rød-Grønne;Per Hermansen, Houlbjerg;3
1. Hadsten Nord;Ø;Enhedslisten - De Rød-Grønne;Simon Sørensen, Søften;0
1. Hadsten Nord;Ø;Enhedslisten - De Rød-Grønne;Per Holm Knudsen, Hammel;1
2. Hadsten Syd;A;Socialdemokratiet;Listestemmer;172
2. Hadsten Syd;A;Socialdemokratiet;Nils Borring;481
2. Hadsten Syd;A;Socialdemokratiet;Grethe Villadsen;32
2. Hadsten Syd;A;Socialdemokratiet;Anders Nørgaard;9
2. Hadsten Syd;A;Socialdemokratiet;Malene Kragh Sand;4
2. Hadsten Syd;A;Socialdemokratiet;Niels Flade Nielsen;5
2. Hadsten Syd;A;Socialdemokratiet;Isabell Friis Madsen;83
2. Hadsten Syd;A;Socialdemokratiet;Erling Kvist Andersen;5
2. Hadsten Syd;A;Socialdemokratiet;Dan Jensen;3
2. Hadsten Syd;A;Socialdemokratiet;Rene Sørensen;3
2. Hadsten Syd;A;Socialdemokratiet;Steen Thomasen;4
2. Hadsten Syd;A;Socialdemokratiet;Anne Neergaard;5
2. Hadsten Syd;A;Socialdemokratiet;Torben Rosenlund Olsen;1
2. Hadsten Syd;A;Socialdemokratiet;Joachim Laursen;18
2. Hadsten Syd;A;Socialdemokratiet;Lena Leth Jensen;4
2. Hadsten Syd;A;Socialdemokratiet;Niels Peter Bækhøj-Poulsen;0
2. Hadsten Syd;A;Socialdemokratiet;Morten Hareskov-Jensen;21
2. Hadsten Syd;A;Socialdemokratiet;Hans Jørgen Pedersen;0
2. Hadsten Syd;A;Socialdemokratiet;Aksel Halkjær Lund;1
2. Hadsten Syd;A;Socialdemokratiet;Erik Særkjær;4
2. Hadsten Syd;A;Socialdemokratiet;Frode Frederiksen;3
2. Hadsten Syd;A;Socialdemokratiet;Else Juhl;2
2. Hadsten Syd;A;Socialdemokratiet;Bent Lundager;12
2. Hadsten Syd;A;Socialdemokratiet;Carl Georg Halby Christensen;2
2. Hadsten Syd;A;Socialdemokratiet;Knud Tønder;0
2. Hadsten Syd;B;Radikale Venstre;Listestemmer;11
2. Hadsten Syd;B;Radikale Venstre;Helle Bækkelund Sørensen, Hadsten;31
2. Hadsten Syd;B;Radikale Venstre;Anders Godtfred-Rasmussen, Søften;1
2. Hadsten Syd;B;Radikale Venstre;Mette Rabæk, Markusminde;4
2. Hadsten Syd;B;Radikale Venstre;Torben Christensen, Foldby;2
2. Hadsten Syd;B;Radikale Venstre;Jørgen Schjødt-Pedersen, Hinnerup;1
2. Hadsten Syd;C;Det Konservative Folkeparti;Listestemmer;12
2. Hadsten Syd;C;Det Konservative Folkeparti;Charlotte Green;43
2. Hadsten Syd;C;Det Konservative Folkeparti;Lars Storgaard;9
2. Hadsten Syd;C;Det Konservative Folkeparti;Flemming Aaen Jensen;49
2. Hadsten Syd;C;Det Konservative Folkeparti;Orla Nielsen;1
2. Hadsten Syd;C;Det Konservative Folkeparti;Knud Boye-Nielsen;3
2. Hadsten Syd;C;Det Konservative Folkeparti;René Schneider;46
2. Hadsten Syd;F;SF - Socialistisk Folkeparti;Listestemmer;22
2. Hadsten Syd;F;SF - Socialistisk Folkeparti;Erik Høeg, Hinnerup;4
2. Hadsten Syd;F;SF - Socialistisk Folkeparti;Susanne Hammelboe, Hammel;4
2. Hadsten Syd;F;SF - Socialistisk Folkeparti;Bjarne Andersen, Foldby;5
2. Hadsten Syd;F;SF - Socialistisk Folkeparti;Laila Jerming Jespersen, Sall;4
2. Hadsten Syd;F;SF - Socialistisk Folkeparti;Henriette Stein Knudsen, Hadsten;18
2. Hadsten Syd;F;SF - Socialistisk Folkeparti;Ole Ahrenfeldt, Hinnerup;0
2. Hadsten Syd;I;Liberal Alliance;Listestemmer;14
2. Hadsten Syd;I;Liberal Alliance;Martin Olesen, Vitten;7
2. Hadsten Syd;I;Liberal Alliance;Ulrik Hermann, Hadsten;5
2. Hadsten Syd;I;Liberal Alliance;Lars W. Hellmund, Voldum;0
2. Hadsten Syd;J;Må vi være her;Listestemmer;1
2. Hadsten Syd;J;Må vi være her;Marna Jensen, Tinning;0
2. Hadsten Syd;O;Dansk Folkeparti;Listestemmer;79
2. Hadsten Syd;O;Dansk Folkeparti;Niels Kallehave;42
2. Hadsten Syd;O;Dansk Folkeparti;Eva Damsgaard;34
2. Hadsten Syd;O;Dansk Folkeparti;Jimmi Kjærgaard Nielsen;6
2. Hadsten Syd;O;Dansk Folkeparti;Leif Amdi Christensen;6
2. Hadsten Syd;O;Dansk Folkeparti;Ove Nørlem;3
2. Hadsten Syd;O;Dansk Folkeparti;Anders Skovbæk;1
2. Hadsten Syd;R;Spildevandslisten;Listestemmer;1
2. Hadsten Syd;R;Spildevandslisten;Alice Broer-Hansen, Ulstrup;0
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;Listestemmer;121
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;Anders G. Christensen;507
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;Flemming Nørgaard;9
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;Kurt Andreassen;8
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;Hanne Smedegaard;16
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;Kim Petersen;1
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;Nikolaj Per Schøler;8
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;Christian Møller-Nielsen;12
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;Dorte Winther;5
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;Inge G. Sørensen;36
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;Thomas Storm;4
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;Birgit Bach-Valeur;0
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;Søren Vasegaard Andreasen;1
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;Lone Glarbo;8
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;Michael Hirsch;12
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;Karen Kjeldsen;3
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;Per Rasmussen;24
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;René Frederiksen;0
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;Leif Sørensen;0
2. Hadsten Syd;V;Venstre, Danmarks Liberale Parti;Cecilie Bechmann Anthony;4
2. Hadsten Syd;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;45
2. Hadsten Syd;Ø;Enhedslisten - De Rød-Grønne;Peder Meyhoff, Hinnerup;9
2. Hadsten Syd;Ø;Enhedslisten - De Rød-Grønne;Bodil Kvistgaard Olsen, Houlbjerg;6
2. Hadsten Syd;Ø;Enhedslisten - De Rød-Grønne;Arve Meum, Lading;1
2. Hadsten Syd;Ø;Enhedslisten - De Rød-Grønne;Heidbra Jonsdottir, Hadsten;13
2. Hadsten Syd;Ø;Enhedslisten - De Rød-Grønne;Bendt Lund Nielsen, Hammel;0
2. Hadsten Syd;Ø;Enhedslisten - De Rød-Grønne;Per Hermansen, Houlbjerg;0
2. Hadsten Syd;Ø;Enhedslisten - De Rød-Grønne;Simon Sørensen, Søften;0
2. Hadsten Syd;Ø;Enhedslisten - De Rød-Grønne;Per Holm Knudsen, Hammel;0
3. Hadbjerg;A;Socialdemokratiet;Listestemmer;72
3. Hadbjerg;A;Socialdemokratiet;Nils Borring;133
3. Hadbjerg;A;Socialdemokratiet;Grethe Villadsen;5
3. Hadbjerg;A;Socialdemokratiet;Anders Nørgaard;1
3. Hadbjerg;A;Socialdemokratiet;Malene Kragh Sand;1
3. Hadbjerg;A;Socialdemokratiet;Niels Flade Nielsen;0
3. Hadbjerg;A;Socialdemokratiet;Isabell Friis Madsen;15
3. Hadbjerg;A;Socialdemokratiet;Erling Kvist Andersen;4
3. Hadbjerg;A;Socialdemokratiet;Dan Jensen;1
3. Hadbjerg;A;Socialdemokratiet;Rene Sørensen;17
3. Hadbjerg;A;Socialdemokratiet;Steen Thomasen;0
3. Hadbjerg;A;Socialdemokratiet;Anne Neergaard;4
3. Hadbjerg;A;Socialdemokratiet;Torben Rosenlund Olsen;0
3. Hadbjerg;A;Socialdemokratiet;Joachim Laursen;284
3. Hadbjerg;A;Socialdemokratiet;Lena Leth Jensen;1
3. Hadbjerg;A;Socialdemokratiet;Niels Peter Bækhøj-Poulsen;1
3. Hadbjerg;A;Socialdemokratiet;Morten Hareskov-Jensen;0
3. Hadbjerg;A;Socialdemokratiet;Hans Jørgen Pedersen;0
3. Hadbjerg;A;Socialdemokratiet;Aksel Halkjær Lund;0
3. Hadbjerg;A;Socialdemokratiet;Erik Særkjær;1
3. Hadbjerg;A;Socialdemokratiet;Frode Frederiksen;0
3. Hadbjerg;A;Socialdemokratiet;Else Juhl;2
3. Hadbjerg;A;Socialdemokratiet;Bent Lundager;3
3. Hadbjerg;A;Socialdemokratiet;Carl Georg Halby Christensen;0
3. Hadbjerg;A;Socialdemokratiet;Knud Tønder;0
3. Hadbjerg;B;Radikale Venstre;Listestemmer;10
3. Hadbjerg;B;Radikale Venstre;Helle Bækkelund Sørensen, Hadsten;15
3. Hadbjerg;B;Radikale Venstre;Anders Godtfred-Rasmussen, Søften;0
3. Hadbjerg;B;Radikale Venstre;Mette Rabæk, Markusminde;2
3. Hadbjerg;B;Radikale Venstre;Torben Christensen, Foldby;3
