Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Ejstrup;A;Socialdemokratiet;Listestemmer;31
1. Ejstrup;A;Socialdemokratiet;Frank Heidemann;25
1. Ejstrup;A;Socialdemokratiet;Birthe Sørensen;4
1. Ejstrup;A;Socialdemokratiet;Inge Dinis;5
1. Ejstrup;A;Socialdemokratiet;Peter Kempf;77
1. Ejstrup;A;Socialdemokratiet;Joan Højlund;0
1. Ejstrup;A;Socialdemokratiet;Martin Skøtt;2
1. Ejstrup;A;Socialdemokratiet;Per Frisendahl;0
1. Ejstrup;A;Socialdemokratiet;John H. Jaszczak;0
1. Ejstrup;A;Socialdemokratiet;Yildiz Kibar;0
1. Ejstrup;A;Socialdemokratiet;Celalettin Tanis;0
1. Ejstrup;A;Socialdemokratiet;Kirsten Hoffmann;30
1. Ejstrup;A;Socialdemokratiet;Thomas Jensen;0
1. Ejstrup;B;Radikale Venstre;Listestemmer;2
1. Ejstrup;B;Radikale Venstre;Karen Skyum;9
1. Ejstrup;B;Radikale Venstre;Mette Fly;3
1. Ejstrup;B;Radikale Venstre;Svend Kjærgaard;0
1. Ejstrup;B;Radikale Venstre;Jens Sandal;0
1. Ejstrup;B;Radikale Venstre;Karl Peder Kjeldsen;0
1. Ejstrup;C;Det Konservative Folkeparti;Listestemmer;1
1. Ejstrup;C;Det Konservative Folkeparti;Tove Videbæk;22
1. Ejstrup;C;Det Konservative Folkeparti;Heinrich Rune;0
1. Ejstrup;C;Det Konservative Folkeparti;Tomas Bjerre;2
1. Ejstrup;C;Det Konservative Folkeparti;Bo Tolstrup;0
1. Ejstrup;C;Det Konservative Folkeparti;Allan Loumann Lissau;0
1. Ejstrup;C;Det Konservative Folkeparti;Ruben Andrés Axell;0
1. Ejstrup;F;SF - Socialistisk Folkeparti;Listestemmer;3
1. Ejstrup;F;SF - Socialistisk Folkeparti;Morten Colbert;6
1. Ejstrup;F;SF - Socialistisk Folkeparti;Laila Mohrsen Busted;5
1. Ejstrup;F;SF - Socialistisk Folkeparti;Anders Udengaard;8
1. Ejstrup;I;Liberal Alliance;Listestemmer;1
1. Ejstrup;I;Liberal Alliance;Mogens B. Helmer;2
1. Ejstrup;I;Liberal Alliance;Frede U. Rahbek;2
1. Ejstrup;O;Dansk Folkeparti;Listestemmer;35
1. Ejstrup;O;Dansk Folkeparti;Simon Vanggaard Nielsen;92
1. Ejstrup;O;Dansk Folkeparti;Anne-Grethe Sørensen;3
1. Ejstrup;O;Dansk Folkeparti;Kaare G. Graversen;50
1. Ejstrup;O;Dansk Folkeparti;Charlotte Thornvig Sigurdsson;0
1. Ejstrup;O;Dansk Folkeparti;Knud Erik Sørensen;1
1. Ejstrup;O;Dansk Folkeparti;Ove Albrechtsen;1
1. Ejstrup;O;Dansk Folkeparti;Finn Averhoff;2
1. Ejstrup;V;Venstre, Danmarks Liberale Parti;Listestemmer;35
1. Ejstrup;V;Venstre, Danmarks Liberale Parti;Carsten Kissmeyer;89
1. Ejstrup;V;Venstre, Danmarks Liberale Parti;Per Abildskov;0
1. Ejstrup;V;Venstre, Danmarks Liberale Parti;Ümit Acar;0
1. Ejstrup;V;Venstre, Danmarks Liberale Parti;Jan Anderschou;1
1. Ejstrup;V;Venstre, Danmarks Liberale Parti;Morten Bak;8
1. Ejstrup;V;Venstre, Danmarks Liberale Parti;Mette Borum;2
1. Ejstrup;V;Venstre, Danmarks Liberale Parti;Britta Brandt;0
1. Ejstrup;V;Venstre, Danmarks Liberale Parti;Brian Bøge Christensen;0
1. Ejstrup;V;Venstre, Danmarks Liberale Parti;Henrik Christiansen;3
1. Ejstrup;V;Venstre, Danmarks Liberale Parti;Henrik Engedahl;0
1. Ejstrup;V;Venstre, Danmarks Liberale Parti;Jens Høgsberg Kristensen;3
1. Ejstrup;V;Venstre, Danmarks Liberale Parti;Thomas Kristensen;139
1. Ejstrup;V;Venstre, Danmarks Liberale Parti;Ib Lauritsen;7
1. Ejstrup;V;Venstre, Danmarks Liberale Parti;Ejner Mortensen;0
1. Ejstrup;V;Venstre, Danmarks Liberale Parti;Annette Mosegaard;7
1. Ejstrup;V;Venstre, Danmarks Liberale Parti;Ole Ringgaard;1
1. Ejstrup;V;Venstre, Danmarks Liberale Parti;Erik Roed;11
1. Ejstrup;V;Venstre, Danmarks Liberale Parti;Brian Sigtenbjerggaard;23
1. Ejstrup;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;13
1. Ejstrup;Ø;Enhedslisten - De Rød-Grønne;Torben A. Hansen;8
1. Ejstrup;Ø;Enhedslisten - De Rød-Grønne;Kasper Pauli Pedersen;4
1. Ejstrup;Ø;Enhedslisten - De Rød-Grønne;Sanimir Sekulic;0
1. Ejstrup;Å;Fælleslisten;Listestemmer;26
1. Ejstrup;Å;Fælleslisten;Preben Christensen;158
1. Ejstrup;Å;Fælleslisten;Jens Ernst Nielsen;3
1. Ejstrup;Å;Fælleslisten;Carl Jensen;0
1. Ejstrup;Å;Fælleslisten;Jette Harrild;3
1. Ejstrup;Å;Fælleslisten;Kirsten Mørup;0
1. Ejstrup;Å;Fælleslisten;Hanne Bang Pedersen;3
1. Ejstrup;Å;Fælleslisten;Jan Schjermer;9
1. Ejstrup;Å;Fælleslisten;Martin Arvad;58
1. Ejstrup;Å;Fælleslisten;Peder Fenger;4
1. Ejstrup;Å;Fælleslisten;Jacob Schnedler;1
1. Ejstrup;Å;Fælleslisten;Bo Sand Kristensen;4
1. Ejstrup;Å;Fælleslisten;Helle Mathiasen;372
1. Ejstrup;Å;Fælleslisten;Ismail Yalcin;0
2. Gludsted;A;Socialdemokratiet;Listestemmer;5
2. Gludsted;A;Socialdemokratiet;Frank Heidemann;4
2. Gludsted;A;Socialdemokratiet;Birthe Sørensen;0
2. Gludsted;A;Socialdemokratiet;Inge Dinis;1
2. Gludsted;A;Socialdemokratiet;Peter Kempf;27
2. Gludsted;A;Socialdemokratiet;Joan Højlund;0
2. Gludsted;A;Socialdemokratiet;Martin Skøtt;0
2. Gludsted;A;Socialdemokratiet;Per Frisendahl;0
2. Gludsted;A;Socialdemokratiet;John H. Jaszczak;0
2. Gludsted;A;Socialdemokratiet;Yildiz Kibar;0
2. Gludsted;A;Socialdemokratiet;Celalettin Tanis;0
2. Gludsted;A;Socialdemokratiet;Kirsten Hoffmann;48
2. Gludsted;A;Socialdemokratiet;Thomas Jensen;0
2. Gludsted;B;Radikale Venstre;Listestemmer;1
2. Gludsted;B;Radikale Venstre;Karen Skyum;2
2. Gludsted;B;Radikale Venstre;Mette Fly;1
2. Gludsted;B;Radikale Venstre;Svend Kjærgaard;0
2. Gludsted;B;Radikale Venstre;Jens Sandal;0
