Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Kulturhuset Langå;A;Socialdemokratiet;Listestemmer;70
1. Kulturhuset Langå;A;Socialdemokratiet;Henning Jensen Nyhuus;127
1. Kulturhuset Langå;A;Socialdemokratiet;Torben Hansen;26
1. Kulturhuset Langå;A;Socialdemokratiet;Leif Gade;3
1. Kulturhuset Langå;A;Socialdemokratiet;Ellen Petersen;7
1. Kulturhuset Langå;A;Socialdemokratiet;Mikael Firlings Mouritsen;0
1. Kulturhuset Langå;A;Socialdemokratiet;Fatma Cetinkaya;5
1. Kulturhuset Langå;A;Socialdemokratiet;Susanne Koch;6
1. Kulturhuset Langå;A;Socialdemokratiet;Steen Bundgaard;0
1. Kulturhuset Langå;A;Socialdemokratiet;Claus Ørsted;0
1. Kulturhuset Langå;A;Socialdemokratiet;Karen Lagoni;22
1. Kulturhuset Langå;A;Socialdemokratiet;Malte Larsen;78
1. Kulturhuset Langå;A;Socialdemokratiet;Iben Sønderup;309
1. Kulturhuset Langå;A;Socialdemokratiet;Lars Bang;3
1. Kulturhuset Langå;A;Socialdemokratiet;Pia Moldt;1
1. Kulturhuset Langå;A;Socialdemokratiet;Tanja Lauenborg;4
1. Kulturhuset Langå;A;Socialdemokratiet;Kasper Schou;1
1. Kulturhuset Langå;A;Socialdemokratiet;Jasmin Sahin;1
1. Kulturhuset Langå;A;Socialdemokratiet;Anja Futtrup Andersen;2
1. Kulturhuset Langå;A;Socialdemokratiet;Joan Hjersing Knudsen;2
1. Kulturhuset Langå;A;Socialdemokratiet;Peter Hansen;0
1. Kulturhuset Langå;A;Socialdemokratiet;Bjarne Kehlet;0
1. Kulturhuset Langå;A;Socialdemokratiet;Ole Skiffard;0
1. Kulturhuset Langå;A;Socialdemokratiet;Joseph Aruleah;2
1. Kulturhuset Langå;A;Socialdemokratiet;Jan Dich Mortensen;0
1. Kulturhuset Langå;A;Socialdemokratiet;Per Bilici Sørensen;2
1. Kulturhuset Langå;A;Socialdemokratiet;Jørgen Dalsgaard;0
1. Kulturhuset Langå;A;Socialdemokratiet;Simon Mølholm Olesen;0
1. Kulturhuset Langå;B;Radikale Venstre;Listestemmer;3
1. Kulturhuset Langå;B;Radikale Venstre;Mogens Nyholm;5
1. Kulturhuset Langå;B;Radikale Venstre;Johanne Kristine Asmussen;100
1. Kulturhuset Langå;B;Radikale Venstre;Ole Jakobsen;0
1. Kulturhuset Langå;B;Radikale Venstre;Camilla Martine Johannsen;8
1. Kulturhuset Langå;B;Radikale Venstre;Hans Toftdahl;0
1. Kulturhuset Langå;B;Radikale Venstre;Lone Kjær Kristensen;0
1. Kulturhuset Langå;B;Radikale Venstre;Karin Blach;0
1. Kulturhuset Langå;B;Radikale Venstre;Kirsten Hvas;0
1. Kulturhuset Langå;B;Radikale Venstre;Hans Jørgen Dam;0
1. Kulturhuset Langå;B;Radikale Venstre;Ole Bjerring;0
1. Kulturhuset Langå;B;Radikale Venstre;Svend-Erik Runberg;0
1. Kulturhuset Langå;B;Radikale Venstre;Jens Peter Krog;16
1. Kulturhuset Langå;B;Radikale Venstre;Esben Tarpgaard;0
1. Kulturhuset Langå;B;Radikale Venstre;Jakob Møller Andersen;0
1. Kulturhuset Langå;B;Radikale Venstre;Jørgen Mark Pedersen;0
1. Kulturhuset Langå;B;Radikale Venstre;Jørgen Grejs Hansen;0
1. Kulturhuset Langå;B;Radikale Venstre;Ulla Kjærvang;0
