Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Tranebjerg;A;Socialdemokratiet;Listestemmer;63
1. Tranebjerg;A;Socialdemokratiet;Marcel Meijer;233
1. Tranebjerg;A;Socialdemokratiet;Michael Kristensen;77
1. Tranebjerg;A;Socialdemokratiet;Robert V. Rasmussen;67
1. Tranebjerg;A;Socialdemokratiet;Poul Christensen;13
1. Tranebjerg;C;Det Konservative Folkeparti;Listestemmer;26
1. Tranebjerg;C;Det Konservative Folkeparti;Jørn C. Nissen;142
1. Tranebjerg;C;Det Konservative Folkeparti;Per Urban Olsen;103
1. Tranebjerg;C;Det Konservative Folkeparti;Mette E. H. Manstrup;34
1. Tranebjerg;C;Det Konservative Folkeparti;Morten Øster Kristensen;17
1. Tranebjerg;C;Det Konservative Folkeparti;Jens L. Koch;6
1. Tranebjerg;C;Det Konservative Folkeparti;Gitte Kjær;5
1. Tranebjerg;D;Fælleslisten Samsø;Listestemmer;30
1. Tranebjerg;D;Fælleslisten Samsø;Inge-Dorthe E. Larsen, Nordby;98
1. Tranebjerg;D;Fælleslisten Samsø;Steen Brorsen, Besser;13
1. Tranebjerg;D;Fælleslisten Samsø;Frits Andersen, Agerup;51
1. Tranebjerg;D;Fælleslisten Samsø;Gert Karlsen, Onsbjerg;0
1. Tranebjerg;F;SF - Socialistisk Folkeparti;Listestemmer;40
1. Tranebjerg;F;SF - Socialistisk Folkeparti;Ulla Holm, Ballen;153
1. Tranebjerg;F;SF - Socialistisk Folkeparti;Stefan Wolffbrandt, Langemark;36
1. Tranebjerg;F;SF - Socialistisk Folkeparti;Anja Madsen, Onsbjerg;22
1. Tranebjerg;F;SF - Socialistisk Folkeparti;Jens Henrik Larsen, Østerby;5
1. Tranebjerg;F;SF - Socialistisk Folkeparti;Jens Wærum, Besser;6
1. Tranebjerg;I;Liberal Alliance;Listestemmer;5
1. Tranebjerg;I;Liberal Alliance;Stig Ove Andersen, Østerby;24
1. Tranebjerg;O;Dansk Folkeparti;Listestemmer;38
1. Tranebjerg;O;Dansk Folkeparti;Susanne Vinniche Andersen;58
1. Tranebjerg;O;Dansk Folkeparti;Claus M. Holm;11
1. Tranebjerg;O;Dansk Folkeparti;Heidi Printz;2
1. Tranebjerg;O;Dansk Folkeparti;Ulla Ch. Wiese;4
1. Tranebjerg;U;Social-Listen;Listestemmer;4
1. Tranebjerg;U;Social-Listen;Einer Madsen;51
1. Tranebjerg;U;Social-Listen;Karina Mortensen;8
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Listestemmer;64
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Carsten Bruun;435
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Henrik Kjær;87
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Henrik Sørensen;35
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Anita E. H. Olesen;29
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Irene Lassen;69
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Søren Rasmussen;35
1. Tranebjerg;V;Venstre, Danmarks Liberale Parti;Vinni K. Østerbæk;24
2. Nordby;A;Socialdemokratiet;Listestemmer;12
2. Nordby;A;Socialdemokratiet;Marcel Meijer;22
2. Nordby;A;Socialdemokratiet;Michael Kristensen;7
2. Nordby;A;Socialdemokratiet;Robert V. Rasmussen;5
2. Nordby;A;Socialdemokratiet;Poul Christensen;0
2. Nordby;C;Det Konservative Folkeparti;Listestemmer;3
2. Nordby;C;Det Konservative Folkeparti;Jørn C. Nissen;19
2. Nordby;C;Det Konservative Folkeparti;Per Urban Olsen;21
2. Nordby;C;Det Konservative Folkeparti;Mette E. H. Manstrup;1
2. Nordby;C;Det Konservative Folkeparti;Morten Øster Kristensen;0
2. Nordby;C;Det Konservative Folkeparti;Jens L. Koch;0
2. Nordby;C;Det Konservative Folkeparti;Gitte Kjær;0
2. Nordby;D;Fælleslisten Samsø;Listestemmer;5
2. Nordby;D;Fælleslisten Samsø;Inge-Dorthe E. Larsen, Nordby;72
2. Nordby;D;Fælleslisten Samsø;Steen Brorsen, Besser;1
2. Nordby;D;Fælleslisten Samsø;Frits Andersen, Agerup;5
2. Nordby;D;Fælleslisten Samsø;Gert Karlsen, Onsbjerg;0
2. Nordby;F;SF - Socialistisk Folkeparti;Listestemmer;6
2. Nordby;F;SF - Socialistisk Folkeparti;Ulla Holm, Ballen;28
2. Nordby;F;SF - Socialistisk Folkeparti;Stefan Wolffbrandt, Langemark;6
2. Nordby;F;SF - Socialistisk Folkeparti;Anja Madsen, Onsbjerg;4
2. Nordby;F;SF - Socialistisk Folkeparti;Jens Henrik Larsen, Østerby;0
2. Nordby;F;SF - Socialistisk Folkeparti;Jens Wærum, Besser;1
2. Nordby;I;Liberal Alliance;Listestemmer;0
2. Nordby;I;Liberal Alliance;Stig Ove Andersen, Østerby;0
2. Nordby;O;Dansk Folkeparti;Listestemmer;3
2. Nordby;O;Dansk Folkeparti;Susanne Vinniche Andersen;5
2. Nordby;O;Dansk Folkeparti;Claus M. Holm;1
2. Nordby;O;Dansk Folkeparti;Heidi Printz;1
2. Nordby;O;Dansk Folkeparti;Ulla Ch. Wiese;0
2. Nordby;U;Social-Listen;Listestemmer;0
2. Nordby;U;Social-Listen;Einer Madsen;5
2. Nordby;U;Social-Listen;Karina Mortensen;0
2. Nordby;V;Venstre, Danmarks Liberale Parti;Listestemmer;9
2. Nordby;V;Venstre, Danmarks Liberale Parti;Carsten Bruun;33
2. Nordby;V;Venstre, Danmarks Liberale Parti;Henrik Kjær;10
2. Nordby;V;Venstre, Danmarks Liberale Parti;Henrik Sørensen;3
2. Nordby;V;Venstre, Danmarks Liberale Parti;Anita E. H. Olesen;28
2. Nordby;V;Venstre, Danmarks Liberale Parti;Irene Lassen;5
2. Nordby;V;Venstre, Danmarks Liberale Parti;Søren Rasmussen;0
2. Nordby;V;Venstre, Danmarks Liberale Parti;Vinni K. Østerbæk;0
