Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Ejer Bavnehøj;A;Socialdemokratiet;Listestemmer;60
1. Ejer Bavnehøj;A;Socialdemokratiet;Jørgen Gaarde, Skanderborg;145
1. Ejer Bavnehøj;A;Socialdemokratiet;Jørgen Naut, Hørning;3
1. Ejer Bavnehøj;A;Socialdemokratiet;Kristian Skovhus, Galten;0
1. Ejer Bavnehøj;A;Socialdemokratiet;Frands Fischer, Ry;8
1. Ejer Bavnehøj;A;Socialdemokratiet;Lars Vodsgaard, Skanderborg;8
1. Ejer Bavnehøj;A;Socialdemokratiet;Kai Høstrup, Ry;1
1. Ejer Bavnehøj;A;Socialdemokratiet;Finn Sander Jensen, Skovby;0
1. Ejer Bavnehøj;A;Socialdemokratiet;Søren Nielsen, Hørning;2
1. Ejer Bavnehøj;A;Socialdemokratiet;Charlotte Abildgaard Paulsen, Skb.;8
1. Ejer Bavnehøj;A;Socialdemokratiet;Nicklas Lauritzen, Skanderborg;6
1. Ejer Bavnehøj;A;Socialdemokratiet;Frank W. Damgaard, Skanderborg;16
1. Ejer Bavnehøj;A;Socialdemokratiet;Henrik Müller, Hylke;301
1. Ejer Bavnehøj;A;Socialdemokratiet;Jens Kr. Rasmussen, Skanderborg;9
1. Ejer Bavnehøj;A;Socialdemokratiet;Lone Sproegel, Hørning;3
1. Ejer Bavnehøj;A;Socialdemokratiet;Karsten Iversen, Ry;2
1. Ejer Bavnehøj;A;Socialdemokratiet;Karen S. Lindemann, Galten-Skovby;4
1. Ejer Bavnehøj;A;Socialdemokratiet;Lars Klitgaard, Hørning;0
1. Ejer Bavnehøj;A;Socialdemokratiet;Lars Lindencrone Lavridsen,Voerla;1
1. Ejer Bavnehøj;A;Socialdemokratiet;Henrik A. Therkildsen, Galten;0
1. Ejer Bavnehøj;A;Socialdemokratiet;Yusuf Gencol, Skanderborg;4
1. Ejer Bavnehøj;A;Socialdemokratiet;Kasper Tikjøb, Galten-Skovby;1
1. Ejer Bavnehøj;A;Socialdemokratiet;Hugo From, Skanderborg;0
1. Ejer Bavnehøj;B;Radikale Venstre;Listestemmer;13
1. Ejer Bavnehøj;B;Radikale Venstre;Tage Nielsen, Galten;3
1. Ejer Bavnehøj;B;Radikale Venstre;Jens Anker Hansen, Ry;6
1. Ejer Bavnehøj;B;Radikale Venstre;Adele Davis-Boe, Alken;3
1. Ejer Bavnehøj;B;Radikale Venstre;Maria Baagøe Bove, Skanderborg;9
1. Ejer Bavnehøj;B;Radikale Venstre;Svend Thorhauge, Ry;1
1. Ejer Bavnehøj;B;Radikale Venstre;Anja Ellersgaard Basse, Hørning;0
1. Ejer Bavnehøj;B;Radikale Venstre;Inge Marie Vester, Skanderborg;0
1. Ejer Bavnehøj;B;Radikale Venstre;Lærke Holm, Ry;1
1. Ejer Bavnehøj;B;Radikale Venstre;Mette Krustrup, Stilling;2
1. Ejer Bavnehøj;B;Radikale Venstre;Andreas Drachmann, Galten;0
1. Ejer Bavnehøj;C;Det Konservative Folkeparti;Listestemmer;6
1. Ejer Bavnehøj;C;Det Konservative Folkeparti;Jan Krogh Rasmussen, Skanderborg;17
1. Ejer Bavnehøj;C;Det Konservative Folkeparti;Flemming Jensen, Skovby-Galten;0
1. Ejer Bavnehøj;C;Det Konservative Folkeparti;Thomas Cordtz, Ry;1
1. Ejer Bavnehøj;C;Det Konservative Folkeparti;Lars Clausen, Tebstrup;43
1. Ejer Bavnehøj;C;Det Konservative Folkeparti;Henning Elgaard Andersen, Hørning;0
1. Ejer Bavnehøj;F;SF - Socialistisk Folkeparti;Listestemmer;14
1. Ejer Bavnehøj;F;SF - Socialistisk Folkeparti;Claus Leick, Ry;10
1. Ejer Bavnehøj;F;SF - Socialistisk Folkeparti;Jens Sønderskov, Skanderborg;18
1. Ejer Bavnehøj;F;SF - Socialistisk Folkeparti;Pia Palm, Hørning;3
1. Ejer Bavnehøj;F;SF - Socialistisk Folkeparti;Ole Juhl Jeppesen, Skanderborg;28
1. Ejer Bavnehøj;F;SF - Socialistisk Folkeparti;Henrik Uggerhøj-Andersen, Hørning;1
1. Ejer Bavnehøj;F;SF - Socialistisk Folkeparti;Elisabeth Morsing, Låsby;7
1. Ejer Bavnehøj;I;Liberal Alliance;Listestemmer;21
1. Ejer Bavnehøj;I;Liberal Alliance;Carsten Bach, Galten;6
1. Ejer Bavnehøj;I;Liberal Alliance;Søren Morbjerg, Skovby;1
1. Ejer Bavnehøj;I;Liberal Alliance;Brian Ladefoged, Skanderborg;10
1. Ejer Bavnehøj;O;Dansk Folkeparti;Listestemmer;55
1. Ejer Bavnehøj;O;Dansk Folkeparti;Martin Frausing Poulsen;27
1. Ejer Bavnehøj;O;Dansk Folkeparti;John Haarup Laursen;1
1. Ejer Bavnehøj;O;Dansk Folkeparti;Henning Baverslund Jokumsen;2
1. Ejer Bavnehøj;O;Dansk Folkeparti;Sonny Nøbbe;6
1. Ejer Bavnehøj;O;Dansk Folkeparti;Henrik Gabriel Næsby Pedersen;1
1. Ejer Bavnehøj;O;Dansk Folkeparti;Jørgen Høilund-Carlsen;9
1. Ejer Bavnehøj;O;Dansk Folkeparti;Line Marie Kirshøj Kristensen;1
1. Ejer Bavnehøj;O;Dansk Folkeparti;Søren Krohn Skovgaard Jensen;2
1. Ejer Bavnehøj;O;Dansk Folkeparti;Morten Kenneth Koldtoft Rasmussen;0
1. Ejer Bavnehøj;O;Dansk Folkeparti;Per Mandal;0
1. Ejer Bavnehøj;O;Dansk Folkeparti;Louise Bjerregaard Hesselbjerg;0
1. Ejer Bavnehøj;O;Dansk Folkeparti;Birgitte Stormskær;1
1. Ejer Bavnehøj;O;Dansk Folkeparti;Inge-Merethe Pihlkjær Aggergren;0
1. Ejer Bavnehøj;O;Dansk Folkeparti;Vivian Frederiksen;2
1. Ejer Bavnehøj;O;Dansk Folkeparti;Eigil Otto Frederiksen;1
1. Ejer Bavnehøj;T;Fri-Listen;Listestemmer;0
1. Ejer Bavnehøj;T;Fri-Listen;B. Frank Andersen, Hørning;3
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Listestemmer;128
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Søren Erik Pedersen;55
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Rasmus Ingemann;6
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Jens Erik Sørensen;12
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Christina Bottke;38
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Martin Kristiansen;6
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Peder Porse;3
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Anja Søgaard;6
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Bent Jacobsen;12
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Birte M. Andersen;28
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Astrid Lynge Pedersen;8
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Jakob Houg Jakobsen;0
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Claus Bloch;1
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Murwareed Azeemi;7
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Marianne Birkeslund;1
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Ole Haahr Taankvist;5
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Hanne Majgaard;1
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Poul Møller;0
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Jan Høgholm;0
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Maria Noe Høi;5
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Svend Møller Sørensen;41
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Jens Kjær;1
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Casper Søgaard;1
1. Ejer Bavnehøj;V;Venstre, Danmarks Liberale Parti;Jens Szabo;3
