Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Skagen;A;Socialdemokratiet;Listestemmer;186
1. Skagen;A;Socialdemokratiet;Birgit Stenbak Hansen;211
1. Skagen;A;Socialdemokratiet;Anders Brandt Sørensen;14
1. Skagen;A;Socialdemokratiet;Bjarne Kvist;930
1. Skagen;A;Socialdemokratiet;Bahram Dehghan;5
1. Skagen;A;Socialdemokratiet;Jørgen Tousgaard;17
1. Skagen;A;Socialdemokratiet;Kim Birk Larsen;13
1. Skagen;A;Socialdemokratiet;Irene Hjortshøj;302
1. Skagen;A;Socialdemokratiet;John Karlsson;4
1. Skagen;A;Socialdemokratiet;Ole Rørbæk Jensen;4
1. Skagen;A;Socialdemokratiet;Kenneth Bergen;3
1. Skagen;A;Socialdemokratiet;Erik Kyed Trolle;729
1. Skagen;A;Socialdemokratiet;Renate Weilov;5
1. Skagen;A;Socialdemokratiet;Brian Kjær;3
1. Skagen;A;Socialdemokratiet;Steen Jensen;1
1. Skagen;A;Socialdemokratiet;Jens Hedegaard Kristensen;6
1. Skagen;A;Socialdemokratiet;June Menne;0
1. Skagen;A;Socialdemokratiet;Per Bech Christensen;0
1. Skagen;A;Socialdemokratiet;Karl Henrik Hansen;1
1. Skagen;A;Socialdemokratiet;Karl Falden;1
1. Skagen;A;Socialdemokratiet;Bent H. Pedersen;0
1. Skagen;A;Socialdemokratiet;Lars-Christian Thorvil;4
1. Skagen;B;Radikale Venstre;Listestemmer;13
1. Skagen;B;Radikale Venstre;Kasper Bagnkop, Frederikshavn;13
1. Skagen;B;Radikale Venstre;Christian Stavad, Frederikshavn;0
1. Skagen;B;Radikale Venstre;Marianne Bøgedal Etheridge, Sæby;1
1. Skagen;B;Radikale Venstre;Hans Jørgen Nygaard, Dybvad;0
1. Skagen;B;Radikale Venstre;Hugo Andreasen, Fæbroen;0
1. Skagen;C;Det Konservative Folkeparti;Listestemmer;19
1. Skagen;C;Det Konservative Folkeparti;Peter E. Nielsen, Ålbæk;106
1. Skagen;C;Det Konservative Folkeparti;Mads Jensen, Frederikshavn;1
1. Skagen;C;Det Konservative Folkeparti;Jens Porsborg, Sæby;1
1. Skagen;C;Det Konservative Folkeparti;Niels Ole Fredborg Nielsen, Frhavn;2
1. Skagen;C;Det Konservative Folkeparti;Leif Fredborg, Skagen;62
1. Skagen;C;Det Konservative Folkeparti;Steen Jørgensen, Frederikshavn;2
1. Skagen;C;Det Konservative Folkeparti;Mathias Pedersen, Frederikshavn;3
1. Skagen;C;Det Konservative Folkeparti;Tomo Kijanovic, Sæby;0
1. Skagen;C;Det Konservative Folkeparti;Per Allerup, Gærum;0
1. Skagen;C;Det Konservative Folkeparti;Helle Kristina Sørensen, Fr.havn;0
1. Skagen;C;Det Konservative Folkeparti;Niels Johansen, Strandby;0
1. Skagen;F;SF - Socialistisk Folkeparti;Listestemmer;19
1. Skagen;F;SF - Socialistisk Folkeparti;Christina Lykke Eriksen;8
1. Skagen;F;SF - Socialistisk Folkeparti;Søren Visti Jensen;7
1. Skagen;F;SF - Socialistisk Folkeparti;Ivan Bengtsen;137
1. Skagen;F;SF - Socialistisk Folkeparti;Brian Pedersen;1
1. Skagen;F;SF - Socialistisk Folkeparti;Aino Charlotte Linkhorst;1
1. Skagen;F;SF - Socialistisk Folkeparti;Mohammad Daneshjou;2
1. Skagen;F;SF - Socialistisk Folkeparti;Susanne Sleiborg;1
1. Skagen;F;SF - Socialistisk Folkeparti;Erik Vium;3
1. Skagen;F;SF - Socialistisk Folkeparti;Villy Andersen;0
1. Skagen;H;Listen for Skagen, Sæby og Fr.havn;Listestemmer;10
1. Skagen;H;Listen for Skagen, Sæby og Fr.havn;Lene Bach, Sæby;1
1. Skagen;H;Listen for Skagen, Sæby og Fr.havn;Lis Marie Iversen, Skagen;25
1. Skagen;H;Listen for Skagen, Sæby og Fr.havn;Per Kempff-Nordkap, Skagen;86
1. Skagen;I;Liberal Alliance;Listestemmer;13
1. Skagen;I;Liberal Alliance;Peter Laigaard;46
1. Skagen;I;Liberal Alliance;Bjarne Fjordbak;1
1. Skagen;I;Liberal Alliance;Pia Piontek;5
1. Skagen;I;Liberal Alliance;Sten Bach;0
1. Skagen;J;Forenede Demokrater;Listestemmer;0
1. Skagen;J;Forenede Demokrater;Frank Zenas, Try;0
1. Skagen;J;Forenede Demokrater;Søren Michael Tannebek, Try;0
1. Skagen;J;Forenede Demokrater;Erik Grandt Hansen, Frederikshavn;0
1. Skagen;K;Kristendemokraterne;Listestemmer;0
1. Skagen;K;Kristendemokraterne;Henning Feldtmose, Strandby;1
1. Skagen;K;Kristendemokraterne;Hans Uggerhøj, Østervrå;0
1. Skagen;K;Kristendemokraterne;Lars H. Jensen, Fjembe, Dybvad;0
1. Skagen;K;Kristendemokraterne;Henning Christensen, Dybvad;0
1. Skagen;O;Dansk Folkeparti;Listestemmer;129
1. Skagen;O;Dansk Folkeparti;Carsten Sørensen, Frederikshavn;32
1. Skagen;O;Dansk Folkeparti;Flemming Rasmussen, Ålbæk;91
1. Skagen;O;Dansk Folkeparti;Hanne Bøgsted, Dybvad;22
1. Skagen;O;Dansk Folkeparti;Werner Flissikowski, Sæby;1
1. Skagen;O;Dansk Folkeparti;Karsten Drastrup, Skagen;163
1. Skagen;O;Dansk Folkeparti;Poul Sørensen, Sæby;3
1. Skagen;O;Dansk Folkeparti;Tage Elneff, Dybvad;0
1. Skagen;O;Dansk Folkeparti;Jens Iver Hansen, Frederikshavn;2
1. Skagen;O;Dansk Folkeparti;Lars Oldager, Sæby;2
1. Skagen;V;Venstre, Danmarks Liberale Parti;Listestemmer;179
1. Skagen;V;Venstre, Danmarks Liberale Parti;Lars Møller, Dybvad;141
1. Skagen;V;Venstre, Danmarks Liberale Parti;Kristina Lilly Frandsen, Fr.havn;8
1. Skagen;V;Venstre, Danmarks Liberale Parti;Mogens Brag, Albæk-Sørå;2
1. Skagen;V;Venstre, Danmarks Liberale Parti;Anders Broholm, Frederikshavn;61
1. Skagen;V;Venstre, Danmarks Liberale Parti;John Christensen, Frederikshavn;13
1. Skagen;V;Venstre, Danmarks Liberale Parti;Mogens Eeg, Skagen;158
1. Skagen;V;Venstre, Danmarks Liberale Parti;Børge Egebak, Sæby;1
1. Skagen;V;Venstre, Danmarks Liberale Parti;Lisbeth Kjelgaard Erlandsen, Dybv.;0
1. Skagen;V;Venstre, Danmarks Liberale Parti;Frede Gaardlund, Hulsig-Skagen;12
1. Skagen;V;Venstre, Danmarks Liberale Parti;Mette Hardam, Lyngså;1
