Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Thisted By;A;Socialdemokratiet;Listestemmer;293
1. Thisted By;A;Socialdemokratiet;Ulla Vestergaard;850
1. Thisted By;A;Socialdemokratiet;Peter Uno Andersen;137
1. Thisted By;A;Socialdemokratiet;Morten Bo Bertelsen;58
1. Thisted By;A;Socialdemokratiet;Ole Christensen;54
1. Thisted By;A;Socialdemokratiet;Knud Harring;73
1. Thisted By;A;Socialdemokratiet;Preben Holler;26
1. Thisted By;A;Socialdemokratiet;Henning Holm;13
1. Thisted By;A;Socialdemokratiet;Arnold Larsen;18
1. Thisted By;A;Socialdemokratiet;Erik Bøgh Nielsen;13
1. Thisted By;A;Socialdemokratiet;Peter Skriver Nielsen;21
1. Thisted By;A;Socialdemokratiet;Ida Pedersen;194
1. Thisted By;A;Socialdemokratiet;Ulrik Pedersen;4
1. Thisted By;A;Socialdemokratiet;Poul Erik Skov Sørensen;10
1. Thisted By;A;Socialdemokratiet;Michael Tidemann;8
1. Thisted By;B;Radikale Venstre;Listestemmer;22
1. Thisted By;B;Radikale Venstre;Gustav Sieg Sørensen,Hørdum-Snedst;5
1. Thisted By;B;Radikale Venstre;Helle Sommer Kjærgaard, Lyngby;7
1. Thisted By;B;Radikale Venstre;Gitte Grønlund Christensen,Tilsted;4
1. Thisted By;B;Radikale Venstre;Torben Mejlgaard, Tingstrup;11
1. Thisted By;B;Radikale Venstre;Johannes Iversen, Sennels;5
1. Thisted By;B;Radikale Venstre;Mogens Skarby, Vilhelmsminde;1
1. Thisted By;C;Det Konservative Folkeparti;Listestemmer;26
1. Thisted By;C;Det Konservative Folkeparti;Jens Kr. Yde, Vestervig;68
1. Thisted By;C;Det Konservative Folkeparti;Poul Hvass Hansen, Koldby;27
1. Thisted By;C;Det Konservative Folkeparti;Tage Leegaard, Snedsted;26
1. Thisted By;C;Det Konservative Folkeparti;Viggo Iversen, Agger;16
1. Thisted By;C;Det Konservative Folkeparti;Christen Overgaard, Hurup Thy;9
1. Thisted By;C;Det Konservative Folkeparti;Alex Klein, Thisted;60
1. Thisted By;C;Det Konservative Folkeparti;Lars Peter Kj. Christensen,Bedsted;10
1. Thisted By;F;SF - Socialistisk Folkeparti;Listestemmer;37
1. Thisted By;F;SF - Socialistisk Folkeparti;Mogens Kruse, Kallerup;23
1. Thisted By;F;SF - Socialistisk Folkeparti;Catherine Lønholdt, Sundby Thy;45
1. Thisted By;F;SF - Socialistisk Folkeparti;Thorkil Olesen, Hanstholm;16
1. Thisted By;F;SF - Socialistisk Folkeparti;Chris Poulsen, Thisted;46
1. Thisted By;F;SF - Socialistisk Folkeparti;Peter Pedersen, Thisted;3
1. Thisted By;F;SF - Socialistisk Folkeparti;Thomas Eisum, Klitmøller;14
1. Thisted By;F;SF - Socialistisk Folkeparti;Mette Nysted, Vorupør;9
1. Thisted By;F;SF - Socialistisk Folkeparti;Irene Haffner, Hovsør;2
1. Thisted By;F;SF - Socialistisk Folkeparti;Ejner Immersen, Sperring;1
1. Thisted By;I;Liberal Alliance;Listestemmer;22
1. Thisted By;I;Liberal Alliance;Leo Skydt Jørgensen, Hundborg;48
1. Thisted By;I;Liberal Alliance;Lene Søgaard, Thisted;45
1. Thisted By;I;Liberal Alliance;Kaj Sørensen, Sennels;16
1. Thisted By;I;Liberal Alliance;Jens Chr. Vangsgaard, Bedsted;3
1. Thisted By;J;Forenede Demokrater;Listestemmer;2
