Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Føllenslev;A;Socialdemokratiet;Listestemmer;115
1. Føllenslev;A;Socialdemokratiet;Hanne Brøndel;74
1. Føllenslev;A;Socialdemokratiet;Gunver Jensen;20
1. Føllenslev;A;Socialdemokratiet;Kaj Buch Jensen;13
1. Føllenslev;A;Socialdemokratiet;Maja Hansen;10
1. Føllenslev;A;Socialdemokratiet;Sten Drejø;14
1. Føllenslev;A;Socialdemokratiet;Inge Berg-Hansen;1
1. Føllenslev;A;Socialdemokratiet;Hanne Olesen;3
1. Føllenslev;A;Socialdemokratiet;Betina Lundsgaard-Nielsen;3
1. Føllenslev;A;Socialdemokratiet;Torben Toft Andersen;72
1. Føllenslev;A;Socialdemokratiet;Gunnar Jørgensen;3
1. Føllenslev;A;Socialdemokratiet;Arne Jensen;1
1. Føllenslev;B;Radikale Venstre;Listestemmer;17
1. Føllenslev;B;Radikale Venstre;Ole Glahn, Svebølle;55
1. Føllenslev;B;Radikale Venstre;Klaus Vig Ødegaard, Kalundborg;4
1. Føllenslev;B;Radikale Venstre;Hans Munk,Kalundborg;7
1. Føllenslev;B;Radikale Venstre;Christina Lange,Kalundborg;4
1. Føllenslev;B;Radikale Venstre;Jeppe Hedegaard Sørensen, Kalundbo;2
1. Føllenslev;B;Radikale Venstre;Lars Hansen, Gørlev;0
1. Føllenslev;B;Radikale Venstre;Emil Cramer, Kalundborg;3
1. Føllenslev;B;Radikale Venstre;Tomas Hviid, Svebølle;0
1. Føllenslev;B;Radikale Venstre;Susanne Schiøtz Hansen, Kalundborg;0
1. Føllenslev;C;Det Konservative Folkeparti;Listestemmer;14
1. Føllenslev;C;Det Konservative Folkeparti;Michael Augustine, Kalundborg;13
1. Føllenslev;C;Det Konservative Folkeparti;Jesper W.Hansen, Høng;0
1. Føllenslev;C;Det Konservative Folkeparti;Ole Lauritzen, Kalundborg;3
1. Føllenslev;C;Det Konservative Folkeparti;Mette Schmidt, Jerslev;5
1. Føllenslev;C;Det Konservative Folkeparti;Erik Rabølle, Kalundborg;1
1. Føllenslev;C;Det Konservative Folkeparti;Ditte Schwartzbach, Kalundborg;0
1. Føllenslev;C;Det Konservative Folkeparti;Anne-Grete Madsen, Svebølle;7
1. Føllenslev;E;Mangfoldighedslisten;Listestemmer;0
1. Føllenslev;E;Mangfoldighedslisten;Mustapha Badr;3
1. Føllenslev;F;SF - Socialistisk Folkeparti;Listestemmer;26
1. Føllenslev;F;SF - Socialistisk Folkeparti;Allan Orris;41
1. Føllenslev;F;SF - Socialistisk Folkeparti;Marianne Madsen;14
1. Føllenslev;F;SF - Socialistisk Folkeparti;Ali Brink;15
1. Føllenslev;F;SF - Socialistisk Folkeparti;Lisbeth Filthuth;8
1. Føllenslev;F;SF - Socialistisk Folkeparti;Eva Levinsen;4
1. Føllenslev;F;SF - Socialistisk Folkeparti;Thøger Birkeland;1
1. Føllenslev;F;SF - Socialistisk Folkeparti;Morten Lindhard;2
1. Føllenslev;F;SF - Socialistisk Folkeparti;Elsebeth Berthelsen;3
1. Føllenslev;I;Liberal Alliance;Listestemmer;13
1. Føllenslev;I;Liberal Alliance;Per Bjørn Hansen, Kalundborg;10
1. Føllenslev;I;Liberal Alliance;Lasse Jensen, Høng;2
