Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Hyllinge-Lyndby;A;Socialdemokratiet;Listestemmer;70
1. Hyllinge-Lyndby;A;Socialdemokratiet;Carsten Rasmussen;209
1. Hyllinge-Lyndby;A;Socialdemokratiet;Leif V. Nielsen, Ejby;14
1. Hyllinge-Lyndby;A;Socialdemokratiet;Martin Stokholm;4
1. Hyllinge-Lyndby;A;Socialdemokratiet;Rikke Zwisler Grøndal, Hvalsø;5
1. Hyllinge-Lyndby;A;Socialdemokratiet;Poul Christensen, Hvalsø;1
1. Hyllinge-Lyndby;A;Socialdemokratiet;Connie B. Jensen, Lejre;0
1. Hyllinge-Lyndby;A;Socialdemokratiet;Bettina Buch, Kirke Hyllinge;19
1. Hyllinge-Lyndby;A;Socialdemokratiet;Jens Nielsen, Hvalsø;0
1. Hyllinge-Lyndby;A;Socialdemokratiet;Eva Tofte Jørgensen, Ejby;3
1. Hyllinge-Lyndby;A;Socialdemokratiet;Ebbe Larsen, Kirke Hyllinge;26
1. Hyllinge-Lyndby;A;Socialdemokratiet;Erik Herss, Hvalsø;2
1. Hyllinge-Lyndby;B;Radikale Venstre;Listestemmer;14
1. Hyllinge-Lyndby;B;Radikale Venstre;Asta Rasmussen, Ejby;33
1. Hyllinge-Lyndby;B;Radikale Venstre;Thomas Bisgaard, Osted;4
1. Hyllinge-Lyndby;B;Radikale Venstre;Carsten Lindgaard Lauridsen,Hvalsø;3
1. Hyllinge-Lyndby;B;Radikale Venstre;Anja Roland, Gevninge;1
1. Hyllinge-Lyndby;B;Radikale Venstre;Hans Jørgen L. Larsen, Lejre;0
1. Hyllinge-Lyndby;C;Det Konservative Folkeparti;Listestemmer;24
1. Hyllinge-Lyndby;C;Det Konservative Folkeparti;Grethe Nørtoft Saabye;39
1. Hyllinge-Lyndby;C;Det Konservative Folkeparti;Bjørn Lykke Sørensen;0
1. Hyllinge-Lyndby;C;Det Konservative Folkeparti;Trine Borre;0
1. Hyllinge-Lyndby;C;Det Konservative Folkeparti;Martin Kristiansen;1
1. Hyllinge-Lyndby;C;Det Konservative Folkeparti;Jesper Fischer;1
1. Hyllinge-Lyndby;C;Det Konservative Folkeparti;Jan Hovmand;0
1. Hyllinge-Lyndby;C;Det Konservative Folkeparti;Henriette Theill;0
1. Hyllinge-Lyndby;C;Det Konservative Folkeparti;Jørgen Rasbo;0
1. Hyllinge-Lyndby;F;SF - Socialistisk Folkeparti;Listestemmer;25
1. Hyllinge-Lyndby;F;SF - Socialistisk Folkeparti;Mette Touborg;681
1. Hyllinge-Lyndby;F;SF - Socialistisk Folkeparti;Christian Plank;3
1. Hyllinge-Lyndby;F;SF - Socialistisk Folkeparti;Julie Hermind;5
1. Hyllinge-Lyndby;F;SF - Socialistisk Folkeparti;Claus Jørgensen;6
1. Hyllinge-Lyndby;F;SF - Socialistisk Folkeparti;Birger Prahl;8
