Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Fuglebjerg Hallen;A;Socialdemokratiet;Listestemmer;156
1. Fuglebjerg Hallen;A;Socialdemokratiet;Carsten Rasmussen;390
1. Fuglebjerg Hallen;A;Socialdemokratiet;Søren Dysted;6
1. Fuglebjerg Hallen;A;Socialdemokratiet;Per Sørensen;7
1. Fuglebjerg Hallen;A;Socialdemokratiet;Mette Stensgaard-Christensen;18
1. Fuglebjerg Hallen;A;Socialdemokratiet;Dusan Jovanovic;1
1. Fuglebjerg Hallen;A;Socialdemokratiet;Linda Frederiksen;11
1. Fuglebjerg Hallen;A;Socialdemokratiet;Marianne Olsen;20
1. Fuglebjerg Hallen;A;Socialdemokratiet;Daniel Lillerøi;7
1. Fuglebjerg Hallen;A;Socialdemokratiet;Birgit Lund Terp;1
1. Fuglebjerg Hallen;A;Socialdemokratiet;Hanne Sørensen;2
1. Fuglebjerg Hallen;A;Socialdemokratiet;Kim Lasse Petersen;4
1. Fuglebjerg Hallen;A;Socialdemokratiet;Michael Perch;2
1. Fuglebjerg Hallen;A;Socialdemokratiet;Kristoffer Petersen;0
1. Fuglebjerg Hallen;A;Socialdemokratiet;John Lauritzen;4
1. Fuglebjerg Hallen;A;Socialdemokratiet;Michael Rex;3
1. Fuglebjerg Hallen;A;Socialdemokratiet;Tina Høilund Pedersen;10
1. Fuglebjerg Hallen;A;Socialdemokratiet;Anne Planck;2
1. Fuglebjerg Hallen;A;Socialdemokratiet;Helle Jessen;8
1. Fuglebjerg Hallen;A;Socialdemokratiet;Lars Westermann;2
1. Fuglebjerg Hallen;A;Socialdemokratiet;Niels Erik Sørensen;0
1. Fuglebjerg Hallen;A;Socialdemokratiet;Lisbet Skov;2
1. Fuglebjerg Hallen;A;Socialdemokratiet;Jørgen Christiansen;2
1. Fuglebjerg Hallen;A;Socialdemokratiet;Evals Gruevski;1
1. Fuglebjerg Hallen;A;Socialdemokratiet;Henrik Rasmussen;0
1. Fuglebjerg Hallen;A;Socialdemokratiet;Jan E. Grabas;0
1. Fuglebjerg Hallen;A;Socialdemokratiet;Tom Hollenborg;2
1. Fuglebjerg Hallen;A;Socialdemokratiet;Peter Andersen;2
1. Fuglebjerg Hallen;B;Radikale Venstre;Listestemmer;16
1. Fuglebjerg Hallen;B;Radikale Venstre;Lars Hoppe Søe;15
1. Fuglebjerg Hallen;B;Radikale Venstre;Henning Jørgensen;7
