Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Hårlevhallen;A;Socialdemokratiet;Listestemmer;183
1. Hårlevhallen;A;Socialdemokratiet;Steen S. Hansen, Hårlev;450
1. Hårlevhallen;A;Socialdemokratiet;Lonni Lypart, Store Heddinge;15
1. Hårlevhallen;A;Socialdemokratiet;Henning Urban Dam Nielsen, Holtug;30
1. Hårlevhallen;A;Socialdemokratiet;Steen Nielsen, Strøby Egede;15
1. Hårlevhallen;A;Socialdemokratiet;Leif Nielsen, Hårlev;73
1. Hårlevhallen;A;Socialdemokratiet;Bente Madsen, Strøby Egede;15
1. Hårlevhallen;A;Socialdemokratiet;Mogens Hansen, Rødvig;2
1. Hårlevhallen;A;Socialdemokratiet;Thomas Overgaard, Store Heddinge;8
1. Hårlevhallen;A;Socialdemokratiet;Jens Georg Bagge, Store Heddinge;1
1. Hårlevhallen;A;Socialdemokratiet;Kurt Jacobsen, Tåstrup Overdrev;0
1. Hårlevhallen;A;Socialdemokratiet;Helmut Madsen, Strøby Egede;3
1. Hårlevhallen;B;Radikale Venstre;Listestemmer;34
1. Hårlevhallen;B;Radikale Venstre;Bjarne Hendrichsen, Lyderslev;20
1. Hårlevhallen;B;Radikale Venstre;Niels Hejlskov, Hårlev;25
1. Hårlevhallen;B;Radikale Venstre;Line Krogh Lay, Store Heddinge;26
1. Hårlevhallen;B;Radikale Venstre;Michael Loft, Holtug;4
1. Hårlevhallen;B;Radikale Venstre;Mette Hanskov, Strøby Egede;3
1. Hårlevhallen;B;Radikale Venstre;Ulf Lolk Larsen, Strøby Egede;4
1. Hårlevhallen;B;Radikale Venstre;Tyge Birk, Frøslev;4
1. Hårlevhallen;B;Radikale Venstre;Michael Løvendal Kruse, Højerup;2
1. Hårlevhallen;C;Det Konservative Folkeparti;Listestemmer;25
1. Hårlevhallen;C;Det Konservative Folkeparti;Thor Grønbæk, Holtug;34
1. Hårlevhallen;C;Det Konservative Folkeparti;Ellen Knudsen, Store Heddinge;26
1. Hårlevhallen;C;Det Konservative Folkeparti;Klaus Kroll, Rødvig;5
1. Hårlevhallen;C;Det Konservative Folkeparti;Bo Kjeldsmark, Valløby;15
1. Hårlevhallen;C;Det Konservative Folkeparti;Michael Rudkjøbing-Jensen, Str. E.;8
1. Hårlevhallen;C;Det Konservative Folkeparti;Lene Petrine Hansen, Rødvig;4
1. Hårlevhallen;F;SF - Socialistisk Folkeparti;Listestemmer;40
1. Hårlevhallen;F;SF - Socialistisk Folkeparti;Hans Chr. Rasmussen, Gevnø Mark;4
1. Hårlevhallen;F;SF - Socialistisk Folkeparti;Birgit Smedegård, Hellested;41
1. Hårlevhallen;F;SF - Socialistisk Folkeparti;John Valeur, Arnøje;6
1. Hårlevhallen;F;SF - Socialistisk Folkeparti;Michael Graakjær, Strøby Egede;4
1. Hårlevhallen;I;Liberal Alliance;Listestemmer;21
1. Hårlevhallen;I;Liberal Alliance;Rasmus Englund, Store Heddinge;19
1. Hårlevhallen;I;Liberal Alliance;Christina Munch Risgaard, Strøby;12
1. Hårlevhallen;L;Stevnslisten;Listestemmer;24
1. Hårlevhallen;L;Stevnslisten;Jørgen Gregersen, Valløby;74
1. Hårlevhallen;L;Stevnslisten;Torben Rønnebæk, Frøslev;58
1. Hårlevhallen;L;Stevnslisten;Betina Baden, Strøby Egede;11
