Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Assens;A;Socialdemokratiet;Listestemmer;233
1. Assens;A;Socialdemokratiet;Finn Brunse, Tommerup;601
1. Assens;A;Socialdemokratiet;Charlotte Christiansen, Ebberup;87
1. Assens;A;Socialdemokratiet;Lone Akselsen, Tommerup;9
1. Assens;A;Socialdemokratiet;Henrik Hansen, Assens;210
1. Assens;A;Socialdemokratiet;Berit Schaldemose, Glamsbjerg;12
1. Assens;A;Socialdemokratiet;Charlotte Vincent Petersen, Tommer;18
1. Assens;A;Socialdemokratiet;Lars Søgaard, Assens;140
1. Assens;A;Socialdemokratiet;Leif Rothe Rasmussen, Aarup;8
1. Assens;A;Socialdemokratiet;Sara Emil Baaring, Tommerup;7
1. Assens;A;Socialdemokratiet;Andreas Ishøy Weber, Vissenbjerg;0
1. Assens;A;Socialdemokratiet;Grethe Bonne Madsen, Flemløse;6
1. Assens;A;Socialdemokratiet;Leif Klausen, Tommerup St.;49
1. Assens;A;Socialdemokratiet;Jørgen Bladt, Vissenbjerg;0
1. Assens;A;Socialdemokratiet;Bo G. Jørgensen, Ebberup;46
1. Assens;A;Socialdemokratiet;Arno Termansen, Haarby;4
1. Assens;A;Socialdemokratiet;Elmer Philipsen, Glamsbjerg;12
1. Assens;A;Socialdemokratiet;Helle Beierholm, Assens;48
1. Assens;A;Socialdemokratiet;Tonni Nilausen, Skallebølle;0
1. Assens;A;Socialdemokratiet;Helge Kold, Haarby;5
1. Assens;B;Radikale Venstre;Listestemmer;25
1. Assens;B;Radikale Venstre;Poul Poulsen, Aarup;44
1. Assens;B;Radikale Venstre;Maiken Nordbo, Tommerup;4
1. Assens;B;Radikale Venstre;Christina L. Nielsen, Vissenbjerg;6
1. Assens;B;Radikale Venstre;Troels Beck,Skalbjerg;0
1. Assens;B;Radikale Venstre;Christian Blaschke, Assens;8
1. Assens;B;Radikale Venstre;Grethe Bjært, Glamsbjerg;3
1. Assens;B;Radikale Venstre;Preben Danielsen, Haarby;0
1. Assens;B;Radikale Venstre;Birgitte Lerche, Assens;16
1. Assens;C;Det Konservative Folkeparti;Listestemmer;35
1. Assens;C;Det Konservative Folkeparti;Ena Nørgaard, Assens;117
1. Assens;C;Det Konservative Folkeparti;Michael Størzer, Glamsbjerg;7
1. Assens;C;Det Konservative Folkeparti;Jimmy Steen Eriksen, Aarup;4
1. Assens;F;SF - Socialistisk Folkeparti;Listestemmer;51
1. Assens;F;SF - Socialistisk Folkeparti;Mogens Mulle Johansen, Glamsbjerg;40
1. Assens;F;SF - Socialistisk Folkeparti;Carsten Smedegård, Assens;72
1. Assens;F;SF - Socialistisk Folkeparti;Mette Karlsson, Glamsbjerg;24
1. Assens;F;SF - Socialistisk Folkeparti;Flemming Risskov Jørgensen, Vissen;4
1. Assens;F;SF - Socialistisk Folkeparti;Poul Erik Kristiansen, Glamsbjerg;2
1. Assens;F;SF - Socialistisk Folkeparti;Eigil Kristensen, Tommerup;1
1. Assens;F;SF - Socialistisk Folkeparti;Hans Peter Lund, Tommerup;1
1. Assens;F;SF - Socialistisk Folkeparti;Hans Glæsel, Skalbjerg;2
1. Assens;F;SF - Socialistisk Folkeparti;Johannes Schjerning, Brylle;4
