Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Allested-Vejle;A;Socialdemokratiet;Listestemmer;70
1. Allested-Vejle;A;Socialdemokratiet;Hans Jørgensen, Ringe;61
1. Allested-Vejle;A;Socialdemokratiet;Hans Stavnsager, Faaborg;3
1. Allested-Vejle;A;Socialdemokratiet;Mette Haugaard Frederiksen, Ringe;3
1. Allested-Vejle;A;Socialdemokratiet;Anne-Merete Mikkelsen, Sdr. Nærå;1
1. Allested-Vejle;A;Socialdemokratiet;Mads Holdgaard, Faaborg;4
1. Allested-Vejle;A;Socialdemokratiet;Henning Andersen, Espe;1
1. Allested-Vejle;A;Socialdemokratiet;Ib Ingildsen, Korinth;1
1. Allested-Vejle;A;Socialdemokratiet;Brian Bisgaard, Ferritslev;1
1. Allested-Vejle;A;Socialdemokratiet;Kim Aas Christensen, Ryslinge;11
1. Allested-Vejle;A;Socialdemokratiet;Søren Birch Jensen, Broby;25
1. Allested-Vejle;A;Socialdemokratiet;Jos Bisschop, Kværndrup;1
1. Allested-Vejle;A;Socialdemokratiet;Elna Johansen, Horne;0
1. Allested-Vejle;A;Socialdemokratiet;Flemming Sørensen, Faaborg;2
1. Allested-Vejle;A;Socialdemokratiet;Kurt Hardi, Faaborg;2
1. Allested-Vejle;A;Socialdemokratiet;Peter Pedersen, Nr. Lyndelse;1
1. Allested-Vejle;A;Socialdemokratiet;Sven Thaisen, Broby;33
1. Allested-Vejle;B;Radikale Venstre;Listestemmer;11
1. Allested-Vejle;B;Radikale Venstre;Line Gessø Hansen;11
1. Allested-Vejle;B;Radikale Venstre;Christian Græns Larsen;1
1. Allested-Vejle;B;Radikale Venstre;Joy Christoffersen;2
1. Allested-Vejle;B;Radikale Venstre;Ole Peder Hansen;1
1. Allested-Vejle;B;Radikale Venstre;Mathias von Jessen;0
1. Allested-Vejle;C;Det Konservative Folkeparti;Listestemmer;14
1. Allested-Vejle;C;Det Konservative Folkeparti;Grete Justesen, Horne;5
1. Allested-Vejle;C;Det Konservative Folkeparti;Peter Eduard, Faaborg;1
1. Allested-Vejle;C;Det Konservative Folkeparti;Kirsten Birkelund, Ringe;0
1. Allested-Vejle;C;Det Konservative Folkeparti;Helle Fribo, Kværndrup;0
1. Allested-Vejle;C;Det Konservative Folkeparti;Lis Grüner Hansen, Årslev;0
1. Allested-Vejle;C;Det Konservative Folkeparti;Julie Svejdal, Sh. Lyndelse;3
1. Allested-Vejle;F;SF - Socialistisk Folkeparti;Listestemmer;20
1. Allested-Vejle;F;SF - Socialistisk Folkeparti;Jakob Holm;1
1. Allested-Vejle;F;SF - Socialistisk Folkeparti;Vagn Hansen;5
1. Allested-Vejle;F;SF - Socialistisk Folkeparti;Helene Jakobsen;2
1. Allested-Vejle;F;SF - Socialistisk Folkeparti;Helle Gerbild;0
1. Allested-Vejle;F;SF - Socialistisk Folkeparti;Torben Smith;6
1. Allested-Vejle;F;SF - Socialistisk Folkeparti;Jan Krøyer Rask;0
1. Allested-Vejle;F;SF - Socialistisk Folkeparti;Vicky Lorenzen;2
1. Allested-Vejle;F;SF - Socialistisk Folkeparti;Margrethe Fredskilde;0
1. Allested-Vejle;F;SF - Socialistisk Folkeparti;Peter Nielsen;5
1. Allested-Vejle;H;Social Balance;Listestemmer;0
1. Allested-Vejle;H;Social Balance;Brian Levin Hald;5
1. Allested-Vejle;H;Social Balance;Jan Kurt Rasmussen;2
1. Allested-Vejle;H;Social Balance;Søren Jean Rasmussen;0
1. Allested-Vejle;H;Social Balance;Søren Berg Søgaard Kristensen;1
1. Allested-Vejle;I;Liberal Alliance;Listestemmer;2
1. Allested-Vejle;I;Liberal Alliance;Søren B. Snedker;6
1. Allested-Vejle;I;Liberal Alliance;Thøger M. Nielsen;3
1. Allested-Vejle;I;Liberal Alliance;Henrik F. Futtrup;0
1. Allested-Vejle;I;Liberal Alliance;Elisabeth Dreier;69
1. Allested-Vejle;L;Sydfyns Borgerliste;Listestemmer;0
1. Allested-Vejle;L;Sydfyns Borgerliste;Jan Valbak, Faaborg;4
1. Allested-Vejle;L;Sydfyns Borgerliste;Palle Andersen, Dyreborg;0
1. Allested-Vejle;L;Sydfyns Borgerliste;Palle Petersen, Faaborg;0
1. Allested-Vejle;M;Miljøpartiet Fokus;Listestemmer;0
1. Allested-Vejle;M;Miljøpartiet Fokus;Casper Greve;0
1. Allested-Vejle;O;Dansk Folkeparti;Listestemmer;38
