Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Bogense;A;Socialdemokratiet;Listestemmer;103
1. Bogense;A;Socialdemokratiet;Kim Johansen;447
1. Bogense;A;Socialdemokratiet;Anette Lykke Jensen;12
1. Bogense;A;Socialdemokratiet;Helle Kristine Waagner;91
1. Bogense;A;Socialdemokratiet;Bernt Nicolaysen;4
1. Bogense;A;Socialdemokratiet;Gert Rasmussen;8
1. Bogense;A;Socialdemokratiet;Lasse Haugaard Pedersen;84
1. Bogense;A;Socialdemokratiet;Brian Lebæk;4
1. Bogense;A;Socialdemokratiet;Lars Aage Bille Oxenvad;9
1. Bogense;A;Socialdemokratiet;Kent Engelstoft Lindharth;20
1. Bogense;A;Socialdemokratiet;Kristian Friis Madsen;1
1. Bogense;A;Socialdemokratiet;Kim Anders Sørensen;1
1. Bogense;A;Socialdemokratiet;Jan Justesen;6
1. Bogense;A;Socialdemokratiet;Ole Appelgren Kleiner;2
1. Bogense;A;Socialdemokratiet;Svenn Kopp Pedersen;2
1. Bogense;A;Socialdemokratiet;Pia Elisa Longet;4
1. Bogense;B;Radikale Venstre;Listestemmer;11
1. Bogense;B;Radikale Venstre;Mette Hjorth;18
1. Bogense;B;Radikale Venstre;John Anhardt Juul Arnshof;0
1. Bogense;B;Radikale Venstre;Sissel Bennedikte Agergaard Jensen;21
1. Bogense;B;Radikale Venstre;Mogens Godballe;4
1. Bogense;B;Radikale Venstre;Per-Ulrich Brandbyee Sund Jacobsen;0
1. Bogense;C;Det Konservative Folkeparti;Listestemmer;15
1. Bogense;C;Det Konservative Folkeparti;Franz Jul Rohde;18
1. Bogense;C;Det Konservative Folkeparti;Carsten Nas'cou Jäger;3
1. Bogense;C;Det Konservative Folkeparti;Morten Dhalvad Mejnholt;20
1. Bogense;C;Det Konservative Folkeparti;Brian Dan Kristensen;0
1. Bogense;C;Det Konservative Folkeparti;Jytte Kiilstofte Madsen;72
1. Bogense;C;Det Konservative Folkeparti;Poul Jacob Christoffersen;30
1. Bogense;C;Det Konservative Folkeparti;Bo Guldager Pedersen;1
1. Bogense;C;Det Konservative Folkeparti;Nana Rask Guldfeldt;11
1. Bogense;C;Det Konservative Folkeparti;Bo Hasselbalch Larsen;0
1. Bogense;F;SF - Socialistisk Folkeparti;Listestemmer;11
1. Bogense;F;SF - Socialistisk Folkeparti;Steen Brydegaard;19
1. Bogense;F;SF - Socialistisk Folkeparti;Anne-Lise Sievers;17
1. Bogense;F;SF - Socialistisk Folkeparti;Bent Olsen;4
1. Bogense;F;SF - Socialistisk Folkeparti;Kim Aggerbeck Iversen;2
1. Bogense;F;SF - Socialistisk Folkeparti;Flemming Berdin Holmelund;18
1. Bogense;F;SF - Socialistisk Folkeparti;Jesper Tøndering Knudsen;0
1. Bogense;I;Liberal Alliance;Listestemmer;3
1. Bogense;I;Liberal Alliance;Jens Otto Dalhøj;66
