Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Listestemmer;657
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Jacob Bundsgaard;2334
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Camilla Fabricius;121
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Kristian Würtz;83
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Louise Lindskrog;66
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Steen B. Andersen;35
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Peder Udengaard;98
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Anette Poulsen;51
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Hüseyin Arac;14
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Ango Winther;16
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Lone Hindø;36
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Michael Krogh Hansen;8
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Anders Winnerskjold;277
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Philip Nordstrøm;24
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Ali Nuur;18
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Mahat Yussuf;8
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Dorthe Borgkvist;27
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Peter Bugge;16
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Flemming Uldall;11
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Libaan Sabrie;0
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Heino Hamborg Gudmundsen;1
1. Frederiksbjerg Hallerne;A;Socialdemokratiet;Polly Bak Dutschke;22
1. Frederiksbjerg Hallerne;B;Radikale Venstre;Listestemmer;379
1. Frederiksbjerg Hallerne;B;Radikale Venstre;Rabih Azad-Ahmad, Aarhus;93
1. Frederiksbjerg Hallerne;B;Radikale Venstre;Ouafa Rian, Viby;80
1. Frederiksbjerg Hallerne;B;Radikale Venstre;Eva Borchorst Mejnertz, Hasle;94
1. Frederiksbjerg Hallerne;B;Radikale Venstre;Andreas Gram Drachmann, Aarhus V;61
1. Frederiksbjerg Hallerne;B;Radikale Venstre;Jakob Lavrsen, Aarhus C;69
