Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Assens;A;Socialdemokratiet;Listestemmer;290
1. Assens;A;Socialdemokratiet;Charlotte Vincent Petersen;185
1. Assens;A;Socialdemokratiet;Finn Brunse;99
1. Assens;A;Socialdemokratiet;Berit Schaldemose;19
1. Assens;A;Socialdemokratiet;Charlotte Christiansen;80
1. Assens;A;Socialdemokratiet;Leif Rothe Rasmussen;4
1. Assens;A;Socialdemokratiet;Ashil Farokh;40
1. Assens;A;Socialdemokratiet;Eva Larsen;5
1. Assens;A;Socialdemokratiet;Henrik Hansen;203
1. Assens;A;Socialdemokratiet;Sara Emil Baaring;17
1. Assens;A;Socialdemokratiet;Lone Hegaard Andersen;24
1. Assens;A;Socialdemokratiet;Elmer Philipsen;6
1. Assens;A;Socialdemokratiet;Jørgen Bladt;1
1. Assens;A;Socialdemokratiet;Steffen Skov;3
1. Assens;A;Socialdemokratiet;Jacob Dalgaard Schreiner;30
1. Assens;A;Socialdemokratiet;Poul Hansen;5
1. Assens;A;Socialdemokratiet;Brian Fredholm;5
1. Assens;A;Socialdemokratiet;Helge Kold;3
1. Assens;A;Socialdemokratiet;Mikael Jensen;44
1. Assens;A;Socialdemokratiet;Arne Dencker;2
1. Assens;A;Socialdemokratiet;Lone Nielsen;60
1. Assens;B;Radikale Venstre;Listestemmer;19
1. Assens;B;Radikale Venstre;Poul Poulsen;62
1. Assens;B;Radikale Venstre;Jeanne Hust;10
1. Assens;B;Radikale Venstre;Karsten Jørgensen;4
1. Assens;B;Radikale Venstre;Troels Beck;1
1. Assens;B;Radikale Venstre;Willy Hansen;1
1. Assens;B;Radikale Venstre;Jørgen Bang;1
1. Assens;B;Radikale Venstre;Karen Nøhr;4
1. Assens;B;Radikale Venstre;Preben Danielsen;1
1. Assens;C;Det Konservative Folkeparti;Listestemmer;30
1. Assens;C;Det Konservative Folkeparti;Ena Nørgaard;138
1. Assens;C;Det Konservative Folkeparti;Andreas Thiel;4
1. Assens;C;Det Konservative Folkeparti;Søren Thomsen;28
1. Assens;C;Det Konservative Folkeparti;Karina Iben Christensen;2
1. Assens;C;Det Konservative Folkeparti;Jens Christian Arendt;4
1. Assens;C;Det Konservative Folkeparti;Vagn Top;2
1. Assens;C;Det Konservative Folkeparti;Lars Skjærris;1
1. Assens;C;Det Konservative Folkeparti;Lars Thorbjørn Clausen;0
1. Assens;F;SF - Socialistisk Folkeparti;Listestemmer;66
1. Assens;F;SF - Socialistisk Folkeparti;Mogens Mulle Johansen;49
1. Assens;F;SF - Socialistisk Folkeparti;Flemming Risskov Jørgensen;12
1. Assens;F;SF - Socialistisk Folkeparti;Mette Karlsson;23
1. Assens;F;SF - Socialistisk Folkeparti;Hans Peter Lund;1
1. Assens;F;SF - Socialistisk Folkeparti;Poul Erik Kristiansen;5
1. Assens;F;SF - Socialistisk Folkeparti;Jens Keld Petersen;41
1. Assens;F;SF - Socialistisk Folkeparti;Henning Hermes Petersen;2
1. Assens;F;SF - Socialistisk Folkeparti;Hans Glæsel;0
1. Assens;F;SF - Socialistisk Folkeparti;Bente Paulli;2
1. Assens;I;Liberal Alliance;Listestemmer;12
1. Assens;I;Liberal Alliance;Jimmy Steen Eriksen;17
1. Assens;I;Liberal Alliance;Ken Nørregaard;8
1. Assens;I;Liberal Alliance;Martin Schmidt;1
1. Assens;O;Dansk Folkeparti;Listestemmer;145
1. Assens;O;Dansk Folkeparti;Jens Henrik W. Thulesen Dahl;304
1. Assens;O;Dansk Folkeparti;Betina Signe Stick;20
1. Assens;O;Dansk Folkeparti;Hans Bjergegaard;4
1. Assens;O;Dansk Folkeparti;Thomas Emiliussen-Broberg;3
1. Assens;O;Dansk Folkeparti;Mike Maarup;11
1. Assens;O;Dansk Folkeparti;Tage Kiltang Bartholin;0
1. Assens;O;Dansk Folkeparti;Lars Kolling;26
1. Assens;O;Dansk Folkeparti;John Kolbæk Kristensen;19
1. Assens;O;Dansk Folkeparti;Kjeld Frydenlund;3
1. Assens;O;Dansk Folkeparti;Preben Find Madsen;12
1. Assens;V;Venstre, Danmarks Liberale Parti;Listestemmer;132
1. Assens;V;Venstre, Danmarks Liberale Parti;Søren Steen Andersen;624
1. Assens;V;Venstre, Danmarks Liberale Parti;Dan Gørtz;24
1. Assens;V;Venstre, Danmarks Liberale Parti;Nikolaj Leed Henriksen;19
1. Assens;V;Venstre, Danmarks Liberale Parti;Lars Kristian Pedersen;11
1. Assens;V;Venstre, Danmarks Liberale Parti;Pia Offer Madsen;68
1. Assens;V;Venstre, Danmarks Liberale Parti;Henrik Mott Frandsen;41
1. Assens;V;Venstre, Danmarks Liberale Parti;Karin Christiansen;124
1. Assens;V;Venstre, Danmarks Liberale Parti;Henning Jensen;5
1. Assens;V;Venstre, Danmarks Liberale Parti;Rie Nielsen;123
1. Assens;V;Venstre, Danmarks Liberale Parti;Knud Søby;149
1. Assens;V;Venstre, Danmarks Liberale Parti;Jens Jakobsen;9
1. Assens;V;Venstre, Danmarks Liberale Parti;Ib W. Jensen;6
1. Assens;V;Venstre, Danmarks Liberale Parti;Erik Klindt Andersen;6
1. Assens;V;Venstre, Danmarks Liberale Parti;Tine Grau Poulsen;4
1. Assens;V;Venstre, Danmarks Liberale Parti;Lars Tastum Madsen;1
1. Assens;V;Venstre, Danmarks Liberale Parti;Sarah Lundsberg;8
1. Assens;V;Venstre, Danmarks Liberale Parti;Jan Klausen;84
1. Assens;V;Venstre, Danmarks Liberale Parti;Jeanette Stage Pedersen;7
1. Assens;V;Venstre, Danmarks Liberale Parti;Henrik Bonnerup-Kjær;0
1. Assens;V;Venstre, Danmarks Liberale Parti;Søren Edlefsen;93
1. Assens;V;Venstre, Danmarks Liberale Parti;Jørgen Nyberg;2
1. Assens;V;Venstre, Danmarks Liberale Parti;Henrik Jørgensen;4
1. Assens;V;Venstre, Danmarks Liberale Parti;Marianne Svane Therp;9
1. Assens;V;Venstre, Danmarks Liberale Parti;Søren Fisker Olesen;2
1. Assens;V;Venstre, Danmarks Liberale Parti;Torben Schadt-Poulsen;10
1. Assens;V;Venstre, Danmarks Liberale Parti;Janni Hoel;1
1. Assens;V;Venstre, Danmarks Liberale Parti;Steen-Ove Teisner;4
1. Assens;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;93
1. Assens;Ø;Enhedslisten - De Rød-Grønne;Malene Rye;82
1. Assens;Ø;Enhedslisten - De Rød-Grønne;Kaj Alstrup;14
1. Assens;Ø;Enhedslisten - De Rød-Grønne;Rune Biskopstö Christensen;22
1. Assens;Ø;Enhedslisten - De Rød-Grønne;Line Mex-Jørgensen;1
1. Assens;Ø;Enhedslisten - De Rød-Grønne;Gert Jacobsen;3
