Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Dragør Skole Syd;A;Socialdemokratiet;Listestemmer;101
1. Dragør Skole Syd;A;Socialdemokratiet;Allan Holst;72
1. Dragør Skole Syd;A;Socialdemokratiet;Anette Maj Billesbølle;37
1. Dragør Skole Syd;A;Socialdemokratiet;Knud Rosing;6
1. Dragør Skole Syd;A;Socialdemokratiet;Lars Peter Olsen;8
1. Dragør Skole Syd;A;Socialdemokratiet;Lisbeth Dam Larsen;51
1. Dragør Skole Syd;A;Socialdemokratiet;Nicolaj Bertel Riber;57
1. Dragør Skole Syd;A;Socialdemokratiet;Thomas Ulrik Johansson;3
1. Dragør Skole Syd;A;Socialdemokratiet;Ole H. Hansen;43
1. Dragør Skole Syd;A;Socialdemokratiet;Ole K. Svendsen;28
1. Dragør Skole Syd;A;Socialdemokratiet;Dorrit Helsfeldt;0
1. Dragør Skole Syd;A;Socialdemokratiet;Rikke Marianne Karlsson;12
1. Dragør Skole Syd;A;Socialdemokratiet;Poul Breyen;0
1. Dragør Skole Syd;B;Radikale Venstre;Listestemmer;33
1. Dragør Skole Syd;B;Radikale Venstre;Michael Rachlin;39
1. Dragør Skole Syd;B;Radikale Venstre;Charlotte Saabye Sørensen;23
1. Dragør Skole Syd;B;Radikale Venstre;Else Lykke Madsen;7
1. Dragør Skole Syd;B;Radikale Venstre;Mette Gjøl;1
1. Dragør Skole Syd;B;Radikale Venstre;Carl Osbæck Adelkilde;2
1. Dragør Skole Syd;B;Radikale Venstre;Niels Bloch;4
1. Dragør Skole Syd;C;Det Konservative Folkeparti;Listestemmer;97
1. Dragør Skole Syd;C;Det Konservative Folkeparti;Kenneth Gøtterup;174
1. Dragør Skole Syd;C;Det Konservative Folkeparti;Jerrik Walløe;45
1. Dragør Skole Syd;C;Det Konservative Folkeparti;Uffe Jacobsen;25
1. Dragør Skole Syd;C;Det Konservative Folkeparti;Katrine Tholstrup;104
1. Dragør Skole Syd;C;Det Konservative Folkeparti;Martin Wood Pedersen;62
1. Dragør Skole Syd;C;Det Konservative Folkeparti;Ulrik Ankerstjerne;17
1. Dragør Skole Syd;C;Det Konservative Folkeparti;Lukas Søgaard;40
1. Dragør Skole Syd;C;Det Konservative Folkeparti;Kurt Christensen;2
1. Dragør Skole Syd;C;Det Konservative Folkeparti;Chano Chrillesen;1
1. Dragør Skole Syd;C;Det Konservative Folkeparti;Maria Christensen;5
1. Dragør Skole Syd;C;Det Konservative Folkeparti;Sanne Birk Christensen;2
1. Dragør Skole Syd;C;Det Konservative Folkeparti;Steen Olsen;5
1. Dragør Skole Syd;F;SF-Socialistisk Folkeparti;Listestemmer;23
1. Dragør Skole Syd;F;SF-Socialistisk Folkeparti;Kim Grønved Nielsen;9
1. Dragør Skole Syd;F;SF-Socialistisk Folkeparti;Helen Margrethe Bjørn;4
1. Dragør Skole Syd;F;SF-Socialistisk Folkeparti;Mette Mortensen;6
1. Dragør Skole Syd;F;SF-Socialistisk Folkeparti;Jonas Brock-Hanash;3
1. Dragør Skole Syd;G;Anne Grønlund;Listestemmer;0
1. Dragør Skole Syd;G;Anne Grønlund;Anne Grønlund;20
1. Dragør Skole Syd;I;Liberal Alliance;Listestemmer;27
1. Dragør Skole Syd;I;Liberal Alliance;Asger Larsen;32
1. Dragør Skole Syd;I;Liberal Alliance;Torben Kristensen;1
1. Dragør Skole Syd;I;Liberal Alliance;David Jacobsen;2
1. Dragør Skole Syd;I;Liberal Alliance;Thomas Koch;0
1. Dragør Skole Syd;I;Liberal Alliance;Bent Kofod;1
1. Dragør Skole Syd;O;Dansk Folkeparti;Listestemmer;51
1. Dragør Skole Syd;O;Dansk Folkeparti;Morten Dreyer;81
1. Dragør Skole Syd;O;Dansk Folkeparti;Birger Larsen;35
1. Dragør Skole Syd;O;Dansk Folkeparti;Anne Funk;54
1. Dragør Skole Syd;O;Dansk Folkeparti;Jørgen Honoré;13
1. Dragør Skole Syd;O;Dansk Folkeparti;Charley Kaye;18
1. Dragør Skole Syd;O;Dansk Folkeparti;Annette Rendbæk;8
1. Dragør Skole Syd;O;Dansk Folkeparti;Henrik Blegvad;1
1. Dragør Skole Syd;T;Tværpolitisk Forening;Listestemmer;160
1. Dragør Skole Syd;T;Tværpolitisk Forening;Peter Læssøe;383
1. Dragør Skole Syd;T;Tværpolitisk Forening;Annette Nyvang;190
1. Dragør Skole Syd;T;Tværpolitisk Forening;Ebbe Kyrø;53
1. Dragør Skole Syd;T;Tværpolitisk Forening;Jens Passarge;4
1. Dragør Skole Syd;T;Tværpolitisk Forening;Kristine Bark Grundahl;43
1. Dragør Skole Syd;T;Tværpolitisk Forening;John Doktor;6
1. Dragør Skole Syd;T;Tværpolitisk Forening;Lars Kyrø;43
1. Dragør Skole Syd;T;Tværpolitisk Forening;Rita Smedegaard;12
1. Dragør Skole Syd;T;Tværpolitisk Forening;Jutta Hørlyck;7
1. Dragør Skole Syd;T;Tværpolitisk Forening;Lotte Aabye;12
1. Dragør Skole Syd;T;Tværpolitisk Forening;Asger Bastrup;37
1. Dragør Skole Syd;T;Tværpolitisk Forening;Christina Laugesen;6
1. Dragør Skole Syd;T;Tværpolitisk Forening;Ann Harnek;54
1. Dragør Skole Syd;T;Tværpolitisk Forening;Hanne Wanscher;3
1. Dragør Skole Syd;T;Tværpolitisk Forening;Ea Damgaard;7
1. Dragør Skole Syd;T;Tværpolitisk Forening;Allan Larsen;2
1. Dragør Skole Syd;T;Tværpolitisk Forening;Vibeke Aagaard;2
1. Dragør Skole Syd;T;Tværpolitisk Forening;Elin Larsen;0
1. Dragør Skole Syd;T;Tværpolitisk Forening;Bent Larsen;9
1. Dragør Skole Syd;V;Venstre, Danmarks Liberale Parti;Listestemmer;123
1. Dragør Skole Syd;V;Venstre, Danmarks Liberale Parti;Eik Dahl Bidstrup;325
1. Dragør Skole Syd;V;Venstre, Danmarks Liberale Parti;Helle Barth;52
1. Dragør Skole Syd;V;Venstre, Danmarks Liberale Parti;Erik Skovgaard Nielsen;19
