Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Allested-Vejle;A;Socialdemokratiet;Listestemmer;76
1. Allested-Vejle;A;Socialdemokratiet;Hans Stavnsager;57
1. Allested-Vejle;A;Socialdemokratiet;Anstina Krogh;15
1. Allested-Vejle;A;Socialdemokratiet;Kim Aas Christensen;24
1. Allested-Vejle;A;Socialdemokratiet;Steffen Jensen;4
1. Allested-Vejle;A;Socialdemokratiet;Flemming Sørensen;2
1. Allested-Vejle;A;Socialdemokratiet;Sebastian Aas Christensen;0
1. Allested-Vejle;A;Socialdemokratiet;Anne-Merete Mikkelsen;2
1. Allested-Vejle;A;Socialdemokratiet;John Larsen;2
1. Allested-Vejle;A;Socialdemokratiet;Mette Haugaard Frederiksen;3
1. Allested-Vejle;A;Socialdemokratiet;Søren Lind;1
1. Allested-Vejle;A;Socialdemokratiet;Brian M. Bisgaard;8
1. Allested-Vejle;A;Socialdemokratiet;Jos Bisschop;1
1. Allested-Vejle;A;Socialdemokratiet;Klaus Thormann;2
1. Allested-Vejle;A;Socialdemokratiet;Tanja Kromann Clausen;2
1. Allested-Vejle;A;Socialdemokratiet;Chresten Anker Nielsen;15
1. Allested-Vejle;A;Socialdemokratiet;Kim Laue Christensen;1
1. Allested-Vejle;A;Socialdemokratiet;René Brinch Petersen;3
1. Allested-Vejle;A;Socialdemokratiet;Lars Nielsen;1
1. Allested-Vejle;A;Socialdemokratiet;Pia Koch Jørgensen;1
1. Allested-Vejle;B;Radikale Venstre;Listestemmer;7
1. Allested-Vejle;B;Radikale Venstre;Søren Hillers, Horne;14
1. Allested-Vejle;B;Radikale Venstre;Anna Mette Skov Borring, Sdr. Nærå;3
1. Allested-Vejle;B;Radikale Venstre;Jesper Buhl, Allested;35
1. Allested-Vejle;B;Radikale Venstre;Lars Scheby, Ringe;1
1. Allested-Vejle;B;Radikale Venstre;Steen K. Thomsen, Vejle;21
1. Allested-Vejle;B;Radikale Venstre;Henrik Storm, Millinge;0
1. Allested-Vejle;B;Radikale Venstre;Ole Peder Hansen, Gislev;0
1. Allested-Vejle;B;Radikale Venstre;Mostafa Mohammadi, Gislev;0
1. Allested-Vejle;B;Radikale Venstre;Leif Henningsen, V. Hæsinge;0
1. Allested-Vejle;C;Det Konservative Folkeparti;Listestemmer;11
1. Allested-Vejle;C;Det Konservative Folkeparti;Søren Clemmensen;21
1. Allested-Vejle;C;Det Konservative Folkeparti;Steffen Møller;9
1. Allested-Vejle;C;Det Konservative Folkeparti;Michael Bernsdorf Jungfeldt;2
1. Allested-Vejle;C;Det Konservative Folkeparti;Kirsten Birkelund;3
1. Allested-Vejle;C;Det Konservative Folkeparti;Inge Svejdal;1
1. Allested-Vejle;C;Det Konservative Folkeparti;Jørgen Johannes Thomsen;0
1. Allested-Vejle;C;Det Konservative Folkeparti;Karsten Therkildsen;0
1. Allested-Vejle;D;Nye Borgerlige;Listestemmer;1
1. Allested-Vejle;D;Nye Borgerlige;Gert Poul Christensen;4
1. Allested-Vejle;D;Nye Borgerlige;Morten Holgersen;0
1. Allested-Vejle;D;Nye Borgerlige;Henrik Husted Hagelsø;3
