Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Asminderød;A;Socialdemokratiet;Listestemmer;227
1. Asminderød;A;Socialdemokratiet;Thomas Lykke Pedersen, Humlebæk;304
1. Asminderød;A;Socialdemokratiet;Per Frost Henriksen, Fredensborg;68
1. Asminderød;A;Socialdemokratiet;Hans Nissen, Humlebæk;46
1. Asminderød;A;Socialdemokratiet;Rasmus Østrup Møller, Humlebæk;14
1. Asminderød;A;Socialdemokratiet;Carsten Nielsen, Humlebæk;18
1. Asminderød;A;Socialdemokratiet;Ergin Özer, Kokkedal;5
1. Asminderød;A;Socialdemokratiet;Pia Bødtker, Nivå;4
1. Asminderød;A;Socialdemokratiet;Bo Hilsted, Humlebæk;7
1. Asminderød;A;Socialdemokratiet;Benn Gandløse Vestergaard, Nivå;3
1. Asminderød;A;Socialdemokratiet;Charlotte Sander, Fredensborg;230
1. Asminderød;A;Socialdemokratiet;Suzan Daoud, Kokkedal;5
1. Asminderød;A;Socialdemokratiet;Vivian Johnsen, Kokkedal;3
1. Asminderød;A;Socialdemokratiet;Louise Mehnke, Kokkedal;12
1. Asminderød;A;Socialdemokratiet;Dorte Beyer, Kokkedal;1
1. Asminderød;A;Socialdemokratiet;Frederik Ingemann, Humlebæk;17
1. Asminderød;A;Socialdemokratiet;Lars Sandt, Kokkedal;1
1. Asminderød;A;Socialdemokratiet;Dorthe Lisemose, Fredensborg;38
1. Asminderød;A;Socialdemokratiet;Dorte Skriver, Karlebo;6
1. Asminderød;A;Socialdemokratiet;Cømert Sonsuz, Nivå;2
1. Asminderød;A;Socialdemokratiet;Stig Langvad, Kokkedal;6
1. Asminderød;A;Socialdemokratiet;Christian Spure Hansen, Nivå;1
1. Asminderød;A;Socialdemokratiet;Poul Juul, Fredensborg;15
1. Asminderød;B;Radikale Venstre;Listestemmer;65
1. Asminderød;B;Radikale Venstre;Lars Simonsen;59
1. Asminderød;B;Radikale Venstre;Kristian Hegaard;57
1. Asminderød;B;Radikale Venstre;Bettina Bové;31
1. Asminderød;B;Radikale Venstre;Marianne Bredgaard Karlsson;59
1. Asminderød;B;Radikale Venstre;Tonny Lacomble Nielsen;8
1. Asminderød;B;Radikale Venstre;Cecilie Trier Andersen;12
1. Asminderød;B;Radikale Venstre;Mo Iskandar;3
1. Asminderød;B;Radikale Venstre;Jens Thorup Jensen;3
1. Asminderød;B;Radikale Venstre;Thomas Bruun Olsen;0
1. Asminderød;B;Radikale Venstre;Henrik Øvlisen;2
1. Asminderød;C;Det Konservative Folkeparti;Listestemmer;69
1. Asminderød;C;Det Konservative Folkeparti;Thomas von Jessen;29
1. Asminderød;C;Det Konservative Folkeparti;Ulla Hardy-Hansen;215
1. Asminderød;C;Det Konservative Folkeparti;Christian de Jonquières;67
1. Asminderød;C;Det Konservative Folkeparti;René Nørbjerg;4
1. Asminderød;C;Det Konservative Folkeparti;Jesper Tvilde;6
1. Asminderød;C;Det Konservative Folkeparti;Henrik Littau Mærsk;46
1. Asminderød;C;Det Konservative Folkeparti;Hans Jørgen Jensen;1
1. Asminderød;C;Det Konservative Folkeparti;Janet Chemnitz;4
1. Asminderød;D;Nye Borgerlige;Listestemmer;27
1. Asminderød;D;Nye Borgerlige;Jens Beck Madsen;14
1. Asminderød;D;Nye Borgerlige;Steen Løfstrøm;9
