Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Jægersborg;A;Socialdemokratiet;Listestemmer;162
1. Jægersborg;A;Socialdemokratiet;Søren Heisel;138
1. Jægersborg;A;Socialdemokratiet;Anne Hjorth;55
1. Jægersborg;A;Socialdemokratiet;Jesper Kampmann;19
1. Jægersborg;A;Socialdemokratiet;Ole Lund Petersen;10
1. Jægersborg;A;Socialdemokratiet;Gitte H. Terndrup;18
1. Jægersborg;A;Socialdemokratiet;Karl Gaub;15
1. Jægersborg;A;Socialdemokratiet;Rasmus Kruse;0
1. Jægersborg;A;Socialdemokratiet;Bjarne Burkal;10
1. Jægersborg;A;Socialdemokratiet;Malthe Poulsen;1
1. Jægersborg;B;Radikale Venstre;Listestemmer;119
1. Jægersborg;B;Radikale Venstre;Kristine Kryger;119
1. Jægersborg;B;Radikale Venstre;Anders Hartzen;3
1. Jægersborg;B;Radikale Venstre;Henrik Nielsen;8
1. Jægersborg;B;Radikale Venstre;Martin Iversen;8
1. Jægersborg;B;Radikale Venstre;Carsten Lassen;8
1. Jægersborg;B;Radikale Venstre;Birger Hesse;4
1. Jægersborg;B;Radikale Venstre;Anders Jensen;2
1. Jægersborg;B;Radikale Venstre;Melitta Naegeli;2
1. Jægersborg;B;Radikale Venstre;Katrine Lotz;7
1. Jægersborg;B;Radikale Venstre;Karina Probst-Rasmussen;4
1. Jægersborg;C;Det Konservative Folkeparti;Listestemmer;319
1. Jægersborg;C;Det Konservative Folkeparti;Hans Toft;1647
1. Jægersborg;C;Det Konservative Folkeparti;Pia Nyring;99
1. Jægersborg;C;Det Konservative Folkeparti;Michael Fenger;50
1. Jægersborg;C;Det Konservative Folkeparti;Marianne Zangenberg;30
1. Jægersborg;C;Det Konservative Folkeparti;Ulrik Borch;5
1. Jægersborg;C;Det Konservative Folkeparti;Karen Riis Kjølbye;26
1. Jægersborg;C;Det Konservative Folkeparti;Katja S.Johansen;22
1. Jægersborg;C;Det Konservative Folkeparti;Bente Frimodt-Møller;54
1. Jægersborg;C;Det Konservative Folkeparti;Jesper Kamp Nielsen;19
1. Jægersborg;C;Det Konservative Folkeparti;Christian Buje Tingleff;3
1. Jægersborg;C;Det Konservative Folkeparti;Louisa S.Bøttkjær;23
1. Jægersborg;C;Det Konservative Folkeparti;Jakob Vilner;6
1. Jægersborg;C;Det Konservative Folkeparti;Niels Lund;9
1. Jægersborg;C;Det Konservative Folkeparti;Per Bruun Andersen;10
1. Jægersborg;C;Det Konservative Folkeparti;Katarina Ammitzbøll;45
1. Jægersborg;C;Det Konservative Folkeparti;Jesper Marcus;47
1. Jægersborg;C;Det Konservative Folkeparti;Birgitte Schmidt;5
1. Jægersborg;C;Det Konservative Folkeparti;Andreas Weidinger;63
1. Jægersborg;C;Det Konservative Folkeparti;Thomas Rostrup;4
1. Jægersborg;C;Det Konservative Folkeparti;Jan Sandberg;8
1. Jægersborg;C;Det Konservative Folkeparti;Susanne Biltoft;6
1. Jægersborg;C;Det Konservative Folkeparti;Anders Holde;29
1. Jægersborg;C;Det Konservative Folkeparti;Ole Stephensen;50
1. Jægersborg;D;Nye Borgerlige;Listestemmer;27
1. Jægersborg;D;Nye Borgerlige;Poul V.Jensen;21
1. Jægersborg;D;Nye Borgerlige;Henrik Engel Elborough;2
1. Jægersborg;D;Nye Borgerlige;Erik Friedlænder;4
1. Jægersborg;D;Nye Borgerlige;Nina Froberg;1
1. Jægersborg;D;Nye Borgerlige;Arent Christian Kjær;0
1. Jægersborg;D;Nye Borgerlige;Lars Kiil;1
1. Jægersborg;D;Nye Borgerlige;Leo Lundø;0
1. Jægersborg;D;Nye Borgerlige;Charlotte Petersen;3
1. Jægersborg;D;Nye Borgerlige;Ivan Léon Siehr;0
1. Jægersborg;D;Nye Borgerlige;Henrik Vendelbo;1
1. Jægersborg;F;SF - Socialistisk Folkeparti;Listestemmer;46
1. Jægersborg;F;SF - Socialistisk Folkeparti;Brigitta Rick;50
1. Jægersborg;F;SF - Socialistisk Folkeparti;John Andersen;7
1. Jægersborg;F;SF - Socialistisk Folkeparti;Dina Wildt;5
1. Jægersborg;F;SF - Socialistisk Folkeparti;Jens Ahm;2
1. Jægersborg;F;SF - Socialistisk Folkeparti;Peder Larsen;1
1. Jægersborg;I;Liberal Alliance;Listestemmer;42
1. Jægersborg;I;Liberal Alliance;Cecilia Catharina Buchtrup;24
1. Jægersborg;I;Liberal Alliance;Mette Fabricius-Lauritzen;16
1. Jægersborg;I;Liberal Alliance;Lasse Evers Andersen;2
1. Jægersborg;K;Kristendemokraterne;Listestemmer;8
1. Jægersborg;K;Kristendemokraterne;Carmen Torpenhow, Hellerup;2
1. Jægersborg;O;Dansk Folkeparti;Listestemmer;37
1. Jægersborg;O;Dansk Folkeparti;Rita Russell;5
1. Jægersborg;O;Dansk Folkeparti;Henrik Thorup;23
1. Jægersborg;O;Dansk Folkeparti;Tina Wittendorf;2
1. Jægersborg;O;Dansk Folkeparti;Jesper Villadsen;8
1. Jægersborg;O;Dansk Folkeparti;Anne Lundquist;0
1. Jægersborg;O;Dansk Folkeparti;Connie Søegaard;0
1. Jægersborg;O;Dansk Folkeparti;Annet Malmqvist;2
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Listestemmer;98
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Louise Feilberg,Charlottenlund;73
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Morten Løkkegaard,Charlottenlund;87
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Malene Hartvigsen,Hellerup;16
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Egil Rindorf,Vangede;4
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Tine Horwitz,Charlottenlund;12
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Henrik Thormod Andersen, Charl.;0
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Nils Juhl Andreasen, Gentofte;17
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Jesper Holm,Jægersborg;7
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Joan Jørgensen,Dyssegård;0
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Jens Tarp,Gentofte;2
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Erik Ross Pedersen,Hellerup;1
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Kirsten Elvstrøm,Gentofte;6
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Kjeld Danneskiold-Samsøe,Klampenb.;1
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Morten Munk Ebbesen,Charlottenlund;0
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Pia Loft,Klampenborg;3
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Colette Brix,Charlottenlund;0
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Anders Munk Ebbesen,Hellerup;2
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Hans-Georg Nielsen,Hellerup;0
1. Jægersborg;V;Venstre, Danmarks Liberale Parti;Allan Stoere,Charlottenlund;0
1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;118
1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Jeanne Toxværd;95
1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Frederik Dehlholm;12
1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Tage Christiansen;3
1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Line Traugott;5
1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Magne Edvard Pihl;0
1. Jægersborg;Ø;Enhedslisten - De Rød-Grønne;Regula Maltry;1
1. Jægersborg;Å;Alternativet;Listestemmer;59
1. Jægersborg;Å;Alternativet;Jens Henrik Wiene;16
1. Jægersborg;Å;Alternativet;Elizabeth Kristensen;3
1. Jægersborg;Å;Alternativet;Marianne Victor Hansen;12
1. Jægersborg;Å;Alternativet;Ove Lund;7
1. Jægersborg;Å;Alternativet;Gitte Haslebo;7
1. Jægersborg;Å;Alternativet;Lise Lauritzen Loft;1
1. Jægersborg;Å;Alternativet;Helle Laustsen;0
2. Munkegård;A;Socialdemokratiet;Listestemmer;219
2. Munkegård;A;Socialdemokratiet;Søren Heisel;344
2. Munkegård;A;Socialdemokratiet;Anne Hjorth;59
2. Munkegård;A;Socialdemokratiet;Jesper Kampmann;16
2. Munkegård;A;Socialdemokratiet;Ole Lund Petersen;7
2. Munkegård;A;Socialdemokratiet;Gitte H. Terndrup;22
2. Munkegård;A;Socialdemokratiet;Karl Gaub;13
2. Munkegård;A;Socialdemokratiet;Rasmus Kruse;3
2. Munkegård;A;Socialdemokratiet;Bjarne Burkal;11
2. Munkegård;A;Socialdemokratiet;Malthe Poulsen;0
2. Munkegård;B;Radikale Venstre;Listestemmer;140
2. Munkegård;B;Radikale Venstre;Kristine Kryger;97
2. Munkegård;B;Radikale Venstre;Anders Hartzen;11
2. Munkegård;B;Radikale Venstre;Henrik Nielsen;6
2. Munkegård;B;Radikale Venstre;Martin Iversen;8
2. Munkegård;B;Radikale Venstre;Carsten Lassen;6
2. Munkegård;B;Radikale Venstre;Birger Hesse;8
2. Munkegård;B;Radikale Venstre;Anders Jensen;3
2. Munkegård;B;Radikale Venstre;Melitta Naegeli;3
