Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Nordvangskolen;A;Socialdemokratiet;Listestemmer;215
1. Nordvangskolen;A;Socialdemokratiet;Lisa Ward;82
1. Nordvangskolen;A;Socialdemokratiet;Søren Enemark;89
1. Nordvangskolen;A;Socialdemokratiet;Kasper Damsgaard;65
1. Nordvangskolen;A;Socialdemokratiet;Hanne Nielsen;7
1. Nordvangskolen;A;Socialdemokratiet;Torben Jensen;0
1. Nordvangskolen;A;Socialdemokratiet;Gitte Wallin Limkilde;21
1. Nordvangskolen;A;Socialdemokratiet;Lars Høimark;13
1. Nordvangskolen;A;Socialdemokratiet;Camilla Christensen;45
1. Nordvangskolen;A;Socialdemokratiet;Ole Hammer;2
1. Nordvangskolen;A;Socialdemokratiet;Annette Normind Thomsen;6
1. Nordvangskolen;A;Socialdemokratiet;Jesper Weidick;4
1. Nordvangskolen;A;Socialdemokratiet;Ulf Taube;4
1. Nordvangskolen;A;Socialdemokratiet;Jørn-Chr. Christiansen;5
1. Nordvangskolen;A;Socialdemokratiet;Bjarne Kusk;1
1. Nordvangskolen;A;Socialdemokratiet;Özkan Kocak;12
1. Nordvangskolen;B;Radikale Venstre;Listestemmer;19
1. Nordvangskolen;B;Radikale Venstre;Martin Peter Stolarczyk Jensen;30
1. Nordvangskolen;B;Radikale Venstre;Birgit Oest Boelskov;4
1. Nordvangskolen;B;Radikale Venstre;Jørgen Boelskov;2
1. Nordvangskolen;B;Radikale Venstre;Erik Schmidt Andersen;0
1. Nordvangskolen;C;Det Konservative Folkeparti;Listestemmer;27
1. Nordvangskolen;C;Det Konservative Folkeparti;Dan Kornbek Christiansen;40
1. Nordvangskolen;C;Det Konservative Folkeparti;Christian Ebbesen;21
1. Nordvangskolen;C;Det Konservative Folkeparti;Mogens Steen Johansen;2
1. Nordvangskolen;C;Det Konservative Folkeparti;Torben Wagner;1
1. Nordvangskolen;C;Det Konservative Folkeparti;Steffen Schlægelberger;3
1. Nordvangskolen;D;Nye Borgerlige;Listestemmer;8
1. Nordvangskolen;D;Nye Borgerlige;Jenny Stockfleth Simelev;5
1. Nordvangskolen;D;Nye Borgerlige;Michael Köhl;2
1. Nordvangskolen;D;Nye Borgerlige;Alexander Hansen;0
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Listestemmer;30
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Palle Laustrup;19
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Henrik Lund;11
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Jonas Madsen;16
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Mogens Mathiesen;17
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Mette Vennerstrøm;11
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Anya Jensen;6
1. Nordvangskolen;F;SF - Socialistisk Folkeparti;Jens Erik Larsen;4
1. Nordvangskolen;I;Liberal Alliance;Listestemmer;9
1. Nordvangskolen;I;Liberal Alliance;Tim Liljendahl;6
1. Nordvangskolen;O;Dansk Folkeparti;Listestemmer;93
1. Nordvangskolen;O;Dansk Folkeparti;Flemming Ørhem;54
1. Nordvangskolen;O;Dansk Folkeparti;Pia Hagbarth Dahlin;27
1. Nordvangskolen;O;Dansk Folkeparti;Peder Kähler;2
1. Nordvangskolen;O;Dansk Folkeparti;Sandra Larsen;8
1. Nordvangskolen;O;Dansk Folkeparti;Henning Christensen;4
1. Nordvangskolen;O;Dansk Folkeparti;Jane Jacobsen;1
1. Nordvangskolen;O;Dansk Folkeparti;Kenneth Schwartzmann;1
1. Nordvangskolen;O;Dansk Folkeparti;Ib Clasen;1
1. Nordvangskolen;O;Dansk Folkeparti;Annette Thorsen;2
1. Nordvangskolen;P;Stram Kurs;Listestemmer;0
1. Nordvangskolen;P;Stram Kurs;Ronnie Haakansson;1
1. Nordvangskolen;V;Venstre, Danmarks Liberale Parti;Listestemmer;157
1. Nordvangskolen;V;Venstre, Danmarks Liberale Parti;John Engelhardt;233
1. Nordvangskolen;V;Venstre, Danmarks Liberale Parti;Lars Thomsen;35
1. Nordvangskolen;V;Venstre, Danmarks Liberale Parti;Leif Meyer Olsen;8
