Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Hundested;A;Socialdemokratiet;Listestemmer;422
1. Hundested;A;Socialdemokratiet;Steffen Jensen;637
1. Hundested;A;Socialdemokratiet;Helge Friis;138
1. Hundested;A;Socialdemokratiet;Helle Lunderød;39
1. Hundested;A;Socialdemokratiet;Annette Westh;81
1. Hundested;A;Socialdemokratiet;Torben Hedelund;215
1. Hundested;A;Socialdemokratiet;Kirsten Lauritsen;27
1. Hundested;A;Socialdemokratiet;Henrik Tolstrup;19
1. Hundested;A;Socialdemokratiet;Peter Rohde;113
1. Hundested;A;Socialdemokratiet;Sarah Lindemann Thøgersen;35
1. Hundested;A;Socialdemokratiet;Tommy Frøslev;228
1. Hundested;A;Socialdemokratiet;Jannik Haulik Jørgensen;51
1. Hundested;A;Socialdemokratiet;Jonas Thomsen;15
1. Hundested;A;Socialdemokratiet;Kim Daugbjerg;12
1. Hundested;A;Socialdemokratiet;Steen Mikkelsen;53
1. Hundested;A;Socialdemokratiet;Søren Hammer;2
1. Hundested;A;Socialdemokratiet;Kirstin Kristensen;8
1. Hundested;A;Socialdemokratiet;Rolf Møller Hansen;2
1. Hundested;B;Radikale Venstre;Listestemmer;30
1. Hundested;B;Radikale Venstre;Morten Lorenzen, Liseleje;19
1. Hundested;B;Radikale Venstre;Jesper Kirkebye Andersen, Ølsted;4
1. Hundested;B;Radikale Venstre;Magnus Dræby, Hundested;45
1. Hundested;B;Radikale Venstre;Najma Hussain, Frederiksværk;3
1. Hundested;B;Radikale Venstre;Anne-Mette Lorenzen, Liseleje;2
1. Hundested;B;Radikale Venstre;Tove Rønne, Hundested;10
1. Hundested;B;Radikale Venstre;Niels Bendix Knudsen, Ølsted;0
1. Hundested;C;Det Konservative Folkeparti;Listestemmer;34
1. Hundested;C;Det Konservative Folkeparti;Kim Jensen, Melby;23
1. Hundested;C;Det Konservative Folkeparti;Amalie Bloch Sønstebø, Hundested;62
1. Hundested;C;Det Konservative Folkeparti;Per Grydbæk, Liseleje;0
1. Hundested;C;Det Konservative Folkeparti;Søren Vester-Fabrin, Auderød;2
1. Hundested;C;Det Konservative Folkeparti;Peter Nobel, Ølsted;5
1. Hundested;C;Det Konservative Folkeparti;Per Løth, Frederiksværk;2
1. Hundested;D;Nye Borgerlige;Listestemmer;29
1. Hundested;D;Nye Borgerlige;Bill Malmgren;41
1. Hundested;D;Nye Borgerlige;Steen Arne;11
1. Hundested;D;Nye Borgerlige;Hanne Hilslev Rasmussen;3
