Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Musikteatret;A;Socialdemokratiet;Listestemmer;417
1. Musikteatret;A;Socialdemokratiet;H.C. Østerby, Holstebro;2739
1. Musikteatret;A;Socialdemokratiet;Klaus Flæng, Vinderup;55
1. Musikteatret;A;Socialdemokratiet;Dorthe Pia Hansen, Holstebro;215
1. Musikteatret;A;Socialdemokratiet;Lene Dybdal, Ulfborg;62
1. Musikteatret;A;Socialdemokratiet;Bodil Pedersen, Mejrup;81
1. Musikteatret;A;Socialdemokratiet;Lars Stampe, Holstebro;129
1. Musikteatret;A;Socialdemokratiet;Jytte Dideriksen, Sir;156
1. Musikteatret;A;Socialdemokratiet;Ole Andersen, Borbjerg;38
1. Musikteatret;A;Socialdemokratiet;Kurt Kristian Nielsen, Holstebro;37
1. Musikteatret;A;Socialdemokratiet;Anne Pilgaard, Holstebro;43
1. Musikteatret;A;Socialdemokratiet;Nils Ulrik Nielsen, Holstebro;176
1. Musikteatret;A;Socialdemokratiet;Payman Al Kole, Holstebro;43
1. Musikteatret;A;Socialdemokratiet;Per Albertsen, Mejdal-Halgård;27
1. Musikteatret;A;Socialdemokratiet;Svend Ørgaard, Mejrup;81
1. Musikteatret;A;Socialdemokratiet;Søren Frøstrup-Agger, Holstebro;102
1. Musikteatret;A;Socialdemokratiet;Michael Batz Højriis, Skave;15
1. Musikteatret;A;Socialdemokratiet;Gubber Kristensen, Holstebro;115
1. Musikteatret;A;Socialdemokratiet;Carsten Tambo Tovborg, Holstebro;76
1. Musikteatret;A;Socialdemokratiet;Hans-Jørgen Niewald, Holstebro;118
1. Musikteatret;A;Socialdemokratiet;Flemming Kofoed, Holstebro;41
1. Musikteatret;A;Socialdemokratiet;Morten Issa Nielsen, Holstebro;49
1. Musikteatret;A;Socialdemokratiet;Susanne Funch, Holstebro;85
1. Musikteatret;A;Socialdemokratiet;Troels Vad, Holstebro;15
1. Musikteatret;A;Socialdemokratiet;Sten Bo Stølstrupgård, Holstebro;78
1. Musikteatret;A;Socialdemokratiet;Haidar Abdul-Karim, Holstebro;11
1. Musikteatret;A;Socialdemokratiet;Ali Al Maanaki, Holstebro;13
1. Musikteatret;A;Socialdemokratiet;Mustafa Kamel Shareef, Holstebro;4
1. Musikteatret;A;Socialdemokratiet;Ramalingam Sivalingam, Holstebro;18
1. Musikteatret;B;Radikale Venstre;Listestemmer;74
1. Musikteatret;B;Radikale Venstre;Torben Gudiksen, Vinderup;79
1. Musikteatret;B;Radikale Venstre;Francisca Chilala Kaputu, Holstebr;61
1. Musikteatret;B;Radikale Venstre;Søren Hansen, Råsted;53
1. Musikteatret;B;Radikale Venstre;Rasmus Henriksen, Holstebro;30
1. Musikteatret;B;Radikale Venstre;Rasmus Gamst Beltofte, Mejdal-Halg;34
1. Musikteatret;B;Radikale Venstre;Natasha Hingebjerg, Holstebro;45
1. Musikteatret;B;Radikale Venstre;Ghassan Abrahem Rahmi, Holstebro;7
1. Musikteatret;B;Radikale Venstre;Jette Hingebjerg, Holstebro;8
1. Musikteatret;B;Radikale Venstre;Allan Sørensen, Mejrup;27
1. Musikteatret;B;Radikale Venstre;Gerthie Betak Rasmussen, Handbjerg;10
1. Musikteatret;B;Radikale Venstre;Thomas Nørlund Betak, Mejdal-Halgå;6
1. Musikteatret;B;Radikale Venstre;Niels-Henrik Nielsen, Hornshøj;4
1. Musikteatret;B;Radikale Venstre;Vicki Ravnsbæk, Vemb;2
1. Musikteatret;B;Radikale Venstre;Henrik Høgh Boutrup, Holstebro;15
1. Musikteatret;B;Radikale Venstre;Henrik Vilhelm Voldmester, Husby;0
1. Musikteatret;B;Radikale Venstre;Per Tornvig, Holstebro;23
1. Musikteatret;C;Det Konservative Folkeparti;Listestemmer;49
1. Musikteatret;C;Det Konservative Folkeparti;Pernille Bloch, Holstebro;158
1. Musikteatret;C;Det Konservative Folkeparti;Karsten E. Olesen, Sevel;7
1. Musikteatret;C;Det Konservative Folkeparti;Gitte B. Andersen, Holstebro;60
1. Musikteatret;C;Det Konservative Folkeparti;Joan F. Maarup, Ulfborg;11
1. Musikteatret;C;Det Konservative Folkeparti;Lau Sørensen, Sevel;11
1. Musikteatret;E;Borgerlisten;Listestemmer;2
1. Musikteatret;E;Borgerlisten;Bjarne Jeppesen;7
1. Musikteatret;F;SF - Socialistisk Folkeparti;Listestemmer;95
1. Musikteatret;F;SF - Socialistisk Folkeparti;Karsten Filsø, Ulfborg;170
1. Musikteatret;F;SF - Socialistisk Folkeparti;Julie Skjelborg Frederiksen, Holst;118
1. Musikteatret;F;SF - Socialistisk Folkeparti;Ole Primdahl, Vinderup;56
1. Musikteatret;F;SF - Socialistisk Folkeparti;Alexander Trabjerg, Holstebro;4
1. Musikteatret;F;SF - Socialistisk Folkeparti;Majbritt Kjærgaard Blæsbjerg, Hols;15
1. Musikteatret;F;SF - Socialistisk Folkeparti;Ali Afshar, Holstebro;6
1. Musikteatret;F;SF - Socialistisk Folkeparti;Inge Marie Schubert, Ejsing;2
1. Musikteatret;F;SF - Socialistisk Folkeparti;Ane Holst Hansen, Idom;7
1. Musikteatret;F;SF - Socialistisk Folkeparti;Mona Engmark Thomsen, Mejrup;1
1. Musikteatret;F;SF - Socialistisk Folkeparti;Amdi Christiansen, Bjergby;1
1. Musikteatret;F;SF - Socialistisk Folkeparti;Jens Ole Poulsen, Holstebro;15
1. Musikteatret;F;SF - Socialistisk Folkeparti;Anne Lise Holst Jensen, Holstebro;27
1. Musikteatret;I;Liberal Alliance;Listestemmer;46
1. Musikteatret;I;Liberal Alliance;Ayhan Al Kole, Holstebro;238
1. Musikteatret;I;Liberal Alliance;Claus Opstrup Olesen, Holstebro;6
1. Musikteatret;I;Liberal Alliance;Sine Backe Laursen, Holstebro;21
1. Musikteatret;I;Liberal Alliance;Kenneth Krog, Holstebro;16
1. Musikteatret;K1;Fælleslisten;Listestemmer;5
1. Musikteatret;K1;Fælleslisten;Leif Hornshøj;49
1. Musikteatret;K2;Kristendemokraterne;Listestemmer;26
