Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Errindlev;A;Socialdemokratiet;Listestemmer;38
1. Errindlev;A;Socialdemokratiet;Holger Schou Rasmussen;82
1. Errindlev;A;Socialdemokratiet;Kasper Roug;7
1. Errindlev;A;Socialdemokratiet;Vibeke Grave;8
1. Errindlev;A;Socialdemokratiet;Signe Lund Winther;0
1. Errindlev;A;Socialdemokratiet;Steffen Rasmussen;1
1. Errindlev;A;Socialdemokratiet;Gert Mortensen;10
1. Errindlev;A;Socialdemokratiet;Muj Berisha;1
1. Errindlev;A;Socialdemokratiet;Haris Glamocak;0
1. Errindlev;A;Socialdemokratiet;Ole Marqweis;1
1. Errindlev;A;Socialdemokratiet;Niels C. Devantier;0
1. Errindlev;A;Socialdemokratiet;Klaus F. Svensson;0
1. Errindlev;A;Socialdemokratiet;Heidi Marqweis;0
1. Errindlev;A;Socialdemokratiet;Leif Utermöhl;0
1. Errindlev;A;Socialdemokratiet;Bodil Waagensen;1
1. Errindlev;A;Socialdemokratiet;Rassi Rasmussen;0
1. Errindlev;B;Radikale Venstre;Listestemmer;2
1. Errindlev;B;Radikale Venstre;Henriette Bødewadt, Errindlev;8
1. Errindlev;B;Radikale Venstre;Kristian Stokholm, Rødby;0
1. Errindlev;B;Radikale Venstre;Henrik Hladik, Nakskov;1
1. Errindlev;B;Radikale Venstre;Thomas Bødewadt, Errindlev;0
1. Errindlev;C;Det Konservative Folkeparti;Listestemmer;2
1. Errindlev;C;Det Konservative Folkeparti;Klaus Møller, Nakskov;0
1. Errindlev;C;Det Konservative Folkeparti;Lars Buhl, Rødby;2
1. Errindlev;C;Det Konservative Folkeparti;Lene Frobøse, Fejø;1
1. Errindlev;C;Det Konservative Folkeparti;Roman Smigielski, Holeby;0
1. Errindlev;C;Det Konservative Folkeparti;Chris Christiansen, Maribo;1
1. Errindlev;D;Nye Borgerlige;Listestemmer;0
1. Errindlev;D;Nye Borgerlige;Arthur Kortsen;2
1. Errindlev;D;Nye Borgerlige;Mathias Hansen;3
1. Errindlev;D;Nye Borgerlige;Anne Marie Raft;0
1. Errindlev;D;Nye Borgerlige;Linda Larsen;1
1. Errindlev;D;Nye Borgerlige;Erik Kjelgaard;4
1. Errindlev;F;SF - Socialistisk Folkeparti;Listestemmer;3
1. Errindlev;F;SF - Socialistisk Folkeparti;Lars Christiansen,Skørringe;2
1. Errindlev;F;SF - Socialistisk Folkeparti;Judith Frederiksen, Nakskov;1
1. Errindlev;F;SF - Socialistisk Folkeparti;Erling Mortensen, Rødbyhavn;0
1. Errindlev;F;SF - Socialistisk Folkeparti;Casper Løje Pedersen, Maribo;1
1. Errindlev;F;SF - Socialistisk Folkeparti;Winnie Elmgreen, Nakskov;1
1. Errindlev;F;SF - Socialistisk Folkeparti;Henriette Spandet Jensen, Fejø;0
1. Errindlev;F;SF - Socialistisk Folkeparti;James de la Motte, Nakskov;0
1. Errindlev;F;SF - Socialistisk Folkeparti;Ole Hersing, Rødby;0
1. Errindlev;G;Landsbylisten;Listestemmer;1
1. Errindlev;G;Landsbylisten;Jan Andersson;13
1. Errindlev;H;Nyt Lolland;Listestemmer;1
1. Errindlev;H;Nyt Lolland;Henrik Skovmand;1
1. Errindlev;I;Liberal Alliance;Listestemmer;2
1. Errindlev;I;Liberal Alliance;Jan Czajkowski;0
1. Errindlev;I;Liberal Alliance;Torben Kjær;0
1. Errindlev;I;Liberal Alliance;Else Hansen;0
1. Errindlev;L;Lokallisten Lolland;Listestemmer;2
1. Errindlev;L;Lokallisten Lolland;Thomas Bo Østergaard;0
1. Errindlev;L;Lokallisten Lolland;Leo Christensen;0
1. Errindlev;L;Lokallisten Lolland;Brian Hansen;1
1. Errindlev;L;Lokallisten Lolland;Erich Mix;1
1. Errindlev;L;Lokallisten Lolland;Karen Albrechtsen;1
1. Errindlev;L;Lokallisten Lolland;Linda Sommer;16
1. Errindlev;L;Lokallisten Lolland;Remzi Grepi;0
1. Errindlev;L;Lokallisten Lolland;Esad Skrijelj;1
1. Errindlev;L;Lokallisten Lolland;Niels Nielsen;0
1. Errindlev;L;Lokallisten Lolland;Bent Ebbe Sørensen;0
1. Errindlev;L;Lokallisten Lolland;Jan Jakobsen;0
1. Errindlev;M;Borgerlisten Lolland;Listestemmer;0
1. Errindlev;M;Borgerlisten Lolland;Pia-Britt Ruberg, Rødby;1
1. Errindlev;M;Borgerlisten Lolland;Anette Egelund, Fuglse;0
1. Errindlev;N;Nationalpartiet;Listestemmer;0
1. Errindlev;N;Nationalpartiet;Leonit Istrefi;0
1. Errindlev;O;Dansk Folkeparti;Listestemmer;31
1. Errindlev;O;Dansk Folkeparti;Anette Knoblauch;9
1. Errindlev;O;Dansk Folkeparti;Mikkel Søtbæk;1
1. Errindlev;O;Dansk Folkeparti;Torben Hansen;1
1. Errindlev;O;Dansk Folkeparti;Kisse Bødker;4
1. Errindlev;O;Dansk Folkeparti;Henning Rasmussen;6
1. Errindlev;O;Dansk Folkeparti;Eric Steffensen;6
1. Errindlev;P;Din Stemme;Listestemmer;0
1. Errindlev;P;Din Stemme;Henning Alfred Rasmussen;19
1. Errindlev;P;Din Stemme;Marie-Louise Brehm Nielsen;5
1. Errindlev;P;Din Stemme;Bjarne Sørensen;0
1. Errindlev;P;Din Stemme;Vagn Pedersen;11
1. Errindlev;P;Din Stemme;Marianne Pedersen;0
1. Errindlev;P;Din Stemme;Kjeld Winther Jørgensen;0
1. Errindlev;P;Din Stemme;Anette Poulsen;0
1. Errindlev;P;Din Stemme;Heine Schultz;0
