Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Bogense;A;Socialdemokratiet;Listestemmer;123
1. Bogense;A;Socialdemokratiet;Kim Johansen;506
1. Bogense;A;Socialdemokratiet;Gert Rasmussen;8
1. Bogense;A;Socialdemokratiet;Helle Waagner;93
1. Bogense;A;Socialdemokratiet;Brian Lebæk;4
1. Bogense;A;Socialdemokratiet;Anette Lykke Jensen;14
1. Bogense;A;Socialdemokratiet;Idrees Haider;8
1. Bogense;A;Socialdemokratiet;Kim Fischer Nielsen;1
1. Bogense;A;Socialdemokratiet;Pia Longet;10
1. Bogense;A;Socialdemokratiet;Birna Harfeld Friislund;1
1. Bogense;A;Socialdemokratiet;Kent Lindharth;13
1. Bogense;A;Socialdemokratiet;Svenn Kopp Pedersen;4
1. Bogense;A;Socialdemokratiet;Ann Berit Christensen;5
1. Bogense;A;Socialdemokratiet;Klaus Hummelhoff;1
1. Bogense;A;Socialdemokratiet;Arne Erlund;0
1. Bogense;A;Socialdemokratiet;Dorte Schmidt;16
1. Bogense;B;Radikale Venstre;Listestemmer;18
1. Bogense;B;Radikale Venstre;Mette Hjorth;20
1. Bogense;B;Radikale Venstre;Bo Jakobsen;57
1. Bogense;B;Radikale Venstre;John Arnshof;0
1. Bogense;B;Radikale Venstre;Svend Kæhlershøj;0
1. Bogense;B;Radikale Venstre;Vera Andersen;1
1. Bogense;C;Det Konservative Folkeparti;Listestemmer;17
1. Bogense;C;Det Konservative Folkeparti;Franz Jul Rohde, Otterup;28
1. Bogense;C;Det Konservative Folkeparti;Kjeld Bruun, Bogense;31
1. Bogense;C;Det Konservative Folkeparti;Kim Jensby Jørgensen, Søndersø;15
1. Bogense;C;Det Konservative Folkeparti;Anders Thingholm, Morud;5
1. Bogense;C;Det Konservative Folkeparti;Jesper Hansen, Veflinge;1
1. Bogense;C;Det Konservative Folkeparti;Carsten Jäger, Søndersø;3
1. Bogense;C;Det Konservative Folkeparti;Brian Dan Kristensen, Hjadstrup;0
1. Bogense;D;Nye Borgerlige;Listestemmer;10
1. Bogense;D;Nye Borgerlige;René Lundegaard;10
1. Bogense;D;Nye Borgerlige;Bjarne V. Knudsen;2
1. Bogense;F;SF - Socialistisk Folkeparti;Listestemmer;29
1. Bogense;F;SF - Socialistisk Folkeparti;Anne-Lise Sievers;75
1. Bogense;F;SF - Socialistisk Folkeparti;Anders Funch Engelstad;13
1. Bogense;F;SF - Socialistisk Folkeparti;Bent Olsen;12
1. Bogense;F;SF - Socialistisk Folkeparti;Flemming Holmelund;16
1. Bogense;F;SF - Socialistisk Folkeparti;Katja Karlsen;7
1. Bogense;I;Liberal Alliance;Listestemmer;10
1. Bogense;I;Liberal Alliance;Jens Otto Dalhøj, Nørreby;34
1. Bogense;I;Liberal Alliance;Ole Hartung, Morud;1
1. Bogense;I;Liberal Alliance;Allan Ibsen, Østrup;0
1. Bogense;I;Liberal Alliance;Leif Bode Nielsen, Skamby;5
1. Bogense;I;Liberal Alliance;Nikolaj Klok, Bogense;12
1. Bogense;I;Liberal Alliance;Maria Dahl Hedegaard, Gudskov;0
1. Bogense;O;Dansk Folkeparti;Listestemmer;69
1. Bogense;O;Dansk Folkeparti;Peder Svensson;12
1. Bogense;O;Dansk Folkeparti;Jane Yndgaard;19
1. Bogense;O;Dansk Folkeparti;Eva Jørgensen;31
1. Bogense;O;Dansk Folkeparti;Jane Lydia Gulbæk;7
1. Bogense;O;Dansk Folkeparti;Henrik Damborg Sørensen;0
1. Bogense;O;Dansk Folkeparti;Jess Sebastian Nykjær;2
1. Bogense;O;Dansk Folkeparti;Niels Christian Holst Hansen;4
1. Bogense;O;Dansk Folkeparti;Poul Svane Madsen;14
1. Bogense;O;Dansk Folkeparti;Thomas Bo Nielsen;4
1. Bogense;V;Venstre, Danmarks Liberale Parti;Listestemmer;67
1. Bogense;V;Venstre, Danmarks Liberale Parti;Morten Andersen;745
