Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Aunslevhallen;A;Socialdemokratiet;Listestemmer;69
1. Aunslevhallen;A;Socialdemokratiet;Vibeke Ejlertsen;69
1. Aunslevhallen;A;Socialdemokratiet;Sonja Marie Jensen;27
1. Aunslevhallen;A;Socialdemokratiet;Per Chrone Jespersen;12
1. Aunslevhallen;A;Socialdemokratiet;Martin Stenmann;16
1. Aunslevhallen;A;Socialdemokratiet;Frits Christensen;4
1. Aunslevhallen;A;Socialdemokratiet;Albert Pedersen;14
1. Aunslevhallen;A;Socialdemokratiet;Jesper Nielsen;6
1. Aunslevhallen;A;Socialdemokratiet;Rameesh Thirugnanasambanther;5
1. Aunslevhallen;A;Socialdemokratiet;Barbara Schultz;5
1. Aunslevhallen;A;Socialdemokratiet;Poul Erik Knudsen;6
1. Aunslevhallen;A;Socialdemokratiet;Merete Bang;6
1. Aunslevhallen;A;Socialdemokratiet;Anne-Berit Nielsen;1
1. Aunslevhallen;A;Socialdemokratiet;Leif Kjær Christensen;0
1. Aunslevhallen;A;Socialdemokratiet;Steen Ole Christensen;7
1. Aunslevhallen;A;Socialdemokratiet;Jane Jepsen;0
1. Aunslevhallen;A;Socialdemokratiet;Niels Erik Olsen;2
1. Aunslevhallen;A;Socialdemokratiet;Anne Mette Nygaard Rasmussen;2
1. Aunslevhallen;A;Socialdemokratiet;John Schmidt;5
1. Aunslevhallen;A;Socialdemokratiet;Annette Piil;4
1. Aunslevhallen;A;Socialdemokratiet;Susanne Kjær Christensen;3
1. Aunslevhallen;B;Radikale Venstre;Listestemmer;7
1. Aunslevhallen;B;Radikale Venstre;Stefan Ovesen Banke, Skalkendrup;3
1. Aunslevhallen;B;Radikale Venstre;Karen Moritz Hansen, Nyborg;1
1. Aunslevhallen;B;Radikale Venstre;Niels Monberg, Nyborg;0
1. Aunslevhallen;B;Radikale Venstre;Dorit Myltoft, Nyborg;3
1. Aunslevhallen;B;Radikale Venstre;Helle Thusing, Herrested;0
1. Aunslevhallen;B;Radikale Venstre;Jesper Trampedach, Nyborg;1
1. Aunslevhallen;C;Det Konservative Folkeparti;Listestemmer;3
1. Aunslevhallen;C;Det Konservative Folkeparti;Henrik Sonne-Schmidt, Nyborg;3
1. Aunslevhallen;C;Det Konservative Folkeparti;Henrik Boeriths, Ørbæk;2
1. Aunslevhallen;C;Det Konservative Folkeparti;Michael Møller, Nyborg;1
1. Aunslevhallen;C;Det Konservative Folkeparti;Michael Gertsen, Tårup;0
1. Aunslevhallen;C;Det Konservative Folkeparti;Thomas Bach Piekut, Nyborg;0
1. Aunslevhallen;C;Det Konservative Folkeparti;Jesper Bay, Nyborg;1
1. Aunslevhallen;C;Det Konservative Folkeparti;Ole Andersen, Nyborg;0
1. Aunslevhallen;C;Det Konservative Folkeparti;Jessika Harboe, Nyborg;0
1. Aunslevhallen;D;Nye Borgerlige;Listestemmer;3
1. Aunslevhallen;D;Nye Borgerlige;Kasper Mejlhede;6
1. Aunslevhallen;F;SF - Socialistisk Folkeparti;Listestemmer;13
1. Aunslevhallen;F;SF - Socialistisk Folkeparti;Suzette Frovin, Nyborg;9
1. Aunslevhallen;F;SF - Socialistisk Folkeparti;Ole Tyrsted Jørgensen, Skalkendrup;19
1. Aunslevhallen;F;SF - Socialistisk Folkeparti;Jørgen Østerby, Regstrup;13
1. Aunslevhallen;F;SF - Socialistisk Folkeparti;Iben Bohr, Sulkendrup;1
1. Aunslevhallen;F;SF - Socialistisk Folkeparti;Gøye Thorn Svendsen, Nyborg;2
1. Aunslevhallen;F;SF - Socialistisk Folkeparti;Torben Kragh Jensen, Vindinge;0
1. Aunslevhallen;H;Folkepartiet Nyborg;Listestemmer;2
1. Aunslevhallen;H;Folkepartiet Nyborg;Palle Reimer;4
1. Aunslevhallen;H;Folkepartiet Nyborg;Jens Hald;3
1. Aunslevhallen;H;Folkepartiet Nyborg;Erling M. Hansen;0
1. Aunslevhallen;H;Folkepartiet Nyborg;Frank Pedersen;0
1. Aunslevhallen;H;Folkepartiet Nyborg;Jimmi Pedersen;0
1. Aunslevhallen;I;Liberal Alliance;Listestemmer;4
1. Aunslevhallen;I;Liberal Alliance;Thomas Pulawski;6
1. Aunslevhallen;N;Borgerlisten Nyborg;Listestemmer;2
1. Aunslevhallen;N;Borgerlisten Nyborg;Per Jensen;0
1. Aunslevhallen;N;Borgerlisten Nyborg;Christina Høj Christoffersen;1
1. Aunslevhallen;N;Borgerlisten Nyborg;Sine Hindsgaul Hansen;0
1. Aunslevhallen;N;Borgerlisten Nyborg;Jan Ulrik Pedersen;0
1. Aunslevhallen;O;Dansk Folkeparti;Listestemmer;32
1. Aunslevhallen;O;Dansk Folkeparti;Carsten Kudsk;37
1. Aunslevhallen;O;Dansk Folkeparti;Jørn Gustavsen;18
1. Aunslevhallen;O;Dansk Folkeparti;Frank Sørensen;4
1. Aunslevhallen;O;Dansk Folkeparti;Ulrik Stokholm Pedersen;0
1. Aunslevhallen;O;Dansk Folkeparti;Anne Marie Palm-Johansen;19
1. Aunslevhallen;O;Dansk Folkeparti;Karsten Hedemark Hedmark;2
1. Aunslevhallen;O;Dansk Folkeparti;Peter Hvilshøj;1
1. Aunslevhallen;O;Dansk Folkeparti;Allan Lau;0
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Listestemmer;42
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Kenneth Muhs;314
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Tilde Nielsen;21
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Kaj Refslund;8
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Søren Svendsen;5
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Flemming Kjærulf;3
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Anja Kongsdal;77
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Peter Wagner Mollerup;8
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Martin Huus;3
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Erik Rosengaard;10
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Jan Reimer;4
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Jørgen Jørgensen;6
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Jacob Nilsson;2
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Anne Dyrhøj;6
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Keld Cramer Hjort;5
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Søren Andersen;0
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Davíð Hrafnsson Holst Nielsen;0
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Ethem Kalem;1
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Søren Koefoed;0
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Kenneth Taanquist;0
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Niels-Ole Madsen;0
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Kim Fabricius;2
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Niels Ørsted;2
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Carsten Karner Hansen;0
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Carsten Wagn Nielsen;2
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Nanna Bille Adamsen;1
1. Aunslevhallen;V;Venstre, Danmarks Liberale Parti;Jørn Terndrup;15
1. Aunslevhallen;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;10
1. Aunslevhallen;Ø;Enhedslisten - De Rød-Grønne;Benny Pieszak, Bovense;23
1. Aunslevhallen;Ø;Enhedslisten - De Rød-Grønne;Melissa Meulengracht, Nyborg;4
1. Aunslevhallen;Ø;Enhedslisten - De Rød-Grønne;Peter Søndergaard Jensen, Nyborg;1
1. Aunslevhallen;Ø;Enhedslisten - De Rød-Grønne;Sanja Kirk Hansen, Ullerslev;0
1. Aunslevhallen;Ø;Enhedslisten - De Rød-Grønne;Anders Kirkebæk-Jensen, Ørbæk;0
1. Aunslevhallen;Ø;Enhedslisten - De Rød-Grønne;Ane-Louise Stampe, Nyborg;3
1. Aunslevhallen;Ø;Enhedslisten - De Rød-Grønne;Per Aagesen, Nyborg;0
1. Aunslevhallen;Å;Alternativet;Listestemmer;7
1. Aunslevhallen;Å;Alternativet;Kaj Løvstrøm Nilsson;2
1. Aunslevhallen;Å;Alternativet;Marianne Bak;9
2. Nyborghallen;A;Socialdemokratiet;Listestemmer;408
2. Nyborghallen;A;Socialdemokratiet;Vibeke Ejlertsen;376
2. Nyborghallen;A;Socialdemokratiet;Sonja Marie Jensen;167
2. Nyborghallen;A;Socialdemokratiet;Per Chrone Jespersen;124
2. Nyborghallen;A;Socialdemokratiet;Martin Stenmann;181
2. Nyborghallen;A;Socialdemokratiet;Frits Christensen;33
2. Nyborghallen;A;Socialdemokratiet;Albert Pedersen;75
2. Nyborghallen;A;Socialdemokratiet;Jesper Nielsen;43
2. Nyborghallen;A;Socialdemokratiet;Rameesh Thirugnanasambanther;105
2. Nyborghallen;A;Socialdemokratiet;Barbara Schultz;26
2. Nyborghallen;A;Socialdemokratiet;Poul Erik Knudsen;61
2. Nyborghallen;A;Socialdemokratiet;Merete Bang;14
2. Nyborghallen;A;Socialdemokratiet;Anne-Berit Nielsen;9
2. Nyborghallen;A;Socialdemokratiet;Leif Kjær Christensen;5
2. Nyborghallen;A;Socialdemokratiet;Steen Ole Christensen;66
2. Nyborghallen;A;Socialdemokratiet;Jane Jepsen;2
2. Nyborghallen;A;Socialdemokratiet;Niels Erik Olsen;2
2. Nyborghallen;A;Socialdemokratiet;Anne Mette Nygaard Rasmussen;27
2. Nyborghallen;A;Socialdemokratiet;John Schmidt;50
