Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Herstedøster Skole;A;Socialdemokratiet;Listestemmer;334
1. Herstedøster Skole;A;Socialdemokratiet;Steen Christiansen;249
1. Herstedøster Skole;A;Socialdemokratiet;Flemming Jørgensen;39
1. Herstedøster Skole;A;Socialdemokratiet;Tina Christiansen;38
1. Herstedøster Skole;A;Socialdemokratiet;Paw Østergaard Jensen;66
1. Herstedøster Skole;A;Socialdemokratiet;Nils Jensen;21
1. Herstedøster Skole;A;Socialdemokratiet;Dogan Polat;19
1. Herstedøster Skole;A;Socialdemokratiet;Susanne Storm Lind;49
1. Herstedøster Skole;A;Socialdemokratiet;Marianne Burchall;163
1. Herstedøster Skole;A;Socialdemokratiet;Jane Nannberg;13
1. Herstedøster Skole;A;Socialdemokratiet;Ole Borgstrøm;8
1. Herstedøster Skole;A;Socialdemokratiet;Carsten Boje Larsen;25
1. Herstedøster Skole;A;Socialdemokratiet;Jørn Jensby;41
1. Herstedøster Skole;A;Socialdemokratiet;Henrik Seidenfaden;13
1. Herstedøster Skole;A;Socialdemokratiet;Qasir Mirza;18
1. Herstedøster Skole;A;Socialdemokratiet;Lasse Wilson Crüger;47
1. Herstedøster Skole;A;Socialdemokratiet;Lars Alexander Clark;13
1. Herstedøster Skole;B;Radikale Venstre;Listestemmer;60
1. Herstedøster Skole;B;Radikale Venstre;Dennis Schmock;27
1. Herstedøster Skole;B;Radikale Venstre;Morten Bjørn;18
1. Herstedøster Skole;B;Radikale Venstre;Steffen Wegner Høyer;6
1. Herstedøster Skole;B;Radikale Venstre;Hediye Temiz;12
1. Herstedøster Skole;B;Radikale Venstre;Jacob Juul Pedersen;11
1. Herstedøster Skole;B;Radikale Venstre;Morten Loof Andersen;1
1. Herstedøster Skole;B;Radikale Venstre;Lene Dræbye;9
1. Herstedøster Skole;C;Det Konservative Folkeparti;Listestemmer;56
1. Herstedøster Skole;C;Det Konservative Folkeparti;Lars Gravgaard Hansen;217
1. Herstedøster Skole;C;Det Konservative Folkeparti;Nils Jul Gjerlev;14
1. Herstedøster Skole;C;Det Konservative Folkeparti;Tina Graugaard;27
1. Herstedøster Skole;C;Det Konservative Folkeparti;Henrik Hertz;9
1. Herstedøster Skole;C;Det Konservative Folkeparti;Billal Zahoor;3
1. Herstedøster Skole;C;Det Konservative Folkeparti;Kim Lippert;1
1. Herstedøster Skole;C;Det Konservative Folkeparti;Kira Kruse Willmarst;6
1. Herstedøster Skole;F;SF - Socialistisk Folkeparti;Listestemmer;109
1. Herstedøster Skole;F;SF - Socialistisk Folkeparti;Leif Pedersen;38
1. Herstedøster Skole;F;SF - Socialistisk Folkeparti;Mehmet Kücükakin;15
1. Herstedøster Skole;F;SF - Socialistisk Folkeparti;Birgit Hauer;55
1. Herstedøster Skole;F;SF - Socialistisk Folkeparti;Vivi Nør Jacobsen;44
1. Herstedøster Skole;F;SF - Socialistisk Folkeparti;Bülent Filikci;2
1. Herstedøster Skole;F;SF - Socialistisk Folkeparti;Gül Øzcan;3
1. Herstedøster Skole;F;SF - Socialistisk Folkeparti;Søren Vinzent;6
1. Herstedøster Skole;F;SF - Socialistisk Folkeparti;Else Dahl Morthorst;5
1. Herstedøster Skole;F;SF - Socialistisk Folkeparti;Inge Dahn;6
1. Herstedøster Skole;F;SF - Socialistisk Folkeparti;Renè Meyrowitsch;0
