Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Blistrup;A;Socialdemokratiet;Listestemmer;142
1. Blistrup;A;Socialdemokratiet;Bo Jul Nielsen;145
1. Blistrup;A;Socialdemokratiet;Mikkel Andersen;68
1. Blistrup;A;Socialdemokratiet;Pia Foght;50
1. Blistrup;A;Socialdemokratiet;Allan Nielsen;12
1. Blistrup;A;Socialdemokratiet;Jacob Vagner Madsen;0
1. Blistrup;A;Socialdemokratiet;Betina Sølver;33
1. Blistrup;A;Socialdemokratiet;Morten Dahlberg;6
1. Blistrup;A;Socialdemokratiet;Mette Tolstrup;9
1. Blistrup;A;Socialdemokratiet;Steen Olsen;1
1. Blistrup;A;Socialdemokratiet;Jannik Lyng Petersen;9
1. Blistrup;B;Radikale Venstre;Listestemmer;13
1. Blistrup;B;Radikale Venstre;Rasmus Villefrance, Helsinge;4
1. Blistrup;B;Radikale Venstre;Thomas Frandsen, Tisvildeleje;1
1. Blistrup;B;Radikale Venstre;Mette Dollerup, Gilleleje;12
1. Blistrup;B;Radikale Venstre;Karl Terpager Andersen, Vejby;1
1. Blistrup;B;Radikale Venstre;Arne Skovgaard Nielsen, Skærød;0
1. Blistrup;B;Radikale Venstre;Søren Bald, Tibirke Sand;0
1. Blistrup;C;Det Konservative Folkeparti;Listestemmer;26
1. Blistrup;C;Det Konservative Folkeparti;Jesper Behrensdorff;39
1. Blistrup;C;Det Konservative Folkeparti;Trine Egetved;31
1. Blistrup;C;Det Konservative Folkeparti;Lars Nielsen;12
1. Blistrup;C;Det Konservative Folkeparti;Simon Mortensen;4
1. Blistrup;C;Det Konservative Folkeparti;Michael Frank Hansen;2
1. Blistrup;C;Det Konservative Folkeparti;Casper Hannibal Aistrup;0
1. Blistrup;C;Det Konservative Folkeparti;Jens Zwicky;3
1. Blistrup;C;Det Konservative Folkeparti;John Winkler Neumann;0
1. Blistrup;C;Det Konservative Folkeparti;Jørgen Kragh;1
1. Blistrup;C;Det Konservative Folkeparti;Niels Lawaetz;2
1. Blistrup;D;Nye Borgerlige;Listestemmer;37
1. Blistrup;D;Nye Borgerlige;Helle Lund;40
1. Blistrup;D;Nye Borgerlige;Søren Lind;6
1. Blistrup;D;Nye Borgerlige;Peter Sørensen;8
1. Blistrup;F;SF - Socialistisk Folkeparti;Listestemmer;34
1. Blistrup;F;SF - Socialistisk Folkeparti;Britta Christholm, Blistrup;43
1. Blistrup;F;SF - Socialistisk Folkeparti;Kirsten Rolfsager, Dronningmølle;3
1. Blistrup;F;SF - Socialistisk Folkeparti;Jens Rane Holck, Tisvilde;1
1. Blistrup;F;SF - Socialistisk Folkeparti;Børge Sørensen, Gilleleje;5
1. Blistrup;F;SF - Socialistisk Folkeparti;Jens Ove Hofmann, Helsinge;2
1. Blistrup;F;SF - Socialistisk Folkeparti;Kirsten Juul, Smidstrup;3
1. Blistrup;G;nytgribskov;Listestemmer;99
1. Blistrup;G;nytgribskov;Anders Gerner Frost;179
1. Blistrup;G;nytgribskov;Sisse Krøll Willemoes;31
1. Blistrup;G;nytgribskov;Morten Ulrik Jørgensen;27
1. Blistrup;G;nytgribskov;Pernille Søndergaard;25
1. Blistrup;G;nytgribskov;Morten Klitgaard;62
1. Blistrup;G;nytgribskov;Pernille Kromann Sams;15
1. Blistrup;G;nytgribskov;Thomas Elletoft Køster;8
1. Blistrup;G;nytgribskov;Henny Inge Green;1
1. Blistrup;G;nytgribskov;Tonny Nalepa Jensen;6
1. Blistrup;G;nytgribskov;Camilla Woller-Nielsen;0
1. Blistrup;G;nytgribskov;Mads Wingaard;1
1. Blistrup;G;nytgribskov;Palle Bruun;4
1. Blistrup;G;nytgribskov;Keld Hansen;13
1. Blistrup;G;nytgribskov;Jesper Nielsen;4
1. Blistrup;G;nytgribskov;Nana Kristine Bryder;2
1. Blistrup;G;nytgribskov;Alan Robert Nielsen;2
1. Blistrup;G;nytgribskov;Cannot Kroner;0
1. Blistrup;I;Liberal Alliance;Listestemmer;14
1. Blistrup;I;Liberal Alliance;Karsten Andersen;13
1. Blistrup;I;Liberal Alliance;Jens Erik Pedersen;3
1. Blistrup;O;Dansk Folkeparti;Listestemmer;139
1. Blistrup;O;Dansk Folkeparti;Brian Lyck Jørgensen;62
1. Blistrup;O;Dansk Folkeparti;Jonna Præst;55
1. Blistrup;O;Dansk Folkeparti;Jørgen Tøjberg;13
1. Blistrup;O;Dansk Folkeparti;Michael Rerup;5
1. Blistrup;O;Dansk Folkeparti;Allan Regnarsson;2
1. Blistrup;O;Dansk Folkeparti;Keld Lund;18
1. Blistrup;O;Dansk Folkeparti;Jørgen H. Reiff;1
1. Blistrup;T;Bedre Tider;Listestemmer;1
1. Blistrup;T;Bedre Tider;Finn Fredsgaard;3
1. Blistrup;T;Bedre Tider;Marion Thoregaard;0
1. Blistrup;U;Ungt Gribskov;Listestemmer;17
1. Blistrup;U;Ungt Gribskov;Søren Franklin Recinella;27
1. Blistrup;U;Ungt Gribskov;Peter Sajith;6
1. Blistrup;U;Ungt Gribskov;Emil Tuborg;1
1. Blistrup;V;Venstre, Danmarks Liberale Parti;Listestemmer;110
1. Blistrup;V;Venstre, Danmarks Liberale Parti;Kim Valentin;315
1. Blistrup;V;Venstre, Danmarks Liberale Parti;Jannich Petersen;207
1. Blistrup;V;Venstre, Danmarks Liberale Parti;Bent Hansen;32
1. Blistrup;V;Venstre, Danmarks Liberale Parti;Birgit Roswall;72
1. Blistrup;V;Venstre, Danmarks Liberale Parti;Sean Rask Crawford;10
1. Blistrup;V;Venstre, Danmarks Liberale Parti;Tue Villebro;3
1. Blistrup;V;Venstre, Danmarks Liberale Parti;Carina Bloch Simonsen;8
1. Blistrup;V;Venstre, Danmarks Liberale Parti;Steen Pedersen;27
1. Blistrup;V;Venstre, Danmarks Liberale Parti;Jørgen Simonsen;24
1. Blistrup;V;Venstre, Danmarks Liberale Parti;Michael Bruun;6
1. Blistrup;V;Venstre, Danmarks Liberale Parti;Natasha Stenbo Enetoft;9
1. Blistrup;V;Venstre, Danmarks Liberale Parti;Johnny Braginski;3
1. Blistrup;V;Venstre, Danmarks Liberale Parti;Flemming V. Trojel;1
1. Blistrup;V;Venstre, Danmarks Liberale Parti;Jes Freisner;3
1. Blistrup;V;Venstre, Danmarks Liberale Parti;Knud Antonsen;1
1. Blistrup;V;Venstre, Danmarks Liberale Parti;Bjarne Pedersen;8
1. Blistrup;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;64
1. Blistrup;Ø;Enhedslisten - De Rød-Grønne;Michael Hemming Nielsen, Gilleleje;39
1. Blistrup;Ø;Enhedslisten - De Rød-Grønne;Kurt Schimmell, Dronningmølle;0
1. Blistrup;Ø;Enhedslisten - De Rød-Grønne;Peter Marqvart Otzen, Smidstrup;18
1. Blistrup;Ø;Enhedslisten - De Rød-Grønne;Arne Würgler, Dronningmølle;2
1. Blistrup;Ø;Enhedslisten - De Rød-Grønne;Tanya Høgsbro, Søborg;8
1. Blistrup;Ø;Enhedslisten - De Rød-Grønne;Jørgen Strøm, Tisvildeleje;2
1. Blistrup;Ø;Enhedslisten - De Rød-Grønne;Lisbeth Havemann, Tisvildeleje;5
1. Blistrup;Ø;Enhedslisten - De Rød-Grønne;Christine Scherfig, Græsted;6
1. Blistrup;Å;Alternativet;Listestemmer;27
1. Blistrup;Å;Alternativet;Susan Kjeldgaard, Søborg;18
1. Blistrup;Å;Alternativet;Esben Ingerslev, Helsinge;7
1. Blistrup;Å;Alternativet;Bjarne Christiansen, Kagerup;3
1. Blistrup;Å;Alternativet;Maud Margrethe Pedersen, Dr.mølle;0
1. Blistrup;Å;Alternativet;Peter Holten Rude, Helsinge;4
2. Esbønderup;A;Socialdemokratiet;Listestemmer;109
2. Esbønderup;A;Socialdemokratiet;Bo Jul Nielsen;74
2. Esbønderup;A;Socialdemokratiet;Mikkel Andersen;36
2. Esbønderup;A;Socialdemokratiet;Pia Foght;39
2. Esbønderup;A;Socialdemokratiet;Allan Nielsen;29
2. Esbønderup;A;Socialdemokratiet;Jacob Vagner Madsen;2
2. Esbønderup;A;Socialdemokratiet;Betina Sølver;9
2. Esbønderup;A;Socialdemokratiet;Morten Dahlberg;5
2. Esbønderup;A;Socialdemokratiet;Mette Tolstrup;8
2. Esbønderup;A;Socialdemokratiet;Steen Olsen;0
2. Esbønderup;A;Socialdemokratiet;Jannik Lyng Petersen;7
2. Esbønderup;B;Radikale Venstre;Listestemmer;17
2. Esbønderup;B;Radikale Venstre;Rasmus Villefrance, Helsinge;10
2. Esbønderup;B;Radikale Venstre;Thomas Frandsen, Tisvildeleje;1
2. Esbønderup;B;Radikale Venstre;Mette Dollerup, Gilleleje;9
2. Esbønderup;B;Radikale Venstre;Karl Terpager Andersen, Vejby;0
2. Esbønderup;B;Radikale Venstre;Arne Skovgaard Nielsen, Skærød;0
2. Esbønderup;B;Radikale Venstre;Søren Bald, Tibirke Sand;0
2. Esbønderup;C;Det Konservative Folkeparti;Listestemmer;27
2. Esbønderup;C;Det Konservative Folkeparti;Jesper Behrensdorff;30
2. Esbønderup;C;Det Konservative Folkeparti;Trine Egetved;23
2. Esbønderup;C;Det Konservative Folkeparti;Lars Nielsen;11
2. Esbønderup;C;Det Konservative Folkeparti;Simon Mortensen;2
2. Esbønderup;C;Det Konservative Folkeparti;Michael Frank Hansen;8
2. Esbønderup;C;Det Konservative Folkeparti;Casper Hannibal Aistrup;1
2. Esbønderup;C;Det Konservative Folkeparti;Jens Zwicky;0
2. Esbønderup;C;Det Konservative Folkeparti;John Winkler Neumann;1
2. Esbønderup;C;Det Konservative Folkeparti;Jørgen Kragh;0
2. Esbønderup;C;Det Konservative Folkeparti;Niels Lawaetz;18
2. Esbønderup;D;Nye Borgerlige;Listestemmer;19
2. Esbønderup;D;Nye Borgerlige;Helle Lund;25
2. Esbønderup;D;Nye Borgerlige;Søren Lind;5
2. Esbønderup;D;Nye Borgerlige;Peter Sørensen;5
2. Esbønderup;F;SF - Socialistisk Folkeparti;Listestemmer;25
2. Esbønderup;F;SF - Socialistisk Folkeparti;Britta Christholm, Blistrup;35
2. Esbønderup;F;SF - Socialistisk Folkeparti;Kirsten Rolfsager, Dronningmølle;13
2. Esbønderup;F;SF - Socialistisk Folkeparti;Jens Rane Holck, Tisvilde;5
2. Esbønderup;F;SF - Socialistisk Folkeparti;Børge Sørensen, Gilleleje;5
2. Esbønderup;F;SF - Socialistisk Folkeparti;Jens Ove Hofmann, Helsinge;0
2. Esbønderup;F;SF - Socialistisk Folkeparti;Kirsten Juul, Smidstrup;0
2. Esbønderup;G;nytgribskov;Listestemmer;81
2. Esbønderup;G;nytgribskov;Anders Gerner Frost;112
2. Esbønderup;G;nytgribskov;Sisse Krøll Willemoes;29
2. Esbønderup;G;nytgribskov;Morten Ulrik Jørgensen;21
2. Esbønderup;G;nytgribskov;Pernille Søndergaard;10
2. Esbønderup;G;nytgribskov;Morten Klitgaard;5
2. Esbønderup;G;nytgribskov;Pernille Kromann Sams;8
2. Esbønderup;G;nytgribskov;Thomas Elletoft Køster;1
2. Esbønderup;G;nytgribskov;Henny Inge Green;4
2. Esbønderup;G;nytgribskov;Tonny Nalepa Jensen;5
2. Esbønderup;G;nytgribskov;Camilla Woller-Nielsen;2
2. Esbønderup;G;nytgribskov;Mads Wingaard;1
2. Esbønderup;G;nytgribskov;Palle Bruun;3
2. Esbønderup;G;nytgribskov;Keld Hansen;6
2. Esbønderup;G;nytgribskov;Jesper Nielsen;1
2. Esbønderup;G;nytgribskov;Nana Kristine Bryder;5
2. Esbønderup;G;nytgribskov;Alan Robert Nielsen;2
2. Esbønderup;G;nytgribskov;Cannot Kroner;0
2. Esbønderup;I;Liberal Alliance;Listestemmer;21
2. Esbønderup;I;Liberal Alliance;Karsten Andersen;7
2. Esbønderup;I;Liberal Alliance;Jens Erik Pedersen;5
2. Esbønderup;O;Dansk Folkeparti;Listestemmer;71
2. Esbønderup;O;Dansk Folkeparti;Brian Lyck Jørgensen;24
