Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. 1. Østerbro;A;Socialdemokratiet;Listestemmer;921
1. 1. Østerbro;A;Socialdemokratiet;Frank Jensen;1173
1. 1. Østerbro;A;Socialdemokratiet;Jesper Christensen;36
1. 1. Østerbro;A;Socialdemokratiet;Lars Weiss;20
1. 1. Østerbro;A;Socialdemokratiet;Jakob Hougaard;31
1. 1. Østerbro;A;Socialdemokratiet;Andreas Keil;108
1. 1. Østerbro;A;Socialdemokratiet;Trine Madsen;27
1. 1. Østerbro;A;Socialdemokratiet;Tue Hækkerup;54
1. 1. Østerbro;A;Socialdemokratiet;Susan Hedlund;18
1. 1. Østerbro;A;Socialdemokratiet;Laura Rosenvinge;17
1. 1. Østerbro;A;Socialdemokratiet;Kasandra Behrndt-Eriksen;56
1. 1. Østerbro;A;Socialdemokratiet;Karina Sønderfort;23
1. 1. Østerbro;A;Socialdemokratiet;Jonas Bjørn Jensen;62
1. 1. Østerbro;A;Socialdemokratiet;Elisabeth Grüner;27
1. 1. Østerbro;A;Socialdemokratiet;Maria Negrijn Tranberg;34
1. 1. Østerbro;A;Socialdemokratiet;Julie Frølich;35
1. 1. Østerbro;A;Socialdemokratiet;Rune Dybvad;30
1. 1. Østerbro;A;Socialdemokratiet;Sofie Seidenfaden;28
1. 1. Østerbro;A;Socialdemokratiet;Grethe Shibli;40
1. 1. Østerbro;A;Socialdemokratiet;Niels E. Bjerrum;45
1. 1. Østerbro;A;Socialdemokratiet;Henrik Appel;18
1. 1. Østerbro;A;Socialdemokratiet;Marcus Vesterager;86
1. 1. Østerbro;A;Socialdemokratiet;Alexander Stürup;11
1. 1. Østerbro;A;Socialdemokratiet;Jan Andreasen;14
1. 1. Østerbro;A;Socialdemokratiet;Simon Strange;51
1. 1. Østerbro;A;Socialdemokratiet;Robert A. Nielsen;0
1. 1. Østerbro;A;Socialdemokratiet;Anders Lundsager;11
1. 1. Østerbro;A;Socialdemokratiet;Thomas Bisballe;3
1. 1. Østerbro;A;Socialdemokratiet;Simon Simonsen;37
1. 1. Østerbro;A;Socialdemokratiet;Louise E. Coulthard;3
1. 1. Østerbro;A;Socialdemokratiet;Jihad Vallentin;2
1. 1. Østerbro;A;Socialdemokratiet;Johnny Jordan;2
