Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Listestemmer;136
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Søren Wiborg;137
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Martin Nielson;76
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Niels Karlsen;9
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Niels Tønnesen;6
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Erdal Colak;235
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Anette Sandgreen;16
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Nina Lumby Pinto Ferreira;16
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Berit Bredelund Nielsen;15
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Thomas Bennedsen;5
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Henning Boe;0
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Claus Weichel;5
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Susanne Voldfrom;11
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Peter Bertram;0
1. Vallensbæk Skole, Multisalen;A;Socialdemokratiet;Lisbeth Schou;2
1. Vallensbæk Skole, Multisalen;B;Radikale Venstre;Listestemmer;25
1. Vallensbæk Skole, Multisalen;B;Radikale Venstre;Jens A. Dahmani;58
1. Vallensbæk Skole, Multisalen;B;Radikale Venstre;Asger W. Bertelsen;39
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Listestemmer;231
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Henrik Rasmussen;597
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Anette Eriksen;55
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Jytte Bendtsen;28
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Søren Mayntz;2
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Morten Schou Jørgensen;35
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;John Sørensen;42
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Arne Petersen;14
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Marianne Friis-Mikkelsen;65
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Lene Holm Gamborg;21
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Daniel Baes;12
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Ricky van Overeem;27
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Pelle Grønskov;2
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Lene Lykke Sørensen;14
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Lone Christiansen;3
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Hardy Javelin;5
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Carl Eltorp;5
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Margrethe Hichmann;1
1. Vallensbæk Skole, Multisalen;C;Det Konservative Folkeparti;Jan Høgskilde;35
1. Vallensbæk Skole, Multisalen;F;SF - Socialistisk Folkeparti;Listestemmer;13
1. Vallensbæk Skole, Multisalen;F;SF - Socialistisk Folkeparti;Shila Heiberg;33
1. Vallensbæk Skole, Multisalen;I;Liberal Alliance;Listestemmer;21
1. Vallensbæk Skole, Multisalen;I;Liberal Alliance;Kenneth Solbjerg;13
1. Vallensbæk Skole, Multisalen;I;Liberal Alliance;Majken Andersen;7
1. Vallensbæk Skole, Multisalen;O;Dansk Folkeparti;Listestemmer;94
1. Vallensbæk Skole, Multisalen;O;Dansk Folkeparti;Kenneth Kristensen Berth;70
1. Vallensbæk Skole, Multisalen;O;Dansk Folkeparti;Carina Kristensen Berth;26
1. Vallensbæk Skole, Multisalen;O;Dansk Folkeparti;Malene Ellekilde;10
1. Vallensbæk Skole, Multisalen;O;Dansk Folkeparti;Christian Bülow;12
1. Vallensbæk Skole, Multisalen;O;Dansk Folkeparti;Kennet Fløjbo;3
1. Vallensbæk Skole, Multisalen;O;Dansk Folkeparti;Jan Bonde Gravang;2
1. Vallensbæk Skole, Multisalen;O;Dansk Folkeparti;Kirsten Læsø Jensen;0
1. Vallensbæk Skole, Multisalen;V;Venstre, Danmarks Liberale Parti;Listestemmer;36
1. Vallensbæk Skole, Multisalen;V;Venstre, Danmarks Liberale Parti;Niels Jørgensen;54
1. Vallensbæk Skole, Multisalen;V;Venstre, Danmarks Liberale Parti;Carina Daumann;17
1. Vallensbæk Skole, Multisalen;V;Venstre, Danmarks Liberale Parti;Brian Dahlberg;0
1. Vallensbæk Skole, Multisalen;V;Venstre, Danmarks Liberale Parti;Camilla Jensen;7
1. Vallensbæk Skole, Multisalen;V;Venstre, Danmarks Liberale Parti;Thomas Larsen;3
1. Vallensbæk Skole, Multisalen;V;Venstre, Danmarks Liberale Parti;Henning Blauenfeldt;1
1. Vallensbæk Skole, Multisalen;V;Venstre, Danmarks Liberale Parti;Leif B. Sørensen;0
1. Vallensbæk Skole, Multisalen;V;Venstre, Danmarks Liberale Parti;Inge Jørgensen;1
1. Vallensbæk Skole, Multisalen;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;59
1. Vallensbæk Skole, Multisalen;Ø;Enhedslisten - De Rød-Grønne;Jesper Gehrke;27
1. Vallensbæk Skole, Multisalen;Ø;Enhedslisten - De Rød-Grønne;Jens Ove Bay;18
2. Egholmskolen;A;Socialdemokratiet;Listestemmer;181
2. Egholmskolen;A;Socialdemokratiet;Søren Wiborg;239
2. Egholmskolen;A;Socialdemokratiet;Martin Nielson;67
2. Egholmskolen;A;Socialdemokratiet;Niels Karlsen;11
2. Egholmskolen;A;Socialdemokratiet;Niels Tønnesen;32
2. Egholmskolen;A;Socialdemokratiet;Erdal Colak;44
2. Egholmskolen;A;Socialdemokratiet;Anette Sandgreen;18
2. Egholmskolen;A;Socialdemokratiet;Nina Lumby Pinto Ferreira;22
2. Egholmskolen;A;Socialdemokratiet;Berit Bredelund Nielsen;21
2. Egholmskolen;A;Socialdemokratiet;Thomas Bennedsen;2
2. Egholmskolen;A;Socialdemokratiet;Henning Boe;1
2. Egholmskolen;A;Socialdemokratiet;Claus Weichel;10
2. Egholmskolen;A;Socialdemokratiet;Susanne Voldfrom;16
2. Egholmskolen;A;Socialdemokratiet;Peter Bertram;2
2. Egholmskolen;A;Socialdemokratiet;Lisbeth Schou;2
2. Egholmskolen;B;Radikale Venstre;Listestemmer;24
2. Egholmskolen;B;Radikale Venstre;Jens A. Dahmani;83
2. Egholmskolen;B;Radikale Venstre;Asger W. Bertelsen;32
2. Egholmskolen;C;Det Konservative Folkeparti;Listestemmer;287
2. Egholmskolen;C;Det Konservative Folkeparti;Henrik Rasmussen;705
2. Egholmskolen;C;Det Konservative Folkeparti;Anette Eriksen;109
2. Egholmskolen;C;Det Konservative Folkeparti;Jytte Bendtsen;57
2. Egholmskolen;C;Det Konservative Folkeparti;Søren Mayntz;5
2. Egholmskolen;C;Det Konservative Folkeparti;Morten Schou Jørgensen;74
2. Egholmskolen;C;Det Konservative Folkeparti;John Sørensen;22
2. Egholmskolen;C;Det Konservative Folkeparti;Arne Petersen;29
2. Egholmskolen;C;Det Konservative Folkeparti;Marianne Friis-Mikkelsen;41
2. Egholmskolen;C;Det Konservative Folkeparti;Lene Holm Gamborg;23
2. Egholmskolen;C;Det Konservative Folkeparti;Daniel Baes;24
2. Egholmskolen;C;Det Konservative Folkeparti;Ricky van Overeem;22
2. Egholmskolen;C;Det Konservative Folkeparti;Pelle Grønskov;12
2. Egholmskolen;C;Det Konservative Folkeparti;Lene Lykke Sørensen;33
2. Egholmskolen;C;Det Konservative Folkeparti;Lone Christiansen;5
2. Egholmskolen;C;Det Konservative Folkeparti;Hardy Javelin;4
2. Egholmskolen;C;Det Konservative Folkeparti;Carl Eltorp;8
2. Egholmskolen;C;Det Konservative Folkeparti;Margrethe Hichmann;4
2. Egholmskolen;C;Det Konservative Folkeparti;Jan Høgskilde;33
2. Egholmskolen;F;SF - Socialistisk Folkeparti;Listestemmer;18
2. Egholmskolen;F;SF - Socialistisk Folkeparti;Shila Heiberg;30
2. Egholmskolen;I;Liberal Alliance;Listestemmer;15
2. Egholmskolen;I;Liberal Alliance;Kenneth Solbjerg;18
2. Egholmskolen;I;Liberal Alliance;Majken Andersen;7
2. Egholmskolen;O;Dansk Folkeparti;Listestemmer;104
2. Egholmskolen;O;Dansk Folkeparti;Kenneth Kristensen Berth;67
2. Egholmskolen;O;Dansk Folkeparti;Carina Kristensen Berth;22
2. Egholmskolen;O;Dansk Folkeparti;Malene Ellekilde;12
2. Egholmskolen;O;Dansk Folkeparti;Christian Bülow;14
2. Egholmskolen;O;Dansk Folkeparti;Kennet Fløjbo;4
2. Egholmskolen;O;Dansk Folkeparti;Jan Bonde Gravang;0
2. Egholmskolen;O;Dansk Folkeparti;Kirsten Læsø Jensen;3
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Listestemmer;37
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Niels Jørgensen;13
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Carina Daumann;16
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Brian Dahlberg;9
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Camilla Jensen;1
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Thomas Larsen;1
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Henning Blauenfeldt;0
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Leif B. Sørensen;0
2. Egholmskolen;V;Venstre, Danmarks Liberale Parti;Inge Jørgensen;1
2. Egholmskolen;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;37
2. Egholmskolen;Ø;Enhedslisten - De Rød-Grønne;Jesper Gehrke;19
2. Egholmskolen;Ø;Enhedslisten - De Rød-Grønne;Jens Ove Bay;13
3. Pilehaveskolen;A;Socialdemokratiet;Listestemmer;261
3. Pilehaveskolen;A;Socialdemokratiet;Søren Wiborg;258
3. Pilehaveskolen;A;Socialdemokratiet;Martin Nielson;67
3. Pilehaveskolen;A;Socialdemokratiet;Niels Karlsen;8
3. Pilehaveskolen;A;Socialdemokratiet;Niels Tønnesen;5
3. Pilehaveskolen;A;Socialdemokratiet;Erdal Colak;80
3. Pilehaveskolen;A;Socialdemokratiet;Anette Sandgreen;50
3. Pilehaveskolen;A;Socialdemokratiet;Nina Lumby Pinto Ferreira;15
