Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Lemvig;A;Socialdemokratiet;Listestemmer;118
1. Lemvig;A;Socialdemokratiet;Kenneth Bro;353
1. Lemvig;A;Socialdemokratiet;Lone Pilgaard Sørensen;209
1. Lemvig;A;Socialdemokratiet;Karsten Dyrberg Kragelund;274
1. Lemvig;A;Socialdemokratiet;Ole Byskov;287
1. Lemvig;A;Socialdemokratiet;Ole Skovsgaard Daniel;26
1. Lemvig;A;Socialdemokratiet;Bent Wolder Mortensen;10
1. Lemvig;A;Socialdemokratiet;Jesper Skinhøj Sund;34
1. Lemvig;A;Socialdemokratiet;Kim Lundholm Westeraa;6
1. Lemvig;B;Radikale Venstre;Listestemmer;10
1. Lemvig;B;Radikale Venstre;Gitte Winther Jeppesen;103
1. Lemvig;B;Radikale Venstre;Moustapha Shikho;16
1. Lemvig;B;Radikale Venstre;Josefine Helene G Schlosser;55
1. Lemvig;B;Radikale Venstre;Ole Margon Madsen;21
1. Lemvig;B;Radikale Venstre;Anna Maria Hoornenborg;8
1. Lemvig;B;Radikale Venstre;Michael Brun;9
1. Lemvig;B;Radikale Venstre;Emilie Agergaard;6
1. Lemvig;B;Radikale Venstre;Henrik Hvas-Busk;4
1. Lemvig;B;Radikale Venstre;Lars Andersen Ebbensgaard;4
1. Lemvig;C;Det Konservative Folkeparti;Listestemmer;16
1. Lemvig;C;Det Konservative Folkeparti;Orla Østerby;84
1. Lemvig;C;Det Konservative Folkeparti;Jens Lønberg Pedersen;100
1. Lemvig;C;Det Konservative Folkeparti;Stefan Agger;67
1. Lemvig;C;Det Konservative Folkeparti;I Benedicte Hjerl Carstensen;56
1. Lemvig;C;Det Konservative Folkeparti;Rasmus Søgaard Porup;66
1. Lemvig;C;Det Konservative Folkeparti;Kirsten Rommelhoff Carstensen;9
1. Lemvig;C;Det Konservative Folkeparti;Jens Jørn Porup;10
1. Lemvig;C;Det Konservative Folkeparti;Allan Broberg Møller;5
1. Lemvig;D;Nye Borgerlige;Listestemmer;7
1. Lemvig;D;Nye Borgerlige;Allan Berg;24
1. Lemvig;D;Nye Borgerlige;Johnny Mærkedal Sandbæk;0
1. Lemvig;D;Nye Borgerlige;Tina Hedegaard Pedersen;7
1. Lemvig;D;Nye Borgerlige;Ulrik Kleberg Borup;4
1. Lemvig;F;SF - Socialistisk Folkeparti;Listestemmer;68
1. Lemvig;F;SF - Socialistisk Folkeparti;Arne Noe;121
1. Lemvig;F;SF - Socialistisk Folkeparti;Susanne Helene Buch Nielsen;56
1. Lemvig;F;SF - Socialistisk Folkeparti;Dorete Søndergaard Kallesøe;45
1. Lemvig;F;SF - Socialistisk Folkeparti;Malte Sjørvad Johnsen;42
1. Lemvig;F;SF - Socialistisk Folkeparti;Jacob Hansen Rye;13
1. Lemvig;F;SF - Socialistisk Folkeparti;Britta Grønne Kubstrup;5
1. Lemvig;F;SF - Socialistisk Folkeparti;Brian Lehm Nielsen;0
1. Lemvig;F;SF - Socialistisk Folkeparti;Pia Ellesøe Gasseholm;0
1. Lemvig;F;SF - Socialistisk Folkeparti;Jørn Nielsen;0
1. Lemvig;F;SF - Socialistisk Folkeparti;Janet Hazel Cribb Jensen;5
1. Lemvig;I;Liberal Alliance;Listestemmer;4
1. Lemvig;I;Liberal Alliance;Kurt Anker Jensen;25
1. Lemvig;I;Liberal Alliance;Peder Frølund Buch;9
1. Lemvig;O;Dansk Folkeparti;Listestemmer;60
1. Lemvig;O;Dansk Folkeparti;Karl Balleby Jensen;86
1. Lemvig;O;Dansk Folkeparti;Bruno Hoelgaard;4
1. Lemvig;O;Dansk Folkeparti;Kirsten Margrethe Kyndi Nielsen;8
1. Lemvig;O;Dansk Folkeparti;Laila Anette Damkjær Hoelgaard;8
1. Lemvig;O;Dansk Folkeparti;Bjarne Tved;21
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Listestemmer;126
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Erik Flyvholm;598
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Mikael Holbæk Bertelsen;4
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Leif Clausen;76
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Henrik Breinholt Damgren;12
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Steffen Husted Damsgaard;114
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Bent Bjørndahl Graversen;87
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Asger Gyldenkærne;5
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Gunnar Smedegaard Herping;33
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Tina Boel Christensen van Ingen;12
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Søren Videbæk Jensen;86
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Gunnar Lisby Kjær;94
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Albert Vinther Krogh;3
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Ellen Kirstine Byskov Mejdahl;22
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Vagn Thode Nielsen;1
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Chris Olesen;55
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Claus Bjerg Pedersen;9
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Troels Skovmose;21
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Michelle Welle Tange;10
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Henrik Suderbæk Thygesen;96
1. Lemvig;V;Venstre, Danmarks Liberale Parti;Martha Vrist;139
2. Nørre Nissum;A;Socialdemokratiet;Listestemmer;64
2. Nørre Nissum;A;Socialdemokratiet;Kenneth Bro;89
2. Nørre Nissum;A;Socialdemokratiet;Lone Pilgaard Sørensen;56
2. Nørre Nissum;A;Socialdemokratiet;Karsten Dyrberg Kragelund;31
2. Nørre Nissum;A;Socialdemokratiet;Ole Byskov;27
2. Nørre Nissum;A;Socialdemokratiet;Ole Skovsgaard Daniel;7
2. Nørre Nissum;A;Socialdemokratiet;Bent Wolder Mortensen;4
2. Nørre Nissum;A;Socialdemokratiet;Jesper Skinhøj Sund;5
2. Nørre Nissum;A;Socialdemokratiet;Kim Lundholm Westeraa;3
2. Nørre Nissum;B;Radikale Venstre;Listestemmer;7
2. Nørre Nissum;B;Radikale Venstre;Gitte Winther Jeppesen;59
2. Nørre Nissum;B;Radikale Venstre;Moustapha Shikho;2
2. Nørre Nissum;B;Radikale Venstre;Josefine Helene G Schlosser;43
2. Nørre Nissum;B;Radikale Venstre;Ole Margon Madsen;9
2. Nørre Nissum;B;Radikale Venstre;Anna Maria Hoornenborg;3
2. Nørre Nissum;B;Radikale Venstre;Michael Brun;8
2. Nørre Nissum;B;Radikale Venstre;Emilie Agergaard;0
2. Nørre Nissum;B;Radikale Venstre;Henrik Hvas-Busk;0
2. Nørre Nissum;B;Radikale Venstre;Lars Andersen Ebbensgaard;4
2. Nørre Nissum;C;Det Konservative Folkeparti;Listestemmer;6
2. Nørre Nissum;C;Det Konservative Folkeparti;Orla Østerby;16
2. Nørre Nissum;C;Det Konservative Folkeparti;Jens Lønberg Pedersen;25
2. Nørre Nissum;C;Det Konservative Folkeparti;Stefan Agger;15
2. Nørre Nissum;C;Det Konservative Folkeparti;I Benedicte Hjerl Carstensen;8
2. Nørre Nissum;C;Det Konservative Folkeparti;Rasmus Søgaard Porup;36
2. Nørre Nissum;C;Det Konservative Folkeparti;Kirsten Rommelhoff Carstensen;2
2. Nørre Nissum;C;Det Konservative Folkeparti;Jens Jørn Porup;20
2. Nørre Nissum;C;Det Konservative Folkeparti;Allan Broberg Møller;0
2. Nørre Nissum;D;Nye Borgerlige;Listestemmer;0
2. Nørre Nissum;D;Nye Borgerlige;Allan Berg;1
2. Nørre Nissum;D;Nye Borgerlige;Johnny Mærkedal Sandbæk;2
2. Nørre Nissum;D;Nye Borgerlige;Tina Hedegaard Pedersen;4
2. Nørre Nissum;D;Nye Borgerlige;Ulrik Kleberg Borup;0
2. Nørre Nissum;F;SF - Socialistisk Folkeparti;Listestemmer;26
2. Nørre Nissum;F;SF - Socialistisk Folkeparti;Arne Noe;59
