Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Agersted;A;Socialdemokratiet;Listestemmer;36
1. Agersted;A;Socialdemokratiet;Arne M. Jensen, Brønderslev;3
1. Agersted;A;Socialdemokratiet;Eskild Sloth Andersen, Hjallerup;10
1. Agersted;A;Socialdemokratiet;Hildo Rasmussen, Asaa;5
1. Agersted;A;Socialdemokratiet;Bettina Bøcker Kjeldsen, Br.slev;1
1. Agersted;A;Socialdemokratiet;Peter H. S. Kristensen, Stenum;1
1. Agersted;A;Socialdemokratiet;Ole Jespersgaard, Ø. Brønderslev;1
1. Agersted;A;Socialdemokratiet;Lene Hansen, Jerslev;3
1. Agersted;A;Socialdemokratiet;Ole Andersen, Asaa;5
1. Agersted;A;Socialdemokratiet;Christen Bager, Dronninglund;12
1. Agersted;A;Socialdemokratiet;Johannes Trudslev, Manna-Thise;0
1. Agersted;A;Socialdemokratiet;Birger Lyngholm Thomsen, Dr.lund;7
1. Agersted;A;Socialdemokratiet;Kurt Kristensen, Brønderslev;0
1. Agersted;A;Socialdemokratiet;Poul Erik Andreasen, Dronninglund;17
1. Agersted;A;Socialdemokratiet;Emilly Leilah Kanyi Pedersen, Br.s;0
1. Agersted;A;Socialdemokratiet;Karen Strandfelt, Manna-Thise;0
1. Agersted;A;Socialdemokratiet;Jane Hvas, Manna-Thise;0
1. Agersted;A;Socialdemokratiet;Lene Søndergaard, Klæstrup-Jerslev;0
1. Agersted;A;Socialdemokratiet;Lars Rueskov, Brønderslev;0
1. Agersted;A;Socialdemokratiet;Lars Bisgaard Andreasen, Br.slev;0
1. Agersted;A;Socialdemokratiet;Nobel Kabeya, Brønderslev;0
1. Agersted;A;Socialdemokratiet;Adnan Jedon, Brønderslev;0
1. Agersted;A;Socialdemokratiet;Martin Bo Jensen, Brønderslev;0
1. Agersted;B;Radikale Venstre;Listestemmer;0
1. Agersted;B;Radikale Venstre;Frede Hansen, Dronninglund;2
1. Agersted;B;Radikale Venstre;Bjarne Axelsen, Brønderslev;1
1. Agersted;B;Radikale Venstre;Mediatrice Mushimiye, Brønderslev;0
1. Agersted;B;Radikale Venstre;Morten Thordahl, Hjallerup;0
1. Agersted;B;Radikale Venstre;Rikard Georg Jespersen, Brd.slev;0
1. Agersted;C;Det Konservative Folkeparti;Listestemmer;0
1. Agersted;C;Det Konservative Folkeparti;Karsten Frederiksen, Brønderslev;4
1. Agersted;C;Det Konservative Folkeparti;Line Vanggaard Pedersen, Jerslev;12
1. Agersted;C;Det Konservative Folkeparti;Peter Stecher, Ø. Brønderslev;0
1. Agersted;C;Det Konservative Folkeparti;Jan F. Johansen, Hjallerup;0
1. Agersted;C;Det Konservative Folkeparti;Carsten Møller Nielsen, Dr.lund;1
1. Agersted;C;Det Konservative Folkeparti;Paw Nielsen, Jerslev;0
1. Agersted;C;Det Konservative Folkeparti;Rasmus Appelon Evaldsen, Br.slev;0
1. Agersted;C;Det Konservative Folkeparti;Jette Schiønning Aasholm, Br.slev;0
1. Agersted;C;Det Konservative Folkeparti;Stig Stavnskær, Ø. Brønderslev;0
1. Agersted;C;Det Konservative Folkeparti;Michael Peter Hansen, Brønderslev;0
1. Agersted;C;Det Konservative Folkeparti;Lone Lønbro, Brønderslev;0
1. Agersted;C;Det Konservative Folkeparti;Gorm Karstrøm, Brønderslev;0
1. Agersted;C;Det Konservative Folkeparti;Stinne Reng, Brønderslev;0
1. Agersted;C;Det Konservative Folkeparti;Ole Agger Hansen, Brønderslev;0
