Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
2. Assens;A;Socialdemokratiet;Listestemmer;103
2. Assens;A;Socialdemokratiet;Leif Skaarup, Hobro;78
2. Assens;A;Socialdemokratiet;Edin Hajder, Hobro;4
2. Assens;A;Socialdemokratiet;Mette Binderup, Valsgård;13
2. Assens;A;Socialdemokratiet;Lene Nielsen, Hadsund;15
2. Assens;A;Socialdemokratiet;Jens Riise Dalgaard, Arden;1
2. Assens;A;Socialdemokratiet;Peter Muhl, Skelund;7
2. Assens;A;Socialdemokratiet;Karen Østergaard, Hadsund;14
2. Assens;A;Socialdemokratiet;Trine Blaabjerg Petersen, Hobro;4
2. Assens;A;Socialdemokratiet;Per Søndergaard Mathiesen, Vebbest;4
2. Assens;A;Socialdemokratiet;Jane Grøn, Mariager;30
2. Assens;A;Socialdemokratiet;Niels Peter Christoffersen, Hobro;5
2. Assens;A;Socialdemokratiet;Jette Rask, Hobro;1
2. Assens;A;Socialdemokratiet;Bo Drastrup-Fjordbak, Arden;1
2. Assens;A;Socialdemokratiet;Svend Skifter Andersen, Hobro;5
2. Assens;A;Socialdemokratiet;Steen Thomsen, Ajstrup;187
2. Assens;A;Socialdemokratiet;Gitta Brams, Ø. Hurup;1
2. Assens;A;Socialdemokratiet;Thomas Høj, Mariager;17
2. Assens;A;Socialdemokratiet;Ronny Thomsen, Als;0
2. Assens;A;Socialdemokratiet;Dorthe Boddum, Hobro;0
2. Assens;B;Radikale Venstre;Listestemmer;9
2. Assens;B;Radikale Venstre;Casper Hedegaard, Hadsund;23
2. Assens;B;Radikale Venstre;Claus Jacobsen, Arden;0
2. Assens;B;Radikale Venstre;Clara Carstensen, Hobro;5
2. Assens;B;Radikale Venstre;Maren Tang, Rostrup;1
2. Assens;C;Det Konservative Folkeparti;Listestemmer;5
2. Assens;C;Det Konservative Folkeparti;Jens-Henrik Kirk;15
2. Assens;C;Det Konservative Folkeparti;Karsten Elkjær;2
2. Assens;C;Det Konservative Folkeparti;Jytte Birkkjær;2
2. Assens;C;Det Konservative Folkeparti;Kristian Willadsen;0
2. Assens;C;Det Konservative Folkeparti;Trine Brøndum Vestergaard;2
2. Assens;C;Det Konservative Folkeparti;Bent Verner Madsen;0
2. Assens;C;Det Konservative Folkeparti;Orla Blok;0
2. Assens;F;SF - Socialistisk Folkeparti;Listestemmer;19
2. Assens;F;SF - Socialistisk Folkeparti;Peder Larsen, Mariager;80
2. Assens;F;SF - Socialistisk Folkeparti;Janni Platz Sthyr, Visborg;5
2. Assens;F;SF - Socialistisk Folkeparti;Thorbjørn Boldsen, Hobro;0
2. Assens;F;SF - Socialistisk Folkeparti;Asger Nørgaard, Hobro;1
2. Assens;F;SF - Socialistisk Folkeparti;Jes Nørholm, Visborg;0
2. Assens;F;SF - Socialistisk Folkeparti;Mikkel Grøn, Assens;11
2. Assens;F;SF - Socialistisk Folkeparti;Søren Uhrenholt, Arden;1
2. Assens;F;SF - Socialistisk Folkeparti;Malthe Mikkelsen, Skelund;0
2. Assens;F;SF - Socialistisk Folkeparti;Jonna Lauritsen, Mariager;0
2. Assens;I;Liberal Alliance;Listestemmer;4
2. Assens;I;Liberal Alliance;Bo Ritterbusch, Veddum;6
2. Assens;I;Liberal Alliance;Claus Hermansen, Hobro;1
2. Assens;I;Liberal Alliance;Max Sveistrup Jensen, Hadsund;0
2. Assens;I;Liberal Alliance;Michael Buje, Hadsund;4
2. Assens;K;Kristendemokraterne;Listestemmer;3
2. Assens;K;Kristendemokraterne;Robert Thomsen, Mariager;1
2. Assens;K;Kristendemokraterne;David Jakobsen, Mariager;0
2. Assens;K;Kristendemokraterne;Piratheep Krishnapalan, Hobro;2
2. Assens;K;Kristendemokraterne;Maria Lykke Bentsen, Mariager;0
2. Assens;K;Kristendemokraterne;Anders Kristian Lyng, Valsgård;0
2. Assens;K;Kristendemokraterne;Dan Frederiksen, Mariager;0
2. Assens;K;Kristendemokraterne;David Lund Christesen, Mariager;0
2. Assens;K;Kristendemokraterne;Mojtaba Ojagaz Daliri, Hobro;0
2. Assens;O;Dansk Folkeparti;Listestemmer;55
2. Assens;O;Dansk Folkeparti;Jan Andersen, Øster Hurup;17
2. Assens;O;Dansk Folkeparti;Hans Henrik Sørensen, Arden;14
2. Assens;O;Dansk Folkeparti;Søren Errebo, Astrup;4
2. Assens;O;Dansk Folkeparti;Pia Adelsteen, Mariager;52
2. Assens;O;Dansk Folkeparti;Lasse Vestergaard, Hadsund;4
2. Assens;O;Dansk Folkeparti;Jørgen Hammer Sørensen, Hobro;6
2. Assens;V;Venstre, Danmarks Liberale Parti;Listestemmer;44
2. Assens;V;Venstre, Danmarks Liberale Parti;Mogens Jespersen, Hadsund;135
2. Assens;V;Venstre, Danmarks Liberale Parti;Jørgen Pontoppidan, Hobro;4
2. Assens;V;Venstre, Danmarks Liberale Parti;Per Lynge Laursen, Arden;0
2. Assens;V;Venstre, Danmarks Liberale Parti;Erik Kirkegaard Mikkelsen, Mariage;18
2. Assens;V;Venstre, Danmarks Liberale Parti;Camilla Christensen, Arden;4
2. Assens;V;Venstre, Danmarks Liberale Parti;Henrik Sloth, Øster Hurup;2
2. Assens;V;Venstre, Danmarks Liberale Parti;Søren Greve, Hobro;0
2. Assens;V;Venstre, Danmarks Liberale Parti;Niels Erik Poulsen, Brøndbjerg;0
2. Assens;V;Venstre, Danmarks Liberale Parti;Peter Krogh Olsen, Assens;159
2. Assens;V;Venstre, Danmarks Liberale Parti;Danny Juul Jensen, Veddum;2
2. Assens;V;Venstre, Danmarks Liberale Parti;Svend Madsen, Hobro;3
2. Assens;V;Venstre, Danmarks Liberale Parti;Helle Mølgaard, Valsgård;1
2. Assens;V;Venstre, Danmarks Liberale Parti;Per Roth, Hadsund;0
2. Assens;V;Venstre, Danmarks Liberale Parti;Marianne Eiby, Hobro;0
2. Assens;V;Venstre, Danmarks Liberale Parti;Per Kragelund, Vebbestrup;0
2. Assens;V;Venstre, Danmarks Liberale Parti;Mogens Krogh, Mariager;5
2. Assens;V;Venstre, Danmarks Liberale Parti;Marianne Ladefoged, Hadsund;15
2. Assens;V;Venstre, Danmarks Liberale Parti;Søren Sørensen, Hobro;0
2. Assens;V;Venstre, Danmarks Liberale Parti;Lasse Madsen, Møgelholt;1
2. Assens;V;Venstre, Danmarks Liberale Parti;Ricco Guldager Christensen, Hobro;0
2. Assens;V;Venstre, Danmarks Liberale Parti;Anna Pinnerup, Houtved;0
2. Assens;V;Venstre, Danmarks Liberale Parti;Flemming Lienhøft, Hobro;0
2. Assens;V;Venstre, Danmarks Liberale Parti;Mikael Madsen, Hadsund;1
2. Assens;V;Venstre, Danmarks Liberale Parti;Hardy Bjærge, Hadsund;1
