Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Støvring;A;Socialdemokratiet;Listestemmer;272
1. Støvring;A;Socialdemokratiet;Thøger E Kristensen Øster Hornum;227
1. Støvring;A;Socialdemokratiet;Allan Jæger Terndrup;11
1. Støvring;A;Socialdemokratiet;Peter Hansen Skørping;125
1. Støvring;A;Socialdemokratiet;André Ellegaard Jensen Nørager;4
1. Støvring;A;Socialdemokratiet;Poul Erik Nørnberg Støvring;195
1. Støvring;A;Socialdemokratiet;Stina Bargmann Toft Nørager;14
1. Støvring;A;Socialdemokratiet;Bruno Nielsen Støvring;110
1. Støvring;A;Socialdemokratiet;Morten Lem Ravnkilde;7
1. Støvring;A;Socialdemokratiet;Frank T Christiansen Nørager;1
1. Støvring;B;Radikale Venstre;Listestemmer;58
1. Støvring;B;Radikale Venstre;Leon Sebbelin;315
1. Støvring;B;Radikale Venstre;Per Vilsbøll;8
1. Støvring;B;Radikale Venstre;Michael Portefee P. Lex;6
1. Støvring;B;Radikale Venstre;Louise Teilberg Jensen;73
1. Støvring;B;Radikale Venstre;Pia Britt Elberg;12
1. Støvring;B;Radikale Venstre;Mona Høegh;3
1. Støvring;B;Radikale Venstre;Rene Søndergaard Kure;24
1. Støvring;B;Radikale Venstre;Kjeld Lundager Jørgensen;6
1. Støvring;B;Radikale Venstre;Per Trinderup Dalgaard;2
1. Støvring;B;Radikale Venstre;Henrik Bitsch Hansen;2
1. Støvring;B;Radikale Venstre;Knud Christensen;1
1. Støvring;B;Radikale Venstre;Torsten Topbjerg;22
1. Støvring;C;Det Konservative Folkeparti;Listestemmer;102
1. Støvring;C;Det Konservative Folkeparti;Lene Aalestrup Støvring;623
1. Støvring;C;Det Konservative Folkeparti;Holger Pedersen Nørager;0
1. Støvring;C;Det Konservative Folkeparti;Bjarne Villadsen Suldrup;11
1. Støvring;C;Det Konservative Folkeparti;Flemming Knudsen Skørping;5
1. Støvring;C;Det Konservative Folkeparti;Jeanette Sagan Suldrup;26
1. Støvring;C;Det Konservative Folkeparti;Peter Bak Haverslev;12
1. Støvring;C;Det Konservative Folkeparti;Steffen Sagan Suldrup;4
1. Støvring;C;Det Konservative Folkeparti;Anders Dupont Støvring;39
1. Støvring;C;Det Konservative Folkeparti;Mads Holm Danielsen Støvring;140
1. Støvring;C;Det Konservative Folkeparti;Lotte Holm Støvring;17
1. Støvring;C;Det Konservative Folkeparti;Jakob Ludvigsen Støvring;25
1. Støvring;C;Det Konservative Folkeparti;Morten L Pedersen Haverslev;0
1. Støvring;C;Det Konservative Folkeparti;Emilie Aalestrup Støvring;30
1. Støvring;C;Det Konservative Folkeparti;Thomas Thorlak Støvring;25
1. Støvring;C;Det Konservative Folkeparti;Kim Dalsgaard Christensen Støvring;28
1. Støvring;C;Det Konservative Folkeparti;Helle Rask Nørager;1
1. Støvring;C;Det Konservative Folkeparti;Gry Tange Skørping;4
1. Støvring;C;Det Konservative Folkeparti;Kim Hornbech Rørbæk;0
1. Støvring;C;Det Konservative Folkeparti;Katrine Krog Madsen Suldrup;1
1. Støvring;C;Det Konservative Folkeparti;Pia Nielsen Terndrup;5
1. Støvring;C;Det Konservative Folkeparti;Carsten Hansen Støvring;9
1. Støvring;C;Det Konservative Folkeparti;Kim Nørgaard Støvring;12
1. Støvring;C;Det Konservative Folkeparti;Karsten Frisk Støvring;2
1. Støvring;C;Det Konservative Folkeparti;Birgitte W Simonsen Støvring;68
1. Støvring;C;Det Konservative Folkeparti;Pia Bøgelund Ravnholt Støvring;23
1. Støvring;C;Det Konservative Folkeparti;Ole Spleth Sørensen Kirketerp;4
1. Støvring;C;Det Konservative Folkeparti;Brian Jensen Skørping;0
1. Støvring;C;Det Konservative Folkeparti;Lone Skovrider Støvring;4
1. Støvring;C;Det Konservative Folkeparti;Ole Vittrup Dalgaard Askildrup;0
1. Støvring;F;SF - Socialistisk Folkeparti;Listestemmer;28
1. Støvring;F;SF - Socialistisk Folkeparti;Anette Bruun Hansen Gravlev;41
1. Støvring;F;SF - Socialistisk Folkeparti;Steen Madsen Skørping;31
1. Støvring;F;SF - Socialistisk Folkeparti;Christian Ydesen Suldrup;24
1. Støvring;I;Liberal Alliance;Listestemmer;34
1. Støvring;I;Liberal Alliance;Louise Svenstrup;66
1. Støvring;I;Liberal Alliance;Peter Kjær;19
1. Støvring;I;Liberal Alliance;Flemming Jepsen;11
1. Støvring;I;Liberal Alliance;Kaja Madsen;4
1. Støvring;I;Liberal Alliance;Ole Sørensen;2
1. Støvring;J;Oplandslisten;Listestemmer;13
1. Støvring;J;Oplandslisten;Axel Rene Aubertin Gl. Skørping;132
1. Støvring;J;Oplandslisten;Andrew Mark Stanfield Byrsted;4
1. Støvring;J;Oplandslisten;Jean Paul Aubertin Gerding;3
1. Støvring;L;Den Sociale Fællesliste - Rebild;Listestemmer;28
1. Støvring;L;Den Sociale Fællesliste - Rebild;Allan Busk;243
1. Støvring;L;Den Sociale Fællesliste - Rebild;Klaus Anker Hansen;82
1. Støvring;L;Den Sociale Fællesliste - Rebild;Lars Hørsman;8
1. Støvring;L;Den Sociale Fællesliste - Rebild;Rasmus Rask;2
1. Støvring;L;Den Sociale Fællesliste - Rebild;Helle Kjærager Kanstrup;17
1. Støvring;L;Den Sociale Fællesliste - Rebild;Gitte Meldgaard;6
1. Støvring;L;Den Sociale Fællesliste - Rebild;Mads Madsen;4
1. Støvring;L;Den Sociale Fællesliste - Rebild;Maybritt Toft Pedersen;5
1. Støvring;L;Den Sociale Fællesliste - Rebild;Henrik Bundgaard;0
1. Støvring;L;Den Sociale Fællesliste - Rebild;Mette Øskov Olesen;5
1. Støvring;L;Den Sociale Fællesliste - Rebild;Anne Lund Gormsen;0
1. Støvring;L;Den Sociale Fællesliste - Rebild;Helle Heide Kokholm Jensen;0
