Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Bredebro;A;Socialdemokratiet;Listestemmer;43
1. Bredebro;A;Socialdemokratiet;Peter Christensen;38
1. Bredebro;A;Socialdemokratiet;Eike Albrechtsen;2
1. Bredebro;A;Socialdemokratiet;Henrik Mehlsen;0
1. Bredebro;A;Socialdemokratiet;Frede Jensen;2
1. Bredebro;A;Socialdemokratiet;Flemming Gjelstrup;302
1. Bredebro;A;Socialdemokratiet;Henning Gad;2
1. Bredebro;A;Socialdemokratiet;Elisabeth Simonsen;3
1. Bredebro;A;Socialdemokratiet;Mette Nielsen;0
1. Bredebro;A;Socialdemokratiet;Jens Nissen;2
1. Bredebro;A;Socialdemokratiet;Tage Sørensen;0
1. Bredebro;A;Socialdemokratiet;Kim Printz Ringbæk;0
1. Bredebro;A;Socialdemokratiet;Mimi Lytje;2
1. Bredebro;A;Socialdemokratiet;Ulla Hansen;6
1. Bredebro;A;Socialdemokratiet;Harald Christensen;3
1. Bredebro;A;Socialdemokratiet;Flemming Prasse;6
1. Bredebro;A;Socialdemokratiet;Susanne Sørensen;0
1. Bredebro;A;Socialdemokratiet;Elly Sørensen;0
1. Bredebro;B;Radikale Venstre;Listestemmer;0
1. Bredebro;B;Radikale Venstre;Morten Gliemann, Tønder;2
1. Bredebro;C;Det Konservative Folkeparti;Listestemmer;4
1. Bredebro;C;Det Konservative Folkeparti;Anette Abildgaard Larsen, Tønder;3
1. Bredebro;C;Det Konservative Folkeparti;Allan Poulsen, Tønder;4
1. Bredebro;C;Det Konservative Folkeparti;Anette Konstmann, Bredebro;9
1. Bredebro;C;Det Konservative Folkeparti;Thomas Nordsted Sørensen, Lgk.;4
1. Bredebro;C;Det Konservative Folkeparti;Bo Hersbøll, Højer;0
1. Bredebro;C;Det Konservative Folkeparti;Lau Nørgaard, Skærbæk;0
1. Bredebro;D;Nye Borgerlige;Listestemmer;3
1. Bredebro;D;Nye Borgerlige;Betina N. Pedersen, Toftlund;0
1. Bredebro;D;Nye Borgerlige;Carl E. Michelsen, Tønder;0
1. Bredebro;F;SF - Socialistisk Folkeparti;Listestemmer;5
1. Bredebro;F;SF - Socialistisk Folkeparti;Mathilde Ziefeldt, Tønder;9
1. Bredebro;F;SF - Socialistisk Folkeparti;Bjarne Lund Henneberg, Tønder;3
1. Bredebro;F;SF - Socialistisk Folkeparti;Christina Naphat Vincent Møller, A;0
1. Bredebro;F;SF - Socialistisk Folkeparti;Emilie Nyborg, Tønder;1
1. Bredebro;F;SF - Socialistisk Folkeparti;Signe Roesen Kristensen, Tønder;1
1. Bredebro;I;Liberal Alliance;Listestemmer;5
1. Bredebro;I;Liberal Alliance;Claus Hansen, Løgumkloster;4
1. Bredebro;I;Liberal Alliance;Birthe Frikke, Arrild;1
1. Bredebro;I;Liberal Alliance;Per Jacobsen, Tønder;0
1. Bredebro;I;Liberal Alliance;Bent Frikke, Arrild;0
1. Bredebro;I;Liberal Alliance;Allan Svendsen, Rømø;4
1. Bredebro;I;Liberal Alliance;Jan Agermose, Tønder;0
1. Bredebro;K;Kristendemokraterne;Listestemmer;0
1. Bredebro;K;Kristendemokraterne;Gert Brennalt;0
1. Bredebro;L;Borgerlisten;Listestemmer;2
1. Bredebro;L;Borgerlisten;Thomas Ørting Jørgensen, Tønder;7
1. Bredebro;L;Borgerlisten;Neel Rudebeck, Tønder;24
1. Bredebro;L;Borgerlisten;Christian Schulz, Øster Højst;1
1. Bredebro;L;Borgerlisten;Svend Chrestensen, Løgumkloster;0
1. Bredebro;L;Borgerlisten;Nicolai Aabling, Skærbæk;2
1. Bredebro;L;Borgerlisten;Kasper Sørensen, Tønder;1
1. Bredebro;O;Dansk Folkeparti;Listestemmer;47
1. Bredebro;O;Dansk Folkeparti;Bent Paulsen;19
1. Bredebro;O;Dansk Folkeparti;Jan Voss Hansen;14
1. Bredebro;O;Dansk Folkeparti;Charlotte Gugolka;7
1. Bredebro;O;Dansk Folkeparti;Harry Sørensen;2
1. Bredebro;O;Dansk Folkeparti;Thorkild Petersen;0
1. Bredebro;O;Dansk Folkeparti;Claus Gumprecht;3
1. Bredebro;O;Dansk Folkeparti;Søren Malchow;3
1. Bredebro;O;Dansk Folkeparti;Niels Hattens;7
1. Bredebro;O;Dansk Folkeparti;Lene Baggesø Fruerboel;1
1. Bredebro;O;Dansk Folkeparti;Anton Lund;4
1. Bredebro;S;Slesvigsk Parti;Listestemmer;5
1. Bredebro;S;Slesvigsk Parti;Jørgen Popp Petersen, Søvang;15
1. Bredebro;S;Slesvigsk Parti;Louise Thomsen Terp, Tønder;7
1. Bredebro;S;Slesvigsk Parti;Anita Carlsen-Rausch, Løgumkloster;2
1. Bredebro;S;Slesvigsk Parti;Leif Hansen, Løgumkloster;5
1. Bredebro;S;Slesvigsk Parti;Jannek Christian Langert, Tønder;0
1. Bredebro;S;Slesvigsk Parti;Marieke Heimburger, Tønder;0
1. Bredebro;S;Slesvigsk Parti;Karin Müller, Tønder;0
1. Bredebro;S;Slesvigsk Parti;Hauke Grella, Højer;0
1. Bredebro;S;Slesvigsk Parti;Uwe Matzen, Løjtved;1
1. Bredebro;S;Slesvigsk Parti;Irene Feddersen, Rørkær;0
1. Bredebro;S;Slesvigsk Parti;Rasmus B. Jessen, Tønder;0
1. Bredebro;S;Slesvigsk Parti;Christian Andresen, Sæd;0
1. Bredebro;S;Slesvigsk Parti;Peter Sönnichsen, Højer;0
1. Bredebro;S;Slesvigsk Parti;Dirk Andresen, Tønder;0
1. Bredebro;S;Slesvigsk Parti;Volker Heesch, Højer;0
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Listestemmer;37
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Henrik Frandsen;94
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Mette Bossen Linnet;29
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Jens Thysen;0
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Irene Holk Lund;6
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Allan Skjøth;0
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Søren Rødgaard Henriksen;4
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Leif Høeg Jensen;0
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Daisy Dahl;6
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Niels Feddersen Dahlmann;150
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Kim L. Tygesen;1
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Karl Henning Clausen;0
1. Bredebro;V;Venstre, Danmarks Liberale Parti;René Andersen;3
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Preben Linnet;9
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Poul Erik Kjær;0
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Pia Dyring Lassen;0
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Johan Boysen;0
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Jesper Steenholdt;5
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Susanne Linnet;23
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Mathias Knudsen;8
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Kjeld Callesen;0
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Carl-Erik Nielsen;1
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Kjeld Jacobsen;1
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Christian Hansen;0
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Bo Jessen;24
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Anita Uggerholt Eriksen;1
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Jens Møller;2
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Flemming Borg;2
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Lisbeth Bang Pedersen;1
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Pia Hedegaard Kristensen;0
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Jimmi Nielsen;0
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Agner Petersen;0
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Anne Helene Lund;11
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Peter Aage Nielsen;0
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Tom Marquardsen;0
1. Bredebro;V;Venstre, Danmarks Liberale Parti;Poul Erik Henriksen;0
1. Bredebro;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;8
1. Bredebro;Ø;Enhedslisten - De Rød-Grønne;Holger Jens Petersen, Møgeltønder;1
1. Bredebro;Ø;Enhedslisten - De Rød-Grønne;Claus Højsgaard, Løgumkloster;2
1. Bredebro;Ø;Enhedslisten - De Rød-Grønne;Tina Evald Kær, Skærbæk;1
1. Bredebro;Ø;Enhedslisten - De Rød-Grønne;Simone Mørck Højsgaard, Tønder;1
1. Bredebro;Ø;Enhedslisten - De Rød-Grønne;Jan Sørensen, Øster Højst;1
1. Bredebro;Ø;Enhedslisten - De Rød-Grønne;Liselotte Petersen, Møgeltønder;0
1. Bredebro;Ø;Enhedslisten - De Rød-Grønne;René Wissendorf Christoffersen, Sb;1
1. Bredebro;Å;Alternativet;Listestemmer;2
1. Bredebro;Å;Alternativet;Peter Beiter Andresen, Tønder;0
1. Bredebro;Å;Alternativet;René Buur Kjøller, Tønder;0
1. Bredebro;Å;Alternativet;Henrik Møller, Tønder;2
2. Ballum;A;Socialdemokratiet;Listestemmer;21
2. Ballum;A;Socialdemokratiet;Peter Christensen;20
2. Ballum;A;Socialdemokratiet;Eike Albrechtsen;2
2. Ballum;A;Socialdemokratiet;Henrik Mehlsen;1
2. Ballum;A;Socialdemokratiet;Frede Jensen;0
2. Ballum;A;Socialdemokratiet;Flemming Gjelstrup;25
2. Ballum;A;Socialdemokratiet;Henning Gad;1
2. Ballum;A;Socialdemokratiet;Elisabeth Simonsen;4
2. Ballum;A;Socialdemokratiet;Mette Nielsen;1
2. Ballum;A;Socialdemokratiet;Jens Nissen;0
2. Ballum;A;Socialdemokratiet;Tage Sørensen;1
2. Ballum;A;Socialdemokratiet;Kim Printz Ringbæk;1
2. Ballum;A;Socialdemokratiet;Mimi Lytje;0
2. Ballum;A;Socialdemokratiet;Ulla Hansen;1
2. Ballum;A;Socialdemokratiet;Harald Christensen;0
2. Ballum;A;Socialdemokratiet;Flemming Prasse;3
2. Ballum;A;Socialdemokratiet;Susanne Sørensen;0
2. Ballum;A;Socialdemokratiet;Elly Sørensen;0
2. Ballum;B;Radikale Venstre;Listestemmer;1
2. Ballum;B;Radikale Venstre;Morten Gliemann, Tønder;1
2. Ballum;C;Det Konservative Folkeparti;Listestemmer;2
2. Ballum;C;Det Konservative Folkeparti;Anette Abildgaard Larsen, Tønder;0
2. Ballum;C;Det Konservative Folkeparti;Allan Poulsen, Tønder;2
2. Ballum;C;Det Konservative Folkeparti;Anette Konstmann, Bredebro;3
2. Ballum;C;Det Konservative Folkeparti;Thomas Nordsted Sørensen, Lgk.;0
2. Ballum;C;Det Konservative Folkeparti;Bo Hersbøll, Højer;0
2. Ballum;C;Det Konservative Folkeparti;Lau Nørgaard, Skærbæk;8
2. Ballum;D;Nye Borgerlige;Listestemmer;2
2. Ballum;D;Nye Borgerlige;Betina N. Pedersen, Toftlund;0
2. Ballum;D;Nye Borgerlige;Carl E. Michelsen, Tønder;0
2. Ballum;F;SF - Socialistisk Folkeparti;Listestemmer;3
2. Ballum;F;SF - Socialistisk Folkeparti;Mathilde Ziefeldt, Tønder;5
2. Ballum;F;SF - Socialistisk Folkeparti;Bjarne Lund Henneberg, Tønder;2
2. Ballum;F;SF - Socialistisk Folkeparti;Christina Naphat Vincent Møller, A;2
2. Ballum;F;SF - Socialistisk Folkeparti;Emilie Nyborg, Tønder;0
2. Ballum;F;SF - Socialistisk Folkeparti;Signe Roesen Kristensen, Tønder;1
2. Ballum;I;Liberal Alliance;Listestemmer;1
2. Ballum;I;Liberal Alliance;Claus Hansen, Løgumkloster;2
2. Ballum;I;Liberal Alliance;Birthe Frikke, Arrild;1
2. Ballum;I;Liberal Alliance;Per Jacobsen, Tønder;2
2. Ballum;I;Liberal Alliance;Bent Frikke, Arrild;0
2. Ballum;I;Liberal Alliance;Allan Svendsen, Rømø;0
2. Ballum;I;Liberal Alliance;Jan Agermose, Tønder;0
2. Ballum;K;Kristendemokraterne;Listestemmer;1
2. Ballum;K;Kristendemokraterne;Gert Brennalt;1
2. Ballum;L;Borgerlisten;Listestemmer;3
2. Ballum;L;Borgerlisten;Thomas Ørting Jørgensen, Tønder;4
2. Ballum;L;Borgerlisten;Neel Rudebeck, Tønder;2
2. Ballum;L;Borgerlisten;Christian Schulz, Øster Højst;0
2. Ballum;L;Borgerlisten;Svend Chrestensen, Løgumkloster;0
2. Ballum;L;Borgerlisten;Nicolai Aabling, Skærbæk;1
2. Ballum;L;Borgerlisten;Kasper Sørensen, Tønder;0
2. Ballum;O;Dansk Folkeparti;Listestemmer;14
2. Ballum;O;Dansk Folkeparti;Bent Paulsen;4
2. Ballum;O;Dansk Folkeparti;Jan Voss Hansen;5
2. Ballum;O;Dansk Folkeparti;Charlotte Gugolka;13
2. Ballum;O;Dansk Folkeparti;Harry Sørensen;0
2. Ballum;O;Dansk Folkeparti;Thorkild Petersen;0
2. Ballum;O;Dansk Folkeparti;Claus Gumprecht;0
2. Ballum;O;Dansk Folkeparti;Søren Malchow;1
2. Ballum;O;Dansk Folkeparti;Niels Hattens;1
2. Ballum;O;Dansk Folkeparti;Lene Baggesø Fruerboel;0
2. Ballum;O;Dansk Folkeparti;Anton Lund;0
2. Ballum;S;Slesvigsk Parti;Listestemmer;2
2. Ballum;S;Slesvigsk Parti;Jørgen Popp Petersen, Søvang;12
2. Ballum;S;Slesvigsk Parti;Louise Thomsen Terp, Tønder;3
2. Ballum;S;Slesvigsk Parti;Anita Carlsen-Rausch, Løgumkloster;0
2. Ballum;S;Slesvigsk Parti;Leif Hansen, Løgumkloster;0
2. Ballum;S;Slesvigsk Parti;Jannek Christian Langert, Tønder;0
2. Ballum;S;Slesvigsk Parti;Marieke Heimburger, Tønder;1
2. Ballum;S;Slesvigsk Parti;Karin Müller, Tønder;1
2. Ballum;S;Slesvigsk Parti;Hauke Grella, Højer;1
2. Ballum;S;Slesvigsk Parti;Uwe Matzen, Løjtved;0
2. Ballum;S;Slesvigsk Parti;Irene Feddersen, Rørkær;0
2. Ballum;S;Slesvigsk Parti;Rasmus B. Jessen, Tønder;1
2. Ballum;S;Slesvigsk Parti;Christian Andresen, Sæd;0
2. Ballum;S;Slesvigsk Parti;Peter Sönnichsen, Højer;1
2. Ballum;S;Slesvigsk Parti;Dirk Andresen, Tønder;0
2. Ballum;S;Slesvigsk Parti;Volker Heesch, Højer;0
2. Ballum;V;Venstre, Danmarks Liberale Parti;Listestemmer;10
2. Ballum;V;Venstre, Danmarks Liberale Parti;Henrik Frandsen;37
2. Ballum;V;Venstre, Danmarks Liberale Parti;Mette Bossen Linnet;5
2. Ballum;V;Venstre, Danmarks Liberale Parti;Jens Thysen;0
2. Ballum;V;Venstre, Danmarks Liberale Parti;Irene Holk Lund;2
2. Ballum;V;Venstre, Danmarks Liberale Parti;Allan Skjøth;0
2. Ballum;V;Venstre, Danmarks Liberale Parti;Søren Rødgaard Henriksen;1
2. Ballum;V;Venstre, Danmarks Liberale Parti;Leif Høeg Jensen;0
2. Ballum;V;Venstre, Danmarks Liberale Parti;Daisy Dahl;2
2. Ballum;V;Venstre, Danmarks Liberale Parti;Niels Feddersen Dahlmann;10
2. Ballum;V;Venstre, Danmarks Liberale Parti;Kim L. Tygesen;0
2. Ballum;V;Venstre, Danmarks Liberale Parti;Karl Henning Clausen;0
2. Ballum;V;Venstre, Danmarks Liberale Parti;René Andersen;1
2. Ballum;V;Venstre, Danmarks Liberale Parti;Preben Linnet;4
2. Ballum;V;Venstre, Danmarks Liberale Parti;Poul Erik Kjær;0
2. Ballum;V;Venstre, Danmarks Liberale Parti;Pia Dyring Lassen;0
2. Ballum;V;Venstre, Danmarks Liberale Parti;Johan Boysen;0
2. Ballum;V;Venstre, Danmarks Liberale Parti;Jesper Steenholdt;0
2. Ballum;V;Venstre, Danmarks Liberale Parti;Susanne Linnet;4
2. Ballum;V;Venstre, Danmarks Liberale Parti;Mathias Knudsen;1
2. Ballum;V;Venstre, Danmarks Liberale Parti;Kjeld Callesen;0
2. Ballum;V;Venstre, Danmarks Liberale Parti;Carl-Erik Nielsen;1
2. Ballum;V;Venstre, Danmarks Liberale Parti;Kjeld Jacobsen;0
2. Ballum;V;Venstre, Danmarks Liberale Parti;Christian Hansen;2
2. Ballum;V;Venstre, Danmarks Liberale Parti;Bo Jessen;141
2. Ballum;V;Venstre, Danmarks Liberale Parti;Anita Uggerholt Eriksen;1
2. Ballum;V;Venstre, Danmarks Liberale Parti;Jens Møller;1
2. Ballum;V;Venstre, Danmarks Liberale Parti;Flemming Borg;0
2. Ballum;V;Venstre, Danmarks Liberale Parti;Lisbeth Bang Pedersen;2
2. Ballum;V;Venstre, Danmarks Liberale Parti;Pia Hedegaard Kristensen;0
2. Ballum;V;Venstre, Danmarks Liberale Parti;Jimmi Nielsen;0
2. Ballum;V;Venstre, Danmarks Liberale Parti;Agner Petersen;2
2. Ballum;V;Venstre, Danmarks Liberale Parti;Anne Helene Lund;3
2. Ballum;V;Venstre, Danmarks Liberale Parti;Peter Aage Nielsen;0
2. Ballum;V;Venstre, Danmarks Liberale Parti;Tom Marquardsen;0
