Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Varde By;A;Socialdemokratiet;Listestemmer;575
1. Varde By;A;Socialdemokratiet;Søren Laulund, Varde;775
1. Varde By;A;Socialdemokratiet;Ingvard Ladefoged, Næsbjerg;99
1. Varde By;A;Socialdemokratiet;Frederik Bak, Fåborg;70
1. Varde By;A;Socialdemokratiet;A.C. Hoxcer Nielsen, Varde;238
1. Varde By;A;Socialdemokratiet;Sandie Eis Ravn, Varde;221
1. Varde By;A;Socialdemokratiet;Birger Filskov, Nørre Nebel;14
1. Varde By;A;Socialdemokratiet;Jan Lings, Oksbøl;25
1. Varde By;A;Socialdemokratiet;Mohamed Hadj Ali, Ølgod;10
1. Varde By;A;Socialdemokratiet;Hans Julius, Alslev;9
1. Varde By;A;Socialdemokratiet;Kim Christensen, Tistrup;9
1. Varde By;A;Socialdemokratiet;Kaj-Aage Jensen, Ansager;4
1. Varde By;A;Socialdemokratiet;Lasse Siggaard, Varde;56
1. Varde By;A;Socialdemokratiet;Flemming Knudsen, Oksbøl;21
1. Varde By;A;Socialdemokratiet;Conny Mailand Knigge, Outrup;26
1. Varde By;B;Radikale Venstre;Listestemmer;48
1. Varde By;B;Radikale Venstre;Holger Grumme Nielsen, Starup;90
1. Varde By;B;Radikale Venstre;Jonas C.W. Iversen, Varde;36
1. Varde By;B;Radikale Venstre;Jonna Buch Andersen, Agerbæk;10
1. Varde By;B;Radikale Venstre;Christine Gärtner, Varde;50
1. Varde By;B;Radikale Venstre;John Bach Thygesen, Ølgod;0
1. Varde By;B;Radikale Venstre;Niels Kristian Nørregaard,Næsbjerg;7
1. Varde By;C;Det Konservative Folkeparti;Listestemmer;50
1. Varde By;C;Det Konservative Folkeparti;Niels Christiansen, Nørre Nebel;129
1. Varde By;C;Det Konservative Folkeparti;Erhardt Jull, Oksbøl;29
1. Varde By;C;Det Konservative Folkeparti;Heidi Bundgaard, Varde;108
1. Varde By;C;Det Konservative Folkeparti;Karl Haahr, Ølgod;6
1. Varde By;C;Det Konservative Folkeparti;Verner Puggaard, Årre;15
1. Varde By;C;Det Konservative Folkeparti;Anne Elisabeth Flensted, Varde;146
1. Varde By;F;SF - Socialistisk Folkeparti;Listestemmer;50
1. Varde By;F;SF - Socialistisk Folkeparti;Claus Larsen, Kvong;50
1. Varde By;F;SF - Socialistisk Folkeparti;Birthe Larsen, Varde;85
1. Varde By;I;Liberal Alliance;Listestemmer;94
1. Varde By;I;Liberal Alliance;Steen Holm Iversen;147
1. Varde By;I;Liberal Alliance;Mikkel Tegen Møller Nielsen;27
1. Varde By;I;Liberal Alliance;Mette Tosti;75
1. Varde By;I;Liberal Alliance;Brian Schmidt;14
1. Varde By;I;Liberal Alliance;Katarina Rose Dige;22
1. Varde By;I;Liberal Alliance;Jacob Hjort;52
1. Varde By;K;Kristendemokraterne;Listestemmer;1
1. Varde By;K;Kristendemokraterne;Jens Holm, Ølgod;1
1. Varde By;L;Lokallisten 2017;Listestemmer;51
