Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Brørup;A;Socialdemokratiet;Listestemmer;155
1. Brørup;A;Socialdemokratiet;Jørgen Thøgersen, Brørup;687
1. Brørup;A;Socialdemokratiet;Bodil Staal, Holsted;72
1. Brørup;A;Socialdemokratiet;Klaus Kildemand, Askov;11
1. Brørup;A;Socialdemokratiet;Niels Therkildsen, Gamst;5
1. Brørup;A;Socialdemokratiet;Kjeld Thorsen, Sdr. Hygum;3
1. Brørup;A;Socialdemokratiet;Henrik Sloth, Vejen;3
1. Brørup;A;Socialdemokratiet;Marie Kjestine Ebsen, Føvling;26
1. Brørup;A;Socialdemokratiet;Thomas Schack, Holsted;14
1. Brørup;A;Socialdemokratiet;Peter Fallesen, Vejen;7
1. Brørup;A;Socialdemokratiet;Tanja Bachmann Hansen, Jels;6
1. Brørup;A;Socialdemokratiet;Arne Welcher Christensen, Gesten;3
1. Brørup;A;Socialdemokratiet;Elin Winther, Bække;1
1. Brørup;A;Socialdemokratiet;Thue Uhre Lauridsen, Rødding;3
1. Brørup;A;Socialdemokratiet;T. Tharuman, Vejen;1
1. Brørup;A;Socialdemokratiet;Martin Beltoft-Olsen, Vejen;8
1. Brørup;A;Socialdemokratiet;Tina Bloch Gottschalk, Vejen;22
1. Brørup;B;Radikale Venstre;Listestemmer;21
1. Brørup;B;Radikale Venstre;Henrik Bertelsen;4
1. Brørup;B;Radikale Venstre;Hans Elbæk;9
1. Brørup;C;Det Konservative Folkeparti;Listestemmer;55
1. Brørup;C;Det Konservative Folkeparti;Frank Schmidt-Hansen, Rødding;51
1. Brørup;C;Det Konservative Folkeparti;Berit Aagaard Thuesen, Langetved;7
1. Brørup;C;Det Konservative Folkeparti;Peter Simoni, Vejen;7
1. Brørup;C;Det Konservative Folkeparti;Charlotte Klausen, Hovborg;14
1. Brørup;C;Det Konservative Folkeparti;Jakob Bech Jensen, Lintrup;12
1. Brørup;C;Det Konservative Folkeparti;Knud Peter Wad, Brørup;150
