Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Ringsted Nørretorv;A;Socialdemokratiet;Listestemmer;346
1. Ringsted Nørretorv;A;Socialdemokratiet;Per Flor, Ringsted;401
1. Ringsted Nørretorv;A;Socialdemokratiet;Mette Ahm-Petersen, Ringsted;204
1. Ringsted Nørretorv;A;Socialdemokratiet;Sadik Zeki Topcu, Ringsted;186
1. Ringsted Nørretorv;A;Socialdemokratiet;Lisbeth Andersen, Benløse;42
1. Ringsted Nørretorv;A;Socialdemokratiet;Benny Christensen, Ringsted;226
1. Ringsted Nørretorv;A;Socialdemokratiet;Svend-Erik Jakobsen, Ringsted;47
1. Ringsted Nørretorv;A;Socialdemokratiet;Tini Wehlast, Ringsted;24
1. Ringsted Nørretorv;A;Socialdemokratiet;Jytte Thorup Nielsen, Ringsted;7
1. Ringsted Nørretorv;A;Socialdemokratiet;Vagn Petersen, Ringsted;36
1. Ringsted Nørretorv;A;Socialdemokratiet;Nichlas Riise, Vetterslev;44
1. Ringsted Nørretorv;A;Socialdemokratiet;Allan Marott Nielsen, Nordrup-Far;4
1. Ringsted Nørretorv;A;Socialdemokratiet;Manne Suadicani, Ringsted;10
1. Ringsted Nørretorv;A;Socialdemokratiet;Kirsten Sørensen, Ringsted;14
1. Ringsted Nørretorv;A;Socialdemokratiet;Fiona Bassett-Burr, Sneslev;17
1. Ringsted Nørretorv;B;Radikale Venstre;Listestemmer;72
1. Ringsted Nørretorv;B;Radikale Venstre;Torben Lollike;134
1. Ringsted Nørretorv;B;Radikale Venstre;Jan Heidebo;16
1. Ringsted Nørretorv;B;Radikale Venstre;Lise Bjerglund;25
1. Ringsted Nørretorv;B;Radikale Venstre;Jeanet Nordam Suadicani;9
1. Ringsted Nørretorv;B;Radikale Venstre;Leo Hjorth;3
1. Ringsted Nørretorv;B;Radikale Venstre;Jan Ståhlberg;3
1. Ringsted Nørretorv;B;Radikale Venstre;Martin Bork;12
1. Ringsted Nørretorv;B;Radikale Venstre;Steffen Carlsson;7
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Listestemmer;79
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Finn Andersen;302
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Andreas Karlsen;176
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Lars Tegl Rasmussen;8
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Ole Keinicke Christensen;2
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Karin Boisen;15
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Karin Egeberg;5
1. Ringsted Nørretorv;C;Det Konservative Folkeparti;Børge Albøg;14
1. Ringsted Nørretorv;D;Nye Borgerlige;Listestemmer;24
1. Ringsted Nørretorv;D;Nye Borgerlige;Claus Bedemann, Ringsted;34
1. Ringsted Nørretorv;D;Nye Borgerlige;Kasper Rossing, Ortved;0
1. Ringsted Nørretorv;D;Nye Borgerlige;Leif Nebbelunde, Benløse;8
1. Ringsted Nørretorv;F;SF - Socialistisk Folkeparti;Listestemmer;68
1. Ringsted Nørretorv;F;SF - Socialistisk Folkeparti;Britta Nielsen;88
1. Ringsted Nørretorv;F;SF - Socialistisk Folkeparti;Mette Vallentin;61
1. Ringsted Nørretorv;F;SF - Socialistisk Folkeparti;Uffe Larsen;4
1. Ringsted Nørretorv;F;SF - Socialistisk Folkeparti;Magnus Jønsson;13
1. Ringsted Nørretorv;F;SF - Socialistisk Folkeparti;Lisbeth Balling;4
1. Ringsted Nørretorv;F;SF - Socialistisk Folkeparti;Birgitte Ottosen;7
1. Ringsted Nørretorv;F;SF - Socialistisk Folkeparti;Finn Thomsen;7
1. Ringsted Nørretorv;F;SF - Socialistisk Folkeparti;Kai Brorson;1
1. Ringsted Nørretorv;I;Liberal Alliance;Listestemmer;51
1. Ringsted Nørretorv;I;Liberal Alliance;Henrik Thomsen;40
1. Ringsted Nørretorv;I;Liberal Alliance;Henrik Ribjerg;18
1. Ringsted Nørretorv;I;Liberal Alliance;Birthe Mogensen;4
1. Ringsted Nørretorv;I;Liberal Alliance;Anders Jens Petersen;5
1. Ringsted Nørretorv;I;Liberal Alliance;Merete Ejlekær Nielsen;1
1. Ringsted Nørretorv;I;Liberal Alliance;Hans Henrik Bang;21
1. Ringsted Nørretorv;O;Dansk Folkeparti;Listestemmer;236
1. Ringsted Nørretorv;O;Dansk Folkeparti;Per Nørhave;347
1. Ringsted Nørretorv;O;Dansk Folkeparti;Daniel Nørhave;124
1. Ringsted Nørretorv;O;Dansk Folkeparti;Tina-Mia Eriksen;51
1. Ringsted Nørretorv;O;Dansk Folkeparti;Anders Weber;21
1. Ringsted Nørretorv;O;Dansk Folkeparti;Ole Højgård Nielsen;12
1. Ringsted Nørretorv;O;Dansk Folkeparti;Lotte Birkestrøm;47
1. Ringsted Nørretorv;O;Dansk Folkeparti;Bo Larsen;7
1. Ringsted Nørretorv;O;Dansk Folkeparti;Lis Frederiksen;6
1. Ringsted Nørretorv;O;Dansk Folkeparti;Pia Fussing;7
1. Ringsted Nørretorv;O;Dansk Folkeparti;Susanne Cornelius;39
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Listestemmer;274
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Henrik Hvidesten;1013
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Klaus Hansen;52
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Johnny Brown Lundberg Dahlgaard;61
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Line Lynnerup;53
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Dennis Emanuel Simonsen;24
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Timo Jensen;48
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Mazlum Øz;72
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Per Roos;63
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Tina Sterup;20
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Jane Strange;18
1. Ringsted Nørretorv;V;Venstre, Danmarks Liberale Parti;Sune Harild;4
1. Ringsted Nørretorv;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;118
1. Ringsted Nørretorv;Ø;Enhedslisten - De Rød-Grønne;Henrik Kjær;44
1. Ringsted Nørretorv;Ø;Enhedslisten - De Rød-Grønne;Jan Jakobsen;30
1. Ringsted Nørretorv;Ø;Enhedslisten - De Rød-Grønne;Berit Bruun;16
1. Ringsted Nørretorv;Ø;Enhedslisten - De Rød-Grønne;Kim Villadsen;7
1. Ringsted Nørretorv;Ø;Enhedslisten - De Rød-Grønne;Mona Musse;21
1. Ringsted Nørretorv;Ø;Enhedslisten - De Rød-Grønne;Ole Alex Larsen;2
1. Ringsted Nørretorv;Ø;Enhedslisten - De Rød-Grønne;Sarah Hedegaard;6
1. Ringsted Nørretorv;Ø;Enhedslisten - De Rød-Grønne;Lene Boye-Hansen;5
1. Ringsted Nørretorv;Å;Alternativet;Listestemmer;23
1. Ringsted Nørretorv;Å;Alternativet;Nicky Petersen;92
2. Bringstrup;A;Socialdemokratiet;Listestemmer;35
2. Bringstrup;A;Socialdemokratiet;Per Flor, Ringsted;17
2. Bringstrup;A;Socialdemokratiet;Mette Ahm-Petersen, Ringsted;19
2. Bringstrup;A;Socialdemokratiet;Sadik Zeki Topcu, Ringsted;1
2. Bringstrup;A;Socialdemokratiet;Lisbeth Andersen, Benløse;4
2. Bringstrup;A;Socialdemokratiet;Benny Christensen, Ringsted;5
2. Bringstrup;A;Socialdemokratiet;Svend-Erik Jakobsen, Ringsted;0
2. Bringstrup;A;Socialdemokratiet;Tini Wehlast, Ringsted;2
2. Bringstrup;A;Socialdemokratiet;Jytte Thorup Nielsen, Ringsted;0
2. Bringstrup;A;Socialdemokratiet;Vagn Petersen, Ringsted;1
2. Bringstrup;A;Socialdemokratiet;Nichlas Riise, Vetterslev;5
2. Bringstrup;A;Socialdemokratiet;Allan Marott Nielsen, Nordrup-Far;0
2. Bringstrup;A;Socialdemokratiet;Manne Suadicani, Ringsted;2
2. Bringstrup;A;Socialdemokratiet;Kirsten Sørensen, Ringsted;3
2. Bringstrup;A;Socialdemokratiet;Fiona Bassett-Burr, Sneslev;1
2. Bringstrup;B;Radikale Venstre;Listestemmer;4
2. Bringstrup;B;Radikale Venstre;Torben Lollike;5
2. Bringstrup;B;Radikale Venstre;Jan Heidebo;3
2. Bringstrup;B;Radikale Venstre;Lise Bjerglund;1
2. Bringstrup;B;Radikale Venstre;Jeanet Nordam Suadicani;1
2. Bringstrup;B;Radikale Venstre;Leo Hjorth;0
2. Bringstrup;B;Radikale Venstre;Jan Ståhlberg;0
2. Bringstrup;B;Radikale Venstre;Martin Bork;0
2. Bringstrup;B;Radikale Venstre;Steffen Carlsson;0
2. Bringstrup;C;Det Konservative Folkeparti;Listestemmer;3
2. Bringstrup;C;Det Konservative Folkeparti;Finn Andersen;11
