Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Birkerød;A;Socialdemokratiet;Listestemmer;200
1. Birkerød;A;Socialdemokratiet;Kristine Thrane;169
1. Birkerød;A;Socialdemokratiet;Mette Poulsen;20
1. Birkerød;A;Socialdemokratiet;Daniel Poulsen;13
1. Birkerød;A;Socialdemokratiet;Poul Bach;109
1. Birkerød;A;Socialdemokratiet;Preben Etwil;22
1. Birkerød;A;Socialdemokratiet;Heidi Højmark Falden;21
1. Birkerød;A;Socialdemokratiet;Flemming Hørdum Gertsen;14
1. Birkerød;A;Socialdemokratiet;Erik Eugen Olsen;115
1. Birkerød;A;Socialdemokratiet;Thomas Lesly Rasmussen;5
1. Birkerød;B;Radikale Venstre;Listestemmer;104
1. Birkerød;B;Radikale Venstre;Court Møller;82
1. Birkerød;B;Radikale Venstre;Jacob Netteberg;48
1. Birkerød;B;Radikale Venstre;Kirstine Flarup Tofthøj;25
1. Birkerød;B;Radikale Venstre;Frank Edelmann Christensen;15
1. Birkerød;B;Radikale Venstre;Nikolaj Brasen;4
1. Birkerød;B;Radikale Venstre;Aleksandra Maria Spangsege;5
1. Birkerød;B;Radikale Venstre;Flemming Heidelbach;0
1. Birkerød;B;Radikale Venstre;Jacob Johannsen;2
1. Birkerød;B;Radikale Venstre;Kristoffer Boye Astrup;4
1. Birkerød;B;Radikale Venstre;Karen Grønkjær Kjeldsen;19
1. Birkerød;C;Det Konservative Folkeparti;Listestemmer;158
1. Birkerød;C;Det Konservative Folkeparti;Kenneth Birkholm, Høsterkøb;76
1. Birkerød;C;Det Konservative Folkeparti;Birgitte Schjerning, Søllerød;52
1. Birkerød;C;Det Konservative Folkeparti;Christoffer Buster Reinhardt,Holte;18
1. Birkerød;C;Det Konservative Folkeparti;Jack Otto Kristensen, Birkerød;49
1. Birkerød;C;Det Konservative Folkeparti;Claus Hjorting, Gl. Holte;7
1. Birkerød;C;Det Konservative Folkeparti;Jakob Kjærsgaard, Søllerød;8
1. Birkerød;C;Det Konservative Folkeparti;Lars Engelberth, Birkerød;30
1. Birkerød;C;Det Konservative Folkeparti;Susanne Fris, Bistrup;16
1. Birkerød;C;Det Konservative Folkeparti;Lene Juhl Stener, Holte;0
1. Birkerød;C;Det Konservative Folkeparti;Lars Søndergaard-Nielsen, Kajerød;33
1. Birkerød;C;Det Konservative Folkeparti;Steen Markussen, Holte;0
1. Birkerød;C;Det Konservative Folkeparti;Conny Birkholm, Bistrup;5
1. Birkerød;C;Det Konservative Folkeparti;Jacob Julius Gerlach-Hansen,Vedbæk;1
1. Birkerød;C;Det Konservative Folkeparti;Karen Schousboe, Øverød;4
1. Birkerød;C;Det Konservative Folkeparti;Kjeld H. Petersen, Skodsborg;0
1. Birkerød;C;Det Konservative Folkeparti;Sirenetta Pizzichelli Poulsen,Gl.H;1
1. Birkerød;C;Det Konservative Folkeparti;Christian Trollo, Sandbjerg;3
1. Birkerød;C;Det Konservative Folkeparti;Anne Gravesen, Birkerød;12
1. Birkerød;C;Det Konservative Folkeparti;Christian Wix, Nærum;2
1. Birkerød;C;Det Konservative Folkeparti;Søren Dresmer-Hansen, Trørød;5
1. Birkerød;C;Det Konservative Folkeparti;Eric Beran, Birkerød;5
1. Birkerød;C;Det Konservative Folkeparti;Hanne Gerner, Holte;1
1. Birkerød;C;Det Konservative Folkeparti;Ole Kamstrup, Holte;5
1. Birkerød;C;Det Konservative Folkeparti;Christian Fode, Trørød;1
1. Birkerød;D;Nye Borgerlige;Listestemmer;26
1. Birkerød;D;Nye Borgerlige;Ditlev Otte-Trojel, Holte;18
1. Birkerød;D;Nye Borgerlige;Helene Romme, Birkerød;20
1. Birkerød;D;Nye Borgerlige;Klaus Arfelt, Holte;1
1. Birkerød;D;Nye Borgerlige;Henriette Attardo, Birkerød;1
1. Birkerød;D;Nye Borgerlige;Grethe Andersson, Birkerød;2
1. Birkerød;D;Nye Borgerlige;Martin Vinther, Birkerød;4
1. Birkerød;D;Nye Borgerlige;Jon Fribo, Gl.Holte;2
1. Birkerød;D;Nye Borgerlige;Morten Ernst, Søllerød;0
1. Birkerød;D;Nye Borgerlige;Per H. Thomsen, Vedbæk;0
1. Birkerød;F;SF - Socialistisk Folkeparti;Listestemmer;43
1. Birkerød;F;SF - Socialistisk Folkeparti;Dorte Nørbo;34
1. Birkerød;F;SF - Socialistisk Folkeparti;Bernt Stubbe Østergaard;1
1. Birkerød;F;SF - Socialistisk Folkeparti;Kurt Petersen;3
1. Birkerød;F;SF - Socialistisk Folkeparti;Jeppe Vejlby Brogård;12
1. Birkerød;F;SF - Socialistisk Folkeparti;Marianne Stubbe Østergaard;3
1. Birkerød;I;Liberal Alliance;Listestemmer;41
1. Birkerød;I;Liberal Alliance;Elisabeth Ildal;26
1. Birkerød;I;Liberal Alliance;Claus H. Larsen;14
1. Birkerød;I;Liberal Alliance;Alexander Friborg;14
1. Birkerød;I;Liberal Alliance;Lars Stibius;5
1. Birkerød;I;Liberal Alliance;Ebbe Werenberg;0
1. Birkerød;I;Liberal Alliance;Peter Boje;1
1. Birkerød;L;Lokallisten;Listestemmer;211
1. Birkerød;L;Lokallisten;Axel Bredsdorff;140
1. Birkerød;L;Lokallisten;Anne Christiansen;82
1. Birkerød;L;Lokallisten;Trine Dybkjær;118
1. Birkerød;L;Lokallisten;Mogens Wolf Johansen;5
1. Birkerød;L;Lokallisten;Mona Madsen;109
1. Birkerød;L;Lokallisten;Keld Stattau;4
1. Birkerød;L;Lokallisten;Sten Troelstrup;11
1. Birkerød;L;Lokallisten;Luc de Visme;39
1. Birkerød;L;Lokallisten;Birgitte Rasmussen;2
1. Birkerød;M;Folkelisten.dk;Listestemmer;1
1. Birkerød;M;Folkelisten.dk;Gert Lassen;10
1. Birkerød;O;Dansk Folkeparti;Listestemmer;86
1. Birkerød;O;Dansk Folkeparti;Erik Gissel Jensen;29
1. Birkerød;O;Dansk Folkeparti;Peter von der Wehle;4
1. Birkerød;O;Dansk Folkeparti;Susan Inge Vindberg Rovang;7
1. Birkerød;O;Dansk Folkeparti;Preben Bille Brahe;3
1. Birkerød;O;Dansk Folkeparti;Morten Hinsch;6
1. Birkerød;O;Dansk Folkeparti;Bjarne Stjernegaard;11
1. Birkerød;O;Dansk Folkeparti;Philip Heimbürger;1
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Listestemmer;238
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Jens Ive, Holte;153
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Daniel E. Hansen, Birkerød;273
1. Birkerød;V;Venstre, Danmarks Liberale Parti;Randi Mondorf, Holte;27
