Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Ørbygård;A;Socialdemokratiet;Listestemmer;305
1. Ørbygård;A;Socialdemokratiet;Erik Nielsen;427
1. Ørbygård;A;Socialdemokratiet;Britt Jensen;48
1. Ørbygård;A;Socialdemokratiet;Annie Arnoldsen Petersen;20
1. Ørbygård;A;Socialdemokratiet;Jan Kongebro;3
1. Ørbygård;A;Socialdemokratiet;Flemming Lunde Østergaard Hansen;13
1. Ørbygård;A;Socialdemokratiet;Lene Due;14
1. Ørbygård;A;Socialdemokratiet;Steen Skriver Rasmussen;10
1. Ørbygård;A;Socialdemokratiet;Ahmed Dhaqane;22
1. Ørbygård;A;Socialdemokratiet;Maria Grøndahl;14
1. Ørbygård;A;Socialdemokratiet;Birgitte Glifberg;13
1. Ørbygård;A;Socialdemokratiet;Michel Berg;22
1. Ørbygård;A;Socialdemokratiet;Pia Hess Larsen;17
1. Ørbygård;A;Socialdemokratiet;Bjarne Sander Andersen;16
1. Ørbygård;A;Socialdemokratiet;Brian Møller;8
1. Ørbygård;A;Socialdemokratiet;Finn Jørsby;2
1. Ørbygård;A;Socialdemokratiet;Flemming Bertelsen;7
1. Ørbygård;B;Radikale Venstre;Listestemmer;47
1. Ørbygård;B;Radikale Venstre;Martin Møland Nielsen;15
1. Ørbygård;B;Radikale Venstre;Kim Garsdal Nielsen;1
1. Ørbygård;B;Radikale Venstre;Christian Boldsen Knudsen;3
1. Ørbygård;B;Radikale Venstre;Ole Parbst;1
1. Ørbygård;C;Det Konservative Folkeparti;Listestemmer;148
1. Ørbygård;C;Det Konservative Folkeparti;Kim Drejer Nielsen;100
1. Ørbygård;C;Det Konservative Folkeparti;Chris Lassen Jensen;18
1. Ørbygård;C;Det Konservative Folkeparti;Eva Korntved;12
1. Ørbygård;C;Det Konservative Folkeparti;Mogens Brauer;3
1. Ørbygård;C;Det Konservative Folkeparti;Jette Louise Skovgaard Larsen;8
1. Ørbygård;C;Det Konservative Folkeparti;Tina Hippe Hansen;11
1. Ørbygård;C;Det Konservative Folkeparti;Anders Torm Nielsen;3
1. Ørbygård;C;Det Konservative Folkeparti;Morten Thoregaard;7
1. Ørbygård;C;Det Konservative Folkeparti;Troels Kastoft;3
1. Ørbygård;C;Det Konservative Folkeparti;Iben Rude;0
1. Ørbygård;C;Det Konservative Folkeparti;Jens Damgaard Gøtzsche;4
1. Ørbygård;C;Det Konservative Folkeparti;Michael Boll Jensen;8
1. Ørbygård;C;Det Konservative Folkeparti;Henriette Hesselmann;2
1. Ørbygård;C;Det Konservative Folkeparti;Lars Glade;7
1. Ørbygård;C;Det Konservative Folkeparti;Peter Lund Sørensen;4
1. Ørbygård;C;Det Konservative Folkeparti;Arna Schnoor;2
1. Ørbygård;D;Nye Borgerlige;Listestemmer;9
1. Ørbygård;D;Nye Borgerlige;Ketil Wathne Rasmussen;10
1. Ørbygård;F;SF - Socialistisk Folkeparti;Listestemmer;98
1. Ørbygård;F;SF - Socialistisk Folkeparti;Kenneth Rasmussen;32
1. Ørbygård;F;SF - Socialistisk Folkeparti;Søren Østergaard;11
1. Ørbygård;F;SF - Socialistisk Folkeparti;Svend Erik Pedersen;5
1. Ørbygård;F;SF - Socialistisk Folkeparti;Torben Petersen;3
1. Ørbygård;F;SF - Socialistisk Folkeparti;Julie Rasmussen;25
1. Ørbygård;F;SF - Socialistisk Folkeparti;Lars Bæk;14
1. Ørbygård;F;SF - Socialistisk Folkeparti;Christel Grum Jensen;1
1. Ørbygård;F;SF - Socialistisk Folkeparti;Lene Petersen;0
1. Ørbygård;F;SF - Socialistisk Folkeparti;Per Bergmann;1
1. Ørbygård;F;SF - Socialistisk Folkeparti;Lone Henriksen;9
1. Ørbygård;I;Liberal Alliance;Listestemmer;26
1. Ørbygård;I;Liberal Alliance;Erik Hansen;5
1. Ørbygård;I;Liberal Alliance;Johanna Brun;0
1. Ørbygård;I;Liberal Alliance;Allan Jacobsen;0
1. Ørbygård;I;Liberal Alliance;Caroline Johnsen;0
1. Ørbygård;O;Dansk Folkeparti;Listestemmer;99
1. Ørbygård;O;Dansk Folkeparti;Niels Spittau;71
1. Ørbygård;O;Dansk Folkeparti;Henrik Kalat;35
1. Ørbygård;O;Dansk Folkeparti;Kim Hammer;8
1. Ørbygård;O;Dansk Folkeparti;Peter Michael Jensen;5
1. Ørbygård;O;Dansk Folkeparti;Julie Korfitsen;7
1. Ørbygård;O;Dansk Folkeparti;Per Brun;3
1. Ørbygård;O;Dansk Folkeparti;Gitte Bech Gersager;3
1. Ørbygård;P;Stram Kurs;Listestemmer;3
1. Ørbygård;P;Stram Kurs;S. Skallsø;2
1. Ørbygård;V;Venstre, Danmarks Liberale Parti;Listestemmer;99
1. Ørbygård;V;Venstre, Danmarks Liberale Parti;Claus Gisselmann Olsen;22
1. Ørbygård;V;Venstre, Danmarks Liberale Parti;Lone Mørch Mejborn;18
1. Ørbygård;V;Venstre, Danmarks Liberale Parti;Finn K. Simonsen;0
1. Ørbygård;V;Venstre, Danmarks Liberale Parti;Becca Riemer;1
1. Ørbygård;V;Venstre, Danmarks Liberale Parti;Karin Frøidt;10
1. Ørbygård;V;Venstre, Danmarks Liberale Parti;Birgitte Wesch;1
1. Ørbygård;V;Venstre, Danmarks Liberale Parti;Jens Tousgaard;0
1. Ørbygård;V;Venstre, Danmarks Liberale Parti;Karen Hansen;1
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;100
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Peter Mikkelsen;20
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Marianne Christensen;18
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Necla Baran;15
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Lukas Skjalm Lissner;7
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Bardino Christensen;2
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Christian Holmberg;0
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Benny Strøm;1
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Annette Skinhøj;4
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Flemming Egelund Pedersen;2
1. Ørbygård;Ø;Enhedslisten - De Rød-Grønne;Vibeke Kold;4
1. Ørbygård;Å;Alternativet;Listestemmer;37
1. Ørbygård;Å;Alternativet;Nilofer Abbasi;44
1. Ørbygård;Å;Alternativet;Solveig Bentsen;12
1. Ørbygård;Å;Alternativet;Jacob Stender;2
2. Tinderhøj;A;Socialdemokratiet;Listestemmer;393
2. Tinderhøj;A;Socialdemokratiet;Erik Nielsen;779
2. Tinderhøj;A;Socialdemokratiet;Britt Jensen;52
2. Tinderhøj;A;Socialdemokratiet;Annie Arnoldsen Petersen;39
2. Tinderhøj;A;Socialdemokratiet;Jan Kongebro;15
2. Tinderhøj;A;Socialdemokratiet;Flemming Lunde Østergaard Hansen;14
2. Tinderhøj;A;Socialdemokratiet;Lene Due;51
2. Tinderhøj;A;Socialdemokratiet;Steen Skriver Rasmussen;18
2. Tinderhøj;A;Socialdemokratiet;Ahmed Dhaqane;51
2. Tinderhøj;A;Socialdemokratiet;Maria Grøndahl;17
2. Tinderhøj;A;Socialdemokratiet;Birgitte Glifberg;73
2. Tinderhøj;A;Socialdemokratiet;Michel Berg;49
2. Tinderhøj;A;Socialdemokratiet;Pia Hess Larsen;38
2. Tinderhøj;A;Socialdemokratiet;Bjarne Sander Andersen;10
2. Tinderhøj;A;Socialdemokratiet;Brian Møller;17
2. Tinderhøj;A;Socialdemokratiet;Finn Jørsby;7
2. Tinderhøj;A;Socialdemokratiet;Flemming Bertelsen;10
2. Tinderhøj;B;Radikale Venstre;Listestemmer;21
2. Tinderhøj;B;Radikale Venstre;Martin Møland Nielsen;10
2. Tinderhøj;B;Radikale Venstre;Kim Garsdal Nielsen;1
2. Tinderhøj;B;Radikale Venstre;Christian Boldsen Knudsen;0
2. Tinderhøj;B;Radikale Venstre;Ole Parbst;5
2. Tinderhøj;C;Det Konservative Folkeparti;Listestemmer;116
2. Tinderhøj;C;Det Konservative Folkeparti;Kim Drejer Nielsen;88
2. Tinderhøj;C;Det Konservative Folkeparti;Chris Lassen Jensen;9
2. Tinderhøj;C;Det Konservative Folkeparti;Eva Korntved;6
2. Tinderhøj;C;Det Konservative Folkeparti;Mogens Brauer;6
2. Tinderhøj;C;Det Konservative Folkeparti;Jette Louise Skovgaard Larsen;5
2. Tinderhøj;C;Det Konservative Folkeparti;Tina Hippe Hansen;20
2. Tinderhøj;C;Det Konservative Folkeparti;Anders Torm Nielsen;8
2. Tinderhøj;C;Det Konservative Folkeparti;Morten Thoregaard;3
