Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Aalestrup;A;Socialdemokratiet;Listestemmer;96
1. Aalestrup;A;Socialdemokratiet;Palle Jensen;41
1. Aalestrup;A;Socialdemokratiet;Asger Andersen;4
1. Aalestrup;A;Socialdemokratiet;Uffe Bro;3
1. Aalestrup;A;Socialdemokratiet;Per Jensen;5
1. Aalestrup;A;Socialdemokratiet;Mikael Lisberg Toft;6
1. Aalestrup;A;Socialdemokratiet;Anders Kjær Kristensen;5
1. Aalestrup;A;Socialdemokratiet;Doris Lauritzen;38
1. Aalestrup;A;Socialdemokratiet;Iben Ledet Ditlev;5
1. Aalestrup;A;Socialdemokratiet;Thomas Jensen;3
1. Aalestrup;A;Socialdemokratiet;Rasmus Sven Vetter;304
1. Aalestrup;A;Socialdemokratiet;Vibeke Hvidsten;5
1. Aalestrup;A;Socialdemokratiet;Per Lauge Nielsen;4
1. Aalestrup;A;Socialdemokratiet;Peder Vilsom Ditlev;2
1. Aalestrup;B;Radikale Venstre;Listestemmer;10
1. Aalestrup;B;Radikale Venstre;Søren Dolmer;17
1. Aalestrup;B;Radikale Venstre;Gitte Lopdrup;6
1. Aalestrup;B;Radikale Venstre;Gerda Vældgaard Sørensen;42
1. Aalestrup;B;Radikale Venstre;Karsten Kjærgaard;4
1. Aalestrup;B;Radikale Venstre;Thomas Madsen Nielsen;3
1. Aalestrup;C;Det Konservative Folkeparti;Listestemmer;25
1. Aalestrup;C;Det Konservative Folkeparti;Knud Vældgaard Kristensen;192
1. Aalestrup;C;Det Konservative Folkeparti;Allan Ritter Andersen;1
1. Aalestrup;C;Det Konservative Folkeparti;Niels Krebs Hansen;1
1. Aalestrup;C;Det Konservative Folkeparti;Henrik Dalgaard Christensen;5
1. Aalestrup;C;Det Konservative Folkeparti;Klavs Viggo Bojsen;63
1. Aalestrup;C;Det Konservative Folkeparti;Signe Laura Nøhr Nielsen;4
1. Aalestrup;C;Det Konservative Folkeparti;Pia Buus Pinstrup;9
1. Aalestrup;C;Det Konservative Folkeparti;Per Nyborg;13
1. Aalestrup;C;Det Konservative Folkeparti;Ulla Ilse Skov;47
1. Aalestrup;C;Det Konservative Folkeparti;Anne Marie Lindgaard Nielsen;2
1. Aalestrup;C;Det Konservative Folkeparti;Ulla Biisgaard Christensen;0
1. Aalestrup;C;Det Konservative Folkeparti;Vittus Bernlow;0
1. Aalestrup;C;Det Konservative Folkeparti;Svend Jørgensen;10
1. Aalestrup;C;Det Konservative Folkeparti;Tascha Laumann Vestergaard;0
1. Aalestrup;C;Det Konservative Folkeparti;Inger Nielsen;2
1. Aalestrup;E;Retsforbundet;Listestemmer;0
1. Aalestrup;E;Retsforbundet;Martin Sørensen;0
1. Aalestrup;E;Retsforbundet;Dan Michael Christophersen;0
1. Aalestrup;F;SF - Socialistisk Folkeparti;Listestemmer;25
1. Aalestrup;F;SF - Socialistisk Folkeparti;Theresa Berg Andersen;33
1. Aalestrup;F;SF - Socialistisk Folkeparti;Niels Heebøll;24
1. Aalestrup;F;SF - Socialistisk Folkeparti;Karen Elizabeth Friis Clausager;7
1. Aalestrup;F;SF - Socialistisk Folkeparti;Jørgen Grøn;2
