Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Vordingborg;A;Socialdemokratiet;Listestemmer;254
1. Vordingborg;A;Socialdemokratiet;Mikael Smed, Stege;390
1. Vordingborg;A;Socialdemokratiet;Mette Høgh Christiansen, Nyråd;68
1. Vordingborg;A;Socialdemokratiet;Brit Skovgaard, Stege;16
1. Vordingborg;A;Socialdemokratiet;Anders J. Andersen, Vordingborg;70
1. Vordingborg;A;Socialdemokratiet;Poul A. Larsen, Vordingborg;62
1. Vordingborg;A;Socialdemokratiet;Thorbjørn Kolbo, Vordingborg;87
1. Vordingborg;A;Socialdemokratiet;Nicolaj Sørensen, Askeby;3
1. Vordingborg;A;Socialdemokratiet;Kenneth Andersen, Stege;5
1. Vordingborg;A;Socialdemokratiet;Line Dahl Abildgaard, Kostræde Ban;4
1. Vordingborg;A;Socialdemokratiet;Kurt Johansen, Præstø;4
1. Vordingborg;A;Socialdemokratiet;Susan Thydal, Nyråd;14
1. Vordingborg;A;Socialdemokratiet;Carsten Olsen, Kastrup;31
1. Vordingborg;A;Socialdemokratiet;Nikolaj W. Reichel, Præstø;5
1. Vordingborg;A;Socialdemokratiet;Jesper Berring-Poulsen, Vordingbor;24
1. Vordingborg;A;Socialdemokratiet;Michael Larsen, Vordingborg;127
1. Vordingborg;A;Socialdemokratiet;Jens Beck-Lauritzen, Vordingborg;3
1. Vordingborg;A;Socialdemokratiet;Claus Christensen, Klintholm Havn;5
1. Vordingborg;A;Socialdemokratiet;Tommy Larsen, Vordingborg;19
1. Vordingborg;A;Socialdemokratiet;Jens Ravn, Vordingborg;9
1. Vordingborg;A;Socialdemokratiet;Bigman Nkunkununu, Sandvig;10
1. Vordingborg;A;Socialdemokratiet;Shadi Baker, Vordingborg;10
1. Vordingborg;A;Socialdemokratiet;Jens Larsen, Køng;2
1. Vordingborg;A;Socialdemokratiet;Jens-Peter Hansen, Ndr. Vindinge;24
1. Vordingborg;A;Socialdemokratiet;Per Antonsen, Kalvehave;0
1. Vordingborg;A;Socialdemokratiet;Gert Bryde Jakobsen, Mern;4
1. Vordingborg;A;Socialdemokratiet;Heidi Thorenfeldt, Mern;7
1. Vordingborg;A;Socialdemokratiet;Flemming Tejmers, Kalvehave;1
1. Vordingborg;A;Socialdemokratiet;Tina Noregren, Stege;4
1. Vordingborg;B;Radikale Venstre;Listestemmer;43
1. Vordingborg;B;Radikale Venstre;Carsten Nøhr Larsen;9
1. Vordingborg;B;Radikale Venstre;Michael Larsen;11
1. Vordingborg;B;Radikale Venstre;Kathrine Olldag;22
1. Vordingborg;B;Radikale Venstre;Benny Johansen;1
1. Vordingborg;B;Radikale Venstre;Inger Drachmann;1
1. Vordingborg;B;Radikale Venstre;Michael Viborg Nielsen;2
1. Vordingborg;B;Radikale Venstre;Jesper Betak Lund;2
1. Vordingborg;B;Radikale Venstre;Kaj Aagaard;1
1. Vordingborg;C;Det Konservative Folkeparti;Listestemmer;32
1. Vordingborg;C;Det Konservative Folkeparti;Daniel Irvold,Kostræde Banker;11
1. Vordingborg;C;Det Konservative Folkeparti;Jens-Christian Brandt Jørgensen,Ny;3
1. Vordingborg;C;Det Konservative Folkeparti;Jesper Adler, Vordingborg;34
1. Vordingborg;C;Det Konservative Folkeparti;Jesper B. Nielsen, Mern;7
1. Vordingborg;C;Det Konservative Folkeparti;Per Damkjær Juhl, Vordingborg;0
1. Vordingborg;C;Det Konservative Folkeparti;Anna Bjørk Dahlin Irvold, Kostræde;3
1. Vordingborg;C;Det Konservative Folkeparti;Lis Due Rasmussen, Møn;0
1. Vordingborg;C;Det Konservative Folkeparti;Peter Brinch, Stensved;21
1. Vordingborg;D;Nye Borgerlige;Listestemmer;17
1. Vordingborg;D;Nye Borgerlige;Jørn Rasmussen;7
1. Vordingborg;D;Nye Borgerlige;Michael Hansen;7
1. Vordingborg;D;Nye Borgerlige;Rikke Andersen;38
1. Vordingborg;D;Nye Borgerlige;Kim Ringhejm Boutrup;2
1. Vordingborg;D;Nye Borgerlige;Tom Gøtterup Svendsen;1
1. Vordingborg;F;SF - Socialistisk Folkeparti;Listestemmer;43
1. Vordingborg;F;SF - Socialistisk Folkeparti;Else-Marie Langballe Sørensen;172
1. Vordingborg;F;SF - Socialistisk Folkeparti;Michael Ryberg Juliussen;6
1. Vordingborg;F;SF - Socialistisk Folkeparti;Lena Schroll;16
1. Vordingborg;F;SF - Socialistisk Folkeparti;Karin O. Jørgensen;2
1. Vordingborg;F;SF - Socialistisk Folkeparti;Pia Levin;2
1. Vordingborg;F;SF - Socialistisk Folkeparti;Henrik Ægidius;1
1. Vordingborg;F;SF - Socialistisk Folkeparti;Gorm Scavenius;0
1. Vordingborg;F;SF - Socialistisk Folkeparti;Janne Gotfredsen;1
1. Vordingborg;F;SF - Socialistisk Folkeparti;Lillian Sand;0
1. Vordingborg;I;Liberal Alliance;Listestemmer;14
1. Vordingborg;I;Liberal Alliance;Bella Espersen, Præstø;7
1. Vordingborg;K;Kristendemokraterne;Listestemmer;2
1. Vordingborg;K;Kristendemokraterne;Kim Steen Jørgensen, Bogø;3
1. Vordingborg;L;Borgerlisten;Listestemmer;5
1. Vordingborg;L;Borgerlisten;Allan Huglstad, Vordingborg;18
1. Vordingborg;L;Borgerlisten;Jens Hæsum, Øster Egesborg;0
1. Vordingborg;L;Borgerlisten;Margareta Dahlström, Borre;1
1. Vordingborg;L;Borgerlisten;Eivind Sveinbjørnsson, Præstø;0
1. Vordingborg;L;Borgerlisten;Vibeke Gad, Lundby;0
1. Vordingborg;L;Borgerlisten;Jane Søegaard Christensen, Damshol;0
1. Vordingborg;L;Borgerlisten;Morten Nielsen, Magleby;0
1. Vordingborg;L;Borgerlisten;Ole Bjørnholt, Svensmarke;0
1. Vordingborg;L;Borgerlisten;Jan Holm, Tøvelde;0
1. Vordingborg;O;Dansk Folkeparti;Listestemmer;123
1. Vordingborg;O;Dansk Folkeparti;Heino Hahn;50
1. Vordingborg;O;Dansk Folkeparti;Per Stig Sørensen;9
1. Vordingborg;O;Dansk Folkeparti;John Pawlik;17
1. Vordingborg;O;Dansk Folkeparti;Kim Errebo;9
1. Vordingborg;O;Dansk Folkeparti;Søren Hansen;1
1. Vordingborg;O;Dansk Folkeparti;Marie Hansen;12
1. Vordingborg;O;Dansk Folkeparti;Christine Astrup Weidekamp Jensen;4
1. Vordingborg;O;Dansk Folkeparti;Helle Jørgensen;7
1. Vordingborg;O;Dansk Folkeparti;Emilie Dyrkjaer;14
1. Vordingborg;O;Dansk Folkeparti;Mogens Holmqvist;3
1. Vordingborg;T;Vorkommune.dk;Listestemmer;0
1. Vordingborg;T;Vorkommune.dk;Kaj Flinta;0
1. Vordingborg;T;Vorkommune.dk;Jørgen Tang Holbek;0
1. Vordingborg;T;Vorkommune.dk;Erik Kehn Jensen;0
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Listestemmer;112
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Michael Seiding Larsen;631
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Bo Manderup;3
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Eva Sommer-Madsen;31
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Peter Ole Sørensen;6
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Henning Larsen;1
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Asger Diness Andersen;10
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Kim Petersen;10
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Kirsten Overgaard;3
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Karina Foss;10
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Karina Fromberg;3
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Jørn Elo Hansen;1
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Anders Thestrup;4
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Torben Nielsen;0
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Arne Rasmussen;1
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Jonna Colding Henriksen;7
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Franz Ifanger;0
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Freja Nielsson;6
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Ronni Lykkehus;16
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;René Coelet Mathiasen;18
1. Vordingborg;V;Venstre, Danmarks Liberale Parti;Louise Millek de Place;1
1. Vordingborg;Y;Digital Demokrati;Listestemmer;1
1. Vordingborg;Y;Digital Demokrati;Jonas Wolffsen;1
1. Vordingborg;Y;Digital Demokrati;Janet Jørgensen;1
1. Vordingborg;Y;Digital Demokrati;Ea Green;0
1. Vordingborg;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;66
1. Vordingborg;Ø;Enhedslisten - De Rød-Grønne;Mette Gerdøe-Frederiksen;35
1. Vordingborg;Ø;Enhedslisten - De Rød-Grønne;Tage Vestergaard;15
1. Vordingborg;Ø;Enhedslisten - De Rød-Grønne;Anders Marchsteiner;16
1. Vordingborg;Ø;Enhedslisten - De Rød-Grønne;Palle Eghjort;6
1. Vordingborg;Å;Alternativet;Listestemmer;22
1. Vordingborg;Å;Alternativet;Ann Busch;93
1. Vordingborg;Å;Alternativet;Lars Bakke Olsen;11
2. Masnedsund;A;Socialdemokratiet;Listestemmer;248
2. Masnedsund;A;Socialdemokratiet;Mikael Smed, Stege;384
2. Masnedsund;A;Socialdemokratiet;Mette Høgh Christiansen, Nyråd;55
2. Masnedsund;A;Socialdemokratiet;Brit Skovgaard, Stege;10
2. Masnedsund;A;Socialdemokratiet;Anders J. Andersen, Vordingborg;41
2. Masnedsund;A;Socialdemokratiet;Poul A. Larsen, Vordingborg;45
2. Masnedsund;A;Socialdemokratiet;Thorbjørn Kolbo, Vordingborg;56
2. Masnedsund;A;Socialdemokratiet;Nicolaj Sørensen, Askeby;5
2. Masnedsund;A;Socialdemokratiet;Kenneth Andersen, Stege;0
2. Masnedsund;A;Socialdemokratiet;Line Dahl Abildgaard, Kostræde Ban;5
2. Masnedsund;A;Socialdemokratiet;Kurt Johansen, Præstø;3
2. Masnedsund;A;Socialdemokratiet;Susan Thydal, Nyråd;21
2. Masnedsund;A;Socialdemokratiet;Carsten Olsen, Kastrup;25
2. Masnedsund;A;Socialdemokratiet;Nikolaj W. Reichel, Præstø;6
2. Masnedsund;A;Socialdemokratiet;Jesper Berring-Poulsen, Vordingbor;30
2. Masnedsund;A;Socialdemokratiet;Michael Larsen, Vordingborg;34
2. Masnedsund;A;Socialdemokratiet;Jens Beck-Lauritzen, Vordingborg;27
2. Masnedsund;A;Socialdemokratiet;Claus Christensen, Klintholm Havn;12
2. Masnedsund;A;Socialdemokratiet;Tommy Larsen, Vordingborg;7
2. Masnedsund;A;Socialdemokratiet;Jens Ravn, Vordingborg;5
2. Masnedsund;A;Socialdemokratiet;Bigman Nkunkununu, Sandvig;3
2. Masnedsund;A;Socialdemokratiet;Shadi Baker, Vordingborg;0
2. Masnedsund;A;Socialdemokratiet;Jens Larsen, Køng;0
2. Masnedsund;A;Socialdemokratiet;Jens-Peter Hansen, Ndr. Vindinge;12
2. Masnedsund;A;Socialdemokratiet;Per Antonsen, Kalvehave;0
2. Masnedsund;A;Socialdemokratiet;Gert Bryde Jakobsen, Mern;2
2. Masnedsund;A;Socialdemokratiet;Heidi Thorenfeldt, Mern;5
2. Masnedsund;A;Socialdemokratiet;Flemming Tejmers, Kalvehave;0
