Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Hadsten Nord;A;Socialdemokratiet;Listestemmer;175
1. Hadsten Nord;A;Socialdemokratiet;Isabell Friis Madsen;453
1. Hadsten Nord;A;Socialdemokratiet;Kristoffer Merrild;10
1. Hadsten Nord;A;Socialdemokratiet;Rikke Randrup Skåning;49
1. Hadsten Nord;A;Socialdemokratiet;Søren Gade;11
1. Hadsten Nord;A;Socialdemokratiet;Lone Boye;11
1. Hadsten Nord;A;Socialdemokratiet;Steen Thomasen;7
1. Hadsten Nord;A;Socialdemokratiet;Grethe Villadsen;28
1. Hadsten Nord;A;Socialdemokratiet;Erik Særkjær;9
1. Hadsten Nord;A;Socialdemokratiet;Emil Møller;30
1. Hadsten Nord;A;Socialdemokratiet;Morten Weihrauch;11
1. Hadsten Nord;A;Socialdemokratiet;Martin Hager Andersen;2
1. Hadsten Nord;A;Socialdemokratiet;Patrick Weng;3
1. Hadsten Nord;B;Radikale Venstre;Listestemmer;19
1. Hadsten Nord;B;Radikale Venstre;Torben Christensen, Foldby;16
1. Hadsten Nord;B;Radikale Venstre;Mia Nybo, Søften;70
1. Hadsten Nord;B;Radikale Venstre;Pet Petersen, Hadsten;14
1. Hadsten Nord;B;Radikale Venstre;Hanne Munch Kristiansen, Hinnerup;2
1. Hadsten Nord;C;Det Konservative Folkeparti;Listestemmer;117
1. Hadsten Nord;C;Det Konservative Folkeparti;Lars Storgaard;266
1. Hadsten Nord;C;Det Konservative Folkeparti;Charlotte Green;35
1. Hadsten Nord;C;Det Konservative Folkeparti;Mette Nøhr;10
1. Hadsten Nord;C;Det Konservative Folkeparti;Niels Chr. Selchau-Mark;449
1. Hadsten Nord;C;Det Konservative Folkeparti;René Schneider;62
1. Hadsten Nord;C;Det Konservative Folkeparti;Anne-Sophie Schjønning;27
1. Hadsten Nord;C;Det Konservative Folkeparti;Morten Wind Lübker;19
1. Hadsten Nord;C;Det Konservative Folkeparti;Lene Guldbrandt;3
1. Hadsten Nord;C;Det Konservative Folkeparti;Frank Iversen;33
1. Hadsten Nord;C;Det Konservative Folkeparti;Ganna Lindhard;1
1. Hadsten Nord;C;Det Konservative Folkeparti;Flemming Aaen Jensen;8
1. Hadsten Nord;C;Det Konservative Folkeparti;Flemming Nielsen;1
1. Hadsten Nord;C;Det Konservative Folkeparti;Jesper B. Poulsen;3
1. Hadsten Nord;C;Det Konservative Folkeparti;Tommy Højer;0
1. Hadsten Nord;C;Det Konservative Folkeparti;Ole Jensen;1
1. Hadsten Nord;C;Det Konservative Folkeparti;Knud Schøler;0
1. Hadsten Nord;C;Det Konservative Folkeparti;Biljana Justesen;1
1. Hadsten Nord;F;SF - Socialistisk Folkeparti;Listestemmer;88
1. Hadsten Nord;F;SF - Socialistisk Folkeparti;Søren Frandsen, Grundfør;24
1. Hadsten Nord;F;SF - Socialistisk Folkeparti;Laila Jerming Graf, Sall;18
1. Hadsten Nord;F;SF - Socialistisk Folkeparti;Niels Callesøe, Hinnerup;7
1. Hadsten Nord;F;SF - Socialistisk Folkeparti;Henriette Stein Knudsen, Hadsten;40
1. Hadsten Nord;F;SF - Socialistisk Folkeparti;Else Marie Dalgaard, Hinnerup;10
1. Hadsten Nord;F;SF - Socialistisk Folkeparti;Christian Kreiberg Møller, Hinnerup;1
1. Hadsten Nord;F;SF - Socialistisk Folkeparti;Signe Thy Thomsen, Hadsten;60
1. Hadsten Nord;I;Liberal Alliance;Listestemmer;41
1. Hadsten Nord;I;Liberal Alliance;Carsten Normann;23
1. Hadsten Nord;I;Liberal Alliance;Simon Buus Olsen;151
1. Hadsten Nord;I;Liberal Alliance;Lisa Perkins;25
1. Hadsten Nord;I;Liberal Alliance;Erling Høj Sørensen;8
1. Hadsten Nord;I;Liberal Alliance;Oliver Panthera;2
1. Hadsten Nord;I;Liberal Alliance;Hanne Gram;2
1. Hadsten Nord;O;Dansk Folkeparti;Listestemmer;71
1. Hadsten Nord;O;Dansk Folkeparti;Eva Damsgaard;35
1. Hadsten Nord;O;Dansk Folkeparti;Mercedes Czank;12
1. Hadsten Nord;O;Dansk Folkeparti;Aston Mott Braham;22
1. Hadsten Nord;O;Dansk Folkeparti;Ove Nørlem;6
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Listestemmer;75
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Thomas Storm, Søften;35
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Allan Bo Andresen, Hammel;15
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Nanna Skov Iversen, Ulstrup;3
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Filippa Elgaard Balle, Hinnerup;16
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Christian G. Jensen, Hallendrup;12
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Cecilie Anthony, Hadsten;54
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Anton Svidt Christensen, Hinnerup;20
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Flemming Kragh Thomassen, Hadsten;19
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Santana Malling, Thorsø;9
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Michael Jensen, Hadsten;41
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Peter Ravn, Houlbjerg;1
1. Hadsten Nord;V;Venstre, Danmarks Liberale Parti;Arne Bay Madsen, Hammel;0
1. Hadsten Nord;Æ;Danmarksdemokraterne - Inger Støjberg;Listestemmer;77
1. Hadsten Nord;Æ;Danmarksdemokraterne - Inger Støjberg;Lone Glarbo;55
1. Hadsten Nord;Æ;Danmarksdemokraterne - Inger Støjberg;Morten Bang;24
1. Hadsten Nord;Æ;Danmarksdemokraterne - Inger Støjberg;Claus Hansen;3
1. Hadsten Nord;Æ;Danmarksdemokraterne - Inger Støjberg;Kaj Østergaard;1
1. Hadsten Nord;Æ;Danmarksdemokraterne - Inger Støjberg;Kjeld Jensen;0
1. Hadsten Nord;Æ;Danmarksdemokraterne - Inger Støjberg;Mikael Warnsdorf;10
1. Hadsten Nord;Æ;Danmarksdemokraterne - Inger Støjberg;Erling Stoltze;4
1. Hadsten Nord;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;54
1. Hadsten Nord;Ø;Enhedslisten - De Rød-Grønne;Thake Fogh Cordt, Skjød;31
1. Hadsten Nord;Ø;Enhedslisten - De Rød-Grønne;Maria Sørensen, Laurbjerg;32
1. Hadsten Nord;Ø;Enhedslisten - De Rød-Grønne;Peder Meyhoff, Hinnerup;2
1. Hadsten Nord;Ø;Enhedslisten - De Rød-Grønne;Bodil K. Olsen, Houlbjerg;3
1. Hadsten Nord;Ø;Enhedslisten - De Rød-Grønne;Bendt Lund Nielsen, Hammel;0
1. Hadsten Nord;Ø;Enhedslisten - De Rød-Grønne;Clément Blain, Laurbjerg;2
1. Hadsten Nord;Ø;Enhedslisten - De Rød-Grønne;Einar B. Baldursson, Hadsten;13
1. Hadsten Nord;Å;Alternativet;Listestemmer;4
1. Hadsten Nord;Å;Alternativet;Dennis Bo Petersen, Ødum;14
2. Hadsten Syd;A;Socialdemokratiet;Listestemmer;154
2. Hadsten Syd;A;Socialdemokratiet;Isabell Friis Madsen;288
2. Hadsten Syd;A;Socialdemokratiet;Kristoffer Merrild;4
2. Hadsten Syd;A;Socialdemokratiet;Rikke Randrup Skåning;37
2. Hadsten Syd;A;Socialdemokratiet;Søren Gade;11
2. Hadsten Syd;A;Socialdemokratiet;Lone Boye;14
2. Hadsten Syd;A;Socialdemokratiet;Steen Thomasen;13
2. Hadsten Syd;A;Socialdemokratiet;Grethe Villadsen;16
2. Hadsten Syd;A;Socialdemokratiet;Erik Særkjær;18
2. Hadsten Syd;A;Socialdemokratiet;Emil Møller;20
2. Hadsten Syd;A;Socialdemokratiet;Morten Weihrauch;1
2. Hadsten Syd;A;Socialdemokratiet;Martin Hager Andersen;0
2. Hadsten Syd;A;Socialdemokratiet;Patrick Weng;6
2. Hadsten Syd;B;Radikale Venstre;Listestemmer;17
2. Hadsten Syd;B;Radikale Venstre;Torben Christensen, Foldby;18
2. Hadsten Syd;B;Radikale Venstre;Mia Nybo, Søften;45
2. Hadsten Syd;B;Radikale Venstre;Pet Petersen, Hadsten;26
2. Hadsten Syd;B;Radikale Venstre;Hanne Munch Kristiansen, Hinnerup;0
2. Hadsten Syd;C;Det Konservative Folkeparti;Listestemmer;63
2. Hadsten Syd;C;Det Konservative Folkeparti;Lars Storgaard;220
2. Hadsten Syd;C;Det Konservative Folkeparti;Charlotte Green;20
2. Hadsten Syd;C;Det Konservative Folkeparti;Mette Nøhr;14
2. Hadsten Syd;C;Det Konservative Folkeparti;Niels Chr. Selchau-Mark;237
2. Hadsten Syd;C;Det Konservative Folkeparti;René Schneider;160
2. Hadsten Syd;C;Det Konservative Folkeparti;Anne-Sophie Schjønning;9
2. Hadsten Syd;C;Det Konservative Folkeparti;Morten Wind Lübker;15
2. Hadsten Syd;C;Det Konservative Folkeparti;Lene Guldbrandt;7
2. Hadsten Syd;C;Det Konservative Folkeparti;Frank Iversen;8
2. Hadsten Syd;C;Det Konservative Folkeparti;Ganna Lindhard;3
