Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Ans;A;Socialdemokratiet;Listestemmer;40
1. Ans;A;Socialdemokratiet;Helle Gade, Voel;100
1. Ans;A;Socialdemokratiet;Jonas Sivertsen, Balle;4
1. Ans;A;Socialdemokratiet;Dorthe Jensen, Virklund;4
1. Ans;A;Socialdemokratiet;Rune Kristensen, Silkeborg;3
1. Ans;A;Socialdemokratiet;Linda Lyngsøe, Kjellerup;10
1. Ans;A;Socialdemokratiet;Kasper Haagen Jensen, Alderslyst;7
1. Ans;A;Socialdemokratiet;Kristian Stride, Silkeborg;1
1. Ans;A;Socialdemokratiet;Birgitte Kristine Nielsen, Them;1
1. Ans;A;Socialdemokratiet;Helle Præsius Busk, Sejs-Svejbæk;1
1. Ans;A;Socialdemokratiet;Lars Faarup, Silkeborg;2
1. Ans;A;Socialdemokratiet;Dina Bredal, Silkeborg;1
1. Ans;A;Socialdemokratiet;Anders Løvbjerg, Silkeborg;1
1. Ans;A;Socialdemokratiet;Karina Graves, Sorring;6
1. Ans;A;Socialdemokratiet;Svend Thue Damgaard, Kjellerup;9
1. Ans;A;Socialdemokratiet;Daniel Thomasen, Silkeborg;1
1. Ans;A;Socialdemokratiet;Hanne Bjelke Britorn, Silkeborg;2
1. Ans;A;Socialdemokratiet;Per Frank Poulsen, Silkeborg;0
1. Ans;A;Socialdemokratiet;Simon Skals, Gødvad;9
1. Ans;A;Socialdemokratiet;Peter Baggerman, Ans;281
1. Ans;B;Radikale Venstre;Listestemmer;12
1. Ans;B;Radikale Venstre;Johan Brødsgaard, Lysbro;4
1. Ans;B;Radikale Venstre;Carsten Bjerre, Sejs-Svejbæk;1
1. Ans;B;Radikale Venstre;Kim Egeskov, Them;1
1. Ans;B;Radikale Venstre;Morten Junget, Balle;1
1. Ans;B;Radikale Venstre;Søren Wenzel Nielsen, Silkeborg;3
1. Ans;B;Radikale Venstre;Sophie Mørkholt Rasmussen, Lemming;3
1. Ans;B;Radikale Venstre;Carsten Ørum Skytt, Balle;1
1. Ans;B;Radikale Venstre;Jesper Knudgaard, Silkeborg;0
1. Ans;B;Radikale Venstre;Henrik Steffens, Alderslyst;0
1. Ans;C;Det Konservative Folkeparti;Listestemmer;28
1. Ans;C;Det Konservative Folkeparti;Martin Jakobsen, Silkeborg;9
1. Ans;C;Det Konservative Folkeparti;Trine Trærup Roungkvist, Silkeborg;2
1. Ans;C;Det Konservative Folkeparti;Gitte Willumsen, Silkeborg;6
1. Ans;C;Det Konservative Folkeparti;Morten Skydsgaard, Sorring;2
1. Ans;C;Det Konservative Folkeparti;Lone Rusberg, Hvinningdal;5
1. Ans;C;Det Konservative Folkeparti;Gitte Esman, Virklund;1
1. Ans;C;Det Konservative Folkeparti;Lars Nyengaard, Sepstrup;0
1. Ans;C;Det Konservative Folkeparti;Allan Jagd Esmarch, Øster Bording;2
1. Ans;C;Det Konservative Folkeparti;Thomas Sørensen, Gødvad;2
1. Ans;C;Det Konservative Folkeparti;Karen Aagaard, Alderslyst;4
