Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Aabybro;A;Socialdemokratiet;Listestemmer;195
1. Aabybro;A;Socialdemokratiet;Diane Aarestrup, Pandrup;172
1. Aabybro;A;Socialdemokratiet;Morten Klessen, Aabybro;257
1. Aabybro;A;Socialdemokratiet;Kiki Bille Bach, Aabybro;399
1. Aabybro;A;Socialdemokratiet;Jens Chr. Golding, Moseby;5
1. Aabybro;A;Socialdemokratiet;Astrid Søgaard, Kaas;20
1. Aabybro;A;Socialdemokratiet;Mogens Nørgård, Birkelse;32
1. Aabybro;A;Socialdemokratiet;Per Halsboe-Larsen, Fjerritslev;0
1. Aabybro;A;Socialdemokratiet;Mette Vestenbæk, Vester Hjermitslev;10
1. Aabybro;A;Socialdemokratiet;Lisbet Emmery, Gjøl;7
1. Aabybro;A;Socialdemokratiet;Frank Trolle, Biersted;22
1. Aabybro;A;Socialdemokratiet;Villy Thomsen, Skovsgård;2
1. Aabybro;A;Socialdemokratiet;Kim Levisen, Brovst;4
1. Aabybro;A;Socialdemokratiet;Mary-Ann Sørensen, Hunetorp;6
1. Aabybro;A;Socialdemokratiet;Ole Stavad, Brovst;23
1. Aabybro;A;Socialdemokratiet;Bøje Holmsgaard Lundtoft, Pandrup;13
1. Aabybro;B;Radikale Venstre;Listestemmer;8
1. Aabybro;B;Radikale Venstre;Jens Frøkjær;16
1. Aabybro;B;Radikale Venstre;Kathrine Pilgaard;6
1. Aabybro;B;Radikale Venstre;Annegrete Jensen;0
1. Aabybro;B;Radikale Venstre;Niels Kristian Pilgaard Jensen;4
1. Aabybro;C;Det Konservative Folkeparti;Listestemmer;61
1. Aabybro;C;Det Konservative Folkeparti;Jørgen Ravn Christensen, Gjøl;70
1. Aabybro;C;Det Konservative Folkeparti;Johnny Solberg, Halvrimmen;10
1. Aabybro;C;Det Konservative Folkeparti;Michael Krogsgaard, Aabybro;750
1. Aabybro;C;Det Konservative Folkeparti;Merete Fuglsang Hansen, Hune;38
1. Aabybro;C;Det Konservative Folkeparti;Hans Henrik Thrane, Brovst;18
1. Aabybro;C;Det Konservative Folkeparti;Anne-Mette Solberg, Halvrimmen;16
1. Aabybro;C;Det Konservative Folkeparti;Dorthe Olsen, Fjerritslev;12
1. Aabybro;C;Det Konservative Folkeparti;Lise Jørgensen, Brovst;0
1. Aabybro;C;Det Konservative Folkeparti;Casper Stølting, Brovst;2
1. Aabybro;C;Det Konservative Folkeparti;Kasper Buus Hornemann, Aabybro;5
1. Aabybro;F;SF - Socialistisk Folkeparti;Listestemmer;91
1. Aabybro;F;SF - Socialistisk Folkeparti;Charlotte Holst Høybye, Klim;23
1. Aabybro;F;SF - Socialistisk Folkeparti;Jakob Sønderhaven, Fjerritslev;17
1. Aabybro;F;SF - Socialistisk Folkeparti;Susanne Kristiansen, Pandrup;5
1. Aabybro;F;SF - Socialistisk Folkeparti;Astrid Budolfsen, Aabybro;86
1. Aabybro;F;SF - Socialistisk Folkeparti;Louise Smith Jensen, Biersted;28
1. Aabybro;F;SF - Socialistisk Folkeparti;Hans Kurt Børresen, Kaas;2
1. Aabybro;F;SF - Socialistisk Folkeparti;Nanna Marie Christensen, Fjerritslev;2
1. Aabybro;I;Liberal Alliance;Listestemmer;66
1. Aabybro;I;Liberal Alliance;Peter Thellufsen Pedersen, Aabybro;246
1. Aabybro;I;Liberal Alliance;Rikke Olssen, Kaas;19
1. Aabybro;I;Liberal Alliance;Morten Bo, Hune;14
1. Aabybro;I;Liberal Alliance;Thomas Ingemann Nielsen, Brovst;7
1. Aabybro;I;Liberal Alliance;Nohr Winterfalk, Hune;1
1. Aabybro;I;Liberal Alliance;Tina Hieronymus, Pandrup;1
1. Aabybro;K;Kristendemokraterne;Listestemmer;5
1. Aabybro;K;Kristendemokraterne;Jørgen Bjerregaard, Brovst;6
1. Aabybro;K;Kristendemokraterne;Jakup F. Jacobsen, Fjerritslev;1
1. Aabybro;K;Kristendemokraterne;Bente Ågren Jensen, Aabybro;10
1. Aabybro;L;Vendelbo-Listen;Listestemmer;4
1. Aabybro;L;Vendelbo-Listen;John Bjerg, Pandrup;29
1. Aabybro;L;Vendelbo-Listen;Søren Pagh Albers, V. Thorup;1
1. Aabybro;L;Vendelbo-Listen;Lindhardt Højen, Kaas;0
1. Aabybro;L;Vendelbo-Listen;Frank Jørgensen, Fjerritslev;0
1. Aabybro;L;Vendelbo-Listen;Jesper Riis Hansen, Aabybro;4
1. Aabybro;O;Dansk Folkeparti;Listestemmer;56
1. Aabybro;O;Dansk Folkeparti;Anne-Mette Ulstrup, Skovsgård;24
1. Aabybro;O;Dansk Folkeparti;Jens Ørtoft, Kaas;7
1. Aabybro;O;Dansk Folkeparti;Villy Blichfeldt Sørensen, Saltum;1
1. Aabybro;O;Dansk Folkeparti;Helle Skøttrup, Aabybro;42
1. Aabybro;O;Dansk Folkeparti;Thomas N. Christensen, Kaas;0
1. Aabybro;O;Dansk Folkeparti;Leif Lykke Larsen, Kaas;3
1. Aabybro;O;Dansk Folkeparti;Bjarne Kjær-Jensen, Nørhalne;0
1. Aabybro;O;Dansk Folkeparti;Alex Brokholm Pedersen, Trekroner;2
1. Aabybro;P;Det Liberale Højre;Listestemmer;0
1. Aabybro;P;Det Liberale Højre;Jacob S. Jacobsen, Fjerritslev;0
1. Aabybro;T;Lokallisten Jammerbugt;Listestemmer;4
1. Aabybro;T;Lokallisten Jammerbugt;Nathalie Albrechtsen, Saltum;9
1. Aabybro;T;Lokallisten Jammerbugt;John S. Lambertsen, Tranum Enge;1
1. Aabybro;T;Lokallisten Jammerbugt;Steen Andersen, Fjerritslev;1
1. Aabybro;V;Venstre, Danmarks Liberale Parti;Listestemmer;108
1. Aabybro;V;Venstre, Danmarks Liberale Parti;Christian Hem, Pandrup;168
1. Aabybro;V;Venstre, Danmarks Liberale Parti;Malou Skeel, Aabybro;213
1. Aabybro;V;Venstre, Danmarks Liberale Parti;Mogens Gade, Skovsgård;92
1. Aabybro;V;Venstre, Danmarks Liberale Parti;Ulla Flintholm, Fjerritslev;2
1. Aabybro;V;Venstre, Danmarks Liberale Parti;Camilla Andersen, Gjøl;38
1. Aabybro;V;Venstre, Danmarks Liberale Parti;Jane Koller, Saltum;10
1. Aabybro;V;Venstre, Danmarks Liberale Parti;Helle Bak Andreasen, Brovst;55
1. Aabybro;V;Venstre, Danmarks Liberale Parti;Henrik Agesen, Klim;17
1. Aabybro;V;Venstre, Danmarks Liberale Parti;Mariane Andersen, Birkelse;85
1. Aabybro;V;Venstre, Danmarks Liberale Parti;Folmer Toftdahl-Olesen, Skovsgård;3
1. Aabybro;V;Venstre, Danmarks Liberale Parti;Kent Røge, Kettrup;0
1. Aabybro;V;Venstre, Danmarks Liberale Parti;Claus Svendsen, Nørhalne;16
1. Aabybro;V;Venstre, Danmarks Liberale Parti;Lisa Kronborg Sørensen, Tranum;5
1. Aabybro;V;Venstre, Danmarks Liberale Parti;Mogens Bay, Fjerritslev;1
