Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Nordmors;A;Socialdemokratiet;Listestemmer;13
1. Nordmors;A;Socialdemokratiet;Jens Dahlgaard;65
1. Nordmors;A;Socialdemokratiet;Karin Villadsen;15
1. Nordmors;A;Socialdemokratiet;Kim Damgaard Hansen;2
1. Nordmors;A;Socialdemokratiet;Lisbeth Svane Kusk;4
1. Nordmors;A;Socialdemokratiet;Frank Thingholm;0
1. Nordmors;A;Socialdemokratiet;Pia Storm;14
1. Nordmors;A;Socialdemokratiet;Jimmi Mikkelsen;1
1. Nordmors;A;Socialdemokratiet;Trine Nielsen;0
1. Nordmors;A;Socialdemokratiet;Poul Kristensen;3
1. Nordmors;A;Socialdemokratiet;Florina Elena Temes;1
1. Nordmors;A;Socialdemokratiet;Niels Kristian Jespersen;7
1. Nordmors;A;Socialdemokratiet;Kirsten Boller;5
1. Nordmors;A;Socialdemokratiet;John Christiansen;3
1. Nordmors;A;Socialdemokratiet;Peter Nielsen;4
1. Nordmors;A;Socialdemokratiet;Niels Kristian Østergaard;40
1. Nordmors;A;Socialdemokratiet;Vagn Kidmose;11
1. Nordmors;A;Socialdemokratiet;Peter Thyregod;0
1. Nordmors;B;Radikale Venstre;Listestemmer;2
1. Nordmors;B;Radikale Venstre;Jette Jepsen;18
1. Nordmors;B;Radikale Venstre;Jesper Søe Jensen;7
1. Nordmors;B;Radikale Venstre;Inger Bøgh Bisgaard;0
1. Nordmors;B;Radikale Venstre;Niels Hørby Jørgensen;7
1. Nordmors;B;Radikale Venstre;Lisa B. Jensen;0
1. Nordmors;C;Det Konservative Folkeparti;Listestemmer;1
1. Nordmors;C;Det Konservative Folkeparti;Keld Kortegaard;7
1. Nordmors;C;Det Konservative Folkeparti;Mette Kærgaard Iversen;6
1. Nordmors;C;Det Konservative Folkeparti;Poul Roesen;72
1. Nordmors;C;Det Konservative Folkeparti;Keld Nielsen;15
1. Nordmors;C;Det Konservative Folkeparti;Steen Nør Pilgaard;2
1. Nordmors;C;Det Konservative Folkeparti;Jens Peter Zacho;6
1. Nordmors;C;Det Konservative Folkeparti;Claus Søndergaard Andersen;0
1. Nordmors;C;Det Konservative Folkeparti;Henrik Markmøller Bro;0
1. Nordmors;C;Det Konservative Folkeparti;Walther N. Mikkelsen;2
1. Nordmors;F;SF - Socialistisk Folkeparti;Listestemmer;10
1. Nordmors;F;SF - Socialistisk Folkeparti;Lars Røntved Jensen;26
