Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Aalestrup;A;Socialdemokratiet;Listestemmer;67
1. Aalestrup;A;Socialdemokratiet;Asger Andersen, Vegger;21
1. Aalestrup;A;Socialdemokratiet;Laila Flyvholm Jensen, Vognsild;6
1. Aalestrup;A;Socialdemokratiet;Kenneth Nyholm, Aars;10
1. Aalestrup;A;Socialdemokratiet;Lesia Havryliuk, Farsø;25
1. Aalestrup;A;Socialdemokratiet;Jens Chr. Pedersen, Farsø;3
1. Aalestrup;A;Socialdemokratiet;Ann Britt Frederiksen, Vester Hornum;2
1. Aalestrup;A;Socialdemokratiet;Henrik Harris Sloth, Løgstør;4
1. Aalestrup;A;Socialdemokratiet;Vibeke Hvidsten, Hvalpsund;3
1. Aalestrup;A;Socialdemokratiet;Anders Kjær Kristensen, Vognsild;2
1. Aalestrup;A;Socialdemokratiet;Pia Risgård, Aars;4
1. Aalestrup;A;Socialdemokratiet;Hans Jørgen Møller, Aalestrup;70
1. Aalestrup;A;Socialdemokratiet;Mikael Lisberg Toft, Aars;0
1. Aalestrup;A;Socialdemokratiet;Niels Carøe Skinnerup, Aalestrup;57
1. Aalestrup;A;Socialdemokratiet;Morten Lindblad, Gundersted;0
1. Aalestrup;A;Socialdemokratiet;Henrik Terp, Aars;11
1. Aalestrup;B;Radikale Venstre;Listestemmer;4
1. Aalestrup;B;Radikale Venstre;Torsten Ployart Wetche, Farsø;9
1. Aalestrup;B;Radikale Venstre;Karsten Kjærgaard, Ranum;3
1. Aalestrup;C;Det Konservative Folkeparti;Listestemmer;20
1. Aalestrup;C;Det Konservative Folkeparti;Signe Nøhr, Hornum;84
1. Aalestrup;C;Det Konservative Folkeparti;Jeppe Korreborg Pedersen, Aalestrup;449
1. Aalestrup;C;Det Konservative Folkeparti;Henrik Dalgaard, Aars;4
1. Aalestrup;C;Det Konservative Folkeparti;Nicklas Ådén Poulsen, Farsø;2
1. Aalestrup;C;Det Konservative Folkeparti;Charlotte Bøvling, Aars;2
1. Aalestrup;C;Det Konservative Folkeparti;Allan Ritter, Løgstør;1
1. Aalestrup;C;Det Konservative Folkeparti;Per Nyborg, Aars;5
1. Aalestrup;C;Det Konservative Folkeparti;Steffen Lønsmann, Vester Hornum;2
1. Aalestrup;C;Det Konservative Folkeparti;Anette Borup Fristrup, Farsø;2
1. Aalestrup;C;Det Konservative Folkeparti;Rasmus Byrith, Borup;0
1. Aalestrup;C;Det Konservative Folkeparti;Ulrik Mark Jensen, Gundersted;3
1. Aalestrup;C;Det Konservative Folkeparti;Maria Bjerregaard, Vestrup;4
1. Aalestrup;C;Det Konservative Folkeparti;Vittus Bernlow, Aars;1
1. Aalestrup;C;Det Konservative Folkeparti;Ilse Skadhauge Larsen, Hornum;2
1. Aalestrup;F;SF - Socialistisk Folkeparti;Listestemmer;41
1. Aalestrup;F;SF - Socialistisk Folkeparti;Annemette Bach, Ranum;22
1. Aalestrup;F;SF - Socialistisk Folkeparti;Erik Bernth Nielsen, Ranum;6
1. Aalestrup;F;SF - Socialistisk Folkeparti;Troels Bjørn, Ranum;1
