Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Billund;A;Socialdemokratiet;Listestemmer;153
1. Billund;A;Socialdemokratiet;Martin Alminde Friis, Billund;569
1. Billund;A;Socialdemokratiet;Birthe Nielsen, Hejnsvig;63
1. Billund;A;Socialdemokratiet;Jannick Dam Kristensen, Vorbasse;28
1. Billund;A;Socialdemokratiet;Heidi Alberthe Nielsen, Stenderup-Krogager;7
1. Billund;A;Socialdemokratiet;Jeyarajah Rasiah, Grindsted;36
1. Billund;A;Socialdemokratiet;Eva Kristensen, Grindsted;5
1. Billund;A;Socialdemokratiet;Ole Marcussen, Grindsted;28
1. Billund;A;Socialdemokratiet;Karina Vestergaard, Grindsted;25
1. Billund;A;Socialdemokratiet;Klaus Sønderup Lorenzen, Sdr. Omme;8
1. Billund;A;Socialdemokratiet;Henrik Puggaard, Billund;138
1. Billund;A;Socialdemokratiet;Kai Bayer, Grindsted;5
1. Billund;A;Socialdemokratiet;Brian Nissen, Filskov;11
1. Billund;C;Det Konservative Folkeparti;Listestemmer;46
1. Billund;C;Det Konservative Folkeparti;Lars Hansen, Grindsted;86
1. Billund;C;Det Konservative Folkeparti;Allan Munk Nielsen, Sdr. Omme;16
1. Billund;C;Det Konservative Folkeparti;René Eriksen, Hejnsvig;11
1. Billund;C;Det Konservative Folkeparti;Per Madsen, Grindsted;2
1. Billund;C;Det Konservative Folkeparti;Katri Søgaard, Grindsted;4
1. Billund;F;SF - Socialistisk Folkeparti;Listestemmer;57
1. Billund;F;SF - Socialistisk Folkeparti;Rie Køppen, Grindsted;68
1. Billund;F;SF - Socialistisk Folkeparti;Susanne Mathiesen, Grindsted;21
1. Billund;F;SF - Socialistisk Folkeparti;Monika Lillelund, Billund;124
1. Billund;M;Moderaterne;Listestemmer;10
1. Billund;M;Moderaterne;Gitte Bjerremand Andersen;61
1. Billund;M;Moderaterne;Ivar Nørlund;13
1. Billund;M;Moderaterne;Henrik Bartels Christensen;4
1. Billund;N;Billund International;Listestemmer;53
1. Billund;N;Billund International;Simone Giuseppe Uggeri;37
1. Billund;N;Billund International;Ricco Scheepers;7
1. Billund;N;Billund International;Ashwini Shastri;28
1. Billund;N;Billund International;Bret R. Schafbuch;37
1. Billund;O;Dansk Folkeparti;Listestemmer;94
1. Billund;O;Dansk Folkeparti;Bjarne F. Jensen;40
1. Billund;O;Dansk Folkeparti;Frank Mikkelsen;27
1. Billund;O;Dansk Folkeparti;Bjarne Gamborg Hansen;11
1. Billund;V;Venstre, Danmarks Liberale Parti;Listestemmer;197
1. Billund;V;Venstre, Danmarks Liberale Parti;Stephanie Storbank;516
1. Billund;V;Venstre, Danmarks Liberale Parti;Lars Kjærhus;256
1. Billund;V;Venstre, Danmarks Liberale Parti;Mads Søbye Helbo;46
1. Billund;V;Venstre, Danmarks Liberale Parti;Jørgen Clement;2
1. Billund;V;Venstre, Danmarks Liberale Parti;Sofie Schmahl;210
1. Billund;V;Venstre, Danmarks Liberale Parti;Bjarne Larsen;23
1. Billund;V;Venstre, Danmarks Liberale Parti;Jørn Poulsen;6
