Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Allested-Vejle;A;Socialdemokratiet;Listestemmer;63
1. Allested-Vejle;A;Socialdemokratiet;Anstina Krogh, Håstrup;68
1. Allested-Vejle;A;Socialdemokratiet;Hans Stavnsager, Faaborg;22
1. Allested-Vejle;A;Socialdemokratiet;Tanja Kromann, Gislev;2
1. Allested-Vejle;A;Socialdemokratiet;Brian M. Bisgaard, Ferritslev;7
1. Allested-Vejle;A;Socialdemokratiet;Maria Busborg, Ringe;6
1. Allested-Vejle;A;Socialdemokratiet;Steffen Jensen, Sdr. Nærå;1
1. Allested-Vejle;A;Socialdemokratiet;Signe Jackson, Nr. Søby;15
1. Allested-Vejle;A;Socialdemokratiet;Christina Brun, Faaborg;1
1. Allested-Vejle;A;Socialdemokratiet;Anne Kyhn, Faaborg;0
1. Allested-Vejle;A;Socialdemokratiet;René Brinch Petersen, Ringe;1
1. Allested-Vejle;A;Socialdemokratiet;Lars Nielsen, V. Åby;0
1. Allested-Vejle;A;Socialdemokratiet;Ole Bakkegaard Starklint, Ringe;0
1. Allested-Vejle;A;Socialdemokratiet;Poul Arne Nielsen, Ryslinge;2
1. Allested-Vejle;A;Socialdemokratiet;John Larsen, Horne;1
1. Allested-Vejle;A;Socialdemokratiet;Poul Kristensen, Kværndrup;4
1. Allested-Vejle;A;Socialdemokratiet;Jimmi Krøyer, Faaborg;0
1. Allested-Vejle;A;Socialdemokratiet;Morten Vøhtz, Korinth;2
1. Allested-Vejle;A;Socialdemokratiet;Anne Jørgensen, Lyø;0
1. Allested-Vejle;B;Radikale Venstre;Listestemmer;2
1. Allested-Vejle;B;Radikale Venstre;Anna Mette Skov Borring, Årslev;4
1. Allested-Vejle;B;Radikale Venstre;Martin Dyrgård Kaspersen, Ringe;0
1. Allested-Vejle;B;Radikale Venstre;Anette Pihl Østergaard, Sdr. Nærå;1
1. Allested-Vejle;B;Radikale Venstre;Nikolaj Lind-Thomsen Hjerrild, Nr. Lyndelse;1
1. Allested-Vejle;B;Radikale Venstre;Rikke Dyrgård Kaspersen, Ringe;0
1. Allested-Vejle;B;Radikale Venstre;Anja Kirstine Detlefsen Hansen, Allested-Vejle;5
1. Allested-Vejle;B;Radikale Venstre;Bent Ipsen, Faaborg;0
1. Allested-Vejle;B;Radikale Venstre;Ole Peder Hansen, Gislev;1
1. Allested-Vejle;C;Det Konservative Folkeparti;Listestemmer;14
1. Allested-Vejle;C;Det Konservative Folkeparti;Thomas Hofstedt Nielsen, Ferritslev;8
1. Allested-Vejle;C;Det Konservative Folkeparti;Rasmus Viereck, Bøjden;5
1. Allested-Vejle;C;Det Konservative Folkeparti;Helle Bonde Jensen, Faaborg;0
1. Allested-Vejle;C;Det Konservative Folkeparti;Morten Hougaard, Ringe;2
1. Allested-Vejle;C;Det Konservative Folkeparti;Lucas Svendsen, Faaborg;3
1. Allested-Vejle;C;Det Konservative Folkeparti;Joacchim Brahtz, Faaborg;1
1. Allested-Vejle;C;Det Konservative Folkeparti;Michael Møller, Nr. Broby;6
1. Allested-Vejle;C;Det Konservative Folkeparti;Michael Bernsdorf Jungfeldt, Faaborg;3
1. Allested-Vejle;C;Det Konservative Folkeparti;Morten Holgersen, Gl. Stenderup;3
1. Allested-Vejle;F;SF - Socialistisk Folkeparti;Listestemmer;37
1. Allested-Vejle;F;SF - Socialistisk Folkeparti;Vagn Hansen, Nr. Lyndelse;17
1. Allested-Vejle;F;SF - Socialistisk Folkeparti;Mads Holdgaard, Faaborg;7
1. Allested-Vejle;F;SF - Socialistisk Folkeparti;Michael E. Andersen, Ryslinge;0
1. Allested-Vejle;F;SF - Socialistisk Folkeparti;Bettina Mygind, Broby;14
1. Allested-Vejle;F;SF - Socialistisk Folkeparti;Eske Aller, Årslev;3
1. Allested-Vejle;F;SF - Socialistisk Folkeparti;Linda Bollerup, Årslev;6
