Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Centrum Nord;A;Socialdemokratiet;Listestemmer;148
1. Centrum Nord;A;Socialdemokratiet;Birgitte Munk Grunnet;129
1. Centrum Nord;A;Socialdemokratiet;Filip Bekic Bladt;20
1. Centrum Nord;A;Socialdemokratiet;Victoria Davidsen;40
1. Centrum Nord;A;Socialdemokratiet;Poul Erik Jensen;10
1. Centrum Nord;A;Socialdemokratiet;Hanna Andresen;3
1. Centrum Nord;A;Socialdemokratiet;Folmer Krogh;21
1. Centrum Nord;A;Socialdemokratiet;Jakob Stagaard;25
1. Centrum Nord;A;Socialdemokratiet;Per Bødker Andersen;17
1. Centrum Nord;A;Socialdemokratiet;Hamlaoui Bahloul;35
1. Centrum Nord;A;Socialdemokratiet;Magnus F. Stilling;14
1. Centrum Nord;A;Socialdemokratiet;Jens Erik Lind;9
1. Centrum Nord;A;Socialdemokratiet;Bent Jørgensen;8
1. Centrum Nord;A;Socialdemokratiet;Bo Sander;6
1. Centrum Nord;A;Socialdemokratiet;Mette Riis;30
1. Centrum Nord;B;Radikale Venstre;Listestemmer;85
1. Centrum Nord;B;Radikale Venstre;Merete Due Paarup, Jordrup;81
1. Centrum Nord;B;Radikale Venstre;Kim Toft Andersen, Strandhuse;25
1. Centrum Nord;B;Radikale Venstre;Solveig Søndergaard, Kolding;18
1. Centrum Nord;B;Radikale Venstre;Jens Jakob Velasco Hansen, Bramdrupdam;5
1. Centrum Nord;B;Radikale Venstre;Sinne Langballe, Kolding;22
1. Centrum Nord;B;Radikale Venstre;Margreet Smit, Sdr. Stenderup;10
1. Centrum Nord;B;Radikale Venstre;Rajinder Grover, Strandhuse;8
1. Centrum Nord;B;Radikale Venstre;Fie Byberg, Kolding;11
1. Centrum Nord;B;Radikale Venstre;Ole Brandstrup, Strandhuse;5
1. Centrum Nord;B;Radikale Venstre;Kenny Holm, Sjølund;5
1. Centrum Nord;B;Radikale Venstre;Knud Nørregaard, Bramdrupdam;21
1. Centrum Nord;B;Radikale Venstre;Gert Helenius, Dalby;2
1. Centrum Nord;B;Radikale Venstre;Jens Sørensen, Kolding;3
1. Centrum Nord;C;Det Konservative Folkeparti;Listestemmer;50
1. Centrum Nord;C;Det Konservative Folkeparti;Christina Foldager, Kolding;189
1. Centrum Nord;C;Det Konservative Folkeparti;Knud Erik Langhoff, Bjert;10
1. Centrum Nord;C;Det Konservative Folkeparti;René Nikolaj Andersen, Kolding;2
1. Centrum Nord;C;Det Konservative Folkeparti;Rasmus Sandvej, Kolding;11
1. Centrum Nord;C;Det Konservative Folkeparti;Dan Foss Kragh, Kolding Ø;9
1. Centrum Nord;C;Det Konservative Folkeparti;Jesper Termansen, Vamdrup;7
1. Centrum Nord;C;Det Konservative Folkeparti;Lars Holmberg Frandsen, Lunderskov;2
1. Centrum Nord;C;Det Konservative Folkeparti;Morten Trillingsgaard Høybye, Vester Nebel;7
1. Centrum Nord;C;Det Konservative Folkeparti;Mirela Tanovic, Kolding;18
1. Centrum Nord;C;Det Konservative Folkeparti;Niels Ravn Schmidt, Sønder Stenderup;5
1. Centrum Nord;C;Det Konservative Folkeparti;Daniel Klestrup Bjærge, Ødis Bramdrup;0
1. Centrum Nord;C;Det Konservative Folkeparti;Simon Rostgaard Hansen, Ødis;5
1. Centrum Nord;C;Det Konservative Folkeparti;Betina Wettengel, Harte;2
1. Centrum Nord;F;SF - Socialistisk Folkeparti;Listestemmer;119
1. Centrum Nord;F;SF - Socialistisk Folkeparti;Iben Lehmann Rasmussen;147
1. Centrum Nord;F;SF - Socialistisk Folkeparti;Jørn Chemnitz;147
1. Centrum Nord;F;SF - Socialistisk Folkeparti;Susanne Stenstrop Thorsen;48
1. Centrum Nord;F;SF - Socialistisk Folkeparti;Cecer Bjørk;22
1. Centrum Nord;F;SF - Socialistisk Folkeparti;Anne Dedenroth-Schou;7
1. Centrum Nord;F;SF - Socialistisk Folkeparti;Nicolai Holmgaard Juul;6
1. Centrum Nord;F;SF - Socialistisk Folkeparti;Christina Sandal Wagner;7
1. Centrum Nord;F;SF - Socialistisk Folkeparti;Vandad Pachai;3
1. Centrum Nord;F;SF - Socialistisk Folkeparti;Poul Erik Nørregaard;9
1. Centrum Nord;F;SF - Socialistisk Folkeparti;Marianne Vejen Jespersen;15
1. Centrum Nord;I;Liberal Alliance;Listestemmer;132
1. Centrum Nord;I;Liberal Alliance;Gitte Grønbæk;67
1. Centrum Nord;I;Liberal Alliance;Christina Kokkendoff;9
1. Centrum Nord;I;Liberal Alliance;Hasse Smedegaard;10
1. Centrum Nord;I;Liberal Alliance;Marc Dreier;2
1. Centrum Nord;I;Liberal Alliance;Peter Skousen;2
1. Centrum Nord;I;Liberal Alliance;Cecilie Liv Hansen;74
1. Centrum Nord;I;Liberal Alliance;Jennifer Barner Nielsen;1
1. Centrum Nord;I;Liberal Alliance;Jacob Sorgenfri;1
1. Centrum Nord;I;Liberal Alliance;Martin Holm Kodahl;3
1. Centrum Nord;I;Liberal Alliance;Dennis Paaske;3
1. Centrum Nord;I;Liberal Alliance;Martin Richter;2
1. Centrum Nord;J;Borgernes Lokal Liste;Listestemmer;0
1. Centrum Nord;J;Borgernes Lokal Liste;Jørn Dohrmann;6
1. Centrum Nord;J;Borgernes Lokal Liste;Brian Skjoldborg Thomsen;0
1. Centrum Nord;J;Borgernes Lokal Liste;Alina Wolf Dohrmann;1
1. Centrum Nord;J;Borgernes Lokal Liste;Flemming B. Kristiansen;0
1. Centrum Nord;J;Borgernes Lokal Liste;Kristian Sejerup;0
1. Centrum Nord;J;Borgernes Lokal Liste;Johnni Mortensen;2
1. Centrum Nord;K;Kristendemokraterne;Listestemmer;0
1. Centrum Nord;K;Kristendemokraterne;Bjarne Vium Mikkelsen, Lunderskov;0
1. Centrum Nord;K;Kristendemokraterne;Jens Chr. Olesen, Christiansfeld;1
1. Centrum Nord;K;Kristendemokraterne;Jørgen Høier, Kolding;0
1. Centrum Nord;K;Kristendemokraterne;Simon Marker Pedersen, Kolding;2
1. Centrum Nord;L;Den Lille Mands Parti;Listestemmer;7
1. Centrum Nord;L;Den Lille Mands Parti;Klaus Ladegaard;5
1. Centrum Nord;M;Moderaterne;Listestemmer;15
1. Centrum Nord;M;Moderaterne;Morten Hell;18
1. Centrum Nord;M;Moderaterne;Vibeke Henriksen;5
1. Centrum Nord;M;Moderaterne;Thomas Kramer;15
1. Centrum Nord;O;Dansk Folkeparti;Listestemmer;116
1. Centrum Nord;O;Dansk Folkeparti;Søren Rasmussen;260
1. Centrum Nord;O;Dansk Folkeparti;Molle Lykke Nielsen;12
1. Centrum Nord;O;Dansk Folkeparti;Per Knudsen;7
1. Centrum Nord;O;Dansk Folkeparti;Jan Skræddergaard;13
1. Centrum Nord;O;Dansk Folkeparti;Sara Gabel;5
1. Centrum Nord;O;Dansk Folkeparti;Inger Irene Hansen;1
1. Centrum Nord;O;Dansk Folkeparti;Dorthe Angelika Dyhrberg;0
1. Centrum Nord;O;Dansk Folkeparti;Dorte Olesen;5
1. Centrum Nord;O;Dansk Folkeparti;Tenna Lindgaard;11
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Listestemmer;204
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Jakob Ville, Kolding;473
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Tobias Jørgensen, Hoppeshuse;16
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Nicolai Boelsmand Asmussen, Alminde-Viuf;9
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Lennarth Hansen, Kolding;13
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Rikke Werner Kruse, Kolding;72
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Jonas Kallan Langvad, Vonsild;8
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Niels Henning Bladt, Kolding;16
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Helene Baarup-Christensen, Christiansfeld;4
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Torben Lund, Kolding;71
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Jan Schjerning, Lunderskov;8
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Freddy Christensen, Vamdrup;1
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Claus Warming, Jordrup;13
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Gustav Schmidt Hansen, Kolding;1
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Kenneth Kästner Jensen, Bramdrupdam;2
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Henrik Vest, Brændkjær;20
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Finn Thomsen, Hjarup;6
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Glenn Lundt, Vamdrup;0
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Brian Ørum Hansen, Kolding Ø;18
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Kjeld Kjeldsen, Dalby;5
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Christina Kuntz, Bramdrupdam;23
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Morten Møller Pedersen, Skanderup;5
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Brian Vittrup, Hejlsminde;2
1. Centrum Nord;V;Venstre, Danmarks Liberale Parti;Peter Thiel Søbjerg, Sdr. Bjert;1
1. Centrum Nord;Æ;Danmarksdemokraterne - Inger Støjberg;Listestemmer;40
1. Centrum Nord;Æ;Danmarksdemokraterne - Inger Støjberg;Lars Rosenberg Grodt-Andersen;29
1. Centrum Nord;Æ;Danmarksdemokraterne - Inger Støjberg;Lene Ross Skou;17
1. Centrum Nord;Æ;Danmarksdemokraterne - Inger Støjberg;Bo Rasmussen;3
1. Centrum Nord;Æ;Danmarksdemokraterne - Inger Støjberg;Thomas Majgaard Byrsing;17
1. Centrum Nord;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;120
1. Centrum Nord;Ø;Enhedslisten - De Rød-Grønne;Benny Dall;120
1. Centrum Nord;Ø;Enhedslisten - De Rød-Grønne;Lukas Albrechtsen;24
1. Centrum Nord;Ø;Enhedslisten - De Rød-Grønne;Ziggy Barsøe Povlsen;21
1. Centrum Nord;Ø;Enhedslisten - De Rød-Grønne;Laura Dahl Blomstrøm;26
1. Centrum Nord;Ø;Enhedslisten - De Rød-Grønne;Mille Schlünsen;12
1. Centrum Nord;Ø;Enhedslisten - De Rød-Grønne;Asbjørn Nørrind Hansen;5
1. Centrum Nord;Ø;Enhedslisten - De Rød-Grønne;Ida Agnete Storgaard Christensen;37
1. Centrum Nord;Ø;Enhedslisten - De Rød-Grønne;David Bohl Andersen;6
1. Centrum Nord;Ø;Enhedslisten - De Rød-Grønne;Thomas de Renouard;2
1. Centrum Nord;Ø;Enhedslisten - De Rød-Grønne;Aneken S. Petersen;2
2. Nordbyen;A;Socialdemokratiet;Listestemmer;110
2. Nordbyen;A;Socialdemokratiet;Birgitte Munk Grunnet;97
2. Nordbyen;A;Socialdemokratiet;Filip Bekic Bladt;17
2. Nordbyen;A;Socialdemokratiet;Victoria Davidsen;18
2. Nordbyen;A;Socialdemokratiet;Poul Erik Jensen;7
2. Nordbyen;A;Socialdemokratiet;Hanna Andresen;3
2. Nordbyen;A;Socialdemokratiet;Folmer Krogh;18
2. Nordbyen;A;Socialdemokratiet;Jakob Stagaard;19
2. Nordbyen;A;Socialdemokratiet;Per Bødker Andersen;17
2. Nordbyen;A;Socialdemokratiet;Hamlaoui Bahloul;134
2. Nordbyen;A;Socialdemokratiet;Magnus F. Stilling;6
2. Nordbyen;A;Socialdemokratiet;Jens Erik Lind;7
2. Nordbyen;A;Socialdemokratiet;Bent Jørgensen;14
2. Nordbyen;A;Socialdemokratiet;Bo Sander;0
2. Nordbyen;A;Socialdemokratiet;Mette Riis;16
2. Nordbyen;B;Radikale Venstre;Listestemmer;47
2. Nordbyen;B;Radikale Venstre;Merete Due Paarup, Jordrup;24
2. Nordbyen;B;Radikale Venstre;Kim Toft Andersen, Strandhuse;4
2. Nordbyen;B;Radikale Venstre;Solveig Søndergaard, Kolding;4
2. Nordbyen;B;Radikale Venstre;Jens Jakob Velasco Hansen, Bramdrupdam;3
2. Nordbyen;B;Radikale Venstre;Sinne Langballe, Kolding;8
2. Nordbyen;B;Radikale Venstre;Margreet Smit, Sdr. Stenderup;8
2. Nordbyen;B;Radikale Venstre;Rajinder Grover, Strandhuse;7
2. Nordbyen;B;Radikale Venstre;Fie Byberg, Kolding;9
2. Nordbyen;B;Radikale Venstre;Ole Brandstrup, Strandhuse;3
2. Nordbyen;B;Radikale Venstre;Kenny Holm, Sjølund;2
2. Nordbyen;B;Radikale Venstre;Knud Nørregaard, Bramdrupdam;9
2. Nordbyen;B;Radikale Venstre;Gert Helenius, Dalby;0
2. Nordbyen;B;Radikale Venstre;Jens Sørensen, Kolding;1
2. Nordbyen;C;Det Konservative Folkeparti;Listestemmer;18
2. Nordbyen;C;Det Konservative Folkeparti;Christina Foldager, Kolding;53
2. Nordbyen;C;Det Konservative Folkeparti;Knud Erik Langhoff, Bjert;3
2. Nordbyen;C;Det Konservative Folkeparti;René Nikolaj Andersen, Kolding;1
2. Nordbyen;C;Det Konservative Folkeparti;Rasmus Sandvej, Kolding;1
2. Nordbyen;C;Det Konservative Folkeparti;Dan Foss Kragh, Kolding Ø;4
2. Nordbyen;C;Det Konservative Folkeparti;Jesper Termansen, Vamdrup;6
2. Nordbyen;C;Det Konservative Folkeparti;Lars Holmberg Frandsen, Lunderskov;0
2. Nordbyen;C;Det Konservative Folkeparti;Morten Trillingsgaard Høybye, Vester Nebel;9
2. Nordbyen;C;Det Konservative Folkeparti;Mirela Tanovic, Kolding;7
2. Nordbyen;C;Det Konservative Folkeparti;Niels Ravn Schmidt, Sønder Stenderup;1
2. Nordbyen;C;Det Konservative Folkeparti;Daniel Klestrup Bjærge, Ødis Bramdrup;0
2. Nordbyen;C;Det Konservative Folkeparti;Simon Rostgaard Hansen, Ødis;0
2. Nordbyen;C;Det Konservative Folkeparti;Betina Wettengel, Harte;2
2. Nordbyen;F;SF - Socialistisk Folkeparti;Listestemmer;91
2. Nordbyen;F;SF - Socialistisk Folkeparti;Iben Lehmann Rasmussen;123
2. Nordbyen;F;SF - Socialistisk Folkeparti;Jørn Chemnitz;63
2. Nordbyen;F;SF - Socialistisk Folkeparti;Susanne Stenstrop Thorsen;19
2. Nordbyen;F;SF - Socialistisk Folkeparti;Cecer Bjørk;3
2. Nordbyen;F;SF - Socialistisk Folkeparti;Anne Dedenroth-Schou;3
2. Nordbyen;F;SF - Socialistisk Folkeparti;Nicolai Holmgaard Juul;9
2. Nordbyen;F;SF - Socialistisk Folkeparti;Christina Sandal Wagner;7
2. Nordbyen;F;SF - Socialistisk Folkeparti;Vandad Pachai;0
2. Nordbyen;F;SF - Socialistisk Folkeparti;Poul Erik Nørregaard;4
2. Nordbyen;F;SF - Socialistisk Folkeparti;Marianne Vejen Jespersen;10
2. Nordbyen;I;Liberal Alliance;Listestemmer;41
2. Nordbyen;I;Liberal Alliance;Gitte Grønbæk;26
2. Nordbyen;I;Liberal Alliance;Christina Kokkendoff;6
2. Nordbyen;I;Liberal Alliance;Hasse Smedegaard;6
2. Nordbyen;I;Liberal Alliance;Marc Dreier;1
2. Nordbyen;I;Liberal Alliance;Peter Skousen;1
2. Nordbyen;I;Liberal Alliance;Cecilie Liv Hansen;24
2. Nordbyen;I;Liberal Alliance;Jennifer Barner Nielsen;1
2. Nordbyen;I;Liberal Alliance;Jacob Sorgenfri;0
2. Nordbyen;I;Liberal Alliance;Martin Holm Kodahl;1
2. Nordbyen;I;Liberal Alliance;Dennis Paaske;4
2. Nordbyen;I;Liberal Alliance;Martin Richter;0
2. Nordbyen;J;Borgernes Lokal Liste;Listestemmer;0
2. Nordbyen;J;Borgernes Lokal Liste;Jørn Dohrmann;2
2. Nordbyen;J;Borgernes Lokal Liste;Brian Skjoldborg Thomsen;1
2. Nordbyen;J;Borgernes Lokal Liste;Alina Wolf Dohrmann;0
2. Nordbyen;J;Borgernes Lokal Liste;Flemming B. Kristiansen;0
2. Nordbyen;J;Borgernes Lokal Liste;Kristian Sejerup;0
2. Nordbyen;J;Borgernes Lokal Liste;Johnni Mortensen;3
2. Nordbyen;K;Kristendemokraterne;Listestemmer;1
2. Nordbyen;K;Kristendemokraterne;Bjarne Vium Mikkelsen, Lunderskov;1
2. Nordbyen;K;Kristendemokraterne;Jens Chr. Olesen, Christiansfeld;3
2. Nordbyen;K;Kristendemokraterne;Jørgen Høier, Kolding;4
2. Nordbyen;K;Kristendemokraterne;Simon Marker Pedersen, Kolding;1
2. Nordbyen;L;Den Lille Mands Parti;Listestemmer;0
2. Nordbyen;L;Den Lille Mands Parti;Klaus Ladegaard;1
2. Nordbyen;M;Moderaterne;Listestemmer;9
