Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Bredebro;A;Socialdemokratiet;Listestemmer;14
1. Bredebro;A;Socialdemokratiet;Torben Struck;14
1. Bredebro;A;Socialdemokratiet;Mette Nielsen;4
1. Bredebro;A;Socialdemokratiet;Flemming Gjelstrup;182
1. Bredebro;A;Socialdemokratiet;Bodil Thye;1
1. Bredebro;A;Socialdemokratiet;Harald Christensen;1
1. Bredebro;A;Socialdemokratiet;Alina Racila;6
1. Bredebro;A;Socialdemokratiet;Lars Rømer;0
1. Bredebro;A;Socialdemokratiet;Mette-Emilie Beck;1
1. Bredebro;A;Socialdemokratiet;Henning Gad;0
1. Bredebro;A;Socialdemokratiet;Kim Hauborg;0
1. Bredebro;A;Socialdemokratiet;Henrik Scholz;3
1. Bredebro;A;Socialdemokratiet;Mike Dyrby Petersen;0
1. Bredebro;A;Socialdemokratiet;Jens Nissen;0
1. Bredebro;A;Socialdemokratiet;Elisabeth Simonsen;0
1. Bredebro;A;Socialdemokratiet;Jan Salskov;0
1. Bredebro;C;Det Konservative Folkeparti;Listestemmer;7
1. Bredebro;C;Det Konservative Folkeparti;Anette Abildgaard Larsen;21
1. Bredebro;C;Det Konservative Folkeparti;Svend Sommerlund;3
1. Bredebro;C;Det Konservative Folkeparti;Preben Helleberg Jensen;0
1. Bredebro;C;Det Konservative Folkeparti;Helle Glass;2
1. Bredebro;F;SF - Socialistisk Folkeparti;Listestemmer;5
1. Bredebro;F;SF - Socialistisk Folkeparti;Bjarne Lund Henneberg;0
1. Bredebro;F;SF - Socialistisk Folkeparti;Rikke Weng-Ludvigsen;6
1. Bredebro;F;SF - Socialistisk Folkeparti;Lasse Sabinus Weng-Ludvigsen;1
1. Bredebro;F;SF - Socialistisk Folkeparti;Michael Bothmann Jensen;1
1. Bredebro;F;SF - Socialistisk Folkeparti;Carl Marius Gaarde;2
1. Bredebro;F;SF - Socialistisk Folkeparti;Maria Ingemann Jensen;0
1. Bredebro;I;Liberal Alliance;Listestemmer;11
1. Bredebro;I;Liberal Alliance;Jens Laurids Sørensen, Skærbæk;7
1. Bredebro;I;Liberal Alliance;Lars Lund Hansen, Skærbæk;2
1. Bredebro;I;Liberal Alliance;Freddy Bucka Andresen, Tønder;1
1. Bredebro;O;Dansk Folkeparti;Listestemmer;30
1. Bredebro;O;Dansk Folkeparti;Allan Svendsen, Rømø;44
1. Bredebro;O;Dansk Folkeparti;Pernille Mai Brylle, Vesterende Ballum;17
1. Bredebro;O;Dansk Folkeparti;Kim Pedersen, Toftlund;0
1. Bredebro;O;Dansk Folkeparti;Ulla Oksen, Agerskov;4
1. Bredebro;O;Dansk Folkeparti;Bent Olesen, Skærbæk;2
1. Bredebro;O;Dansk Folkeparti;Mads-Magnus Dam, Frifelt;17
1. Bredebro;O;Dansk Folkeparti;Betina Pedersen, Toftlund;2
1. Bredebro;O;Dansk Folkeparti;Karin Asta Lildballe, Højer;1
1. Bredebro;O;Dansk Folkeparti;Kurt Condrup, Løgumkloster;1
1. Bredebro;O;Dansk Folkeparti;Jørgen Lildballe, Højer;0
1. Bredebro;S;Slesvigsk Parti;Listestemmer;8
1. Bredebro;S;Slesvigsk Parti;Jørgen Popp Petersen;169
1. Bredebro;S;Slesvigsk Parti;Louise Thomsen Terp;5
1. Bredebro;S;Slesvigsk Parti;Leif Hansen;5
1. Bredebro;S;Slesvigsk Parti;Randi Damstedt;1
1. Bredebro;S;Slesvigsk Parti;Claus Hansen;2
1. Bredebro;S;Slesvigsk Parti;Mathias Knudsen;2
1. Bredebro;S;Slesvigsk Parti;Victor Puck Terp;0
1. Bredebro;S;Slesvigsk Parti;Lorena Otto Pedersen;1
1. Bredebro;S;Slesvigsk Parti;Jakob Tästensen;0
