Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Varde By;A;Socialdemokratiet;Listestemmer;433
1. Varde By;A;Socialdemokratiet;Sandie Eis Ravn, Varde;639
1. Varde By;A;Socialdemokratiet;Finn Ladegaard, Næsbjerg;24
1. Varde By;A;Socialdemokratiet;Anne Catherine Hoxcer Nielsen, Varde;144
1. Varde By;A;Socialdemokratiet;Birger Filskov, Nr. Nebel;18
1. Varde By;A;Socialdemokratiet;Jonna Jul Gudmundsen, Varde;373
1. Varde By;A;Socialdemokratiet;Doron Edry, Tistrup;24
1. Varde By;A;Socialdemokratiet;Kim Christensen, Tistrup;8
1. Varde By;A;Socialdemokratiet;Per Nielsen, Nr. Nebel;3
1. Varde By;A;Socialdemokratiet;Erling Thrane, Janderup;8
1. Varde By;A;Socialdemokratiet;Niels Ole Beck, Varde;49
1. Varde By;A;Socialdemokratiet;Carsten Schultz-Nielsen, Varde;9
1. Varde By;A;Socialdemokratiet;Majbritt Theilgaard Iversen, Varde;43
1. Varde By;B;Radikale Venstre;Listestemmer;60
1. Varde By;B;Radikale Venstre;Jonas C. W. Iversen;61
1. Varde By;B;Radikale Venstre;Hans Vestager;15
1. Varde By;C;Det Konservative Folkeparti;Listestemmer;110
1. Varde By;C;Det Konservative Folkeparti;Henrik Vej Kastrupsen, Oksbøl;134
1. Varde By;C;Det Konservative Folkeparti;Mariane Nygaard Holm, Blåvand;41
1. Varde By;C;Det Konservative Folkeparti;Rasmus Sømod, Næsbjerg;7
1. Varde By;C;Det Konservative Folkeparti;Kristian Thomsen, Varde;80
1. Varde By;C;Det Konservative Folkeparti;Gitte Kvist, Outrup;8
1. Varde By;C;Det Konservative Folkeparti;Ulla Fuglsang Sundvang, Agerbæk;12
1. Varde By;C;Det Konservative Folkeparti;Thomas Mandahl-Barth, Nørre Nebel;2
1. Varde By;C;Det Konservative Folkeparti;Maria Christensen, Varde;91
1. Varde By;F;SF - Socialistisk Folkeparti;Listestemmer;176
1. Varde By;F;SF - Socialistisk Folkeparti;Anja Schmidt Hallum Hansen, Varde;149
1. Varde By;F;SF - Socialistisk Folkeparti;Mikkel Berggreen Schmidt, Næsbjerg;170
1. Varde By;F;SF - Socialistisk Folkeparti;Tine Toft, Varde;114
1. Varde By;F;SF - Socialistisk Folkeparti;Ole Juhl Christoffersen, Varde;18
1. Varde By;I;Liberal Alliance;Listestemmer;168
1. Varde By;I;Liberal Alliance;Peter Nielsen;113
1. Varde By;I;Liberal Alliance;Christian Bergholdt;78
1. Varde By;I;Liberal Alliance;Kim Alexander Jensen;44
1. Varde By;I;Liberal Alliance;Mogens H. Ehmsen;16
1. Varde By;I;Liberal Alliance;René Jensen;11
1. Varde By;I;Liberal Alliance;Ove Sidding Nielsen;15
1. Varde By;I;Liberal Alliance;Per Dueholm;6
1. Varde By;K;Kristendemokraterne;Listestemmer;5
1. Varde By;K;Kristendemokraterne;Steen Bjerregaard Jørgensen, Henne;7
1. Varde By;M;Moderaterne;Listestemmer;20
1. Varde By;M;Moderaterne;Per Rask Jensen;81
1. Varde By;N;NÆRdemokraterne;Listestemmer;95
1. Varde By;N;NÆRdemokraterne;Kitty Gamkinn;181
1. Varde By;N;NÆRdemokraterne;Erhardt Jull;20
1. Varde By;N;NÆRdemokraterne;Heidi Bundgaard;96
1. Varde By;N;NÆRdemokraterne;Dennis Hounsgaard Pedersen;11
1. Varde By;N;NÆRdemokraterne;Jimmy Østergaard;0
1. Varde By;N;NÆRdemokraterne;Karsten Kragh;11
1. Varde By;N;NÆRdemokraterne;Knud Erik Hansen-Vestkær;16
1. Varde By;N;NÆRdemokraterne;Linda Jessen;2
1. Varde By;N;NÆRdemokraterne;Rune Gøbel Jacobsen;7
1. Varde By;O;Dansk Folkeparti;Listestemmer;184
1. Varde By;O;Dansk Folkeparti;Julie Gottschalk;203
1. Varde By;O;Dansk Folkeparti;Elsebeth Bertignol;45
1. Varde By;O;Dansk Folkeparti;Henning Jensen;14
1. Varde By;O;Dansk Folkeparti;Irene Madsen Lund;4
1. Varde By;O;Dansk Folkeparti;Jan Brink;13
1. Varde By;V;Venstre, Danmarks Liberale Parti;Listestemmer;430
1. Varde By;V;Venstre, Danmarks Liberale Parti;Sarah Andersen, Starup - Tofterup;895
1. Varde By;V;Venstre, Danmarks Liberale Parti;Bauke Keulen, Varde;79
1. Varde By;V;Venstre, Danmarks Liberale Parti;Poul Burgaard, Varde;642
1. Varde By;V;Venstre, Danmarks Liberale Parti;Lars Teglgaard, Ølgod;21
1. Varde By;V;Venstre, Danmarks Liberale Parti;Daniel Sørensen, Nymindegab;20
1. Varde By;V;Venstre, Danmarks Liberale Parti;Tom Arnt Thorup, Varde;146
1. Varde By;V;Venstre, Danmarks Liberale Parti;Paul O'Connor, Sig;30
1. Varde By;V;Venstre, Danmarks Liberale Parti;Inger Marie Kristensen, Varde;109
1. Varde By;V;Venstre, Danmarks Liberale Parti;Claus Brink, Årre;31
1. Varde By;V;Venstre, Danmarks Liberale Parti;Per Thisted, Skovlund - Ansager;8
1. Varde By;V;Venstre, Danmarks Liberale Parti;Preben Friis-Hauge, Tistrup;167
1. Varde By;V;Venstre, Danmarks Liberale Parti;Leif Poulsen, Ølgod;2
1. Varde By;V;Venstre, Danmarks Liberale Parti;Larysa Novikova, Varde;21
1. Varde By;V;Venstre, Danmarks Liberale Parti;Stanley Johansen, Henne;7
1. Varde By;V;Venstre, Danmarks Liberale Parti;Martin Kjeller Petersen, Oksbøl;2
1. Varde By;V;Venstre, Danmarks Liberale Parti;Anders Helth Hansen, Nordenskov;4
1. Varde By;V;Venstre, Danmarks Liberale Parti;Bo Tobiasen, Janderup;14
1. Varde By;V;Venstre, Danmarks Liberale Parti;Tina Agergaard Hansen, Ølgod;13
1. Varde By;V;Venstre, Danmarks Liberale Parti;Ole Vad Hansen, Nr. Nebel;17
1. Varde By;V;Venstre, Danmarks Liberale Parti;Simon Burkarl, Horne;38
1. Varde By;V;Venstre, Danmarks Liberale Parti;Lars Ejgaard Bissenbacker, Varde;12
1. Varde By;Æ;Danmarksdemokraterne - Inger Støjberg;Listestemmer;250
1. Varde By;Æ;Danmarksdemokraterne - Inger Støjberg;Henriette Harmuth;90
1. Varde By;Æ;Danmarksdemokraterne - Inger Støjberg;Claus Hembo;47
1. Varde By;Æ;Danmarksdemokraterne - Inger Støjberg;Harry Voigt;58
1. Varde By;Æ;Danmarksdemokraterne - Inger Støjberg;Bjarne Burgdorff;30
4. Sig;A;Socialdemokratiet;Listestemmer;32
4. Sig;A;Socialdemokratiet;Sandie Eis Ravn, Varde;59
4. Sig;A;Socialdemokratiet;Finn Ladegaard, Næsbjerg;4
4. Sig;A;Socialdemokratiet;Anne Catherine Hoxcer Nielsen, Varde;10
4. Sig;A;Socialdemokratiet;Birger Filskov, Nr. Nebel;0
4. Sig;A;Socialdemokratiet;Jonna Jul Gudmundsen, Varde;17
4. Sig;A;Socialdemokratiet;Doron Edry, Tistrup;4
4. Sig;A;Socialdemokratiet;Kim Christensen, Tistrup;1
4. Sig;A;Socialdemokratiet;Per Nielsen, Nr. Nebel;0
