Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Listestemmer;23
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Vicky Holst Rasmussen, Ølstykke;21
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Morten Lyager, Ølstykke;1
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Mai Nørreskov, Smørum;14
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Morten Spongenberg Thorup, Ølstykke;2
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Marianne Røgen, Ølstykke;0
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Brian Øllegaard, Stenløse;0
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Allan Kreutzfeldt, Ølstykke;1
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Henrik Sass Christensen, Stenløse;0
1. Ledøje Forsamlingshus;A;Socialdemokratiet;Sheldon Mau, Veksø;1
1. Ledøje Forsamlingshus;B;Radikale Venstre;Listestemmer;4
1. Ledøje Forsamlingshus;B;Radikale Venstre;Rikke Mortensen, Ganløse;13
1. Ledøje Forsamlingshus;B;Radikale Venstre;Dennis Roland Pedersen, Veksø;1
1. Ledøje Forsamlingshus;B;Radikale Venstre;Cirkeline Kajhøj, Ledøje;17
1. Ledøje Forsamlingshus;B;Radikale Venstre;Stephan Grubbe, Ølstykke;0
1. Ledøje Forsamlingshus;B;Radikale Venstre;Ric Jakobsen, Ganløse;0
1. Ledøje Forsamlingshus;B;Radikale Venstre;Paul Aywaz, Stenløse;0
1. Ledøje Forsamlingshus;B;Radikale Venstre;Pia Gjerlev Hollund, Stenløse;0
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Listestemmer;16
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Birgitte Neergaard-Kofod, Ledøje;174
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Christine Søjbjerg, Ølstykke;0
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Henrik Færch Fromholdt, Smørum;2
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Tenna Knudstrup, Udlejre;0
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;P. Michael Øllgaard, Ganløse;0
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Simone Vinter, Nybølle;9
1. Ledøje Forsamlingshus;C;Det Konservative Folkeparti;Lars Falk Hansen, Stenløse;3
1. Ledøje Forsamlingshus;E;Et Samlet Egedal;Listestemmer;1
1. Ledøje Forsamlingshus;E;Et Samlet Egedal;Johan Hahn, Ølstykke;2
1. Ledøje Forsamlingshus;E;Et Samlet Egedal;Bo Brøndum Pedersen, Ganløse;7
1. Ledøje Forsamlingshus;E;Et Samlet Egedal;Alexander Dahl, Slagslunde;1
1. Ledøje Forsamlingshus;E;Et Samlet Egedal;Sinne Eliasen, Veksø;0
1. Ledøje Forsamlingshus;E;Et Samlet Egedal;Mia Nehm, Egedal By;0
1. Ledøje Forsamlingshus;E;Et Samlet Egedal;Michael Madsen, Ølstykke;0
