Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Nordskov;A;Socialdemokratiet;Listestemmer;226
1. Nordskov;A;Socialdemokratiet;Camilla Meyer;215
1. Nordskov;A;Socialdemokratiet;Per Thomsen;94
1. Nordskov;A;Socialdemokratiet;Lisette Lind Larsen;42
1. Nordskov;A;Socialdemokratiet;Jørgen Richardt Nielsen;35
1. Nordskov;A;Socialdemokratiet;Peter Truels Wulff;47
1. Nordskov;A;Socialdemokratiet;Steen Andersen;6
1. Nordskov;A;Socialdemokratiet;Jens Hvidemose;35
1. Nordskov;A;Socialdemokratiet;René Tutak;4
1. Nordskov;A;Socialdemokratiet;Brian Schunk;8
1. Nordskov;A;Socialdemokratiet;Christian Nielsen;0
1. Nordskov;A;Socialdemokratiet;Alaaidin Abdelhafiz;4
1. Nordskov;A;Socialdemokratiet;Margit Lorentzen;4
1. Nordskov;A;Socialdemokratiet;Tine Johnsen;7
1. Nordskov;A;Socialdemokratiet;Casper Christophersen;2
1. Nordskov;A;Socialdemokratiet;Kristen Olesen;1
1. Nordskov;C;Det Konservative Folkeparti;Listestemmer;69
1. Nordskov;C;Det Konservative Folkeparti;Michael Christensen;57
1. Nordskov;C;Det Konservative Folkeparti;Allan Tirsgaard;119
1. Nordskov;C;Det Konservative Folkeparti;Vilhelm Møller;15
1. Nordskov;C;Det Konservative Folkeparti;Jens Dandanell;20
1. Nordskov;C;Det Konservative Folkeparti;Julia Nielsen;10
1. Nordskov;C;Det Konservative Folkeparti;Stella Mikkelsen;0
1. Nordskov;C;Det Konservative Folkeparti;Pernille Bordal Rasmussen;0
1. Nordskov;C;Det Konservative Folkeparti;Svend-Aage Kroman;1
1. Nordskov;C;Det Konservative Folkeparti;Kirsten Schmidt;0
1. Nordskov;C;Det Konservative Folkeparti;Svend Thorsen;0
1. Nordskov;C;Det Konservative Folkeparti;Per Flatau;1
1. Nordskov;C;Det Konservative Folkeparti;Anette Melgaard;9
1. Nordskov;F;SF - Socialistisk Folkeparti;Listestemmer;147
1. Nordskov;F;SF - Socialistisk Folkeparti;Michelle Frese, Karise;58
1. Nordskov;F;SF - Socialistisk Folkeparti;Michael Søndermand, Haslev;30
1. Nordskov;F;SF - Socialistisk Folkeparti;Christina Sandra Johansen, Haslev;128
1. Nordskov;F;SF - Socialistisk Folkeparti;Anita Skov, Haslev;38
1. Nordskov;F;SF - Socialistisk Folkeparti;Ghita Østenby, Faxe;1
1. Nordskov;F;SF - Socialistisk Folkeparti;Mona Pedersen, St. Torøje;2
1. Nordskov;F;SF - Socialistisk Folkeparti;Jette Jensen, Terslev;0
1. Nordskov;F;SF - Socialistisk Folkeparti;Nelle Søndermand, Haslev;7
1. Nordskov;F;SF - Socialistisk Folkeparti;Bente Ovesen, Haslev;10
1. Nordskov;F;SF - Socialistisk Folkeparti;Johnny Hougaard Sørensen, Faxe;1
1. Nordskov;I;Liberal Alliance;Listestemmer;122
1. Nordskov;I;Liberal Alliance;Mikkel B. Dam;479
1. Nordskov;I;Liberal Alliance;Anja Cari;31
1. Nordskov;I;Liberal Alliance;Kenni Lars Rasmussen;3
1. Nordskov;I;Liberal Alliance;Emma Rasmussen;3
