Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Asminderød;A;Socialdemokratiet;Listestemmer;198
1. Asminderød;A;Socialdemokratiet;Thomas Lykke Pedersen, Humlebæk;230
1. Asminderød;A;Socialdemokratiet;Per Frost Henriksen, Fredensborg;43
1. Asminderød;A;Socialdemokratiet;Louise Mehnke, Kokkedal;95
1. Asminderød;A;Socialdemokratiet;Sarah Lykke, Humlebæk;31
1. Asminderød;A;Socialdemokratiet;Dorte Beyer Nielsen, Kokkedal;5
1. Asminderød;A;Socialdemokratiet;Frederik Lisemose, Fredensborg;11
1. Asminderød;A;Socialdemokratiet;Charlotte Sander, Fredensborg;232
1. Asminderød;A;Socialdemokratiet;Claus Corneliussen, Nivå;3
1. Asminderød;A;Socialdemokratiet;Carsten Nielsen, Humlebæk;10
1. Asminderød;A;Socialdemokratiet;Suzan Daoud, Kokkedal;18
1. Asminderød;A;Socialdemokratiet;Sofie Milword, Nivå;10
1. Asminderød;A;Socialdemokratiet;Malene Prehn, Fredensborg;83
1. Asminderød;A;Socialdemokratiet;Ergin Özer, Kokkedal;5
1. Asminderød;A;Socialdemokratiet;Cømert Sonsuz, Nivå;1
1. Asminderød;A;Socialdemokratiet;Bayram Polat, Humlebæk;3
1. Asminderød;B;Radikale Venstre;Listestemmer;62
1. Asminderød;B;Radikale Venstre;Soma Mayel, Kokkedal;85
1. Asminderød;B;Radikale Venstre;Bettina Bové, Humlebæk;26
1. Asminderød;B;Radikale Venstre;Marianne Bredgaard Karlsson, Fredensborg;107
1. Asminderød;B;Radikale Venstre;Patrick Persson, Kokkedal;6
1. Asminderød;B;Radikale Venstre;Jakob Karlshøj, Fredensborg;22
1. Asminderød;B;Radikale Venstre;Marie Louise Wittenkamp, Fredensborg;27
1. Asminderød;B;Radikale Venstre;Rasmus Langskov, Fredensborg;5
1. Asminderød;B;Radikale Venstre;Anne Seitz Christoffersen, Nivå;0
1. Asminderød;B;Radikale Venstre;Birgitte Larsen, Nivå;0
1. Asminderød;B;Radikale Venstre;Gorm Tortzen, Fredensborg;4
1. Asminderød;C;Det Konservative Folkeparti;Listestemmer;207
1. Asminderød;C;Det Konservative Folkeparti;Jesper Tvilde, Fredensborg;219
1. Asminderød;C;Det Konservative Folkeparti;Celine Lind Jakobsen, Kokkedal;56
1. Asminderød;C;Det Konservative Folkeparti;Thomas von Jessen, Nivå;5
1. Asminderød;C;Det Konservative Folkeparti;Mikkel Dodt Fregerslev, Humlebæk;25
1. Asminderød;C;Det Konservative Folkeparti;Martin Morsing Larsen, Fredensborg;53
1. Asminderød;C;Det Konservative Folkeparti;Nikolaj Visby Sandbæk, Nivå;4
1. Asminderød;C;Det Konservative Folkeparti;Sune Termark Perlman, Fredensborg;37
1. Asminderød;C;Det Konservative Folkeparti;Emil Carlberg, Fredensborg;9
1. Asminderød;C;Det Konservative Folkeparti;Henrik Littau Mærsk, Fredensborg;32
1. Asminderød;C;Det Konservative Folkeparti;Mette Nørtoft, Humlebæk;7
1. Asminderød;C;Det Konservative Folkeparti;Charlotte Saxil, Fredensborg;40
1. Asminderød;C;Det Konservative Folkeparti;Mikael Wendelboe, Nivå;6
1. Asminderød;C;Det Konservative Folkeparti;Karin Kølbæk, Kokkedal;1
1. Asminderød;C;Det Konservative Folkeparti;Hanne Eberhardt, Humlebæk;6
1. Asminderød;C;Det Konservative Folkeparti;René Nørbjerg, Kokkedal;9
1. Asminderød;E;Fredensborg SocialKonservative;Listestemmer;11
1. Asminderød;E;Fredensborg SocialKonservative;Christian de Jonquières, Fredensborg;25
1. Asminderød;E;Fredensborg SocialKonservative;Ulla Hardy-Hansen, Fredensborg;117
1. Asminderød;E;Fredensborg SocialKonservative;Ole Krog, Sørup;1
1. Asminderød;E;Fredensborg SocialKonservative;Simon Reinhardt Rasmussen, Fredensborg;0
1. Asminderød;E;Fredensborg SocialKonservative;Ulla Meng Smidt, Nivå;1
1. Asminderød;E;Fredensborg SocialKonservative;Lone Borgstrøm, Endrup;1
1. Asminderød;F;SF - Socialistisk Folkeparti;Listestemmer;127
1. Asminderød;F;SF - Socialistisk Folkeparti;Bent Fischer-Nielsen;60
1. Asminderød;F;SF - Socialistisk Folkeparti;Karina V. Jensen;60
1. Asminderød;F;SF - Socialistisk Folkeparti;Sune Hybert;25
1. Asminderød;F;SF - Socialistisk Folkeparti;Joan Holte Biering;28
1. Asminderød;F;SF - Socialistisk Folkeparti;Jesper Grundsøe de la Motte;5
1. Asminderød;I;Liberal Alliance;Listestemmer;91
1. Asminderød;I;Liberal Alliance;Helle Abild;55
1. Asminderød;I;Liberal Alliance;Morten Tranborg;83
1. Asminderød;I;Liberal Alliance;Samuel Zachariae;9
1. Asminderød;I;Liberal Alliance;Thomas Elgaard;32
1. Asminderød;I;Liberal Alliance;Madeleine Scanlon;2
1. Asminderød;K;KristenDemokraterne;Listestemmer;5
1. Asminderød;K;KristenDemokraterne;Cæcilia Nilsson, Karlebo;7
1. Asminderød;K;KristenDemokraterne;Britta Kristensen, Kokkedal;0
1. Asminderød;M;Moderaterne;Listestemmer;14
1. Asminderød;M;Moderaterne;Maj Grundtvig Theander, Humlebæk;9
1. Asminderød;M;Moderaterne;Josee Linnemann, Fredensborg;41
1. Asminderød;M;Moderaterne;Elsebeth Trap, Nivå;1
1. Asminderød;M;Moderaterne;Hameed Akhtar Bakhsh, Nivå;0
1. Asminderød;M;Moderaterne;Mogens Grunnet, Humlebæk;2
1. Asminderød;O;Dansk Folkeparti;Listestemmer;159
1. Asminderød;O;Dansk Folkeparti;Steen Løfstrøm;122
1. Asminderød;O;Dansk Folkeparti;Mikkel Hartwich;88
1. Asminderød;O;Dansk Folkeparti;Birgitte Meier;32
1. Asminderød;O;Dansk Folkeparti;Søren Regenberg;5
1. Asminderød;V;Venstre, Danmarks Liberale Parti;Listestemmer;142
1. Asminderød;V;Venstre, Danmarks Liberale Parti;Mie Stattau;117
1. Asminderød;V;Venstre, Danmarks Liberale Parti;Jesper Hammer;45
1. Asminderød;V;Venstre, Danmarks Liberale Parti;Lars Søndergaard;30
1. Asminderød;V;Venstre, Danmarks Liberale Parti;Kristian Tanderup;34
1. Asminderød;V;Venstre, Danmarks Liberale Parti;Laura Mortensen;64
1. Asminderød;V;Venstre, Danmarks Liberale Parti;Charlotte Kirkegaard;5
1. Asminderød;V;Venstre, Danmarks Liberale Parti;Lars Egedal;21
1. Asminderød;V;Venstre, Danmarks Liberale Parti;Claus Hassing;5
1. Asminderød;V;Venstre, Danmarks Liberale Parti;Per Askestad;36
1. Asminderød;V;Venstre, Danmarks Liberale Parti;Heidi Boss Nyby;1
1. Asminderød;V;Venstre, Danmarks Liberale Parti;Jacob Vestergaard;4
1. Asminderød;V;Venstre, Danmarks Liberale Parti;Vagn Koch Jensen;0
1. Asminderød;V;Venstre, Danmarks Liberale Parti;Niels Venge Olesen;8
1. Asminderød;V;Venstre, Danmarks Liberale Parti;Henrik Lisberg;0
1. Asminderød;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;38
1. Asminderød;Ø;Enhedslisten - De Rød-Grønne;Bjørn Svensson, Fredensborg;16
1. Asminderød;Ø;Enhedslisten - De Rød-Grønne;Sussi Jensen, Humlebæk;10
1. Asminderød;Ø;Enhedslisten - De Rød-Grønne;Bjørn Helstrup, Nivå;3
1. Asminderød;Å;Alternativet;Listestemmer;14
1. Asminderød;Å;Alternativet;Tola Lubieniecka-Majewska;15
1. Asminderød;Å;Alternativet;Daniel Barrera Madsen;3
2. Fredensborg;A;Socialdemokratiet;Listestemmer;102
2. Fredensborg;A;Socialdemokratiet;Thomas Lykke Pedersen, Humlebæk;192
2. Fredensborg;A;Socialdemokratiet;Per Frost Henriksen, Fredensborg;52
2. Fredensborg;A;Socialdemokratiet;Louise Mehnke, Kokkedal;44
2. Fredensborg;A;Socialdemokratiet;Sarah Lykke, Humlebæk;7
2. Fredensborg;A;Socialdemokratiet;Dorte Beyer Nielsen, Kokkedal;2
2. Fredensborg;A;Socialdemokratiet;Frederik Lisemose, Fredensborg;21
2. Fredensborg;A;Socialdemokratiet;Charlotte Sander, Fredensborg;71
2. Fredensborg;A;Socialdemokratiet;Claus Corneliussen, Nivå;3
2. Fredensborg;A;Socialdemokratiet;Carsten Nielsen, Humlebæk;13
2. Fredensborg;A;Socialdemokratiet;Suzan Daoud, Kokkedal;7
2. Fredensborg;A;Socialdemokratiet;Sofie Milword, Nivå;2
2. Fredensborg;A;Socialdemokratiet;Malene Prehn, Fredensborg;17
2. Fredensborg;A;Socialdemokratiet;Ergin Özer, Kokkedal;4
2. Fredensborg;A;Socialdemokratiet;Cømert Sonsuz, Nivå;1
2. Fredensborg;A;Socialdemokratiet;Bayram Polat, Humlebæk;0
2. Fredensborg;B;Radikale Venstre;Listestemmer;58
2. Fredensborg;B;Radikale Venstre;Soma Mayel, Kokkedal;67
2. Fredensborg;B;Radikale Venstre;Bettina Bové, Humlebæk;33
