Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. 10. Kreds, Søerne;A;Socialdemokratiet;Listestemmer;310
1. 10. Kreds, Søerne;A;Socialdemokratiet;Michael Vindfeldt;709
1. 10. Kreds, Søerne;A;Socialdemokratiet;Sine Heltberg;68
1. 10. Kreds, Søerne;A;Socialdemokratiet;Malte Mathies Løcke;12
1. 10. Kreds, Søerne;A;Socialdemokratiet;Christina Sylvest-Noer;36
1. 10. Kreds, Søerne;A;Socialdemokratiet;Thomas Frank;8
1. 10. Kreds, Søerne;A;Socialdemokratiet;Sofie Kümpel;13
1. 10. Kreds, Søerne;A;Socialdemokratiet;Kristoffer Appel;25
1. 10. Kreds, Søerne;A;Socialdemokratiet;Kim Christiansen;13
1. 10. Kreds, Søerne;A;Socialdemokratiet;Rasmus Edelberg;4
1. 10. Kreds, Søerne;A;Socialdemokratiet;Britt Dam;20
1. 10. Kreds, Søerne;A;Socialdemokratiet;Bjarne Henriksen;42
1. 10. Kreds, Søerne;A;Socialdemokratiet;Susanne Nørlund Munk;8
1. 10. Kreds, Søerne;A;Socialdemokratiet;Janek Balling Majewicz;4
1. 10. Kreds, Søerne;A;Socialdemokratiet;Vibeke Westh;9
1. 10. Kreds, Søerne;A;Socialdemokratiet;Søren Dahlstrøm;17
1. 10. Kreds, Søerne;A;Socialdemokratiet;Ebbe Wendt Lorenzen;4
1. 10. Kreds, Søerne;A;Socialdemokratiet;Christine Jørnø Vestergaard;26
1. 10. Kreds, Søerne;A;Socialdemokratiet;Rune Rummel;8
1. 10. Kreds, Søerne;A;Socialdemokratiet;Jasminka Kamic;1
1. 10. Kreds, Søerne;A;Socialdemokratiet;Mads Simonsen;1
1. 10. Kreds, Søerne;A;Socialdemokratiet;Mostafa Benyahia;0
1. 10. Kreds, Søerne;A;Socialdemokratiet;Malou Astrup;13
1. 10. Kreds, Søerne;A;Socialdemokratiet;Joan Pedersen;0
1. 10. Kreds, Søerne;A;Socialdemokratiet;Asbjørn Dalgaard;1
1. 10. Kreds, Søerne;A;Socialdemokratiet;Marie-Louise Knuppert;1
1. 10. Kreds, Søerne;B;Radikale Venstre;Listestemmer;217
1. 10. Kreds, Søerne;B;Radikale Venstre;Lone Loklindt;244
1. 10. Kreds, Søerne;B;Radikale Venstre;Freja Fokdal;164
1. 10. Kreds, Søerne;B;Radikale Venstre;Per Toni Hansen;3
1. 10. Kreds, Søerne;B;Radikale Venstre;Karsten Lauritsen;21
1. 10. Kreds, Søerne;B;Radikale Venstre;Isabel Havndrup Aackmann;71
1. 10. Kreds, Søerne;B;Radikale Venstre;Jens-Christian Navarro Poulsen;8
1. 10. Kreds, Søerne;B;Radikale Venstre;Anne Eskildsen;6
1. 10. Kreds, Søerne;B;Radikale Venstre;Rikke Alice Bille;15
1. 10. Kreds, Søerne;B;Radikale Venstre;Torben Krogh;4
1. 10. Kreds, Søerne;B;Radikale Venstre;Jens Otto Jarløv;8
1. 10. Kreds, Søerne;B;Radikale Venstre;Mirjam Marie Dyekjær;4
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Listestemmer;845
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Michael Brautsch;582
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Laura Lindahl;144
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Nikolaj Bøgh;141
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Alexandra Dessoy;60
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Anders Storgaard;57
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Merete Winther Hildebrandt;40
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Brian Holm;104
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Carina Høedt;117
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Fasael Rehman;45
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Jacob Rosenberg;26
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Jimmy Streit;65
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Claus Wagenblast-Franck;27
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Marie Budtz Andersen;6
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Caspar Stefani;49
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Maj-Britt Mathiesen;26
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Torben Grinderslev;8
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Malou Ananiassen;2
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Tina Jacobsen;12
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Klaus Eskelund;24
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Rami Zouzou;11
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Rie Jakobsen;13
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Elias Lederhaas;7
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Else Marie Thorgaard;15
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Søren Brønchenburg;8
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Silas T. H. Rasmussen;2
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Peder Brandhof;2
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Jesper Ronald Jensen;26
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Henrik Kragelund;16
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Anne Benard;2
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Ane Rolsted;46
1. 10. Kreds, Søerne;C;Det Konservative Folkeparti;Nikoline Ida Christiansen;9
