Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Bagsværd;A;Socialdemokratiet;Listestemmer;288
1. Bagsværd;A;Socialdemokratiet;Trine Græse;226
1. Bagsværd;A;Socialdemokratiet;Jens Anton Tingstrøm;21
1. Bagsværd;A;Socialdemokratiet;Mette Laurberg;60
1. Bagsværd;A;Socialdemokratiet;Calle Greisholm;39
1. Bagsværd;A;Socialdemokratiet;Katrine Skov;23
1. Bagsværd;A;Socialdemokratiet;Ole Skrald;19
1. Bagsværd;A;Socialdemokratiet;Kristine Henriksen;11
1. Bagsværd;A;Socialdemokratiet;Tom Vang Knudsen;7
1. Bagsværd;A;Socialdemokratiet;Mette Hviid;18
1. Bagsværd;A;Socialdemokratiet;Rikke Louise Schilling;26
1. Bagsværd;A;Socialdemokratiet;Furkan Yavuz;3
1. Bagsværd;A;Socialdemokratiet;Mohammed Sobhie;8
1. Bagsværd;A;Socialdemokratiet;Karin Dencker;3
1. Bagsværd;A;Socialdemokratiet;Lars Kaspersen;6
1. Bagsværd;A;Socialdemokratiet;Nathasja Rasmussen;3
1. Bagsværd;A;Socialdemokratiet;Ulrik Gutt-Nielsen;7
1. Bagsværd;B;Radikale Venstre;Listestemmer;175
1. Bagsværd;B;Radikale Venstre;Christina Falkberg;161
1. Bagsværd;B;Radikale Venstre;Claus Staal;18
1. Bagsværd;B;Radikale Venstre;Claus Wachmann;12
1. Bagsværd;B;Radikale Venstre;Tove Graulund;6
1. Bagsværd;B;Radikale Venstre;Jean Meadows;6
1. Bagsværd;B;Radikale Venstre;Ulrik Hesse;0
1. Bagsværd;B;Radikale Venstre;Lis Smidsholm;3
1. Bagsværd;B;Radikale Venstre;Flemming Ytzen;9
1. Bagsværd;B;Radikale Venstre;Mads Bondo Dydensborg;9
1. Bagsværd;B;Radikale Venstre;Anja Ritz-Andersen;1
1. Bagsværd;B;Radikale Venstre;Nick Nouri;0
1. Bagsværd;B;Radikale Venstre;Flemming Wegeberg;8
1. Bagsværd;B;Radikale Venstre;Rasmus Villefrance;1
1. Bagsværd;B;Radikale Venstre;Sune Øksnebjerg;3
1. Bagsværd;B;Radikale Venstre;Kristian Erland Jensen;9
1. Bagsværd;B;Radikale Venstre;Bjarne Tolboe Christiansen;1
1. Bagsværd;C;Det Konservative Folkeparti;Listestemmer;146
1. Bagsværd;C;Det Konservative Folkeparti;Henrik Sørensen;62
1. Bagsværd;C;Det Konservative Folkeparti;Rebecca Plomin;47
1. Bagsværd;C;Det Konservative Folkeparti;Jesper Togsverd Levann;3
1. Bagsværd;C;Det Konservative Folkeparti;Henrik Blavnsfeldt;3
1. Bagsværd;C;Det Konservative Folkeparti;Mogens Busk Sørensen;7
1. Bagsværd;C;Det Konservative Folkeparti;Jørn Dahl Aarre;2
1. Bagsværd;C;Det Konservative Folkeparti;Poul Erik Christensen;0
1. Bagsværd;C;Det Konservative Folkeparti;Marianne Tholstrup Svendsen;7
1. Bagsværd;F;SF - Socialistisk Folkeparti;Listestemmer;183
1. Bagsværd;F;SF - Socialistisk Folkeparti;Serdal Benli;160
1. Bagsværd;F;SF - Socialistisk Folkeparti;Mette Eikelund;58
1. Bagsværd;F;SF - Socialistisk Folkeparti;Amanda Manfeld;44
1. Bagsværd;F;SF - Socialistisk Folkeparti;Holger Grohganz;11
1. Bagsværd;F;SF - Socialistisk Folkeparti;Troels Stru Schmidt;14
1. Bagsværd;F;SF - Socialistisk Folkeparti;Lene Søndergaard;11
1. Bagsværd;F;SF - Socialistisk Folkeparti;Per Bruhn;9
1. Bagsværd;F;SF - Socialistisk Folkeparti;Louis Bøndergaard;29
1. Bagsværd;F;SF - Socialistisk Folkeparti;Søren Boel;2
1. Bagsværd;F;SF - Socialistisk Folkeparti;Mariann Hedin;0
1. Bagsværd;F;SF - Socialistisk Folkeparti;Leif Jørgensen;0
1. Bagsværd;F;SF - Socialistisk Folkeparti;Mie Busch-Jensen;2
1. Bagsværd;F;SF - Socialistisk Folkeparti;Thomas Monberg;6
1. Bagsværd;F;SF - Socialistisk Folkeparti;Signe Ejersbo;4
1. Bagsværd;F;SF - Socialistisk Folkeparti;Bo Bülow;0
1. Bagsværd;F;SF - Socialistisk Folkeparti;Dorthe Wichmand Müller;0
1. Bagsværd;F;SF - Socialistisk Folkeparti;Poul Reher Jensen;2
1. Bagsværd;I;Liberal Alliance;Listestemmer;135
1. Bagsværd;I;Liberal Alliance;Jacqueline Kristensen;25
1. Bagsværd;I;Liberal Alliance;Frederik Siliam;17
1. Bagsværd;I;Liberal Alliance;David Ibsen;19
1. Bagsværd;I;Liberal Alliance;Lars Vibæk Pedersen;16
1. Bagsværd;I;Liberal Alliance;JP Siliam Nissen Kristensen;16
1. Bagsværd;I;Liberal Alliance;Lars Langhoff;2
1. Bagsværd;L;Lokallisten Gladsaxe;Listestemmer;20
1. Bagsværd;L;Lokallisten Gladsaxe;Lene Svendborg;28
1. Bagsværd;L;Lokallisten Gladsaxe;Kasper Bjerg;15
1. Bagsværd;L;Lokallisten Gladsaxe;Lise Tønner;35
1. Bagsværd;L;Lokallisten Gladsaxe;Marianne Larsen;1
1. Bagsværd;L;Lokallisten Gladsaxe;John Ellehammer;2
1. Bagsværd;L;Lokallisten Gladsaxe;Anne Holtet;4
1. Bagsværd;L;Lokallisten Gladsaxe;Pernille Klein;3
1. Bagsværd;L;Lokallisten Gladsaxe;Peter Lawrence Brooker;0
1. Bagsværd;M;Moderaterne;Listestemmer;21
1. Bagsværd;M;Moderaterne;Lars Abel;113
1. Bagsværd;M;Moderaterne;Pernille Christensen;9
1. Bagsværd;M;Moderaterne;Jakob Trier;2
1. Bagsværd;M;Moderaterne;Peter A. Breum;0
1. Bagsværd;O;Dansk Folkeparti;Listestemmer;144
1. Bagsværd;O;Dansk Folkeparti;Kristian Tørning;52
1. Bagsværd;O;Dansk Folkeparti;Linda Gade;29
1. Bagsværd;O;Dansk Folkeparti;Peder Cabion Hansen;8
1. Bagsværd;O;Dansk Folkeparti;Flemming Albrechtsen;4
1. Bagsværd;O;Dansk Folkeparti;Peter Flindt-Hansen;1
1. Bagsværd;O;Dansk Folkeparti;Gitte Jeppesen;4
1. Bagsværd;V;Venstre - Danmarks Liberale Parti;Listestemmer;133
1. Bagsværd;V;Venstre - Danmarks Liberale Parti;Astrid Søborg;287
1. Bagsværd;V;Venstre - Danmarks Liberale Parti;Martin Skou Heidemann;110
1. Bagsværd;V;Venstre - Danmarks Liberale Parti;Lone Yalcinkaya;10
1. Bagsværd;V;Venstre - Danmarks Liberale Parti;Camilla Friis;21
1. Bagsværd;V;Venstre - Danmarks Liberale Parti;Allan Juhl Feddersen;6
1. Bagsværd;V;Venstre - Danmarks Liberale Parti;Thekla Ravn;16
1. Bagsværd;V;Venstre - Danmarks Liberale Parti;Gunnar Sumberg;9
1. Bagsværd;V;Venstre - Danmarks Liberale Parti;Henrik Thormod Andersen;10
1. Bagsværd;V;Venstre - Danmarks Liberale Parti;René Wriedt;1
1. Bagsværd;V;Venstre - Danmarks Liberale Parti;Ricco Clausen;12
1. Bagsværd;Æ;Danmarksdemokraterne - Inger Støjberg;Listestemmer;28
1. Bagsværd;Æ;Danmarksdemokraterne - Inger Støjberg;Susanne Damsgaard;8
1. Bagsværd;Æ;Danmarksdemokraterne - Inger Støjberg;Claus Lundbæk;4
1. Bagsværd;Æ;Danmarksdemokraterne - Inger Støjberg;Jan Pless;8
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;119
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Torben Madsen;36
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Lotte Klein;56
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Michael Dorph Jensen;17
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Signe Rosa Skelbæk;51
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Sune Rastad Bahn;2
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Pernille Vedersø Bussone;4
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Jørgen Franck;27
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Stine Riis;2
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Casper Pedersen;2
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Kirsten Thyregod;5
2. Hovedbiblioteket;A;Socialdemokratiet;Listestemmer;450
2. Hovedbiblioteket;A;Socialdemokratiet;Trine Græse;311
2. Hovedbiblioteket;A;Socialdemokratiet;Jens Anton Tingstrøm;96
2. Hovedbiblioteket;A;Socialdemokratiet;Mette Laurberg;112
2. Hovedbiblioteket;A;Socialdemokratiet;Calle Greisholm;76
2. Hovedbiblioteket;A;Socialdemokratiet;Katrine Skov;54
2. Hovedbiblioteket;A;Socialdemokratiet;Ole Skrald;40
2. Hovedbiblioteket;A;Socialdemokratiet;Kristine Henriksen;25
2. Hovedbiblioteket;A;Socialdemokratiet;Tom Vang Knudsen;17
2. Hovedbiblioteket;A;Socialdemokratiet;Mette Hviid;22
2. Hovedbiblioteket;A;Socialdemokratiet;Rikke Louise Schilling;13
2. Hovedbiblioteket;A;Socialdemokratiet;Furkan Yavuz;8
2. Hovedbiblioteket;A;Socialdemokratiet;Mohammed Sobhie;18
2. Hovedbiblioteket;A;Socialdemokratiet;Karin Dencker;11
2. Hovedbiblioteket;A;Socialdemokratiet;Lars Kaspersen;7
2. Hovedbiblioteket;A;Socialdemokratiet;Nathasja Rasmussen;7
2. Hovedbiblioteket;A;Socialdemokratiet;Ulrik Gutt-Nielsen;4
2. Hovedbiblioteket;B;Radikale Venstre;Listestemmer;172
2. Hovedbiblioteket;B;Radikale Venstre;Christina Falkberg;190
2. Hovedbiblioteket;B;Radikale Venstre;Claus Staal;14
2. Hovedbiblioteket;B;Radikale Venstre;Claus Wachmann;4
2. Hovedbiblioteket;B;Radikale Venstre;Tove Graulund;7
2. Hovedbiblioteket;B;Radikale Venstre;Jean Meadows;11
2. Hovedbiblioteket;B;Radikale Venstre;Ulrik Hesse;0
2. Hovedbiblioteket;B;Radikale Venstre;Lis Smidsholm;0
2. Hovedbiblioteket;B;Radikale Venstre;Flemming Ytzen;13
2. Hovedbiblioteket;B;Radikale Venstre;Mads Bondo Dydensborg;15
2. Hovedbiblioteket;B;Radikale Venstre;Anja Ritz-Andersen;3
2. Hovedbiblioteket;B;Radikale Venstre;Nick Nouri;2
2. Hovedbiblioteket;B;Radikale Venstre;Flemming Wegeberg;11
2. Hovedbiblioteket;B;Radikale Venstre;Rasmus Villefrance;4
2. Hovedbiblioteket;B;Radikale Venstre;Sune Øksnebjerg;3
2. Hovedbiblioteket;B;Radikale Venstre;Kristian Erland Jensen;10
2. Hovedbiblioteket;B;Radikale Venstre;Bjarne Tolboe Christiansen;1
2. Hovedbiblioteket;C;Det Konservative Folkeparti;Listestemmer;139
2. Hovedbiblioteket;C;Det Konservative Folkeparti;Henrik Sørensen;37
2. Hovedbiblioteket;C;Det Konservative Folkeparti;Rebecca Plomin;30
2. Hovedbiblioteket;C;Det Konservative Folkeparti;Jesper Togsverd Levann;6
2. Hovedbiblioteket;C;Det Konservative Folkeparti;Henrik Blavnsfeldt;7
2. Hovedbiblioteket;C;Det Konservative Folkeparti;Mogens Busk Sørensen;6
2. Hovedbiblioteket;C;Det Konservative Folkeparti;Jørn Dahl Aarre;3
2. Hovedbiblioteket;C;Det Konservative Folkeparti;Poul Erik Christensen;2
2. Hovedbiblioteket;C;Det Konservative Folkeparti;Marianne Tholstrup Svendsen;10
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Listestemmer;290
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Serdal Benli;183
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Mette Eikelund;90
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Amanda Manfeld;103
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Holger Grohganz;15
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Troels Stru Schmidt;42
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Lene Søndergaard;18
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Per Bruhn;11
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Louis Bøndergaard;12
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Søren Boel;5
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Mariann Hedin;1
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Leif Jørgensen;0
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Mie Busch-Jensen;3
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Thomas Monberg;1
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Signe Ejersbo;5
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Bo Bülow;0
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Dorthe Wichmand Müller;2
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Poul Reher Jensen;0
2. Hovedbiblioteket;I;Liberal Alliance;Listestemmer;128
2. Hovedbiblioteket;I;Liberal Alliance;Jacqueline Kristensen;38
2. Hovedbiblioteket;I;Liberal Alliance;Frederik Siliam;4
2. Hovedbiblioteket;I;Liberal Alliance;David Ibsen;10
2. Hovedbiblioteket;I;Liberal Alliance;Lars Vibæk Pedersen;12
2. Hovedbiblioteket;I;Liberal Alliance;JP Siliam Nissen Kristensen;8
2. Hovedbiblioteket;I;Liberal Alliance;Lars Langhoff;1
2. Hovedbiblioteket;L;Lokallisten Gladsaxe;Listestemmer;39
2. Hovedbiblioteket;L;Lokallisten Gladsaxe;Lene Svendborg;19
2. Hovedbiblioteket;L;Lokallisten Gladsaxe;Kasper Bjerg;25
2. Hovedbiblioteket;L;Lokallisten Gladsaxe;Lise Tønner;32
2. Hovedbiblioteket;L;Lokallisten Gladsaxe;Marianne Larsen;8
2. Hovedbiblioteket;L;Lokallisten Gladsaxe;John Ellehammer;7
2. Hovedbiblioteket;L;Lokallisten Gladsaxe;Anne Holtet;2
2. Hovedbiblioteket;L;Lokallisten Gladsaxe;Pernille Klein;5
