Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Hundested;A;Socialdemokratiet;Listestemmer;265
1. Hundested;A;Socialdemokratiet;Steffen Jensen;813
1. Hundested;A;Socialdemokratiet;Annette Westh;56
1. Hundested;A;Socialdemokratiet;Helge Friis;32
1. Hundested;A;Socialdemokratiet;Sarah Lindemann Thøgersen;31
1. Hundested;A;Socialdemokratiet;Anton Lykke Jensen;459
1. Hundested;A;Socialdemokratiet;Matilde Ørsted;23
1. Hundested;A;Socialdemokratiet;Henrik Tolstrup;28
1. Hundested;A;Socialdemokratiet;Tommy Frøslev;88
1. Hundested;A;Socialdemokratiet;Mads Vergo;6
1. Hundested;A;Socialdemokratiet;Kirsten Lauritsen;19
1. Hundested;A;Socialdemokratiet;Nicolai Leslie Ahlstrand;1
1. Hundested;A;Socialdemokratiet;Jannik Haulik Jørgensen;63
1. Hundested;A;Socialdemokratiet;Kim Daugbjerg;5
1. Hundested;A;Socialdemokratiet;Michael Schmidt;11
1. Hundested;A;Socialdemokratiet;Steen Mikkelsen;17
1. Hundested;A;Socialdemokratiet;René Hansen;19
1. Hundested;B;Radikale Venstre;Listestemmer;29
1. Hundested;B;Radikale Venstre;Mie Mai Reimers Mai, Frederiksværk;21
1. Hundested;B;Radikale Venstre;Magnus Dræby, Hundested;40
1. Hundested;B;Radikale Venstre;Birgit Gundorph-Malling, Hundested;13
1. Hundested;B;Radikale Venstre;Erik Hauch, Hundested;5
1. Hundested;B;Radikale Venstre;Peter Zethner-Møller, Frederiksværk;0
1. Hundested;C;Det Konservative Folkeparti;Listestemmer;57
1. Hundested;C;Det Konservative Folkeparti;Frederik Germann;166
1. Hundested;C;Det Konservative Folkeparti;Bojanna Visby Jensen;44
1. Hundested;C;Det Konservative Folkeparti;Kirsten Aunstrup;9
1. Hundested;C;Det Konservative Folkeparti;Niels Møller Pedersen;6
1. Hundested;C;Det Konservative Folkeparti;Ida Jensen;13
1. Hundested;C;Det Konservative Folkeparti;Per Grydbæk;0
1. Hundested;F;SF - Socialistisk Folkeparti;Listestemmer;198
1. Hundested;F;SF - Socialistisk Folkeparti;Anja Rosengreen, Hundested;484
1. Hundested;F;SF - Socialistisk Folkeparti;Olaf Johannes Prien, Karlsgave;46
1. Hundested;F;SF - Socialistisk Folkeparti;Anne-Marie Storm Pedersen, Lynæs;77
1. Hundested;F;SF - Socialistisk Folkeparti;Peter Nilsson, Sølager;12
1. Hundested;F;SF - Socialistisk Folkeparti;John Nordbo, Torup;92
1. Hundested;F;SF - Socialistisk Folkeparti;Anita Bager, Hundested;20
1. Hundested;F;SF - Socialistisk Folkeparti;Andreas Herfelt, Tømmerup;26
1. Hundested;F;SF - Socialistisk Folkeparti;Mette Askov, Frederiksværk;8
1. Hundested;I;Liberal Alliance;Listestemmer;68
1. Hundested;I;Liberal Alliance;Kim Jensen, Hundested;84
1. Hundested;I;Liberal Alliance;Peter Nørris Dalsgaard, Frederiksværk;3
1. Hundested;I;Liberal Alliance;Søren Hersdorf, Ølsted;15
1. Hundested;I;Liberal Alliance;Thomas Lind, Liseleje;1
1. Hundested;I;Liberal Alliance;Johan Thorup, Hundested;6
1. Hundested;M;Moderaterne;Listestemmer;21
1. Hundested;M;Moderaterne;Lars Stegman, Hundested;50
1. Hundested;M;Moderaterne;Jesper H. Gottlieb, Frederiksværk;4
1. Hundested;M;Moderaterne;Lars Bloch, Frederiksværk;18
1. Hundested;O;Dansk Folkeparti;Listestemmer;181
1. Hundested;O;Dansk Folkeparti;Ole S. Nielsen, Evetofte;32
1. Hundested;O;Dansk Folkeparti;Ole Wedel, Hundested;72
1. Hundested;O;Dansk Folkeparti;Victor V. Nielsen, Frederiksværk;6
1. Hundested;O;Dansk Folkeparti;Ove Pedersen, Hundested;16
1. Hundested;O;Dansk Folkeparti;Merete Rask Egholm, Ølsted;15
1. Hundested;R;Rationelle;Listestemmer;4
1. Hundested;R;Rationelle;Timo Jattu, Hundested;37
1. Hundested;R;Rationelle;Kasper Gant, Hundested;3
1. Hundested;V;Venstre, Danmarks Liberale Parti;Listestemmer;130
1. Hundested;V;Venstre, Danmarks Liberale Parti;Michael Thomsen;144
1. Hundested;V;Venstre, Danmarks Liberale Parti;Thomas Møller Nielsen;53
1. Hundested;V;Venstre, Danmarks Liberale Parti;Sune Raunkjær;152
1. Hundested;V;Venstre, Danmarks Liberale Parti;Susan Eirfeldt;51
1. Hundested;V;Venstre, Danmarks Liberale Parti;Viggo Søbjerg;90
1. Hundested;V;Venstre, Danmarks Liberale Parti;Niels Bruun;5
1. Hundested;V;Venstre, Danmarks Liberale Parti;Bitten Jørgensen;9
1. Hundested;V;Venstre, Danmarks Liberale Parti;Angelica Pedersen;48
1. Hundested;V;Venstre, Danmarks Liberale Parti;Steen Hasselriis;28
1. Hundested;V;Venstre, Danmarks Liberale Parti;Rico Sandager;23
1. Hundested;Æ;Danmarksdemokraterne - Inger Støjberg;Listestemmer;101
1. Hundested;Æ;Danmarksdemokraterne - Inger Støjberg;Katrine Schiller;120
1. Hundested;Æ;Danmarksdemokraterne - Inger Støjberg;Ulrik Mainz;45
1. Hundested;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;198
1. Hundested;Ø;Enhedslisten - De Rød-Grønne;Thue Lundgaard;211
1. Hundested;Ø;Enhedslisten - De Rød-Grønne;Lars Vestergaard Christiansen;71
1. Hundested;Ø;Enhedslisten - De Rød-Grønne;Michelle Beldner;42
1. Hundested;Ø;Enhedslisten - De Rød-Grønne;Majbritt Horsholm;18
1. Hundested;Ø;Enhedslisten - De Rød-Grønne;Michael Pedersen;29
1. Hundested;Å;Alternativet;Listestemmer;49
1. Hundested;Å;Alternativet;Nanna Høyrup;261
1. Hundested;Å;Alternativet;Qasam Nazir Ahmad;14
1. Hundested;Å;Alternativet;Mariane Lunden;32
1. Hundested;Å;Alternativet;Sofie Faureholm Lundsberg;16
2. Melby;A;Socialdemokratiet;Listestemmer;109
2. Melby;A;Socialdemokratiet;Steffen Jensen;623
2. Melby;A;Socialdemokratiet;Annette Westh;21
