Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Holbæk Øst;A;Socialdemokratiet;Listestemmer;218
1. Holbæk Øst;A;Socialdemokratiet;Christina Krzyrosiak Hansen, Butterup;2562
1. Holbæk Øst;A;Socialdemokratiet;Lars Qvist, Holbæk;37
1. Holbæk Øst;A;Socialdemokratiet;Sif Thomsen, Holbæk;48
1. Holbæk Øst;A;Socialdemokratiet;Lars Thaarbøl, Holbæk;39
1. Holbæk Øst;A;Socialdemokratiet;Christina Hvass Hansen, Regstrup;18
1. Holbæk Øst;A;Socialdemokratiet;Steen Klink, Jyderup;4
1. Holbæk Øst;A;Socialdemokratiet;Charlotte Nielsen, Holbæk;64
1. Holbæk Øst;A;Socialdemokratiet;Eva Anker Lund, Holbæk;44
1. Holbæk Øst;A;Socialdemokratiet;Susanne Utoft, Svinninge;2
1. Holbæk Øst;A;Socialdemokratiet;Kristian Sandgaard Timmermann, Kundby;4
1. Holbæk Øst;A;Socialdemokratiet;Lars Roost Dinesen, Holbæk;40
1. Holbæk Øst;A;Socialdemokratiet;Jens Kristiansen, Tuse;11
1. Holbæk Øst;A;Socialdemokratiet;Derya Tamer, Holbæk;63
1. Holbæk Øst;A;Socialdemokratiet;Karina Lyneborg, Tølløse;1
1. Holbæk Øst;A;Socialdemokratiet;Thor Højland Mathiesen, Regstrup;15
1. Holbæk Øst;A;Socialdemokratiet;Melina Amalie Pedersen, Holbæk;16
1. Holbæk Øst;A;Socialdemokratiet;Jeppe Klenitz-Jakobsen, Mørkøv;10
1. Holbæk Øst;A;Socialdemokratiet;Casper Larsen, Mørkøv;7
1. Holbæk Øst;A;Socialdemokratiet;Anders Olesen, Vipperød;9
1. Holbæk Øst;A;Socialdemokratiet;Henrik Mosbæk, Holbæk;26
1. Holbæk Øst;A;Socialdemokratiet;Jarl Sabroe, Tuse;27
1. Holbæk Øst;A;Socialdemokratiet;Victor Grauballe Arvad, Regstrup;25
1. Holbæk Øst;A;Socialdemokratiet;Klaus Nielsen, Vipperød;1
1. Holbæk Øst;A;Socialdemokratiet;Svenn Thunø, Holbæk;38
1. Holbæk Øst;A;Socialdemokratiet;Robert Gerken, Holbæk;5
1. Holbæk Øst;A;Socialdemokratiet;Tharjan Jeyananthan, Holbæk;15
1. Holbæk Øst;B;Radikale Venstre;Listestemmer;43
1. Holbæk Øst;B;Radikale Venstre;Emrah Tuncer, Holbæk;266
1. Holbæk Øst;B;Radikale Venstre;Asger Gotved, Holbæk;27
1. Holbæk Øst;B;Radikale Venstre;Carsten Buhl, Holbæk;11
1. Holbæk Øst;B;Radikale Venstre;Torsten Sylvest, Vipperød;0
1. Holbæk Øst;B;Radikale Venstre;Ida Møller, Hagested;9
1. Holbæk Øst;B;Radikale Venstre;Poul Fensmark, Holbæk;14
1. Holbæk Øst;B;Radikale Venstre;Marthine Dahl, Jyderup;3
1. Holbæk Øst;C;Det Konservative Folkeparti;Listestemmer;106
1. Holbæk Øst;C;Det Konservative Folkeparti;Stampe Duus;72
1. Holbæk Øst;C;Det Konservative Folkeparti;Ane-Jette Jacobsen;20
1. Holbæk Øst;C;Det Konservative Folkeparti;Niels Henrik Ebdrup;24
1. Holbæk Øst;C;Det Konservative Folkeparti;Jonas Lauge Andersen;3
1. Holbæk Øst;C;Det Konservative Folkeparti;Anders Rasmussen;1
1. Holbæk Øst;C;Det Konservative Folkeparti;Jørn Thorhauge;8
1. Holbæk Øst;C;Det Konservative Folkeparti;Thomas Christophersen;12
1. Holbæk Øst;C;Det Konservative Folkeparti;Allan Tronborg;1
1. Holbæk Øst;C;Det Konservative Folkeparti;Ditte Keidser;11
1. Holbæk Øst;C;Det Konservative Folkeparti;Linda Hartsø;8
1. Holbæk Øst;C;Det Konservative Folkeparti;Bent Delfs;1
1. Holbæk Øst;C;Det Konservative Folkeparti;John Hvass;5
1. Holbæk Øst;C;Det Konservative Folkeparti;Steen Nielsen;4
1. Holbæk Øst;C;Det Konservative Folkeparti;Morten Ulrich;1
1. Holbæk Øst;F;SF - Socialistisk Folkeparti;Listestemmer;106
1. Holbæk Øst;F;SF - Socialistisk Folkeparti;Jakob Villadsen, Holbæk;68
1. Holbæk Øst;F;SF - Socialistisk Folkeparti;Jesper Hartøft, Holbæk;62
1. Holbæk Øst;F;SF - Socialistisk Folkeparti;Lykke Palm, Skamstrup;34
1. Holbæk Øst;F;SF - Socialistisk Folkeparti;Bjørn Olsen, Jyderup;0
1. Holbæk Øst;F;SF - Socialistisk Folkeparti;Bente Røttig, Tjebberup;34
1. Holbæk Øst;F;SF - Socialistisk Folkeparti;Morten Holme, Søndersted;10
1. Holbæk Øst;F;SF - Socialistisk Folkeparti;Semir Demiri, Holbæk;49
1. Holbæk Øst;F;SF - Socialistisk Folkeparti;Anna Theodora Pihl Brandt, Vipperød;13
1. Holbæk Øst;F;SF - Socialistisk Folkeparti;Claus O. Jørgensen, Orø;0
1. Holbæk Øst;F;SF - Socialistisk Folkeparti;Michael Møller Nielsen, Holbæk;14
1. Holbæk Øst;I;Liberal Alliance;Listestemmer;124
1. Holbæk Øst;I;Liberal Alliance;Jacob van Dijk;82
1. Holbæk Øst;I;Liberal Alliance;Frederik Grünfeld;29
1. Holbæk Øst;I;Liberal Alliance;Sofus Rønne;3
1. Holbæk Øst;I;Liberal Alliance;Mie Albrecht;15
1. Holbæk Øst;I;Liberal Alliance;Flemming Sørensen;4
1. Holbæk Øst;I;Liberal Alliance;Nethe Grønnegaard;8
